در	porte
زنده	vivant
فارسی	persique
فارسی	persan
فارسی	perse
فارسی	perses
بین	haricot
بین	entre
بین	haricots
انگلستان	angleterre
دوم	deuxieme
دوم	seconde
دوم	deuxième
موسیقی	musique
موسیقی	musiques
گروه	orchestre
گروه	bande
گروه	groupe
جایزه	prime
جایزه	bonification
جایزه	récompense
بیشتر	plus
بیشتر	davantage
جنوبی	méridionale
جنوبی	méridional
جنوبی	sud
روز	journée
روز	diurne
روز	journee
روز	jour
جمهوری	république
مرگ	mort
مرگ	décès
ولی	mais
آمریکایی	américain
آمریکایی	américaines
آمریکایی	américaine
آمریکایی	américains
نقش	rôle
منطقه	zone
منطقه	région
منطقه	domaine
بسیار	nombreuses
بسیار	nombreux
بسیار	trés
بسیار	très
بسیار	tres
بسیار	plusieurs
بسیار	beaucoup
اسلامی	islamique
اسلامی	islamiste
اسلامی	musulman
بزرگ	grosse
بزرگ	grandes
بزرگ	grande
بزرگ	grands
بزرگ	grand
بزرگ	gros
روستایی	rurales
روستایی	ruraux
روستایی	rurale
روستایی	paysanne
روستایی	villageois
روستایی	paysan
آمار	statistique
آمار	statistiques
فعالیت	activité
اشاره	astuce
اشاره	allusion
اشاره	indice
زاده	née
زاده	naître
زاده	naissance
زاده	né
محمد	mahomet
بریتانیا	britannique
بریتانیا	britanniques
مانند	comme
مانند	genre
مانند	aiment
مانند	aime
مانند	aimez
چند	peu
شمالی	nord
شمالی	caroline
شمالی	septentrional
شمالی	nordique
شمالی	septentrionale
آب	eaux
آب	eau
خورشیدگرفتگی	éclipse
خورشیدگرفتگی	éclipsé
ایرانی	persique
ایرانی	iranien
ایرانی	iranienne
ایرانی	perse
ایرانی	iraniennes
ایرانی	persan
ایرانی	perses
اطلاعات	informations
اطلاعات	infos
اطلاعات	renseignements
ایجاد	création
ایجاد	créer
ایجاد	crée
ایجاد	créent
ایجاد	construire
ایجاد	créez
مالک	propriétaire
امنیت	sûreté
امنیت	securite
امنیت	sécurité
امنیت	securité
نوع	taper
نوع	tapez
مردم	gens
مردم	personnes
دلیل	raison
دلیل	raisons
دور	loin
اولین	evelyne
مربوط	pertinent
مربوط	connexe
مربوط	pertinentes
مربوط	lié
مربوط	pertinents
مربوط	pertinente
مربوط	liés
مربوط	connexes
بار	charge
بار	barre
بار	chargement
بار	barreau
بار	charger
دریا	mer
شما	toi
شما	vous
شما	votre
شما	tu
شما	vos
برابر	égale
برابر	égal
برابر	égaux
برابر	égales
تولید	générer
تولید	fabrication
تولید	génère
تپه	colline
تنها	seule
تنها	uniquement
تنها	solitaire
تنها	seuls
تنها	seulement
تنها	solitude
تنها	seul
تنها	solitaires
شرقی	oriental
شرقی	orientaux
شرقی	orientale
شرقی	orient
شرقی	orientales
شرقی	est
برخی	certaines
برخی	quelques
برخی	certains
میان	entre
جهان	mondial
جهان	monde
جهان	mondiale
جام	tasse
جام	coupe
جام	gobelet
ارتفاع	hauteur
ارتفاع	taille
کشف	découvrez
کشف	découvert
کشف	découvertes
کشف	découverte
کشف	découvrir
کشف	découverts
نشان	insigne
حذف	effacer
حذف	effacement
حذف	supprimez
حذف	supprime
حذف	enlèvent
حذف	supprimer
حذف	supprimant
حذف	retirer
حذف	suppression
حذف	enlever
تلویزیونی	téléviseur
تلویزیونی	télévision
تلویزیونی	télé
غربی	occident
غربی	occidentale
غربی	ouest
غربی	occidental
گرفته	prise
گرفته	pris
گرفته	prises
دوران	eer
دوران	périodes
دوران	époque
شامل	incluse
شامل	incluent
شامل	inclus
شامل	comprend
شامل	incluses
شامل	comprennent
شامل	inclure
شامل	inclut
شامل	compris
شدن	obtenir
شدن	devenir
شدن	devenant
بهترین	meilleure
بهترین	meilleur
بهترین	meilleurs
بهترین	meilleures
دولت	gouvernements
دولت	gouvernement
دولت	état
دولت	etat
همراه	accompagnée
همراه	accompagnant
همراه	portable
همراه	accompagné
همراه	accompagner
همراه	accompagnées
همراه	accompagnés
همراه	accompagnement
همراه	conjonction
چپ	gauche
ایتالیا	italien
ایتالیا	italienne
ایتالیا	italiennes
ایتالیا	italiens
ایتالیا	italie
صفحه	pages
مجلس	parlement
مجلس	assemblée
مجلس	assemblage
تحت	sous
آغاز	début
آغاز	démarrage
آغاز	commencement
آغاز	commencer
آغاز	démarrer
راه	sentier
راه	manière
راه	sillon
راه	façon
راه	chemin
کشتی	navires
کشتی	lutter
کشتی	vaisseau
کشتی	catch
کشتی	lutte
کشتی	canot
کشتی	bateau
کشتی	navire
کشتی	vaisseaux
بودند	étaient
الگو	schéma
الگو	motif
همه	tous
همه	tout
همه	toutes
همه	toute
کوچک	mineures
کوچک	petit
کوچک	petits
کوچک	mineur
کوچک	peu
کوچک	petites
کوچک	petite
کوچک	mineure
ژاپن	japon
رسمی	formels
رسمی	fonctionnaire
رسمی	officiel
رسمی	formelle
رسمی	formel
رسمی	officielle
رسمی	officiels
رسمی	officielles
سپتامبر	septembre
پرونده	cas
پرونده	fichier
پرونده	étui
پرونده	affaire
پرونده	dossier
ماه	lunaire
ماه	lune
ماه	mois
اوت	août
اوت	aout
هزار	milliers
هزار	millier
هزار	mille
تابستانی	eté
تابستانی	été
چون	parce
چون	parceque
چون	quand
چون	lorsque
چون	car
آوریل	avril
آوریل	avr
تغییر	changer
تغییر	changement
تغییر	changeant
تغییر	modifiez
تغییر	changements
تغییر	modifier
مجموعه	collecte
مجموعه	recouvrement
مجموعه	ramassage
مجموعه	recueil
شکل	formulaire
شکل	forme
شکل	façonnée
شکل	façonné
شکل	façonnés
شکل	chiffre
مارس	marche
مارس	mars
درخواست	demander
درخواست	demande
درخواست	requête
درخواست	demandez
کیلومتر	kilométrage
کیلومتر	kilomètre
کیلومتر	kilomètres
جمله	peine
جمله	phrase
گردشگری	tourisme
گردشگری	vacance
گردشگری	touriste
شهری	villes
شهری	urbain
شهری	municipaux
شهری	ville
شهری	municipale
شهری	urbains
شهری	urbaines
شهری	municipales
ممکن	possibles
لیگ	ligue
روسیه	russes
روسیه	russie
روسیه	russe
منابع	ressources
نخستین	premiers
نخستین	premier
نخستین	premières
نخستین	première
شاه	roi
جنوب	méridionale
جنوب	méridional
جنوب	sud
طور	mont
طور	monture
طور	monter
تشکیل	formée
تشکیل	formé
تشکیل	formées
تشکیل	formés
فوت	pieds
فوت	pied
اکتبر	octobre
ژوئن	juin
چه	quelle
چه	quel
چه	quoi
امکان	possibilité
امکان	possibles
نویسندگان	auteurs
سر	tête
سر	têtes
حزب	partie
حزب	fete
حزب	parti
حزب	soirée
حزب	fête
ما	notre
ما	nos
برندگان	gagnants
برندگان	vainqueurs
برندگان	lauréats
قابل	amovibles
قابل	amovible
بدون	sans
خانه	domicile
خانه	maison
خانه	accueil
دسامبر	decembre
دسامبر	décembre
موارد	cas
هند	inde
هند	indes
آزاد	gratuit
آزاد	gratuitement
آزاد	gratuits
آزاد	libre
چاپ	imprimer
چاپ	imprimé
چاپ	impression
چاپ	imprimerie
چاپ	imprimeries
علمی	scientifiques
علمی	scientifique
علمی	sciences
نوامبر	novembre
آسیا	asiatique
آسیا	asiatiques
شمال	nordique
شمال	septentrional
شمال	nord
شمال	septentrionale
پایان	finissant
پایان	fin
علوم	scientifique
علوم	sciences
جان	jean
کالیفرنیا	californie
کالیفرنیا	californienne
قرن	siecle
قرن	siècle
بازیگر	actrice
بازیگر	acteur
بازیگر	comédien
بازیگر	comédienne
صنایع	industrie
گونه	espèce
گونه	joue
گونه	espèces
گونه	fesse
گونه	joues
کانادا	canadien
کانادا	canadienne
کانادا	canadiens
اسپانیا	espagne
اسپانیا	espagnole
اسپانیا	espagnol
اسپانیا	espagnols
زمین	terre
رئیس	patron
رئیس	patronne
برزیل	brésil
برزیل	brésiliens
برزیل	brésiliennes
برزیل	brésilien
برزیل	brésilienne
سبک	légère
سبک	léger
سبک	lumière
سبک	lumiere
بالا	haut
جدید	nouvelles
جدید	nouveaux
جدید	nouvelle
جدید	nouveautés
جدید	nouveau
حضور	présence
حضور	participation
حضور	fréquentation
حضور	assiduité
وارد	pupille
عضو	membres
عضو	don
عضو	dons
عضو	membre
میراث	héritage
میراث	patrimoine
میراث	legs
زنان	féminin
زنان	femme
زنان	femmes
نظامی	militaire
نظامی	militaires
نظامی	armée
قمری	lunaire
آذربایجان	azerbaïdjan
جای	lieu
جای	endroit
چین	menton
چین	tchin
چین	chine
سیستم	système
ظاهر	apparitions
ظاهر	apparition
ظاهر	apparences
ظاهر	apparaître
ظاهر	aspect
ظاهر	apparence
ظاهر	apparaissent
ادامه	continuez
ادامه	continuer
ادامه	poursuivre
ادامه	continué
ادامه	continuons
درجه	degré
درجه	grade
درجه	classer
درجه	diplôme
درجه	diplômes
درجه	degrés
درجه	rang
انتخاب	choisissez
انتخاب	sélectionner
انتخاب	sélectionnez
انتخاب	choisir
انتخاب	sélection
انتخاب	choisis
انتخاب	choix
موجود	disponibles
موجود	existants
موجود	existantes
موجود	dispo
موجود	existant
موجود	disponible
دستی	manuel
دستی	manuels
دستی	manuelle
فقط	juste
فقط	simplement
اعلام	déclarés
اعلام	annoncer
اعلام	déclaré
اعلام	déclaration
اعلام	annoncent
اعلام	déclarée
اعلام	déclarées
اعضای	membres
اعضای	adhérents
مسابقات	tournoi
مسابقات	tournois
تلفن	téléphone
داستان	récit
داستان	histoires
سوم	tiers
سوم	troisieme
سوم	troisièmement
سوم	troisième
خط	ligne
قانون	règle
قانون	droit
قانون	loi
درگذشت	mort
درگذشت	décédé
درگذشت	morte
علت	raison
علت	raisons
مهم	importantes
مهم	importants
مهم	importante
منبع	ressource
منبع	sources
میلیون	millions
کمک	aide
کمک	aider
کمک	aidez
جهت	itinéraire
هوایی	aérienne
هوایی	aérien
هوایی	antenne
حتی	même
حتی	meme
نمایش	afficher
نمایش	spectacle
نمایش	montrer
نمایش	montre
آمریکای	amérique
آمریکای	amerique
ناحیه	zone
ناحیه	région
ناحیه	domaine
طراحی	dessin
طراحی	conception
طراحی	concevoir
آموزش	entraînement
آموزش	éducation
آموزش	formation
آموزش	enseignement
قلعه	chateau
قلعه	château
قلعه	forteresse
قلعه	bastion
قلعه	forteresses
ویرایش	éditer
ویرایش	modifier
ویرایش	édition
ویرایش	montage
حکومت	gouvernement
حکومت	gouvernements
نمایندگان	représentants
نمایندگان	députés
نمایندگان	adjoints
نمایندگان	délégués
بازدید	visitez
بازدید	revue
بازدید	visites
بازدید	visiter
بازدید	visités
بازدید	visite
بازدید	visité
بازدید	révision
بازدید	examen
بازدید	visitée
شیمیایی	chimiques
شیمیایی	chimie
شیمیایی	chimique
مساحت	zone
مساحت	région
مساحت	domaine
ادبیات	littérature
موضوع	objet
موضوع	thème
موضوع	sujet
شبکه	quadrillage
شبکه	réseautage
شبکه	reseau
شبکه	grille
شبکه	réseaux
شبکه	réseau
برنامه	horaire
برنامه	horaires
برنامه	application
برنامه	programme
برنامه	appli
برنامه	calendrier
کاربران	usagers
کاربران	utilisateurs
تولد	naissance
تولد	anniversaire
تولد	anniversaires
تبدیل	transformer
تبدیل	transforme
تبدیل	convertit
تبدیل	convertissent
تبدیل	reconversion
تبدیل	transformation
تبدیل	convertir
دریایی	marin
دریایی	marins
سن	senne
سن	ère
سن	âges
سن	sainte
سن	âge
عربی	arabes
عربی	arabe
روش	méthode
بازیکن	lecteur
بازیکن	joueur
بازیکن	joueurs
رفته	partis
رفته	parti
بودن	être
بودن	etre
نتیجه	résultat
نتیجه	aboutissement
نتیجه	résultats
انقلاب	révolution
عراق	irak
شروع	début
شروع	commencer
شروع	démarrage
شروع	démarrer
هنر	artistique
زمینه	fond
زمینه	contexte
قسمت	épisode
قسمت	partie
بررسی	chèque
بررسی	cocher
بررسی	vérifiez
بررسی	vérifier
مدیر	gestionnaire
مدیر	administrateur
مدیر	directeur
مدیر	commettant
مدیر	administratrice
مدیر	gérant
مدیر	directrice
مدیر	principale
باز	revenir
باز	débloqués
باز	ouvrir
باز	débloqué
باز	ouvert
باز	arrière
باز	ouverte
باز	retour
باز	dos
باز	ouvrez
باز	ouverture
ترکیه	turc
ترکیه	dinde
ترکیه	turque
ترکیه	turquie
ترکیه	turcs
ترکیه	turques
مدال	médaille
مدال	médailles
حقوق	droit
حقوق	salaire
حقوق	loi
حقوق	droits
عمومی	généralités
عمومی	génériques
عمومی	généraux
عمومی	générale
عمومی	publiques
عمومی	générique
عمومی	publique
عمومی	général
عمومی	publics
ترجمه	traductions
ترجمه	traduit
ترجمه	traduire
ترجمه	traduction
رنگ	coloris
رنگ	couleur
رنگ	couleurs
افزایش	augmenter
افزایش	accroître
افزایش	augmentation
افزایش	augmentées
افزایش	accroissement
افزایش	augmenté
افزایش	croissante
افزایش	augmentée
طبیعی	normale
طبیعی	naturels
طبیعی	normales
طبیعی	normaux
طبیعی	naturelle
طبیعی	naturel
طبیعی	naturelles
معروف	célèbres
معروف	célèbre
معروف	fameux
مدیریت	gestion
مدیریت	gérer
گل	but
گل	fleurs
گل	objectif
گل	fleur
انتشار	publiez
انتشار	publie
انتشار	édition
انتشار	émissions
انتشار	publier
انتشار	publication
ایشان	eux
ایشان	ils
ایشان	elles
نیاز	nécessaires
نیاز	obligatoire
نیاز	exigé
نیاز	besoins
نیاز	nécessité
نیاز	exigée
نیاز	requise
نیاز	besoin
نیاز	nécessaire
نیاز	requis
توضیح	commenter
توضیح	commente
توضیح	commentaire
ترکیب	mélange
ترکیب	mélanger
ترکیب	composé
ترکیب	combiner
ترکیب	combinaison
ترکیب	conjuguer
دریافت	recevant
دریافت	reçois
دریافت	reçoivent
دریافت	réception
دریافت	recevoir
دریافت	recevez
رشته	ficelle
رشته	fil
رشته	cordes
رشته	chaîne
رشته	filetage
کننده	interprète
موافق	accepté
موافق	acceptez
موافق	convenu
موافق	convenir
هنری	henri
مواد	matériel
مواد	drogues
مواد	matériaux
مواد	matériau
مواد	matières
مواد	materiaux
مواد	drogue
کارگردانی	dirigé
کارگردانی	orienté
کارگردانی	réalisé
کارگردانی	diriger
استرالیا	australiens
استرالیا	australien
استرالیا	australie
استرالیا	australienne
اجتماعی	sociale
اجتماعی	sociaux
جریان	flux
جریان	débit
جریان	écoulement
جریان	ruisseau
جریان	courant
جریان	actuels
جریان	actuelle
جریان	actuel
نویسنده	scénariste
نویسنده	auteur
نویسنده	écrivain
نویسنده	auteure
نویسنده	rédacteur
ژانویه	janvier
کنار	côté
کنار	latéraux
کنار	latéral
کنار	latérale
انرژی	énergies
انرژی	energie
انرژی	énergie
انتخابات	électorale
انتخابات	élections
انتخابات	élection
حسن	hassan
ملیت	nationalités
ملیت	nationalité
مه	brume
مه	brumes
مه	peut
مه	mai
مه	brouillard
ثانیه	deuxieme
ثانیه	secondes
ثانیه	seconde
ثانیه	deuxième
کل	entiers
کل	entier
کل	totaux
کل	totale
اصفهان	ispahan
دکتر	docteur
دکتر	médecin
انجمن	communaute
انجمن	fraternité
انجمن	conseil
انجمن	société
انجمن	confrérie
انجمن	communautaire
انجمن	collectivité
انجمن	communauté
غرب	occident
غرب	occidentale
غرب	ouest
توسعه	développer
توسعه	developpement
توسعه	développement
فصل	saison
فصل	chapitre
فصل	saisons
معمولاً	normalement
رسید	réception
رسید	atteint
رسید	atteints
رسید	récépissé
رسید	arrivés
رسید	arrivé
رسید	reçu
ژوئیه	juillet
شوروی	soviétiques
شوروی	soviétique
ورزش	gymnase
ورزش	exercice
ورزش	sport
ورزش	sportif
ورزش	sportive
ورزش	exercices
معماری	architecturaux
باند	cautionnement
باند	caution
آنجا	là
پرندگان	oiseaux
آخرین	derniers
آخرین	définitif
آخرین	dernière
آخرین	finale
آخرین	définitive
آخرین	dernier
آخرین	dernières
پزشکی	médicaux
پزشکی	médical
پزشکی	médecine
پزشکی	médicale
پزشکی	médicament
فرهنگی	culturelle
فرهنگی	culturels
فرهنگی	culturel
تلویزیون	téléviseur
تلویزیون	télévision
تلویزیون	télé
دنیا	mondial
دنیا	monde
دنیا	mondiale
خوانندگان	lecteur
خوانندگان	chanteurs
خوانندگان	chanteuses
خوانندگان	lecteurs
جغرافیای	géographie
حالت	humeur
حالت	état
حالت	etat
حالت	ambiance
کوه	monture
کوه	monter
کوه	montagne
کوه	mont
کوه	montagnes
مقالات	essais
مدیران	cadres
مدیران	dirigeants
مدیران	exécutifs
عمل	opération
عمل	acte
عمل	loi
عمل	fonctionnement
عمل	agir
کره	coréen
کره	coréenne
کره	corée
کره	beurre
کره	coréens
انتقال	transmissions
انتقال	transports
انتقال	transfert
انتقال	virement
انتقال	transférer
فوریه	urgents
فوریه	fév
فوریه	urgente
فوریه	fevrier
فوریه	urgentes
فوریه	février
ارائه	présentation
رود	tige
رود	canne
رود	fleuve
رود	rivière
رود	baguette
سیاست	politique
سیاست	politiques
سیاست	diplomatie
فرانسوی	française
فرانسوی	françaises
فرانسوی	français
فرانسوی	francais
وطن	domicile
وطن	maison
وطن	émigration
وطن	accueil
وطن	migrations
برتر	supérieurs
برتر	exalté
برتر	supérieur
برتر	superieure
برتر	superieur
برتر	supérieure
نزدیک	presque
نزدیک	quasiment
نزدیک	fermer
نزدیک	proche
نزدیک	pratiquement
نزدیک	proximité
نزدیک	quasi
نزدیک	près
دلار	dollars
داخلی	internes
داخلی	intérieur
داخلی	interieur
داخلی	intérieurs
داخلی	interne
کاهش	diminution
کاهش	réduire
کاهش	baisse
کاهش	réduction
کاهش	diminuer
ده	dix
ده	rte
ارتش	militaire
ارتش	militaires
ارتش	armée
مشخص	spécifiques
مشخص	spécifique
مشخص	soulignés
مشخص	souligner
مشخص	souligné
گفت	disait
گفت	dit
حاضر	présents
حاضر	présenter
حاضر	présente
حاضر	présent
حاضر	actuel
اسرائیل	israël
اسرائیل	israéliennes
اسرائیل	israélienne
اسرائیل	israéliens
اسرائیل	israélien
انسان	humains
انسان	humain
انسان	mec
انسان	homme
انسان	humaine
مسجد	mosquée
مثل	comme
مثل	genre
مثل	aiment
مثل	aime
مثل	aimez
شهرها	villes
شهرها	bourgs
سیاه	noire
سیاه	noires
سیاه	noirs
سیاه	noir
قدرت	solidité
قدرت	force
قدرت	puissance
قدرت	résistance
قدرت	pouvoir
بنا	structurées
بنا	structurés
بنا	structuré
بنا	structurée
نسخه	ordonnance
نسخه	ordonnances
کم	faible
کم	bas
کم	petit
کم	faibles
کم	peu
کم	basses
کم	basse
کم	petite
خانواده	familles
خانواده	familiale
خانواده	famille
میدان	carrées
میدان	carrés
میدان	carré
ویژه	spéciaux
ویژه	spéciale
ویژه	spéciales
ویژه	spécial
حوزه	champ
حوزه	domaine
حمله	attentat
حمله	agression
حمله	attaque
حمله	agressions
حمله	attaquer
حمله	assaut
حمله	attaquez
جزیره	île
وزارت	ministère
وزارت	département
ساختمان	immeuble
ساختمان	batiment
ساختمان	bâtiment
درام	tambour
درام	dramatique
درام	fût
درام	drame
درام	batterie
درصد	pourcentage
درصد	pourcentages
درصد	pourcent
مهندسی	génie
مهندسی	ingénierie
برنده	gagnants
برنده	gagner
برنده	gagnante
برنده	vainqueur
برنده	gagnez
برنده	lauréat
برنده	victoire
برنده	gagnant
علم	savoir
علم	sciences
علم	savoirs
علم	scientifique
علم	connaissances
علم	connaissance
وقتی	lorsque
وقتی	quand
آبی	bleue
آبی	bleues
آبی	bleu
آبی	bleus
اقتصاد	economique
اقتصاد	économie
اقتصاد	economie
ورزشی	athlétique
ورزشی	sport
ورزشی	sportif
ورزشی	athlétisme
ورزشی	sportive
جامعه	communaute
جامعه	société
جامعه	communauté
جامعه	communautaire
جامعه	collectivité
بازار	bazar
بازار	marché
معرفی	introduits
معرفی	introduit
معرفی	présentant
معرفی	introduire
معرفی	introduites
مصر	égyptien
مصر	égyptienne
مصر	égyptiens
مصر	egypte
مصر	égypte
متن	texte
متن	sources
متن	textes
متن	contexte
سرعت	rapidité
سرعت	vitesse
سرعت	vitesses
طرف	côté
طرف	latéraux
طرف	latéral
طرف	latérale
آمد	arrivé
آمد	vint
آمد	arrivés
مطرح	pose
دهد	bourses
دهد	subventions
سابق	ancienne
سابق	ancien
پسر	fils
پسر	fiston
پسر	garçon
دین	doyen
دین	religieux
دین	doyenne
کشت	cultivent
کشت	cultiver
سایت	site
آسمانی	célestes
آسمانی	céleste
خیلی	jolies
خیلی	trés
خیلی	jolie
خیلی	joli
خیلی	très
خیلی	tres
خورشیدی	solaire
خورشیدی	solaires
سفید	blanche
سفید	blancs
سفید	blanches
سفید	blanc
جشنواره	fête
بهتر	meilleures
بهتر	mieux
بهتر	meilleure
بهتر	meilleur
بهتر	meilleurs
فرد	individuel
فرد	étrange
فرد	individuels
فرد	bizarre
فرد	impair
فرد	individuelle
فرد	etrange
لندن	londres
رفت	partis
رفت	parti
بخشی	habilitation
بخشی	autonomisation
سری	série
سری	séries
باستان	ancienne
باستان	ancien
باستان	antiquité
باستان	anciens
اکنون	maintenant
اکنون	désormais
کلی	argile
کلی	argileux
هیئت	délégation
آلمانی	allemands
آلمانی	allemande
آلمانی	allemand
محلی	locaux
محلی	locale
محلی	régional
محلی	locales
محلی	localement
محلی	régionaux
محلی	régionales
معنی	signifiant
معنی	sens
معنی	signification
دادن	donnant
شرق	oriental
شرق	orientale
شرق	orient
شرق	est
دیده	vus
دیده	scie
دیده	vu
شیخ	cheik
شیخ	cheikh
برگزیده	choisie
برگزیده	sélectionnés
برگزیده	choisi
برگزیده	sélectionnées
برگزیده	sélectionné
برگزیده	sélectionnée
برگزیده	choisis
برگزیده	extrait
کنترل	contrôler
کنترل	contrôle
درست	vrais
درست	vrai
درست	vraie
درست	véritable
سنگ	pierre
سنگ	chantait
سنگ	pierres
سنگ	chanté
استاد	maître
استاد	maitre
امپراتوری	impérial
امپراتوری	impériale
امپراتوری	impérialiste
بیماری	maladie
بیماری	maladies
عمق	profondeurs
عمق	profondeur
کلاس	classe
آنان	eux
مدرسه	ecole
مدرسه	école
کسب	entreprises
کسب	gagner
کسب	affaires
کسب	entreprise
کسب	acquérir
کسب	gagnez
کسب	mériter
حرکت	bouger
حرکت	déménager
حرکت	déplacer
حرکت	déménagement
جغرافیایی	géographiques
جغرافیایی	géographique
مشخصات	caractéristiques
مشخصات	spécifications
مشخصات	descriptif
درگذشته	défunt
درگذشته	défunte
همکاری	coopération
همکاری	partenariat
همکاری	coopérations
همکاری	collaboratif
همکاری	partenariats
دبی	dubaï
کوتاه	courts
کوتاه	courte
کوتاه	court
کوتاه	courtes
روابط	relations
اجرا	exécute
اجرا	courir
اجرا	rendement
اجرا	exécuter
اجرا	exécution
اجرا	performances
وزیر	ministre
خواننده	lecteur
خواننده	chanteuse
خواننده	chanteur
پیشنهاد	proposé
پیشنهاد	suggérez
پیشنهاد	proposer
پیشنهاد	suggérées
پیشنهاد	suggère
پیشنهاد	offrir
پیشنهاد	offrande
پیشنهاد	offre
پیشنهاد	suggérer
پیشنهاد	offrant
پیشنهاد	suggéré
پیشنهاد	suggérés
پیشنهاد	suggérée
اتحادیه	syndicat
خوب	bien
خوب	bons
