और	et
विभिन्न	divers
इतिहास	histoire
इतिहास	historique
लिया	prise
लिया	pris
लिया	prises
फ़िल्म	film
क्योंकि	parceque
क्योंकि	parce
क्योंकि	car
पास	passent
पास	passer
पास	passe
विस्तृत	avancées
विस्तृत	détaillée
विस्तृत	élaboré
विस्तृत	détaillées
विस्तृत	élaborer
विस्तृत	exhaustif
विस्तृत	avancé
विस्तृत	avancée
विस्तृत	perfectionné
विस्तृत	détaillé
विस्तृत	avancés
विस्तृत	exhaustifs
दिन	journée
दिन	diurne
दिन	jour
दिन	jours
दिन	journee
दिन	journées
कृषि	labour
जाना	viabilité
शुरू	commencez
शुरू	commencé
शुरू	commencée
शुरू	démarré
शुरू	commencer
व्यक्ति	individuel
व्यक्ति	individuels
व्यक्ति	personne
व्यक्ति	individualisme
व्यक्ति	individuelle
उनका	leurs
उनका	leur
विज्ञान	scientifique
विज्ञान	sciences
सदस्य	souscripteurs
सदस्य	abonnés
सदस्य	adhérents
सदस्य	membre
सदस्य	membres
सदस्य	abonné
हालांकि	quoique
सिंह	léo
सिंह	léon
अनेक	nombreuses
अनेक	multiples
अनेक	nombreux
अनेक	plusieurs
अनेक	beaucoup
यहां	voilà
यहां	ici
यहां	voici
संख्या	numéros
संख्या	nombre
संख्या	nombres
संख्या	numéro
संख्या	chiffres
अपना	propre
अपना	propres
अपना	posséder
अपना	votre
अपना	vos
बात	parlez
बात	truc
बात	parle
बात	chose
बात	parler
साहित्य	littérature
शिक्षा	éducation
शिक्षा	enseignement
धर्म	religieux
धर्म	cultes
मूल	origines
मूल	élémentaire
मूल	originale
मूल	natif
मूल	indigène
मूल	indigènes
मूल	basique
मूल	autochtone
मूल	originaux
मूल	origine
मूल	basiques
तब	puis
तब	alors
तब	ensuite
बना	faites
बना	fabriqué
बना	faite
बना	faire
बना	fait
बना	fabriqués
संयुक्त	unis
संयुक्त	concomitante
संयुक्त	simultané
संयुक्त	simultanées
संयुक्त	simultanée
संयुक्त	unies
संयुक्त	combiné
संयुक्त	combinée
संयुक्त	combinées
संयुक्त	concurrentes
संयुक्त	unie
संयुक्त	combinés
जुलाई	juillet
युद्ध	bataille
युद्ध	guerre
युद्ध	combat
नदी	rivière
नदी	fleuve
काल	appel
काल	appelez
काल	période
काल	appelle
काल	tendue
काल	tendu
काल	appeler
काल	tendus
ऐसे	tel
ऐसे	telles
ऐसे	tels
ऐसे	telle
वर्षों	années
वर्षों	ans
स्टेशन	gare
स्टेशन	gares
बड़े	grosse
बड़े	grandes
बड़े	grande
बड़े	grands
बड़े	grand
बड़े	gros
जनवरी	janvier
मध्य	médiane
मध्य	milieu
मध्य	centrale
मध्य	centrer
मध्य	centre
मध्य	médian
राजा	roi
प्रथम	premiers
प्रथम	premier
प्रथम	premières
प्रथम	première
विश्वविद्यालय	universitaire
विश्वविद्यालय	université
विश्वविद्यालय	universités
जून	juin
उसकी	son
उसकी	ses
उसकी	sa
जिसके	soulage
मार्च	marche
मार्च	mars
बन	chignon
बन	brioche
बनी	lapin
अर्थ	signifiant
अर्थ	sens
अर्थ	signification
अप्रैल	avril
अप्रैल	avr
महत्वपूर्ण	importants
महत्वपूर्ण	importante
महत्वपूर्ण	critique
महत्वपूर्ण	critiques
महत्वपूर्ण	importantes
प्रामाणिक	authentiques
प्रामाणिक	authentique
आप	toi
आप	tu
आप	vous
अक्टूबर	octobre
समूह	groupe
समूह	groupes
समूह	congrégation
वर्तमान	présents
वर्तमान	présenter
वर्तमान	courant
वर्तमान	présente
वर्तमान	actuels
वर्तमान	actuelle
वर्तमान	présent
वर्तमान	actuel
अध्ययन	étudier
अध्ययन	étude
अध्ययन	etude
अध्ययन	études
अध्ययन	etudes
विभाग	circonscription
विभाग	départements
विभाग	département
आम	commune
आम	fréquent
आम	commun
आम	fréquents
आम	mangue
आम	mangues
स्थिति	état
स्थिति	etat
स्थिति	statut
प्रभाव	effets
प्रभाव	incidence
प्रभाव	effet
आदर्श	idéal
आदर्श	idéalisme
आदर्श	idéale
आदर्श	idole
साल	années
साल	année
साल	an
साल	annee
साल	ans
पहली	premiers
पहली	premier
पहली	premières
पहली	première
संगीत	musique
संगीत	musiques
अमेरिकी	américain
अमेरिकी	américaines
अमेरिकी	américaine
अमेरिकी	américains
बनाने	créer
आज	aujourdhui
आज	hui
स्थापित	fondé
स्थापित	établi
स्थापित	établie
स्थापित	établis
स्थापित	établir
स्थापित	fondée
स्थापित	installée
स्थापित	installé
स्थापित	installés
स्थापित	installées
स्थापित	établies
उच्च	hautes
उच्च	haut
उच्च	élevée
उच्च	élevé
उच्च	haute
उच्च	sublimes
चाहिए	devrais
चाहिए	devrait
चाहिए	devraient
उपलब्ध	disponible
उपलब्ध	disponibles
उपलब्ध	dispo
काफी	suffisamment
काफी	assez
बड़ी	grosse
बड़ी	grandes
बड़ी	grande
बड़ी	grands
बड़ी	grand
बड़ी	gros
चार	quatre
शक	doutez
शक	doutes
शक	doute
शक	douter
उदाहरण	exemples
उदाहरण	exemple
उसका	son
उसका	ses
उसका	sa
ले	prendre
ले	prend
ले	prenez
ले	prends
जिससे	lequel
जिससे	laquelle
जिससे	lesquels
स्थापना	montage
स्थापना	établissement
स्थापना	installent
स्थापना	installe
स्थापना	etablissement
स्थापना	installer
कंपनी	compagnie
कंपनी	société
कंपनी	entreprise
अधिकांश	principalement
अधिकांश	essentiellement
अधिकांश	surtout
सामाजिक	sociale
सामाजिक	sociaux
प्रत्येक	chacun
प्रत्येक	chaque
प्रत्येक	chacune
बड़ा	grosse
बड़ा	super
बड़ा	grandes
बड़ा	grande
बड़ा	génial
बड़ा	grands
बड़ा	grand
बड़ा	gros
स्तर	niveaux
स्तर	niveau
बनाया	crées
बनाया	fabriqué
बनाया	faite
बनाया	créés
बनाया	créé
बनाया	créée
बनाया	fait
बनाया	fabriqués
बनाया	crée
जारी	émis
जारी	délivré
जारी	continué
जारी	émises
जारी	émise
जारी	délivrés
चित्र	photos
चित्र	photo
चित्र	image
चित्र	images
इससे	du
इससे	de
इससे	invente
इससे	depuis
प्रणाली	système
सरकारी	fonctionnaire
सरकारी	gouvernement
सरकारी	gouvernements
सरकारी	officiel
सरकारी	officielle
सरकारी	officiels
सरकारी	officielles
जहां	où
जहां	oú
देशों	pays
जल	eaux
जल	eau
सूची	listes
सूची	liste
रखा	gardé
विचार	idées
विचार	réfléchi
विचार	pensais
विचार	considération
विचार	idée
विचार	pensée
विचार	pensées
विचार	pensé
विचार	réflexions
छोटे	petit
छोटे	petits
छोटे	peu
छोटे	petites
छोटे	petite
ऊपर	haut
आधारित	basée
आधारित	basés
आधारित	basé
पानी	eaux
पानी	eau
सामान्य	généralités
सामान्य	commune
सामान्य	fréquent
सामान्य	commun
सामान्य	normale
सामान्य	généraux
सामान्य	générale
सामान्य	fréquents
सामान्य	normales
सामान्य	normaux
सामान्य	général
आगे	transmet
कुल	totale
कुल	agrégats
कुल	totaux
कुल	agrégat
एक्स्प्रेस	expresse
एक्स्प्रेस	exprès
एक्स्प्रेस	exprimer
पुलिस	policier
पुलिस	policière
पुलिस	policiers
वर्ग	catégories
वर्ग	carrées
वर्ग	classe
वर्ग	carré
वर्ग	carrés
वर्ग	catégorie
शरीर	organisme
शरीर	corps
शरीर	carrosserie
शरीर	organe
अंग्रेजी	anglais
अंग्रेजी	francais
अंग्रेजी	anglaise
माध्यम	moyen
माध्यम	moyennes
माध्यम	milieu
माध्यम	médium
माध्यम	moyenne
मानव	humain
मानव	humaine
मानव	humains
भूमिका	rôle
हर	chaque
अतिरिक्त	supplémentaire
अतिरिक्त	figurants
अतिरिक्त	suppléments
अतिरिक्त	supplémentaires
अतिरिक्त	additionnel
अतिरिक्त	épargner
अतिरिक्त	rechange
पिता	pére
पिता	pere
पिता	père
समाज	société
उत्पन्न	générés
उत्पन्न	généré
उत्पन्न	générée
उत्पन्न	générées
नीचे	descendre
नीचे	fond
नीचे	dessous
दुनिया	mondial
दुनिया	monde
दुनिया	mondiale
आधुनिक	moderne
आधुनिक	modernité
आधुनिक	modernes
ध्यान	méditer
ध्यान	méditation
दे	donnez
दे	donner
दे	donne
सभा	assemblée
सभा	rassemblement
सभा	cueillette
सभा	assemblage
सभा	congrégation
परिवार	familles
परिवार	familiale
परिवार	famille
विषय	thèmes
विषय	sujet
विषय	objet
विषय	thème
विषय	sujets
अधिकार	droits
रंग	colorants
रंग	teintes
रंग	coloris
रंग	couleur
रंग	couleurs
बाहर	sortir
बाहर	dehors
बाहर	exterieur
बाहर	extérieur
बाहर	extérieurs
बाहर	abandonner
बाहर	arrêter
बाहर	extérieure
बाहर	sortie
बाहर	quitter
खेल	match
खेल	jouer
खेल	jeu
खेल	sport
खेल	sportif
खेल	sportive
खेल	gibier
खेल	jeux
खेल	jouez
क्षेत्रों	domaines
क्षेत्रों	zones
जहाँ	où
जहाँ	oú
समान	même
समान	similaires
समान	similaire
समान	mêmes
समान	analogue
समान	identique
समान	meme
समान	homogènes
समान	semblable
समान	homogène
समान	semblables
समान	pareil
सितंबर	septembre
दूर	distants
दूर	loin
दूर	lointain
दूर	lointaine
दूर	distante
पता	adresses
पता	allocution
पता	allocutions
पता	adresse
शक्ति	solidité
शक्ति	force
शक्ति	puissance
शक्ति	résistance
शक्ति	pouvoir
ब्रिटिश	britannique
ब्रिटिश	britanniques
कला	artistique
देते	mentalités
घर	domicile
घर	maison
घर	accueil
प्रकाशित	publiez
प्रकाशित	publiées
प्रकाशित	publie
प्रकाशित	publiée
प्रकाशित	publiés
प्रकाशित	publié
प्रकाशित	publier
मई	peut
मई	mai
प्रक्रिया	procédés
प्रक्रिया	processus
प्रक्रिया	procédé
प्रक्रिया	procédure
सेना	armées
सेना	armée
पार्टी	partie
पार्टी	fete
पार्टी	parti
पार्टी	soirée
पार्टी	fête
रेलवे	ferroviaire
पश्चिम	occident
पश्चिम	occidentale
पश्चिम	ouest
अंत	fin
दशक	décennie
पूरी	entiers
पूरी	entier
बिना	sans
क्या	quelle
क्या	quel
क्या	quoi
अगस्त	août
अगस्त	aout
विकसित	développé
विकसित	développée
विकसित	développées
विकसित	développés
विकसित	évolué
संबंध	cautionnement
संबंध	relation
संबंध	collage
संबंध	relations
प्रदर्शन	afficher
प्रदर्शन	affiche
प्रदर्शन	exposition
प्रदर्शन	spectacles
प्रदर्शन	rendement
प्रदर्शन	affichage
प्रदर्शन	performances
प्रदर्शन	représentations
ऐसी	tel
ऐसी	telles
ऐसी	tels
ऐसी	telle
मार्ग	parcours
मार्ग	trajet
मार्ग	manière
मार्ग	itinéraire
मार्ग	façon
पर्यटन	tourisme
ज्ञान	connaissances
ज्ञान	savoir
ज्ञान	connaissance
ज्ञान	savoirs
लगा	semblaient
लगा	feutre
लगा	senti
लगा	semblé
लगा	sentis
लगा	ressenti
लगा	semblait
लगा	sembla
दिसम्बर	decembre
दिसम्बर	décembre
दिसम्बर	déc
प्रदर्शित	afficher
प्रदर्शित	affichés
प्रदर्शित	vedette
प्रदर्शित	affiche
प्रदर्शित	recommandés
प्रदर्शित	vedettes
प्रदर्शित	affichée
प्रदर्शित	affiché
प्रदर्शित	affichage
प्रदर्शित	affichées
अक्सर	fréquent
अक्सर	souvent
अक्सर	fréquemment
सहायता	aider
सहायता	soutien
सहायता	assistance
सहायता	aides
सहायता	aidez
सहायता	aide
सहायता	appui
पहला	premiers
पहला	premier
पहला	premières
पहला	première
मृत्यु	mort
मृत्यु	mortalité
मृत्यु	décès
स्वयं	propre
स्वयं	propres
स्वयं	posséder
विकिपीडिया	wikipédia
तैयार	prête
तैयार	pret
तैयार	prêtes
तैयार	prêt
तैयार	prêts
आवश्यक	urgents
आवश्यक	urgente
आवश्यक	obligatoire
आवश्यक	urgentes
आवश्यक	exigé
आवश्यक	requise
आवश्यक	exigée
आवश्यक	nécessaire
आवश्यक	requis
देखा	vus
देखा	scie
देखा	surveillés
देखा	regardé
देखा	regardée
देखा	vu
देखा	regardées
रोग	maladie
रोग	maladies
संबंधित	connexe
संबंधित	lié
संबंधित	respectifs
संबंधित	liés
संबंधित	connexes
शताब्दी	siecle
शताब्दी	siècle
गये	allé
चीन	chine
अभी	maintenant
अभी	désormais
संघ	syndicats
संघ	syndicat
संघ	fédération
यात्रा	voyage
यात्रा	parcours
यात्रा	voyages
मात्रा	quantités
मात्रा	montant
मात्रा	quantité
रचना	création
जगह	endroit
जगह	interligne
जगह	espace
जगह	lieu
जगह	espacement
भिन्न	discret
भिन्न	discrètes
भिन्न	différents
भिन्न	discrète
भिन्न	différente
भिन्न	discrets
भिन्न	différentes
भिन्न	différent
लोक	publique
लोक	publiques
लोक	publics
सब	tous
सब	tout
सब	toutes
सब	toute
पूरा	achevés
पूरा	complets
पूरा	terminé
पूरा	entier
पूरा	complète
पूरा	entiers
पूरा	terminée
पूरा	complété
पूरा	complètes
पूरा	pleine
पूरा	complet
पूरा	achevé
पूरा	plein
पूरा	terminées
आवश्यकता	requiert
आवश्यकता	requièrent
आवश्यकता	exige
आवश्यकता	exiger
आवश्यकता	nécessite
आवश्यकता	exigent
आवश्यकता	exigence
प्रकाश	luminaires
प्रकाश	lumières
प्रकाश	lumière
प्रकाश	légère
प्रकाश	léger
प्रकाश	lumiere
नई	nouvelles
नई	nouveaux
नई	nouvelle
नई	nouveautés
नई	nouveau
चिकित्सा	médicaux
चिकित्सा	médical
चिकित्सा	thérapies
चिकित्सा	thérapeutiques
चिकित्सा	médicale
चिकित्सा	thérapie
दूसरी	deuxieme
दूसरी	seconde
दूसरी	deuxième
कार्यक्रम	événements
कार्यक्रम	programmes
कार्यक्रम	evenements
कार्यक्रम	evénements
कार्यक्रम	programme
कार्यक्रम	evénement
कार्यक्रम	évènement
कार्यक्रम	évènements
कार्यक्रम	événement
पुराने	âgées
पुराने	ancienne
पुराने	ancien
पुराने	vieille
पुराने	vieux
पुराने	anciens
पुराने	aîné
सदी	siecle
सदी	siècle
भगवान	dieu
भगवान	seigneur
लिखा	écrivit
लिखा	ecrit
लिखा	écrites
लिखा	écrit
लिखा	écrite
लिखा	écrits
संस्थान	institut
संस्थान	instituts
अंग्रेज़ी	anglais
अंग्रेज़ी	francais
अंग्रेज़ी	anglaise
पूर्ण	achevés
पूर्ण	parfaite
पूर्ण	complets
पूर्ण	terminé
पूर्ण	complète
पूर्ण	parfaites
पूर्ण	complété
पूर्ण	parfaits
पूर्ण	complètes
पूर्ण	pleine
पूर्ण	complet
पूर्ण	terminée
पूर्ण	achevé
पूर्ण	plein
पूर्ण	parfait
पूर्ण	terminées
परिवर्तन	changer
परिवर्तन	changement
परिवर्तन	reconversion
परिवर्तन	changements
परिवर्तन	modifier
परिवर्तन	modifications
टीम	equipe
टीम	équipes
टीम	équipe
टीम	equipes
चर्चा	débat
चर्चा	discussions
संगठन	organisations
संगठन	organismes
संगठन	organisation
तुलना	comparatif
तुलना	comparaisons
तुलना	comparaison
स्कूल	ecole
स्कूल	ecoles
स्कूल	école
स्कूल	écoles
पुस्तक	livre
पुस्तक	réserver
लेखक	scénariste
लेखक	auteur
लेखक	écrivains
लेखक	écrivain
लेखक	scénaristes
लेखक	auteure
लेखक	rédacteur
लेखक	auteurs
संस्करण	édition
संस्करण	éditions
खिलाड़ी	joueurs
खिलाड़ी	athlètes
खिलाड़ी	lecteur
खिलाड़ी	athlète
खिलाड़ी	joueur
आकार	grandeurs
आकार	formes
आकार	forme
आकार	tailles
आकार	pointure
आकार	taille
उत्तरी	nord
उत्तरी	septentrional
उत्तरी	nordique
उत्तरी	septentrionale
सीमा	portée
सीमा	limiter
सीमा	gamme
सीमा	limite
सीमा	bordure
सीमा	limites
सीमा	frontières
सीमा	frontière
सीमा	frontalier
पश्चिमी	occidental
पश्चिमी	occidentale
पश्चिमी	ouest
आर्थिक	economique
आर्थिक	économique
आर्थिक	economiques
राजधानी	majuscules
राजधानी	capitaux
राजधानी	capitale
राजधानी	capitales
राजधानी	majuscule
दर्शन	philosophique
दर्शन	philosophie
वहाँ	là
विधि	méthode
विधि	droit
विधि	méthodes
विधि	loi
अवधि	duree
अवधि	périodes
अवधि	durée
अवधि	période
दृष्टि	visuelles
दृष्टि	visuelle
दृष्टि	visuels
दृष्टि	visuel
सिद्धांत	dogme
सिद्धांत	théorie
सिद्धांत	théories
सिद्धांत	principes
कलाकार	artistes
कलाकार	artiste
बैंक	banque
बैंक	banques
ज्यादा	plus
ज्यादा	davantage
अंतिम	derniers
अंतिम	définitif
अंतिम	dernière
अंतिम	finale
अंतिम	définitive
अंतिम	dernier
अंतिम	dernières
विशिष्ट	distinguée
विशिष्ट	spécifiques
विशिष्ट	spécifique
विशिष्ट	distinguées
विशिष्ट	distingués
विशिष्ट	distingué
हिन्दू	hindou
हिन्दू	hindoue
हिन्दू	hindous
लाल	roux
लाल	rouges
लाल	rouge
रहने	rester
पूर्वी	oriental
पूर्वी	orientale
पूर्वी	orient
पूर्वी	est
समर्थन	assistance
समर्थन	appui
समर्थन	soutien
व्यापार	entreprises
व्यापार	affaires
व्यापार	entreprise
व्यापार	négoce
व्यापार	échanges
व्यापार	commerce
व्यापार	négociation
व्यापार	échange
प्रयास	tentatives
महिला	féminin
महिला	femmes
महिला	femelles
महिला	madame
महिला	femme
महिला	dame
महिला	femelle
परियोजना	projet
जीवित	vivant
जीवित	survivre
जीवित	vivantes
जीवित	survivent
जीवित	vivante
जीवित	vivants
नामांकन	appellation
नामांकन	dénomination
नामांकन	désignation
अभिनेता	comédien
अभिनेता	acteur
अभिनेता	comédiens
अभिनेता	acteurs
क्षमता	capacités
क्षमता	potentielle
क्षमता	capacité
क्षमता	potentiels
क्षमता	potentiel
क्षमता	potentialités
क्षमता	aptitude
पाया	trouvées
पाया	trouvé
पाया	trouvés
पाया	trouvée
पाया	retrouvé
स्पष्ट	évidente
स्पष्ट	évident
स्पष्ट	évidence
वो	elle
पृथ्वी	terre
गति	vitesse
गति	mouvements
गति	rapidité
गति	semis
गति	vitesses
गति	ensemencement
गति	mouvement
परिणाम	résultat
परिणाम	résultats
लेने	prendre
लेने	prenant
होगा	fera
होगा	sera
होगा	volonté
भर	remplies
भर	rempli
भर	remplie
भर	remplis
पुत्र	fils
पुत्र	fiston
सहित	incluant
सहित	comprenant
शासन	gouvernance
शासन	régner
शासन	régime
शासन	règne
शासन	règle
नियंत्रण	commandes
नियंत्रण	contrôler
नियंत्रण	contrôles
नियंत्रण	contrôle
प्रभावित	impressionner
प्रभावित	affectée
प्रभावित	impressionné
प्रभावित	affecté
प्रभावित	impressionnée
प्रभावित	touchée
प्रभावित	affectés
प्रभावित	touchés
प्रभावित	touché
प्रभावित	impressionne
प्रभावित	épater
प्रभावित	impressionnés
वर्णन	descriptif
क्रिकेट	criquets
क्रिकेट	criquet
योजना	planifier
आरम्भ	début
आरम्भ	commencement
एशिया	asiatique
एशिया	asie
सन	dim
सन	soleil
प्राकृतिक	naturelles
प्राकृतिक	naturels
प्राकृतिक	naturel
प्राकृतिक	naturelle
स्थानीय	locaux
स्थानीय	locales
स्थानीय	locale
कहानी	récit
वृद्धि	ascenseur
वृद्धि	augmenter
वृद्धि	croissance
वृद्धि	accroître
वृद्धि	augmentation
वृद्धि	soulever
वृद्धि	élévateur
वृद्धि	accroissement
सुरक्षा	sûreté
सुरक्षा	securite
सुरक्षा	sécurité
सुरक्षा	securité
लोकप्रिय	populaires
लोकप्रिय	populaire
कवि	poète
कवि	poètes
हिस्सा	partie
पद	grade
पद	classer
पद	terme
पद	rang
हाथ	main
हाथ	mains
जनता	publique
जनता	publiques
जनता	publics
विस्तार	prolongation
विस्तार	rallonges
विस्तार	étendre
विस्तार	extension
विस्तार	agrandir
विस्तार	développez
विस्तार	élargir
विस्तार	agrandissement
विस्तार	vulgarisation
विस्तार	prolongement
पूरे	entiers
पूरे	entier
युग	époque
द्वितीय	deuxieme
द्वितीय	seconde
द्वितीय	deuxième
चुनाव	élections
चुनाव	élection
चुनाव	choix
व्यक्तिगत	personnelles
व्यक्तिगत	individuel
व्यक्तिगत	individuels
व्यक्तिगत	personnelle
व्यक्तिगत	personnels
व्यक्तिगत	personnel
व्यक्तिगत	individualisme
व्यक्तिगत	individuelle
मेल	courrier
दूसरा	deuxieme
दूसरा	seconde
दूसरा	deuxième
आता	vient
प्रवेश	entrée
शुरुआत	début
शुरुआत	commencement
दूरी	distances
