con	함께
blanco	하얗게
blanco	하얀색
profesional	전문가
profesional	프로
profesional	전문
profesional	프로페셔널
episodio	에피소드
principios	원칙
principios	원리
imperio	제국
imperio	엠파이어
dicho	말했다
nunca	절대로
nunca	절대
investigación	수사
investigación	연구
investigación	문의
investigación	조사
prefijo	접두사
prefijo	접두어
problemas	고민
problemas	문제
modelo	모형
modelo	모델
favor	부탁합니다
actividad	활동
joven	영영
joven	젊은
formación	훈련
formación	형성
formación	트레이닝
lugares	장소
lugares	위치
lugares	음식점
incluyendo	포함
planta	식물학
planta	바닥
planta	공장
planta	식물
período	기간
período	주기
período	시대
montañas	산악
montañas	산맥
ronda	라운드
clase	수업
clase	계급
clase	클래스
clase	학급
especialmente	특별히
especialmente	특히
oficina	사무실
oficina	사무소
oficina	오피스
alcalde	시장
longitud	길이
longitud	경도
temas	쟁점
temas	문제
temas	주제
temas	테마
temas	이슈
políticos	정치학
políticos	정치인
políticos	정치가
políticos	정치
políticos	정치인들
deportivo	스포츠
deportivo	스포팅
arquitectura	아키텍처
arquitectura	건축학
arquitectura	건축
creación	생성
creación	창조
creación	만들기
barrio	근방
barrio	동네
argentino	아르헨티나인
argentino	아르헨티나
novela	소설
jorge	죠지
jorge	조지
razas	경주
razas	인종
razas	품종
academia	아카데미아
academia	아카데미
jefe	과장
jefe	보스
jefe	치프
jefe	사장님
defensa	방위
defensa	방어
defensa	국방
defensa	디펜스
características	기능
características	특징
características	특성
honor	명예
incluye	포함됨
incluye	포함
existen	존재
existen	존재함
amor	사랑
amor	러브
fuente	분수
fuente	글꼴
fuente	소스
fuente	원본
fuente	출처
martín	마틴
martín	마르틴
situación	상황
situación	상황이
situación	상태
existe	존재함
ellas	그들이
ellas	그들
ellas	그들은
derechos	저작권
derechos	저작권자
derechos	권리
ministro	장관
interés	이자
interés	흥미
interés	관심사
interés	관심
texto	문구
texto	문자
texto	텍스트
escritores	작가
actriz	여배우
actriz	배우
persona	사람
capacidad	능력
capacidad	용량
capacidad	능력자
artes	기어
artes	톱니바퀴
artes	예술
participó	참가
cantidad	수량
cantidad	금액
fuentes	글꼴
fuentes	소스
fuentes	출처
fuentes	분수
vista	조회
vista	보기
luz	라이트
luz	가벼움
luz	가볍게
luz	가벼운
baja	낮음
baja	낮은
paz	평화
paz	피스
tercer	세번째
tercer	셋째
vuelta	반환
vuelta	반납
vuelta	복귀
vuelta	리턴
vuelta	무릎
vuelta	귀환
noche	나이트
noche	저녁
noche	밤에
muestra	샘플링
muestra	샘플
muestra	표본
muestra	견본
rusia	러시아
rusia	러시아어
rusia	러시아인
personal	스탭
personal	직원들
personal	직원
aeropuerto	공항
aeropuerto	국제공항
apoyo	후원
apoyo	지원
apoyo	지지
semana	주일
semana	일주일
palacio	궁궐
palacio	궁전
propia	소유
pacífico	평화롭고
pacífico	태평양
pacífico	평화로운
pacífico	퍼시픽
escritor	작가
castilla	카스티야
profesor	선생님
profesor	교수
profesor	교사
profesor	스승
profesor	교수님
roma	로마
diseño	설계
diseño	디자인
casos	사례
casos	케이스
negro	블랙
negro	검은색
negro	흑인
negro	검정색
negro	검정
camino	경로
camino	로드
camino	웨이팅
camino	웨이
camino	도로
ayuda	도움
ayuda	도움말
ayuda	원조
nombres	이름
causa	원인
horario	영업시간
horario	시간
horario	예약
horario	일정
horario	시간표
horario	스케줄
ciencias	사이언스
ciencias	과학
últimos	마지막
últimos	최신
últimos	최근
últimos	라스트
tamaño	크기
tamaño	사이즈
principio	원칙
principio	원리
periodo	기간
periodo	주기
periodo	시대
nacimiento	탄생
nacimiento	출생
nacimiento	출산
nada	아무것도
etapa	스테이지
etapa	무대
actualidad	현재
actualidad	전류
pequeño	작아
pequeño	리틀
pequeño	소작
santo	거룩한
santo	거룩
santo	세인트
zonas	영역
referencias	참고
referencias	참조
única	독특한
única	고유
ediciones	편집
ediciones	에디션
ediciones	수정
dios	하느님
dios	하나님
presente	현재
presente	선물
guitarra	기타
pablo	파울로스
pablo	바울
pablo	파울
pablo	파울로
pablo	바니
elementos	원소
relaciones	연애
relaciones	관계
compuesto	합성
compuesto	컴포지트
compuesto	화합물
compuesto	복합
compuesto	복합체
horas	영업시간
horas	시간
partes	부품
partes	부분
lengua	언어
diversos	기타
militares	군사
torre	타워
dado	주어진
actividades	활동
nacionales	내셔널
nacionales	국립
nacionales	국민
nacionales	내셔널스
cantón	캔턴
cantón	광저우
sencillo	쉬운
sencillo	간단한
sencillo	간단하다
sencillo	단순한
sencillo	쉽게
sencillo	싱글
sencillo	아쉬운
sencillo	단순
sencillo	심플
sencillo	단일
sencillo	간단
sencillo	쉬워
participación	참여
participación	개입
participación	참가
fuerte	포트
fuerte	스트롱
fuerte	강한
fuerte	요새
italiano	이탈리아어
italiano	이탈리아
italiano	이탈리아인
primeras	우선
primeras	처음
primeras	퍼스트
primeras	먼저
jugadores	도박꾼
jugadores	플레이어스
jugadores	플레이어
jugadores	게이머
jugadores	선수
seguridad	안전성
seguridad	보안
seguridad	안보
seguridad	안전
administración	관리
administración	행정학
administración	경영
administración	관리자
administración	운영자
empresas	비즈니스
empresas	회사
mercado	마켓
mercado	시장
gonzález	곤잘레스
lucha	싸우다
lucha	레슬링
lucha	투쟁
lucha	파이팅
lucha	싸워라
lucha	싸움
lucha	싸우기
lucha	싸워
estructura	구조물
estructura	구조
jesús	예수
ocupación	점령
nacido	탄생
nacido	출생
enrique	헤리
enrique	헨리
enrique	해리
literatura	문학
católica	가톨릭
católica	가톨릭주의
armas	총기
armas	무기
energía	에너지
idioma	언어
cabeza	원수
cabeza	머리
cabeza	헤드
gobernador	주지사
córdoba	코르도바
diferencia	차이
diferencia	차이점
diferencia	분산
objetivo	대상
objetivo	목적
objetivo	타깃
objetivo	타겟
objetivo	목표
ruta	경로
ruta	노선
economía	경제학
economía	경제
histórico	역사
histórico	사적
india	인도
india	인도인
india	인디언
flores	꽃이
flores	플라워
visita	방문
visita	방문하기
conde	카운트
resultados	결과
niños	키즈
niños	아이들
niños	어린이들
niños	자녀
niños	어린이
niños	애들
niños	아동
pequeña	작아
pequeña	리틀
pequeña	소작
presenta	선물
campaña	전역
campaña	캠페인
fernández	톰프슨
fernández	톰슨
colegio	학원
colegio	학교는
colegio	스쿨
colegio	대학교
colegio	학교
colegio	대학생
colegio	대학
colegio	칼리지
occidental	서부
occidental	웨스턴
occidental	웨스트
occidental	서쪽
occidental	서양
aproximadamente	대략적인
aproximadamente	대충
aproximadamente	대략
tropas	군대
sección	섹션
presencia	존재
sentido	센스
sentido	감각
uruguay	우루과이
siete	일곱
siete	세븐
ets	성병
animales	애니멀
animales	동물학
animales	애완동물
animales	동물들
animales	동물
esposa	아내
esposa	와이프
esposa	마누라
catalina	카트린
catalina	캐서린
realizar	수행
realizar	성과
realizar	공연
medalla	메달
función	함수
usuarios	사용자
programas	프로그램
calidad	화질이
calidad	퀄리티
calidad	화질
calidad	품질
artistas	음악가
artistas	아티스트가
artistas	아티스트
artistas	공연자
artistas	예술가
artistas	연기자
nuestra	우리의
independencia	독립
independencia	독립기념일
independencia	독립운동
buena	좋다
sistemas	체계
sistemas	시스템
virgen	성모
virgen	버진
virgen	처녀
virgen	마돈나
transporte	교통수단
transporte	수송
transporte	운송
transporte	교통
pueblos	민족
pueblos	마을
rodríguez	로드리게즈
rodríguez	로드리게스
coordenadas	좌표
coordenadas	좌표계
valor	가치
valor	용기
internacionales	인터내셔널
internacionales	국제
unidad	유닛
unidad	단결
unidad	통일
unidad	단위
unidad	유니티
crear	만듭니다
crear	생성
crear	만들기
crear	만드세요
imágenes	픽처스
imágenes	이미지
imágenes	사진들
imágenes	사진
imágenes	그림
inicio	집으로
inicio	시작
inicio	고향
inicio	시작하기
inicio	가정
inicio	집에
salud	보건
salud	체력
salud	건강
salud	헬스
salud	힘내
contiene	포함됨
contiene	포함
contiene	포함함
minutos	민수
minutos	민지
minutos	민아
verano	여름
sol	선샤인
sol	햇살이
sol	햇살
sol	태양
sol	햇빛
sol	햇볕
teoría	이론
revolución	혁명
revolución	레볼루션
revolución	레벌루션
entrada	입력하기
entrada	항목
entrada	입력
entrada	입력기
entrada	입출력
entrada	입구
mejores	최고
mejores	베스트
mando	커맨드
mando	명령
mando	명령어
mando	지휘
mando	사령부
decidió	결심
ciencia	사이언스
ciencia	과학
dirigida	감독
aire	공기
aire	항공
aire	에어
importancia	중요성
ataque	공격
comunicación	통신
comunicación	의사소통
comunicación	커뮤니케이션스
comunicación	커뮤니케이션
comunicación	소통
puente	다리
puente	브리지
matrimonio	혼인
matrimonio	결혼
material	재료
humanos	인간들
humanos	인간인
humanos	인간
humanos	인체
mitad	절반
realidad	현실
realidad	리얼리티
gente	사람
gente	사람들
gente	명인
gente	국민
cámara	사진기
cámara	카메라
escudo	방패
pérez	페레즈
aguas	워터스
acceso	접근
acceso	액세스
acceso	접속
clasificación	정렬
clasificación	분류
clasificación	분류법
clasificación	평점
clasificación	순위
clasificación	평가하기
clasificación	별점
clasificación	분류학
clasificación	평가
clasificación	랭킹
mano	핸드
sigue	팔로우
sociales	사회적
sociales	사회
sociales	사회주의
problema	문제
trabajos	퇴근
trabajos	웍스
trabajos	잡스
trabajos	작업
trabajos	일자리
trabajos	작동
trabajos	작품
trabajos	직업
trabajos	직장
elegido	선출
elegido	선정
independiente	독립
independiente	독립적
independiente	프리랜서
comercial	상업
comercial	상용
comercial	상업용
diario	학술
diario	일기장
diario	저널
diario	학술지
diario	일간
diario	일기
diario	일상
diario	데일리
diario	일일
diario	다이어리
palabra	워드
palabra	단어
carácter	캐릭터
carácter	문자
carácter	성격
carácter	인물
falta	누락
falta	부족
falta	실종
reina	여왕
corte	재판소
corte	법원
corte	법정
corte	잘라
domingo	일요일
libertad	리버티
libertad	자유
libertad	프리덤
vía	추적
vía	트랙
vía	비아
unidades	단위
unidades	유닛
unidades	단위계
capitán	캡틴
capitán	선장
capitán	대위
políticas	정치
políticas	정치학
políticas	방침
políticas	정책
comisión	위원회
lima	라임
alberto	스티븐스
alberto	알베르트
alberto	스티븐
alberto	앨버트
comienza	시작
velocidad	속력
velocidad	스피드
velocidad	속도
felipe	필립
felipe	펠리페
objetos	물체
objetos	천체
objetos	객체
objetos	개체
creado	만들었습니다
creado	생성
oriental	동방
oriental	동부
hermanos	남매
hermanos	브라더스
hermanos	형제단
hermanos	형제들
hermanos	형제
hermanos	형제자매
edificios	건물
edificios	빌딩
edificios	건축물
edificios	건물들
tierras	육지
tierras	랜드
cosas	물건
cosas	것들
cosas	사물
británico	영국인
británico	영국
británico	브리티시
áfrica	아프리카
izquierda	왼쪽
izquierda	좌파
cambios	바뀌기
cambios	바꾸기
cambios	변경
cambios	변화
martínez	마르티네스
martínez	마르티네즈
canadá	캐나다
lanzado	개봉
lanzado	시작됨
lanzado	발매
bandera	배너
bandera	깃발
bandera	현수
bandera	국기
bandera	플래그
videojuegos	게이밍
videojuegos	게임
rica	부자
verde	초록
verde	녹색
verde	초록색
verde	그린
templo	신전
templo	템플
templo	사원
raza	인종
raza	경쟁
raza	경주
raza	품종
raza	레이스
avenida	애비뉴
posterior	후속
biblioteca	라이브러리
biblioteca	도서관
publicó	게시
rojo	붉은색
rojo	붉은
rojo	레드
rojo	빨간색
rojo	빨강
títulos	제목
títulos	타이틀
títulos	도도
títulos	증권
utiliza	사용
dijo	말했다
reporte	신고
reporte	보고
reporte	보고서
blancos	하얀
blancos	화이트
blancos	흰색
blancos	타겟
blancos	하얗게
blancos	하얀색
ángel	천사
ángel	엔젤
ecuador	적도
señor	미스터
señor	주님
señor	선생님
productos	상품
productos	제품
salvador	구원자
carretera	로드
carretera	고속도로
carretera	도로
carretera	하이웨이
escrito	서면
industria	업종
industria	업계
industria	산업
entrenador	트레이너
entrenador	코치
palabras	단어
padres	부모
padres	부모님
sánchez	산체스
policía	경찰관
policía	캅카스
policía	경찰
líder	리더
líder	지도자
fondo	배경색
fondo	배경
fondo	기금
fondo	펀드
productor	프로듀서
productor	제작자
gira	여행
gira	투어
gira	둘러보기
gira	구경
gira	관광
técnica	기술자
técnica	기술적
técnica	테크니컬
técnica	기술
técnica	기법
ninguna	없음
príncipe	프린스
príncipe	왕자
áreas	영역
encontrar	찾기
artista	연예인
artista	음악가
artista	아티스트가
artista	엔터테이너
artista	연주자
artista	아티스트
artista	공연자
artista	연기자
artista	예술가
formas	방법
formas	양식
formas	모양
rafael	라파엘
atlético	애슬레틱
