در	門
موسیقی	音樂
گروه	群
گروه	樂團
گروه	群組
گروه	樂隊
جایزه	獎賞
جایزه	授予
جایزه	獎勵
جایزه	獎
جایزه	紅利
جایزه	獎品
جایزه	獎金
بیشتر	大多
بیشتر	更
بیشتر	多
بیشتر	大部分
بیشتر	最多
بیشتر	更多
بیشتر	多數
بیشتر	大多數
جنوبی	南部
جنوبی	南方
جنوبی	南
روز	日間
روز	日
روز	一天
روز	白天
جمهوری	共和國
جمهوری	共和
مرگ	死亡
مرگ	死神
ولی	但
ولی	但是
ولی	不過
آمریکایی	美式
نقش	作用
نقش	角色
منطقه	地區
منطقه	面積
منطقه	區域
منطقه	區
بسیار	許多
بسیار	非常
اسلامی	伊斯蘭
بزرگ	大型
بزرگ	大
اروپا	歐洲
روستایی	農民
روستایی	農村
روستایی	村民
آمار	統計數字
فعالیت	活動
فعالیت	動態
اشاره	提示
زاده	出生
زاده	生於
زاده	誕生
زاده	天生
محمد	穆罕默德
بریتانیا	不列顛
مانند	讚
مانند	就像
مانند	像
مانند	喜歡
شمالی	北方
شمالی	北
شمالی	北部
آب	水
آب	飲水
خورشیدگرفتگی	日蝕
ایرانی	伊朗
ایرانی	波斯
اطلاعات	資訊
ایجاد	創作
ایجاد	構造
ایجاد	建立
ایجاد	創造
ایجاد	創建
ایجاد	建構
مالک	馬力
مالک	所有者
مالک	業主
نوع	類型
نوع	型態
مردم	人民
مردم	人
مردم	人們
دلیل	理性
دلیل	原因
دلیل	理由
روستای	村落
روستای	鄉村
روستای	村
روستای	村子
روستای	村莊
دور	遠
مربوط	相關
بار	負荷
بار	負載
بار	裝載
بار	酒吧
دریا	海
دریا	大海
دریا	海上
شما	你
شما	你的
برابر	平等
برابر	等於
تولید	產量
تولید	生產
تولید	製造
تولید	製作
تولید	生成
تولید	製造業
تپه	希爾
تپه	山
تنها	孤獨
تنها	寂寞
تنها	只
تنها	孤單
تنها	只有
علی	阿里
شرقی	東方
شرقی	東部
شرقی	東
شرقی	東區
برخی	有些
برخی	一些
میان	勉
جهان	世界
جام	杯子
جام	杯
جام	盃
ارتفاع	身高
ارتفاع	高度
ارتفاع	海拔
کد	編碼
کد	碼
کد	密碼
کشف	發現
کشف	探索
نشان	徽章
نشان	警徽
حذف	移除
حذف	刪除
حذف	刪去
تلویزیونی	電視台
تلویزیونی	電視
تلویزیونی	電視機
غربی	西邊
غربی	西
غربی	西部
غربی	西方
شامل	包括
بهترین	最好
دولت	政府
دولت	州
دولت	國家
همراه	伴隨
چپ	左
چپ	左翼
چپ	左邊
چپ	左側
ایتالیا	義大利
ایتالیا	義大利文
مجلس	國會
مجلس	議會
راه	路徑
کشتی	船舶
کشتی	摔跤
کشتی	艇
کشتی	摔角
کشتی	船隻
کشتی	艦
کشتی	船
الگو	圖案
الگو	格局
الگو	模式
توجه	注意
توجه	注意力
بن	奔
بن	本
همه	大家
همه	所有
همه	全部
همه	每個人
کوچک	小
کوچک	未成年
کوچک	小型
ژاپن	日本
رسمی	正規
رسمی	正式
اسلام	伊斯蘭教
اسلام	伊斯蘭
سپتامبر	九月
سپتامبر	九月份
پرونده	個案
پرونده	案件
پرونده	案例
پرونده	檔案
پرونده	文件
ماه	月份
ماه	月亮
ماه	月
ماه	月球
ماه	個月
اوت	八月份
اوت	八月
هزار	千
تابستانی	夏日
تابستانی	夏天
تابستانی	暑假
تابستانی	夏季
چون	因為
چون	當
آوریل	四月份
آوریل	四月
تغییر	修改
تغییر	變更
تغییر	改變
تغییر	更改
تغییر	變
مجموعه	收集
مجموعه	收藏
سیاسی	政治
شکل	表格
شکل	形式
شکل	圖
شکل	形狀
مارس	火星
مارس	三月
درخواست	請求
درخواست	要求
کیلومتر	公里
جمله	判刑
جمله	句子
جمله	刑期
گردشگری	觀光
گردشگری	旅遊
گردشگری	遊客
شهری	市政
شهری	城市
شهری	城
شهری	市
ممکن	可能
لیگ	聯盟
لیگ	聯賽
لیگ	同盟
روسیه	俄國
روسیه	俄語
روسیه	俄
روسیه	俄文
روسیه	俄羅斯
منابع	來源
منابع	資源
نخستین	第一
نخستین	首先
شاه	國王
شاه	王
شاه	沙
جنوب	南部
جنوب	南方
جنوب	南
طور	山
تشکیل	形成
تشکیل	編隊
فوت	腳
فوت	英尺
اکتبر	十月
اکتبر	十月份
ژوئن	六月份
ژوئن	六月
امکان	可能
امکان	可能性
نویسندگان	作者
سر	特區
سر	頭部
سر	頭
حزب	宴會
حزب	派對
حزب	黨
حزب	政黨
حزب	聚會
فرهنگ	文化
خانه	家
خانه	房子
خانه	房屋
خانه	屋
خانه	住家
خانه	首頁
دسامبر	十二月
موارد	案例
موارد	項目
هند	印度
آلبوم	專輯
آلبوم	相簿
آزاد	自由
آزاد	免費
چاپ	印刷
چاپ	列印
علمی	科學
نوامبر	十一月
آسیا	亞洲
شمال	北方
شمال	北
شمال	北部
پایان	結束
پایان	結局
پایان	終結
پایان	結尾
علوم	科學
کالیفرنیا	加利福尼亞
کالیفرنیا	加州
قرن	世紀
بازیگر	男主角
بازیگر	演員
بازیگر	女演員
بازیگر	女主角
صنایع	工業
صنایع	行業
صنایع	業界
صنایع	產業
گونه	臉頰
گونه	魚種
گونه	物種
کانادا	加拿大
اسپانیا	西班牙
اسپانیا	西班牙語
اسپانیا	西班牙文
زمین	大地
زمین	地球
رئیس	老大
رئیس	老闆
برزیل	巴西
سبک	樣式
سبک	燈光
سبک	風格
سبک	光明
سبک	光
سبک	輕
سبک	光線
بالا	熱門
بالا	最高
بالا	頂
بالا	頂端
جدید	新
جدید	新的
تصویر	圖片
تصویر	影像
تصویر	影象
حضور	存在
وارد	病房
عضو	捐款
عضو	捐獻
عضو	會員
عضو	成員
عضو	捐贈
عضو	捐
میراث	遺贈
میراث	傳承
میراث	遺產
میراث	遺留
زنان	婦女
زنان	女性
نظامی	軍方
نظامی	軍事
قمری	月球
جای	地方
جای	地點
هیچ	任何
چین	中國
چین	下巴
سیستم	系統
ظاهر	外觀
ظاهر	外貌
ظاهر	表象
ظاهر	外表
درجه	程度
درجه	度
درجه	學位
درجه	年級
درجه	排名
درجه	等級
انتخاب	選擇
انتخاب	選取
موجود	可用
موجود	現存
موجود	現有
دستی	手冊
دستی	手持
دستی	手動
فقط	只要
فقط	只是
اعلام	宣言
نسبت	比值
نسبت	比例
نسبت	比率
نسبت	比
اعضای	成員
مسابقات	錦標賽
تلفن	手機
تلفن	電話
داستان	故事
داستان	動態
سوم	第三
خط	線路
خط	線
قانون	法律
قانون	細則
علت	理性
علت	原因
علت	理由
مهم	重要
منبع	來源
منبع	源
منبع	資源
میلیون	百萬
کمک	幫助
کمک	幫忙
جهت	方向
جهت	定向
هوایی	空氣
هوایی	空中
هوایی	航空
حتی	甚至
نمایش	展示
نمایش	顯示
آمریکای	美洲
آمریکای	美國
ناحیه	地區
ناحیه	面積
ناحیه	區域
ناحیه	區
طراحی	設計
آموزش	學歷
آموزش	教
آموزش	教學
آموزش	教書
آموزش	教育
آموزش	訓練
آموزش	培訓
قلعه	據點
قلعه	堡壘
قلعه	城堡
قلعه	要塞
قلعه	城
ویرایش	編輯
ویرایش	剪輯
حکومت	政府
نمایندگان	代表
بازدید	來訪
بازدید	審查
بازدید	造訪
بازدید	訪問
بازدید	參觀
بازدید	拜訪
شیمیایی	化學品
شیمیایی	化學
مساحت	地區
مساحت	面積
مساحت	區域
مساحت	區
ادبیات	文獻
ادبیات	文學
موضوع	主題
موضوع	題目
موضوع	專題
موضوع	話題
شبکه	網
شبکه	網路
شبکه	電網
برنامه	程式
برنامه	附表
برنامه	方案
کاربران	使用者
تولد	出生
تولد	生日
تبدیل	轉變
تبدیل	變形
تبدیل	轉型
تبدیل	轉化
تبدیل	變換
تبدیل	轉換
دریایی	海事
سن	聖
سن	森
سن	年紀
سن	年齡
سن	聖人
عربی	阿拉伯語
عربی	阿拉伯文
روش	方法
روش	方式
روش	法
روش	辦法
بازیکن	玩家
بازیکن	球員
نتیجه	結果
نتیجه	成果
انقلاب	革命
تگزاس	德州
تگزاس	德克薩斯州
عراق	伊拉克
هنر	美術
هنر	藝術品
هنر	藝術
قسمت	插曲
قسمت	集
بررسی	檢查
بررسی	支票
مدیر	校長
مدیر	管理者
مدیر	經理人
مدیر	署長
مدیر	經理
باز	開啟
باز	開
باز	開放
باز	回
باز	營業
باز	背
ترکیه	土耳其
مدال	勳章
مدال	獎章
مدال	獎牌
حقوق	薪資
حقوق	法律
حقوق	薪水
حقوق	工資
حقوق	權利
حقوق	薪金
عمومی	公眾
عمومی	公開
عمومی	通用
ترجمه	翻譯
دقیقه	分鐘
رنگ	色
رنگ	彩色
رنگ	顏色
رنگ	色彩
افزایش	增加
افزایش	提高
طبیعی	自然
طبیعی	常態
طبیعی	天然
طبیعی	正常
معروف	有名
معروف	著名
مدیریت	管理
گل	鮮花
گل	花卉
گل	花
گل	花朵
گل	目標
گل	花兒
انتشار	繁殖
انتشار	排放
انتشار	傳播
انتشار	發表
انتشار	擴散
انتشار	出版
انتشار	刊登
انتشار	排放量
ایشان	她們
ایشان	它們
ایشان	他們
نیاز	需要
نیاز	需求
توضیح	評論
ترکیب	組合
ترکیب	結合
ترکیب	大院
ترکیب	化合物
ترکیب	混合
ترکیب	復合
دریافت	招待會
دریافت	接收
دریافت	接待
رشته	字串
رشته	弦樂
رشته	弦
رشته	線
موافق	商定
موافق	議定
موافق	同意
هنری	亨利
مواد	藥品
مواد	物料
مواد	毒品
مواد	藥物
مواد	材質
مواد	材料
درباره	關於
استرالیا	澳洲
اجتماعی	社會
اجتماعی	社交
جریان	流程
جریان	流動
جریان	目前
جریان	流量
جریان	電流
جریان	流通
جریان	現任
جریان	流
جریان	溪流
طریق	經由
طریق	通過
نویسنده	作者
نویسنده	編劇
نویسنده	作家
ژانویه	一月
کنار	側
کنار	一面
انرژی	能量
انرژی	能源
انتخابات	選舉
حسن	哈桑
ملیت	國籍
مه	霧
مه	迷霧
مه	大霧
مه	五月份
مه	五月
مه	梅
کسی	有人
کسی	某人
ثانیه	秒
ثانیه	第二
ثانیه	秒數
کل	共計
کل	總計
خان	可汗
خان	汗
خان	大汗
دکتر	醫師
دکتر	博士
دکتر	醫生
انجمن	社會
انجمن	友愛
انجمن	博愛
انجمن	協會
انجمن	互助會
انجمن	安理會
انجمن	結社
غرب	西邊
غرب	西
غرب	西部
غرب	西方
توسعه	發展
فصل	季節
فصل	季
معمولاً	通常
رسید	已達到
رسید	抵達
رسید	收據
رسید	到達
ژوئیه	七月份
ژوئیه	七月
فارس	票價
شوروی	蘇維埃
افغانستان	阿富汗
ورزش	運動
ورزش	健身房
ورزش	體育
ورزش	演習
ورزش	練習
ورزش	鍛鍊
ورزش	體育館
معماری	架構
معماری	結構
معماری	建築
باند	債券
باند	龐德
باند	保證金
باند	鍵
پرندگان	鳥
پرندگان	鳥兒
پرندگان	鳥類
آخرین	決賽
آخرین	上次
آخرین	最後
آخرین	最新
پزشکی	藥品
پزشکی	醫務
پزشکی	藥物
پزشکی	醫藥
پزشکی	醫療
پزشکی	醫學
پزشکی	藥
فرهنگی	文化
تلویزیون	電視台
تلویزیون	電視
تلویزیون	電視機
دنیا	世界
خوانندگان	讀者
خوانندگان	歌手
جغرافیای	地理學
جغرافیای	地理
جغرافیای	地域
جغرافیای	地理位置
حالت	州
حالت	模式
حالت	心境
حالت	心情
حالت	情緒
حالت	國家
کوه	山
کوه	山區
کوه	山地
مقالات	文章
مقالات	作文
عمل	手術
عمل	行動
عمل	操作
عمل	運算
عمل	動作
کره	朝鮮
کره	韓國
کره	牛油
کره	韓語
کره	奶油
کره	黃油
انتقال	轉讓
انتقال	傳送
انتقال	運輸
انتقال	轉移
انتقال	轉型
انتقال	轉帳
انتقال	傳輸
انتقال	交通
انتقال	過渡
فوریه	二月
فوریه	緊急
فوریه	急
فوریه	傅立葉
ارائه	介紹
رود	河流
رود	江
رود	杖
رود	江河
رود	河
سیاست	外交
سیاست	政策
سیاست	政治學
سیاست	政治
فرانسوی	法文
فرانسوی	法語
وطن	家
وطن	移民
وطن	住家
وطن	首頁
وطن	遷徙
وطن	移徙
برتر	上級
برتر	優越
نزدیک	周邊
نزدیک	靠近
نزدیک	幾乎
نزدیک	附近
نزدیک	鄰近
نزدیک	關閉
نزدیک	近
دلار	美元
دلار	元
داخلی	內地
داخلی	內部
داخلی	內政
کاهش	裁減
کاهش	減
کاهش	減少
کاهش	降低
ده	十個
ده	十
ارتش	集團軍
ارتش	軍
ارتش	軍方
ارتش	軍事
ارتش	軍隊
ارتش	陸軍
مشخص	突顯
مشخص	具體
مشخص	凸顯
حاضر	現任
اسرائیل	以色列
انسان	男人
انسان	人
انسان	人類
مسجد	清真寺
مثل	讚
مثل	就像
مثل	像
مثل	喜歡
شهرها	城市
شهرها	城鎮
سیاه	黑色
سیاه	黑
سیاه	黑人
قدرت	力量
قدرت	電力
قدرت	力氣
قدرت	電源
قدرت	權力
قدرت	實力
قدرت	動力
قدرت	體力
قدرت	強度
نسخه	處方
نسخه	版
نسخه	版本
نسخه	藥方
کم	低低
کم	凸輪
کم	錦
کم	小
کم	低
خانواده	家人
خانواده	家庭
خانواده	家屬
میدان	平方
میدان	方塊
میدان	方形
میدان	正方形
میدان	廣場
ویژه	特別
حوزه	欄位
حمله	突擊
حمله	襲擊
حمله	侵
حمله	進攻
حمله	攻擊
حمله	毆打
جزیره	海島
جزیره	島
جزیره	島嶼
وزارت	部門
ساختمان	建設
ساختمان	施工
ساختمان	建築
ساختمان	建築物
ساختمان	大樓
درام	戲劇
درام	鼓
درام	劇情
درام	電視劇
درام	劇
درصد	百分比
مهندسی	工程
مهندسی	工程學
برنده	勝者
برنده	贏了
برنده	贏家
برنده	贏
برنده	勝利
علم	知識
علم	科學
وقتی	當
آبی	藍色
آبی	藍
اقتصاد	經濟學
اقتصاد	經濟
ورزشی	體育
ورزشی	運動
جامعه	社會
بازار	市場
معرفی	引入
معرفی	介紹
مصر	埃及
متن	文字
متن	來源
متن	案文
متن	源
سرعت	速度
سرعت	速
طرف	側
طرف	一面
آمد	抵達
آمد	到達
دهد	補助金
پسر	男孩
پسر	兒子
دین	宗教
دین	宗教信仰
کشت	培育
سایت	工地
سایت	網頁
سایت	網站
خیلی	漂亮
خیلی	非常
خورشیدی	太陽
خورشیدی	太陽能
سفید	白
سفید	白色
جشنواره	節
جشنواره	節日
جشنواره	節慶
بهتر	更好
بهتر	最好
فرد	個別
فرد	個體
فرد	怪
فرد	單數
فرد	個人
لندن	倫敦
سری	系列
باستان	古老
باستان	古物
باستان	古代
اکنون	現在
کلی	粘土
کلی	黏土
کلی	泥
هیئت	代表團
آلمانی	德文
آلمانی	德語
محلی	局部
محلی	本地
محلی	當地
معنی	含義
شرق	東方
شرق	東部
شرق	東
شرق	東區
دیده	鋸子
دیده	鋸
برگزیده	節錄
برگزیده	選取
برگزیده	摘錄
کنترل	控制
کنترل	控制權
انواع	類型
درست	真實
سنگ	石
سنگ	石頭
سنگ	斯通
استاد	大師
استاد	師父
استاد	師傅
استاد	主人
موقعیت	情況
موقعیت	立場
موقعیت	位置
موقعیت	職位
امپراتوری	帝國
امپراتوری	帝王
بیماری	病
بیماری	疾病
عمق	深
عمق	深度
کلاس	課堂
کلاس	類
کلاس	階級
کلاس	班級
کلاس	類別
مدرسه	上學
مدرسه	學校
کسب	業務
کسب	商業
کسب	賺取
کسب	商務
کسب	企業
کسب	賺
کسب	掙
حرکت	移動
حرکت	感動
حرکت	動
حرکت	搬家
جغرافیایی	地理
مشخصات	特點
مشخصات	說明
مشخصات	規格
مشخصات	特性
مشخصات	特徵
مشخصات	描述
همکاری	協作
همکاری	合作
کوتاه	短
کوتاه	矮
کوتاه	簡短
کوتاه	短期
روابط	關係
اجرا	跑步
اجرا	奔跑
اجرا	績效
اجرا	跑
اجرا	處決
اجرا	執行
اجرا	業績
اجرا	運行
وزیر	部長
وزیر	大臣
خواننده	讀者
خواننده	歌手
پیشنهاد	推薦
پیشنهاد	建議
پیشنهاد	優惠
اتحادیه	聯盟
اتحادیه	工會
موفق	成功
شخصی	個別
شخصی	個體
شخصی	隱私
شخصی	個人
شخصی	私人
شخصی	私營
پایین	底部
پایین	往下
پایین	底
پایین	向下
پایین	下方
پایین	底下
پدر	父
پدر	神父
پدر	父親
حق	真相
حق	事實
حق	真理
خاص	具體
خاص	特別
گذشته	過去
گذشته	過往
کیفیت	素質
کیفیت	質量
کیفیت	品質
کیفیت	優質
ازدواج	已婚
ازدواج	婚禮
ازدواج	嫁
ازدواج	婚姻
ازدواج	結婚
خارجی	外部
خارجی	外國
خارجی	外表
خارجی	外籍
هنوز	仍然
هنوز	依然
انتشارات	出版商
انتشارات	出版社
دادگان	資料庫
میزان	平衡
میزان	餘額
میزان	結餘
میزان	均衡
میزان	評分
بالاتر	更高
بالاتر	較高
مشغول	繁忙
مشغول	忙
مشغول	忙著
مشغول	忙碌
اقتصادی	經濟
فعال	活躍
فعال	積極
اینجا	這裡
پادشاهی	國度
پادشاهی	王國
کمربند	帶
کمربند	腰帶
کمربند	皮帶
واحد	單元
واحد	單位
واحد	股
واحد	組織
چندین	多種
چندین	多重
چندین	多個
اندازه	尺碼
اندازه	尺寸
اندازه	體積
اندازه	大小
خیابان	街
خیابان	街道
خیابان	街頭
عالی	完美
عالی	棒
عالی	偉大
نگاره	圖片
نگاره	影像
نگاره	圖形
نگاره	影象
هدف	目標
هنرپیشه	演員
هنرپیشه	男主角
قهرمانی	錦標賽
دستگاه	裝置
دستگاه	機
دستگاه	機械
دستگاه	機器
طرح	素描
طرح	草圖
طرح	設計
پنج	五
پنج	五個
برد	勝利
برد	贏
برد	贏了
تئاتر	戲劇
تئاتر	電影院
تئاتر	戲院
تئاتر	戰區
تئاتر	劇院
تئاتر	劇場
پل	橋梁
پل	保羅
پل	艦橋
پل	橋
پل	大橋
پل	橋牌
ترابری	交通
ترابری	運輸
داخل	內在
داخل	裡面
داخل	內心
داخل	內部
ابتدا	第一
ابتدا	首先
ارتباط	溝通
ارتباط	關係
ارتباط	接觸
ارتباط	聯絡
ارتباط	通訊
پخش	直播
پخش	播出
پخش	傳播
پخش	廣播
پخش	玩
پخش	播放
پخش	蔓延
پخش	散播
پخش	彈
مطلق	絕對
مطلق	絕對值
اراضی	土地
مشکل	麻煩
مشکل	問題
نفت	石油
نفت	機油
نفت	油
شرایط	術語
شرایط	條件
شرایط	條款
شرایط	用語
شرایط	狀況
کارگردان	導演
کارگردان	司長
کارگردان	主任
دانشکده	大學
دانشکده	書院
دانشکده	學院
دختر	女孩
دختر	姑娘
دختر	女兒
دختر	女生
نور	燈光
نور	光明
نور	光
نور	輕
نور	光線
اجرای	處決
اجرای	執行
یونان	希臘
یونان	希臘文
لازم	需要
لازم	必需
لازم	必要
مرتبط	相關
شکست	失敗
شکست	敗
رشد	生長
رشد	成長
رشد	增長
گزارش	報告
گزارش	檢舉
پرداخت	支付
پرداخت	付款
پرداخت	渲染
پرداخت	付費
هلند	荷蘭
مالی	金融
مالی	茉莉
مالی	財務
اضافه	額外
اضافه	多餘
ورزشگاه	健身房
ورزشگاه	運動場
ورزشگاه	球場
ورزشگاه	體育館
درون	內在
درون	裡面
درون	內心
درون	內部
جنسی	性
جنسی	性愛
جنسی	性別
جنسی	性行為
امور	外遇
تأسیس	建立
شعر	歌詞
شعر	詩歌
شعر	詩
شرح	描述
شرح	說明
شرح	解釋
شرح	詳述
فناوری	技術
فناوری	科技
ترتیب	秩序
ترتیب	訂單
ترتیب	順序
ترتیب	訂購
ترتیب	命令
ترتیب	安排
مادر	母親
مادر	母后
خانوار	家用
خانوار	住戶
وضعیت	現況
وضعیت	情況
وضعیت	州
وضعیت	國家
وضعیت	狀態
وضعیت	狀況
نمونه	樣本
نمونه	範例
نمونه	樣品
نمونه	取樣
نمونه	抽樣
نمونه	標本
نامزد	候選人
نامزد	訂婚
نامزد	候選
نامزد	未婚夫
لیتر	公升
لاتین	拉丁
لاتین	拉丁文
مثال	範例
سوئد	瑞典
مدل	模範
مدل	模特兒
مدل	型號
مدل	模型
مدل	示範
متری	公尺
دوستان	朋友
دوستان	好友
مسیر	軌跡
مسیر	路線
مسیر	路徑
دسته	分批
دسته	批次
دسته	類別
دانش	知識
ترانه	歌曲
ترانه	宋
ترانه	首歌
ترانه	歌
کشته	被殺
چرا	為什麼
چرا	為甚麼
چرا	為何
پایگاه	基礎
پایگاه	前哨
پایگاه	基數
پایگاه	基地
پایگاه	前哨站
مکان	地方
مکان	地點
مکان	位置
مکان	所在地
فکر	思考
فکر	思維
اولیه	初級
گسترش	擴展
گسترش	膨脹
گسترش	擴大
گسترش	擴建
گسترش	擴張
گسترش	拓展
شناگران	泳者
عدد	號碼
عدد	數字
عدد	編號
عدد	數
تعریف	界定
تعریف	定義
تعریف	稱贊
نو	新
نو	新的
خدمات	服務
خدمات	服務業
همسر	配偶
همسر	妻子
همسر	丈夫
فرزند	兒童
فرزند	後代
فرزند	孩子
مصرف	消耗
مصرف	消費
مصرف	消費量
لهستان	波蘭
تقسیم	分裂
تقسیم	分化
تقسیم	鴻溝
تقسیم	組織
تقسیم	分水嶺
روزنامه	報
روزنامه	報紙
روزنامه	報章
تن	譚
تن	曬
تن	噸
اتحاد	工會
اتحاد	統一
اتحاد	聲援
اتحاد	結盟
اتحاد	團結
اتحاد	聯盟
اتحاد	同盟
نظریه	論
نظریه	理論
خاک	塵埃
خاک	塵
خاک	塵土
خاک	土
خاک	污垢
خاک	灰塵
خاک	泥土
خاک	土壤
مخالف	反對黨
مخالف	反對
مخالف	對面
مخالف	反對派
مخالف	對立
میله	酒吧
کلیسای	教堂
کلیسای	教會
کلیسای	禮拜堂
کشاورزی	耕作
کشاورزی	農業
کشاورزی	農耕
کشاورزی	務農
آباد	參觀
آباد	訪問
دوباره	再次
مشهور	有名
مشهور	著名
بعدی	下一步
مستقل	獨立
قدیمی	舊的
قدیمی	復古
قدیمی	老
قدیمی	古董
قدیمی	舊
قدیمی	老了
شب	晚上
شب	夜
شب	夜晚
مالکان	地主
ویدئویی	影片
ویدئویی	視訊
شیمی	化學
فروش	銷售
فروش	銷售量
فروش	出售
فروش	銷售額
فروش	經銷商
فروش	賣
فروش	買賣
بیست	二十
رتبه	排名
جانوران	動物
راک	搖滾
راک	岩
راک	石頭
راک	岩石
پارک	樸
پارک	公園
کاربرد	申請
کاربرد	用量
کاربرد	使用
کاربرد	申請書
کاربرد	用法
مناسب	適合
مناسب	適當
مناسب	健身
مناسب	合適
آزادی	自由
آزادی	免費
رای	投票
رای	選票
رای	表決
اطراف	周圍
اطراف	圍繞著
اطراف	圍繞
اطراف	周邊
کمدی	喜劇
کمدی	漫畫
موتور	發動機
موتور	腳踏車
موتور	引擎
موتور	馬達
موتور	電機
موتور	自行車
موتور	單車
بسته	叢
بسته	包裹
بسته	包裝
بسته	包
راست	真實
فاصله	間隔
فاصله	太空
فاصله	距離
فاصله	空間
فاصله	間歇
فاصله	區間
سنت	傳統
اغلب	時常
اغلب	常常
اغلب	經常
فضای	空間
فضای	太空
چشم	眼
چشم	眼睛
چشم	雙眼
چشم	眼神
مختصات	坐標
مختصات	協調
مختصات	座標
عامل	因數
عامل	因子
چهارم	第四
متولد	出生
متولد	生於
متولد	誕生
متولد	天生
