ve	और
kasım	क़ासिम
kasım	नवंबर
avrupa	यूरोप
avrupa	यूरोपा
avrupa	यूरोपीय
avrupa	यूरोपियाई
ama	परन्तु
ama	लेकीन
ama	लेकिन
ama	लकिन
ama	मगर
karşı	विरुद्ध
karşı	काउंटर
karşı	विरूद्ध
karşı	खिलाफ
toplam	आजीवन
toplam	कुल
toplam	योग
toplam	लाइफ़टाइम
ikinci	द्वितीय
ikinci	सेकंड
ikinci	दूसरी
ikinci	सेकेंड
ikinci	सेकण्ड
ikinci	दूसरा
eylül	सितंबर
eylül	सितम्बर
ağustos	अगस्त
içinde	अंदर
içinde	भीतर
içinde	अन्दर
temmuz	जुलाई
önce	प्रथम
önce	पहले
önce	पहला
önce	पहली
tüm	पूरे
tüm	पूरी
tüm	पूरा
nisan	अप्रैल
resim	छवि
resim	चित्रकारों
resim	चित्र
resim	प्रतिबिम्ब
resim	रेखाचित्र
resim	चित्रांकन
resim	पिक्चर
resim	ड्राइंग
resim	आरेखण
resim	तस्वीर
resim	चित्रकारी
resim	पेंटिंग
resim	चित्रकला
üniversitesi	विश्वविद्यालय
üniversitesi	विश्वविद्यालयों
üniversitesi	यूनिवर्सिटी
ye	खाओ
ye	खा
ekim	अक्तूबर
ekim	अक्टूबर
şehir	बस्ती
şehir	नगर
şehir	अर्बन
şehir	शहर
şehir	कस्बा
şehir	सिटी
şehir	शहरी
şehir	नगरीय
zaman	वक़्त
zaman	समय
zaman	वक्त
bazı	कुछ
aralık	अंतराल
aralık	दिसंबर
aralık	दिसम्बर
köy	गाँव
köy	गांव
yüksek	उच्चतर
yüksek	आलीशान
yüksek	हाई
yüksek	ऊँची
yüksek	उच्च
birçok	अनेक
birçok	कई
şubat	फर
şubat	फ़रवरी
şubat	फरवरी
sadece	तभी
sadece	सिर्फ
sadece	बस
sadece	केवल
yol	पाथ
yol	राह
yol	सड़क
yol	रास्ते
yol	मार्ग
yol	तरीका
yol	पथ
yol	रास्ता
yol	रोड
yol	रूट
fakat	परन्तु
fakat	लेकीन
fakat	लेकिन
fakat	लकिन
fakat	मगर
grup	बैंड
grup	ग्रुप
grup	समूह
takım	दस्ते
takım	टोली
takım	टीम
takım	स्क्वाड
takım	दस्ता
kendi	स्वयं
kendi	अपने
kendi	अपनी
kendi	खुद
kendi	अपना
şekilde	राह
şekilde	रास्ते
şekilde	मार्ग
şekilde	रास्ता
şekilde	तरीका
tek	अकेला
tek	सिंगल
tek	एकल
bilgi	सुचना
bilgi	जानकारी
bilgi	सूचना
bilgi	ज्ञान
bilgi	एनोटेशन
kez	बार
kez	टाइम्स
hakkında	परिचय
osmanlı	ओटोमन
osmanlı	उस्मानी
devlet	स्थिति
devlet	अवस्था
devlet	स्टेट
devlet	राज्य
devlet	सरकार
devlet	सरकारी
üç	तीन
tarihi	तारीख
tarihi	तिथि
tarihi	तारीख़
tarihi	दिनांक
tarihi	इतिहास
tarihi	ऐतिहासिक
başladı	प्रारंभ
başladı	शुरू
küçük	छोटे
küçük	छोटा
küçük	लिटिल
küçük	छोटी
küçük	लील
müzik	म्यूज़िक
müzik	संगीत
gelen	आवक
resmi	आधिकारिक
resmi	औपचारिक
resmi	चित्र
resmi	पिक्चर
resmi	अधिकारी
resmi	तस्वीर
resmi	सरकारी
kabul	स्वीकृति
kabul	सहमति
kabul	सहमत
kabul	स्वीकृत
devam	रखना
devam	रखें
kupası	कप
okulu	विद्यालय
okulu	स्कूल
aldı	प्राप्त
aldı	लिया
em	चूस
em	चूसना
sahip	साहिब
farklı	अलग
farklı	भिन्न
futbol	फुटबॉल
futbol	फुटबाल
futbol	फ़ुटबॉल
futbol	सॉकर
ileti	संदेश
ileti	सन्देश
doğru	सही
doğru	सच
doğru	सटीक
doğru	सच्चा
tarım	कृषि
tarım	खेती
on	दहला
on	दस
on	टेन
özel	निजी
özel	ख़ास
özel	एक्सक्लूसिव
özel	मनपसंद
özel	अनन्य
özel	प्राइवेट
özel	अनुकूलित
özel	विशेष
özel	कस्टम
özel	खास
biri	एक
biri	किसी
alanı	फील्ड
alanı	क्षेत्रफल
alanı	क्षेत्र
alanı	फ़ील्ड
vikipedi	विकिपीडिया
uzun	लम्बी
uzun	लम्बा
uzun	विस्तारित
uzun	लंबा
uzun	लंबी
şarkı	गीत
şarkı	गायन
şarkı	गायकों
şarkı	गाने
şarkı	सोंग
şarkı	गीतों
şarkı	गाना
lig	लीग
orta	मीडियम
orta	मिड
orta	बीच
orta	मध्य
orta	मध्यम
orta	माध्यम
orta	केंद्र
orta	केन्द्र
oyuncu	अभिनेत्री
oyuncu	अभिनेता
oyuncu	खिलाड़ी
oyuncu	एक्टर
oyuncu	अदाकारा
oyuncu	कर्ता
geri	वापस
geri	पिछे
geri	पीछे
geri	बैक
geri	पिछड़ा
mesaj	संदेश
mesaj	सन्देश
mesaj	टेक्स्ट
mesaj	पाठ
elektrik	इलेक्ट्रिक
elektrik	बिजली
elektrik	विद्युत
elektrik	इलेक्ट्रिकल
ardından	बाद
merkezi	बीच
merkezi	मध्य
merkezi	केंद्रीय
merkezi	सेंट्रल
merkezi	केंद्र
merkezi	केन्द्र
kısa	छोटा
kısa	संक्षिप्त
kısa	छोटी
kısa	ब्रैड
güney	साउथ
güney	दक्षिणी
güney	दक्षिण
almanya	जर्मनी
kişi	व्यक्ति
değil	नही
değil	नहीं
kuzey	उत्तर
kuzey	उत्तरी
çeşitli	विभिन्न
çeşitli	विविध
çeşitli	किस्में
açıklama	शीर्षक
açıklama	व्याख्या
açıklama	स्पष्टीकरण
açıklama	विवरण
açıklama	वर्णन
açıklama	कैप्शन
ortaya	खुलासा
ortaya	प्रकट
ortaya	ख़ोज
bilgileri	सूचना
bilgileri	जानकारी
fransa	फ़्रांस
fransa	फ्रांस
ingilizce	अंग्रेजी
ingilizce	अंग्रेज़ी
ingilizce	अंग्रेज
olmak	बनने
olmak	होने
amerika	अमेरिका
amerika	यूएसए
amerika	अमरीका
el	हाथ
burada	यहा
burada	यहां
burada	यहाँ
yok	नहीं
yok	नहींं
gol	लक्ष्य
gol	झील
gol	लक्ष्यों
gol	ध्येय
gol	गोल
ana	maa
ana	मेन
ana	मुख्य
ana	प्रमुख
ana	माँ
suyu	जूस
suyu	रस
özellikle	विशेषकर
birleşik	संयुक्त
birleşik	यूनाइटेड
birleşik	एकीकृत
ödülü	इनाम
ödülü	ईनाम
ödülü	सवाब
ödülü	अवार्ड
ödülü	बदला
ödülü	पुरस्कार
altyapı	अवसंरचना
yerine	बदलें
yerine	बजाय
gün	दिन
gün	दिवस
geçen	बीता
geçen	गुजर
doğu	ईस्ट
doğu	पूर्व
doğu	पूर्वी
doğu	प्राची
doğu	प्राच्य
süre	वक़्त
süre	समय
süre	वक्त
süre	अवधि
sabit	निरंतर
sabit	स्थिर
sabit	फिक्स्ड
sabit	तय
sabit	स्थिरांक
eğitim	प्रशिक्षण
eğitim	ट्यूटोरियल
eğitim	शिक्षा
eğitim	शैक्षणिक
eğitim	शैक्षिक
su	वाटर
su	जल
su	पानी
sırasında	दौरान
uluslararası	अन्तर्राष्ट्रीय
uluslararası	अंतर्राष्ट्रीय
uluslararası	अंतरराष्ट्रीय
yaklaşık	सन्निकट
yaklaşık	परिचय
yaklaşık	लगभग
alman	जर्मनी
alman	जर्मन
az	छोटे
az	छोटा
az	लिटिल
az	कम
az	छोटी
millî	राष्टीय
millî	नेशनल
millî	राष्ट्रीय
kaynak	सोर्स
kaynak	वेल्डिंग
kaynak	स्रोत
kaynak	प्रसाधन
kaynak	संसाधन
kaynak	स्त्रोत
kullanılan	प्रयुक्त
paşa	पाशा
ligi	लीग
görev	कर्तव्य
görev	मिशन
görev	असाइनमेंट
görev	ड्यूटी
görev	कार्य
görev	कार्यभार
halk	लोक
halk	सार्वजनिक
halk	लोगों
halk	पब्लिक
halk	जनता
halk	लोग
tv	टेलीविजन
tv	दूरदर्शन
tv	टीवी
tv	टेलीविज़न
onun	उसके
onun	उसे
onun	उसका
onun	उसकी
ekonomisi	अर्थव्यवस्था
yılı	वर्ष
yılı	साल
telefon	फोन
telefon	टेलीफोन
telefon	टेलीफ़ोन
telefon	टेलिफोन
telefon	फ़ोन
telefon	दूरभाष
içme	पीना
içme	पीने
etki	असर
etki	प्रभाव
sezon	ऋतु
sezon	मौसम
albüm	एलबम
albüm	एल्बम
albüm	अलबम
ingiliz	अंग्रेज़ी
ingiliz	ब्रिट
ingiliz	ब्रिटिश
ingiliz	अंग्रेज
ingiliz	अंग्रेजी
ingiliz	अंग्रेजों
puan	पॉइंट
puan	अंक
puan	रेटिंग
puan	दर्जा
puan	बिंदु
puan	स्कोर
puan	बिन्दु
puan	रेटेड
puan	दरजा
puan	पाइंट
nüfus	जनसंख्या
nüfus	आबादी
nüfus	जनसांख्यिकी
batı	पश्चिम
batı	पश्चिमी
batı	वेस्ट
altında	तहत
altında	अधीन
altında	अंतर्गत
tür	प्रजाति
tür	घराना
tür	प्रकार
tür	क़िस्म
tür	प्रजातियां
tür	विधा
amerikan	अमेरिकी
amerikan	अमरीकी
amerikan	अमेरिकन
savaş	बैटल
savaş	लड़ाई
savaş	लड़ो
savaş	युद्ध
savaş	झगडा
savaş	कॉम्बैट
tekrar	रिप्ले
tekrar	पुनरावृत्ति
anadolu	आनातोलियाई
anadolu	आनातोलिया
anadolu	एशिया
söz	शब्द
söz	वादा
söz	वर्ड
grubu	ग्रुप
grubu	समूह
elde	हासिल
ait	स्वामित्व
kadın	महिला
kadın	औरतों
kadın	औरत
kadın	नारी
kadın	मादा
kadın	महिलाएँ
kadın	महिलाएं
kadın	महिलाओं
kadın	स्त्रियाँ
kadın	स्त्री
türkçe	अंग्रेजी
türkçe	अंग्रेज़ी
türkçe	तुर्की
türkçe	अंग्रेज
kullanıcı	उपयोक्ता
kullanıcı	उपयोगकर्ता
kullanıcı	उपयोगकर्ताओं
kullanıcı	प्रयोगकर्ता
kullanıcı	यूजर
kullanıcı	प्रयोक्ता
tam	पूरा
tam	पूर्ण
tam	फुल
birliği	संघ
birliği	यूनियन
kanalizasyon	सीवेज
kanalizasyon	मलजल
kanalizasyon	सीवर
maç	मैच
maç	मिलाएँ
maç	खेल
maç	मिलान
maç	माचिस
maç	गेम
maç	मैक
roma	रोम
at	हॉर्स
at	घोड़े
at	घोड़ो
at	घोड़ी
at	घोड़ा
bölüm	अध्याय
bölüm	प्रकरण
bölüm	भाग
bölüm	अनुभाग
bölüm	विभाग
bölüm	एपीसोड
bölüm	खण्ड
bölüm	एपिसोड
bölüm	धारा
bölüm	विभाजन
bölüm	खंड
bölüm	पार्ट
bölüm	हिस्सा
bölüm	प्रभाग
bölüm	हिस्से
bölüm	सूरा
yazar	राइटर
yazar	लेखक
yazar	रचयिता
yazar	रचनाकार
sıra	पंक्ति
sıra	पंक्तियां
sıra	पंक्तियाँ
ulusal	राष्टीय
ulusal	नेशनल
ulusal	राष्ट्रीय
köyü	गाँव
köyü	गांव
teknik	तकनीक
teknik	तकनीकी
teknik	टेक
nüfusu	जनसंख्या
nüfusu	आबादी
nüfusu	जनसांख्यिकी
deniz	सागर
deniz	मरीन
deniz	समुद्रतट
deniz	समुद्री
deniz	समुद्र
uygun	उपयुक्त
uygun	फ़िट
uygun	उचित
uygun	सुविधाजनक
uygun	अनुरूप
uygun	योग्य
bütün	पूरे
bütün	पूरी
bütün	पूरा
yakın	बन्द
yakın	आसपास
yakın	बंद
yakın	करीब
yakın	निकटवर्ती
yakın	निकट
listesi	सूची
dört	चार
iç	ड्रिंक
iç	आह
iç	आंतरिक
iç	पीना
iç	पेय
ingiltere	इंग्लैंड
ingiltere	इंग्लैण्ड
alt	ताल
alt	निम्नतर
alt	निचला
alt	तल
alt	बॉटम
alt	बीट
alt	उप
alt	नीचे
alt	धड़कन
asfalt	डामर
fransız	फ़्रांसीसी
fransız	फ्रेंच
fransız	फ़्रेंच
fransız	फ्रांसीसी
belediye	नगरपालिका
stadyumu	स्टेडियम
rusya	बेलारूस
rusya	रुस
rusya	रूस
genellikle	अधिकांशतः
genellikle	ज्यादातर
genellikle	प्रायः
genellikle	ज़्यादातर
genellikle	अधिकांश
genellikle	अधिकतर
bar	पब
sonunda	आखिरकार
parti	दल
parti	पार्टी
erkek	मेन
erkek	पुरुषों
erkek	मैन
erkek	इन्सान
erkek	पुरुष
erkek	मनुष्य
erkek	पुरूष
erkek	आदमी
erkek	नर
erkek	मर्द
beyaz	श्वेत
beyaz	सफेद
beyaz	सफ़ेद
bölge	जिलाध्यक्ष
bölge	क्षेत्र
bölge	मण्डल
bölge	जिला
bölge	डिस्ट्रिक्ट
bölge	ज़िला
bölge	प्रदेश
bölge	क्षेत्रफल
italya	इटली
onu	उसकी
onu	उससे
onu	उसका
onu	उसके
onu	उसे
onu	उसको
hava	एयर
hava	मौसम
hava	वायु
verilen	दिए
verilen	दिया
verilen	दी
çünkü	निमित्त
çünkü	क्योंकि
çünkü	क्युकी
çünkü	कारण
çünkü	क्योकि
çünkü	ध्येय
birkaç	अनेक
birkaç	कई
il	प्रांत
il	प्रांतों
il	प्रान्त
dönem	काल
dönem	अवधि
dönem	सेमेस्टर
dönem	पद
açık	खुला
açık	ओपन
açık	साफ
açık	खोलें
insan	मानव
insan	व्यक्ति
insan	मैन
insan	इन्सान
insan	पुरुष
insan	मनुष्य
insan	इंसान
insan	आदमी
merkez	बीच
merkez	मध्य
merkez	केंद्रीय
merkez	मुख्यालय
merkez	सेंट्रल
merkez	केंद्र
merkez	केन्द्र
düşük	निम्न
düşük	कम
olmayan	नॉन
olmayan	गैर
altın	सोने
altın	सुनहरा
altın	सुनहरी
altın	सोना
altın	गोल्ड
altın	गोल्डन
altın	स्वर्ण
bilinen	ज्ञात
neden	क्यों
neden	क्यूँ
bin	हज़ार
bin	हजार
genç	जवान
genç	जवानी
genç	युवाओं
genç	किशोरावस्था
genç	टीन
genç	यंग
genç	युवा
genç	युवावस्था
dışında	मगर
kır	ब्रेक
stadyum	स्टेडियम
ülke	देश
dil	भाषाएँ
dil	भाषाएं
dil	भाषा
dil	जीभ
pozisyon	स्थितियाँ
pozisyon	पद
pozisyon	स्थिति
dahil	शामिल
dahil	सहित
an	पल
an	क्षण
iş	नौकरियाँ
iş	दुकानदारी
iş	कारोबार
iş	काम
iş	बिज़नेस
iş	जॉब
iş	व्यापार
iş	नौकरियां
iş	नौकरी
iş	कार्य
iş	व्यवसाय
iş	कार्यालय
bölümü	अनुभाग
bölümü	विभाग
bölümü	खण्ड
bölümü	धारा
bölümü	खंड
ili	मुहाफ़ज़ाह
gelir	आय
gelir	राजस्व
gelir	इनकम
gelir	आमदनी
kullanım	उपयोग
kullanım	प्रयोग
sanat	आर्ट
sanat	कला
üçüncü	तृतीय
üçüncü	तीसरा
üçüncü	तीसरे
bunu	उस
bunu	यह
bunu	इस
bunu	कि
bunu	ये
sonraki	अगला
ele	जीतें
güzel	प्यारे
güzel	प्यारी
güzel	शुभ
güzel	सुंदर
güzel	सूंदर
güzel	लवली
güzel	गुड
güzel	सुन्दर
güzel	प्यारा
güzel	खूबसूरत
güzel	सुदंर
güzel	अच्छे
güzel	ब्यूटीफुल
güzel	नाइस
çocuk	बालक
çocuk	लडका
çocuk	संतति
çocuk	किड
çocuk	बच्चा
çocuk	चाइल्ड
çocuk	बच्चे
çocuk	छोरा
çocuk	लड़के
çocuk	लड़का
çocuk	बॉय
sinema	फिल्म
sinema	फिल्में
sinema	फ़िल्म
sinema	मूवी
sinema	चलचित्र
sinema	फ़िल्में
sinema	फिल्मों
sinema	सिनेमा
askeri	सैनिक
askeri	मिलिट्री
askeri	फौजी
askeri	सैन्य
örneğin	उदाहरण
üst	टॉप
üst	शीर्ष
üst	अपर
üst	ऊपरी
üst	उपर
üst	ऊपर
kara	ब्लैक
kara	जमीन
kara	काला
kara	काले
kara	लैंड
kara	भूमि
oyun	खेल
oyun	गेम
oyun	गेमिंग
oyun	गेम्स
beraber	साथ
sırada	अगला
şablon	टेम्प्लेट
şablon	टेम्पलेट
şablon	पैटर्न
şablon	टेम्पलेट्स
şablon	प्रतिकृति
şablon	प्रतिमान
aday	प्रत्याशी
aday	उम्मीदवार
aday	आवेदक
aday	मनोनीत
milyon	लाख
milyon	लाखों
milyon	मिलियन
milyon	लाखो
top	तोपों
top	तोपें
top	गेंद
top	तोप
top	बॉल
hakem	अंपायर
hakem	संदर्भ
hakem	रेफरी
ay	महीना
ay	चंद्रमा
ay	चांद
ay	माह
ay	चन्द्रमा
ay	महीने
ay	चन्द्र
ay	महीनों
ay	चाँद
imparatorluğu	साम्राज्य
internet	वेब
herhangi	कोई
tiyatro	ड्रामा
tiyatro	सिनेमाघर
tiyatro	नाटक
tiyatro	नौटंकी
tiyatro	रंगमंच
tiyatro	थिएटर
tiyatro	नाट्य
oldukça	काफी
kazandı	जीती
kazandı	विन्स
kazandı	जीता
kazandı	जीत
kazandı	जीते
kültür	संस्कृतियों
kültür	संस्कृति
kültür	सांस्कृतिक
karar	फैसले
karar	फैसला
karar	निर्णय
tarih	तारीख
tarih	तिथि
tarih	तारीख़
tarih	दिनांक
tarih	इतिहास
ilçe	जिलाध्यक्ष
ilçe	काउंटी
ilçe	लैन
ilçe	जिला
ilçe	डिस्ट्रिक्ट
ilçe	ज़िला
temel	मूल
temel	मौलिक
temel	फाउंडेशन
temel	मूलभूत
temel	बेसिक
temel	न्यास
temel	आधारभूत
konu	टॉपिक
konu	विषय
bağlantı	सम्पर्क
bağlantı	कनेक्शन
bağlantı	संपर्क
bağlantı	कड़ी
bağlantı	लिंक
çin	चीन
ünlü	हस्ती
ünlü	मशहूर
ünlü	प्रसिद्ध
spor	खेल
spor	खेलकूद
spor	क्रीड़ा
spor	स्पोर्ट्स
kalan	बाकी
kalan	शेष
meslek	वृत्ति
meslek	व्यवसायिक
meslek	व्यवसाय
meslek	वोकेशनल
meslek	व्यावसायिक
sultan	सुल्ताना
günümüzde	आजकल
iran	फारसी
iran	पारसी
iran	फ़ारसी
telif	कापीराइट
telif	कॉपीराइट
telif	स्वत्वाधिकार
ahmet	अहमद
çıktı	आउटपुट
ispanya	स्पेन
bile	भी
bile	सम
sosyal	सोशल
sosyal	सामाजिक
cm	इंच
japonya	जापानी
japonya	जापान
ün	कीर्ति
ün	शोहरत
ün	ख्याति
ün	प्रसिद्धि
böylece	यूँ
liste	सूची
liste	सूचियां
liste	सूचियाँ
oy	मतदान
oy	वोट
oy	वोटों
oy	मत
geniş	बड़ा
geniş	विशाल
geniş	वाइड
geniş	ब्रॉड
geniş	बड़ी
geniş	चौड़ी
geniş	बड़े
geniş	व्यापक
ev	घर
ev	मुखपृष्ठ
ev	मकान
ev	हाउस
ev	होम
ev	गृह
transfer	हस्तांतरण
önceki	पिछला
önceki	पिछले
önceki	पहले
önceki	पिछली
mısır	मक्की
mısır	मकई
mısır	मिस्र
mısır	मिस्त्र
mısır	इजिप्ट
mısır	मिश्र
mısır	कॉर्न
mısır	मिस्री
rus	रूसी
yarı	आधी
yarı	सेमी
yarı	हाफ़
yarı	हाफ
yarı	आधा
yarı	अर्ध
yarı	अर्द्ध
afrika	अफ्रीका
afrika	अफ्रीकी
afrika	अफ़्रीका
afrika	अफ़्रीकी
hareket	चाल
hareket	आंदोलन
hareket	मूव
hareket	आन्दोलन
hareket	गति
adil	उचित
adil	मेले
adil	मेला
adil	फेयर
bölgesi	प्रदेश
bölgesi	क्षेत्र
kontrol	जाँचें
kontrol	कंट्रोल
kontrol	जाँच
kontrol	नियंत्रण
sahibi	मालिक
sahibi	स्वामी
bilim	विज्ञान
sistemi	तन्त्र
sistemi	प्रणाली
sistemi	तंत्र
sistemi	सिस्टम
başarılı	सफल
başarılı	सफलतापूर्वक
başarılı	सफलता
başarılı	कामयाबी
başarılı	कामयाब
çoğu	सबसे
çoğu	मोस्ट
çoğu	सर्वाधिक
çoğu	अधिकांश
ordu	सेना
ordu	फौजी
ordu	सैन्य
ordu	आर्मी
ordu	फ़ौज
ordu	सैनिक
ordu	फौज
ordu	मिलिट्री
verdi	दिया
verdi	दी
yaşayan	सजीव
yaşayan	जीना
profesyonel	पेशेवरों
profesyonel	प्रो
profesyonel	पेशेवर
süper	कूल
süper	सूपर
süper	मस्त
süper	शानदार
süper	सुपर
hiç	कभी
ifade	अभिव्यक्ति
ifade	कथन
ifade	बयान
ifade	एक्सप्रेशन
ifade	वक्तव्य
ifade	अभिव्यक्त
ifade	एक्स्प्रेस
ifade	एक्सप्रेस
ifade	गवाही
ifade	स्टेटमेंट
şey	बात
rol	भूमिकाएँ
rol	भूमिका
islam	इस्लामी
islam	इस्लामिक
rapor	रिपोर्ट
rapor	रपट
kullanılır	प्रयुक्त
yerel	लोकल
yerel	स्थानीय
yönetim	प्रशासन
yönetim	शासन
yönetim	प्रबन्धन
yönetim	प्रबंधन
video	वीडियोज़
video	वीडियो
kurulan	संस्थापित
kurulan	स्थापित
beş	पांच
beş	पाँच
altı	छक्के
altı	छह
altı	छः
altı	छक्का
final	फाइनल
forma	यूनिफॉर्म
forma	यूनिफार्म
forma	जर्सी
forma	वर्दी
dizi	सरणी
dizi	ऐरे
dizi	क्रम
dizi	श्रेणी
dizi	अनुक्रम
şeklinde	तराशा
gerekli	जरुरी
gerekli	आवश्यक
gerekli	अनिवार्य
gerekli	जरूरी
iklim	जलवायु
ayrı	अलग
ayrı	अलावा
ayrı	पृथक
ayrı	जुदा
veri	आंकड़ा
veri	डेटा
veri	डाटा
veri	आँकड़ा
şampiyonası	चैंपियनशिप
şampiyonası	चैम्पियनशिप
yerleşim	उपनिवेश
yerleşim	ख़ाका
yerleşim	लेआउट
yerleşim	अधिवास
yerleşim	आवासीय
yerleşim	खाका
yerleşim	अभिन्यास
yerleşim	निपटान
kariyeri	करियर
kariyeri	आजीविका
kariyeri	कैरियर
adet	काल
adet	अवधि
yaz	गर्मियाँ
yaz	लिखे
yaz	लिखें
yaz	गर्मियों
yaz	गर्मी
yaz	ग्रीष्म
kuvvetleri	शक्तियां
kuvvetleri	बलों
tespit	डिटेक्शन
göz	नेत्र
göz	निगाहों
göz	आँख
göz	नजर
göz	आंखें
göz	ब्राउज़
göz	आंख
göz	आँखें
göz	आँखे
mö	मू
televizyon	टेलीविजन
televizyon	दूरदर्शन
televizyon	टीवी
televizyon	टेलीविज़न
galatasaray	लिवरपूल
sezonu	ऋतु
sezonu	मौसम
yayın	प्रसारण
yayın	ब्रॉडकास्ट
yayın	प्रकाशन
karasal	स्थलीय
durum	परिस्थिति
durum	स्थिति
durum	प्रस्थिति
durum	हालत
durum	हालात
durum	औकात
durum	स्टेटस
durum	कंडीशन
durum	शर्त
yıldız	तारक
yıldız	तारें
yıldız	तारा
yıldız	सितारों
yıldız	सितारे
yıldız	स्टार
yıldız	तारों
yıldız	तारकीय
yıldız	तारे
gelenek	परंपराएं
gelenek	परंपरा
gelenek	परम्परा
gelenek	परंपराओं
gelenek	परम्पराओं
nasıl	कैसे
nasıl	केसे
nasıl	कैसा
tip	प्रकार
tip	क़िस्म
mücadele	संघर्ष
mücadele	लड़ाई
mücadele	लड़ो
mücadele	लड़
mücadele	झगडा
yeri	लोकेशन
yeri	स्थान
yeri	अवस्थिति
yardımcı	सहायक
yardımcı	डिप्टी
yıllık	वार्षिक
yıllık	सालाना
kız	बहनें
kız	बहनो
kız	लडकी
kız	लड़की
kız	बहनों
cumhuriyet	गणतंत्र
cumhuriyet	राष्ट्रमंडल
cumhuriyet	रिपब्लिकन
cumhuriyet	गणराज्य
bağımsız	स्वतंत्र
bağımsız	इंडी
bunlar	ये
yanlış	ग़लत
yanlış	गलत
al	लो
al	मिलेंगी
al	पाएँ
al	लें
al	ले
kurulu	फलक
kurulu	स्थापित
kurulu	बोर्ड
kurulu	बिसात
kurulu	संस्थापित
msj	मैसेज
msj	मेसेज
gerçek	सही
gerçek	रीयल
gerçek	सच्चा
gerçek	असली
gerçek	फैक्ट
gerçek	रियल
gerçek	सच
gerçek	सच्चाई
gerçek	सत्य
gerçek	वास्तविक
gerçek	तथ्य
gerçek	यथार्थ
ses	शोर
ses	रव
ses	आवाज
ses	शोरगुल
ses	ऑडियो
ses	वॉइस
ses	आडियो
ses	वाल्यूम
ses	आयतन
ses	ध्वनि
ses	आवाज़
milli	राष्टीय
milli	नेशनल
milli	राष्ट्रीय
kitap	किताबे
kitap	पुस्तकों
kitap	पुस्तक
kitap	किताब
kitap	बुक
kitap	पुस्तकें
kitap	किताबें
temsil	प्रतिनिधित्व
ten	त्वचा
ten	चमड़ी
ten	स्किन
ödülleri	पुरस्कारों
ödülleri	पुरस्कार
ödülleri	इनाम
saat	घड़ियाँ
saat	क्लॉक
saat	घंटा
saat	घड़ी
güneş	सूर्य
güneş	सनशाइन
güneş	सौर
güneş	सन
güneş	धूप
güneş	सूरज
güneş	रवि
yazarı	लेखक
yazarı	रचयिता
kaldı	रुके
kaldı	बाकी
kaldı	शेष
