les	เดอะ
chaque	ทุกๆ
anglais	อังกฤษ
conseil	สภา
maison	เฮ้าส์
maison	บาน
maison	บ้าน
cela	นั่น
cela	ว่า
cela	นี่
cela	นี้
cela	ดิส
cela	นั้น
cela	ที่
demande	สอบถาม
demande	คำขอ
demande	ถาม
demande	ขอ
demande	ร้องขอ
fonction	ฟังก์ชัน
toujours	ตลอด
toujours	เสมอ
toujours	ยัง
toujours	มัก
doit	ต้อง
certains	บาง
certains	บ้าง
membre	สมาชิก
près	ใกล้
rôle	บทบาท
droit	กฎหมาย
droit	ถูก
droit	ขวา
droit	กฎ
mois	เดือน
île	เกาะ
république	สาธารณรัฐ
ensuite	งั้น
langue	ภาษา
gouvernement	รัฐบาล
gouvernement	ราชการ
petit	เล็ก
toutes	ทุก
toutes	ทั้งหมด
argent	แคช
argent	เงิน
argent	ซิลเวอร์
argent	เงินสด
souvent	มัก
souvent	บ่อยๆ
souvent	บ่อย
olympiques	โอลิมปิก
olympiques	โอลิมปิค
quand	เมื่อ
quand	เมื่อไร
quand	ตอน
mondiale	เวิลด์
mondiale	โกลบอล
mondiale	โลก
épisode	ตอน
scène	เวที
scène	ขั้น
scène	ฉาก
toute	ทุก
toute	ทั้งหมด
musée	พิพิธภัณฑ์
nombreux	หลาย
nombreux	มากมาย
système	ระบบ
stade	เวที
stade	ขั้น
stade	สนาม
tard	สาย
tard	ช้า
tard	ดึก
reste	อยู่
seconde	วินาที
jours	วัน
édition	แก้ไข
édition	ฉบับ
historique	ประวัติศาสตร์
historique	ประวัติการ
historique	ประวัติ
sera	วิล
sera	จะ
sera	พิน
permet	อนุญาต
âge	อายุ
âge	ยุค
officiel	ทางการ
membres	สมาชิก
niveau	เลเวล
niveau	ระดับ
champion	แชมป์
michel	ไมเคิล
michel	ไมเคิ้ล
raison	เหตุ
raison	สาเหตุ
raison	เหตุผล
modèle	รุ่น
modèle	โมเดล
travail	งาน
travail	ทำงาน
femme	ภริยา
femme	หญิง
femme	ภรรยา
femme	เมีย
femme	สตรี
cinq	ห้า
bas	โลว์
bas	ต่ำ
texte	ข้อความ
terre	ที่ดิน
terre	แลนด์
terre	ดิน
terre	ธรณี
terre	โลก
allemagne	เยอรมนี
compétition	แข่งขัน
allemand	เยอรมัน
britannique	บริติช
britannique	อังกฤษ
porte	เกท
porte	เกต
porte	ประตู
hommes	ผู้ชาย
hommes	บุรุษ
hommes	ชาย
italie	อิตาลี่
italie	อิตาลี
bataille	รบ
bataille	ศึก
bataille	สงคราม
corps	ร่าง
corps	ร่างกาย
corps	กาย
demi	ครึ่ง
personnes	ผู้คน
personnes	ผู้
personnes	คน
personnes	บุคคล
personnes	ประชาชน
route	ทางหลวง
route	ถนน
route	ทางด่วน
route	ไฮเวย์
jeune	ยัง
match	เกม
match	เกมส์
peuvent	สามารถ
peuvent	สา
royaume	อาณาจักร
études	ศึกษา
communauté	ชุมชน
militaire	กองทัพ
militaire	ทหาร
livre	สมุด
livre	หนังสือ
livre	ปอนด์
américaine	อเมริกัน
haut	สูง
haut	ไฮ
haut	ท็อป
suisse	สวิสเซอร์แลนด์
suivant	ติดตาม
beaucoup	มาก
beaucoup	หลาย
beaucoup	มากมาย
dire	พูด
dire	กล่าว
seul	ลำพัง
seul	เฉพาะ
seul	เท่านั้น
fille	สาว
fille	ลูกสาว
enfants	เด็กๆ
enfants	เด็ก
enfants	ลูกๆ
pouvoir	อำนาจ
pouvoir	พลัง
pouvoir	พลังงาน
but	วัตถุประสงค์
merci	ขอบคุณ
tête	เฮด
tête	หัว
tête	head
territoire	อาณาเขต
ancienne	เก่า
ancienne	อดีต
ancienne	เก่าๆ
ancienne	โบราณ
ancienne	แก่
premiers	ก่อน
premiers	แรก
prend	เอา
prend	รับ
maire	เทศมนตรี
présente	ปัจจุบัน
personnalité	บุคลิกลักษณะ
personnalité	บุคลิกภาพ
personnalité	บุคลิก
ligue	สันนิบาต
ligue	ลีก
pages	เพจ
pages	หน้า
externe	ภายนอก
dernière	สุดท้าย
dernière	ล่าสุด
chanson	ซง
chanson	เพลง
poste	โพสต์
poste	โพส
grâce	พระคุณ
développement	พัฒนา
développement	พัฒนาการ
sortie	ออก
sortie	ทางออก
loi	ทำท่า
loi	กฎหมาย
loi	กฎ
équipes	ทีม
côté	ข้าง
côté	ไซด์
côté	ด้าน
mer	ทะเล
haute	สูง
haute	ไฮ
vue	ดู
espagne	สเปน
mère	แม่
fichier	แฟ้ม
nombreuses	หลาย
nombreuses	มากมาย
recherche	ค้นหา
recherche	ค้นคว้า
recherche	วิจัย
entraîneur	โค้ช
entraîneur	โค๊ช
semble	ปรากฏ
réalisé	ตระหนัก
réalisé	กำกับ
créé	สร้าง
devant	หน้า
écrit	เขียน
petite	เล็ก
bois	ไม้
bois	ดื่ม
bois	วูด
entreprise	กิจการ
entreprise	องค์กร
entreprise	ธุรกิจ
entreprise	บริษัท
retour	กลับ
numéro	จำนวน
numéro	หมายเลข
principale	หลัก
sainte	ศักดิ์สิทธิ์
sainte	เซนต์
sainte	ศีล
sainte	นักบุญ
comté	มณฑล
comté	เปรม
gare	สถานี
terme	วาระ
technique	เทคนิค
révolution	ปฏิวัติ
objet	หัวข้อ
objet	วัตถุประสงค์
lorsque	เมื่อ
lorsque	เมื่อไร
lorsque	ตอน
cinéma	ภาพยนตร์
cinéma	ภาพยนต์
cinéma	หนัง
plan	แผนที่
serait	จะ
œuvres	ทำงาน
zone	พื้นที่
zone	บริเวณ
compagnie	องค์กร
compagnie	บริษัท
laquelle	ซึ่ง
films	ภาพยนตร์
films	ภาพยนต์
films	หนัง
sources	ต้นทาง
parc	สวน
parc	จอด
moyenne	กลาง
moyenne	เฉลี่ย
mouvement	ขบวนการ
mouvement	เคลื่อนไหว
succès	สำเร็จ
rivière	แม่น้ำ
jamais	เคย
vidéo	วีดีโอ
vidéo	วิดีโอ
député	ปลัด
moyen	กลาง
moyen	เฉลี่ย
bon	ดี
bon	เก่ง
peintre	จิตรกร
voix	เสียง
voix	โหวต
rouge	เรด
rouge	แดง
seulement	เท่านั้น
seulement	เฉพาะ
pont	บริดจ์
pont	สะพาน
libre	ฟรี
libre	อิสระ
libre	ว่าง
libre	เสรี
sein	อก
milieu	กลาง
belgique	เบลเยียม
belgique	เบลเยี่ยม
grands	ใหญ่
georges	จอร์จ
blanc	ขาว
blanc	ว่าง
blanc	ไวท์
gauche	ซ้าย
gauche	เหลือ
travaux	งาน
travaux	ทำงาน
donne	ให้
donne	มอบ
passe	ผ่าน
produit	ผลิตภัณฑ์
produit	สินค้า
aide	ช่วย
utilisé	ใช้
victoire	ชนะ
victoire	ชัยชนะ
femmes	สตรี
femmes	หญิง
aurait	จะ
autour	รอบๆ
autour	รอบ
belge	เบลเยียม
belge	เบลเยี่ยม
certaines	บาง
certaines	บ้าง
angleterre	อังกฤษ
afrique	แอฟริกา
personne	บุคคล
mis	วาง
mis	ใส่
municipalité	เทศบาล
frère	น้อง
rencontre	พบ
rencontre	ประชุม
rencontre	พบปะ
japon	ญี่ปุ่น
publié	โพสต์
domaine	ช่อง
domaine	ทุ่ง
domaine	พื้นที่
domaine	โดเมน
domaine	ฟิลด์
domaine	สาขา
domaine	บริเวณ
domaine	สนาม
professeur	ครู
professeur	ศาสตราจารย์
professeur	คุณครู
professeur	อาจารย์
scientifique	วิทยาศาสตร์
honneur	เกียรติ
honneur	เกียรติยศ
seule	ลำพัง
seule	เฉพาะ
seule	เท่านั้น
cause	สาเหตุ
nouvelles	ใหม่
nouvelles	นิว
nouvelles	ข่าวสาร
nouvelles	ข่าว
comte	นับ
comte	จำนวนนับ
fort	เข้ม
fort	แรง
fort	แข็งแกร่ง
journal	ไดอารี่
journal	หนังสือพิมพ์
différents	ต่าง
dix	สิบ
taille	ขนาด
taille	เอว
taille	ไซส์
sport	กีฬา
sport	สปอร์ต
principal	หลัก
sujet	หัวข้อ
référence	อ้างอิง
croix	กางเขน
croix	ข้าม
mettre	วาง
mettre	ใส่
enfin	สุดท้าย
millions	ล้าน
noir	มืด
noir	ดำ
noir	เข้ม
joue	แก้ม
londres	ลอนดอน
chapelle	โบสถ์
russe	รัสเซีย
manière	ทาง
manière	วิถี
manière	หนทาง
manière	วิธี
activités	กิจกรรม
sciences	วิทยาศาสตร์
classe	ห้องเรียน
classe	คลาส
classe	เรียน
droite	ถูก
droite	ขวา
lieux	ตำแหน่งที่ตั้ง
née	เกิด
actuel	ปัจจุบัน
espace	อวกาศ
espace	พื้นที่
villes	นคร
villes	ซิตี้
villes	เมือง
fer	เตารีด
fer	เหล็ก
activité	กิจกรรม
organisation	องค์กร
organisation	องค์การ
sélection	เลือก
assez	พอ
institut	สถาบัน
internationale	นานาชาติ
internationale	สากล
cadre	กรอบ
cadre	เฟรม
sept	เจ็ด
différentes	ต่าง
lac	ทะเลสาบ
affaires	กิจการ
affaires	ธุรกิจ
télévision	โทรทัศน์
télévision	ทีวี
duc	ดุก
duc	ดุ๊ค
duc	ดุ๊ก
duc	ดุค
évêque	บิชอป
cour	ลาน
cour	ศาล
cour	สำนัก
résultats	ผลลัพธ์
résultats	ผล
hors	ปิด
hors	ออก
problème	ปัญหา
finalement	สุดท้าย
bonne	ดี
bonne	เก่ง
grandes	ใหญ่
vol	โจรกรรม
premières	ดิบ
premières	ดิบๆ
premières	แรก
premières	ก่อน
donné	บริจาค
discussion	แชท
discussion	แชต
dame	เลดี้
épouse	ภรรยา
épouse	เมีย
épouse	ภริยา
axe	แกน
mesure	วัด
mesure	สัดส่วน
prendre	รับ
prendre	เอา
prendre	การพา
données	อินเทอร์เน็ต
données	ข้อมูล
lequel	ซึ่ง
pologne	โปแลนด์
couleur	สีสัน
couleur	สี
bande	เทป
bande	วง
bande	แก๊ง
capitale	ทุน
capitale	พระนคร
côte	ชายฝั่ง
côte	ซี่โครง
côte	ฝั่ง
façon	ทาง
façon	วิถี
façon	หนทาง
façon	วิธี
étape	เวที
étape	ขั้น
étape	ก้าว
créée	สร้าง
combat	สู้
combat	รบ
combat	ศึก
combat	ต่อสู้
combat	สงคราม
russie	รัสเซีย
mètres	เมตร
presse	สื่อ
presse	กด
académie	สถาบัน
construit	สร้าง
épisodes	ตอน
entrée	รายการ
revue	รีวิว
revue	วิจารณ์
revue	วารสาร
revue	นิตยสาร
jeunes	ยัง
course	แข่ง
ceinture	เข็มขัด
ceinture	สายพาน
tableau	ตาราง
tableau	โต๊ะ
heures	ชั่วโมง
maître	อาจารย์
marque	มาร์ค
marque	แบรนด์
marque	เครื่องหมาย
marque	เครื่องหมายการค้า
marque	ยี่ห้อ
intérieur	ภายใน
olympique	โอลิมปิก
olympique	โอลิมปิค
qualité	คุณภาพ
langues	ภาษา
propre	สะอาด
propre	ล้าง
chine	จีน
politiques	การเมือง
politiques	นโยบาย
patrimoine	มรดก
évolution	วิวัฒนาการ
tours	หอคอย
amérique	อเมริกา
mal	ผิด
mal	แย่
mal	เลว
mal	ร้าย
mal	ธรรม
nuit	คืน
nuit	ราตรี
nuit	ไนท์
nuit	ค่ำคืน
principalement	หลักๆ
prise	ถ่าย
générale	ทั่วไป
générale	แม่ทัพ
vitesse	ความเร็ว
scénario	บท
chemin	ถนน
chemin	พาธ
réalisation	ตระหนัก
centrale	เซ็นทรัล
statut	สถานภาพ
statut	สถานะ
groupes	วง
groupes	กลุ่ม
avis	สังเกตุ
avis	สังเกต
éléments	ธาตุ
salle	ห้อง
carte	แผนที่
sociale	สังคม
valeur	ค่า
valeur	มูลค่า
utilisation	ใช้
allemande	เยอรมัน
palais	พระราชวัง
palais	วัง
palais	ราชวัง
composé	แต่ง
composé	สารประกอบ
droits	สิทธิ
droits	สิทธิ์
court	สั้น
court	เตี้ย
court	สั้นๆ
vallée	หุบเขา
anciens	เก่า
anciens	เก่าๆ
anciens	โบราณ
anciens	แก่
basse	โลว์
basse	ต่ำ
basse	แบส
basse	แบต
basse	แบ
basse	เบส
nationalité	พลเมือง
nationalité	สัญชาติ
chambre	ห้อง
nouveaux	ใหม่
nouveaux	นิว
savoir	รู้
savoir	ทราบ
glace	ไอซ์
originale	ต้นฉบับ
originale	ดั้งเดิม
originale	เดิม
proche	ปิด
proche	ใกล้
mot	คำ
main	มือ
main	มือขวา
main	หัตถ์
huit	แปด
assemblée	สมัชชา
populaire	นิยม
populaire	เด่น
critique	วิกฤต
critique	วิกฤติ
critique	วิจารณ์
publication	โพสต์
publication	โพส
dieu	อัลลอฮฺ
dieu	พระเจ้า
dieu	อัลลอฮ์
japonais	ญี่ปุ่น
hôtel	โรงแรม
australie	ออสเตรเลีย
catholique	คาทอลิก
accord	คอร์ด
campagne	แคมเปญ
campagne	ชนบท
rapidement	ด่วน
rapidement	เร็ว
rapidement	รวดเร็ว
rapidement	ไว
anne	แอน
étude	ศึกษา
étude	เรียน
programme	โปรแกรม
importante	สำคัญ
coup	เป่า
coup	ยิง
enfant	เด็กๆ
enfant	กุมาร
enfant	ลูกๆ
enfant	เด็ก
maurice	มอริเชียส
défense	ป้องกัน
contrôle	ควบคุม
contrôle	คอนโทรล
noms	ชื่อ
produits	ผลิตภัณฑ์
produits	สินค้า
fondation	มูลนิธิ
fondation	รากฐาน
européenne	ยุโรป
file	คิว
cœur	แกน
cœur	หัวใจ
cœur	หลัก
cœur	ใจ
pris	ถ่าย
bâtiment	ตึก
bâtiment	อาคาร
juste	แค่
amour	ชอบ
amour	รัก
mont	ภูเขา
statistiques	สถิติ
bonjour	สวัสดี
économique	เศรษฐกิจ
unité	หน่วย
unité	สามัคคี
unité	เอกภาพ
unité	ยูนิต
lignes	บรรทัด
lignes	แถว
lignes	เส้น
montre	นาฬิกา
montre	ชม
montre	โชว์
montre	ดู
montre	แสดง
littérature	วรรณคดี
littérature	วรรณกรรม
attaque	โจมตี
principaux	หลัก
sol	พื้น
sol	ดิน
chaîne	ช่อง
chaîne	โซ่
chaîne	ลูกโซ่
pourrait	อาจ
pourrait	สามารถ
fond	ล่าง
mode	แฟชั่น
espagnol	สเปน
artiste	จิตรกร
artiste	ศิลปิน
créer	สร้าง
garde	องครักษ์
sécurité	รปภ
comédie	ตลก
bruxelles	บรัสเซลส์
empereur	จักรพรรดิ
ministère	กระทรวง
chevalier	อัศวิน
chevalier	ไนท์
armes	อาวุธ
armes	แขน
armes	ปืน
livres	หนังสือ
principales	หลัก
personnalités	บุคลิก
unique	โสด
capitaine	กัปตัน
large	กว้าง
parce	เพราะ
demandé	ถาม
demandé	ร้องขอ
divers	เบ็ดเตล็ด
actuelle	ปัจจุบัน
classique	คลาสสิค
présent	ปัจจุบัน
passé	อดีต
mandat	หมาย
mandat	อาณัติ
taux	อัตรา
transport	ขนส่ง
sort	คาถา
sort	สะกด
oui	ใช่
oui	เย่
annonce	ประกาศ
pièce	เหรียญ
pièce	คลัง
pratique	ฝึก
pratique	ซ้อม
pratique	สะดวก
pratique	ฝึกฝน
pratique	ปฏิบัติ
terrain	ที่ดิน
terrain	แลนด์
secrétaire	เลขานุการ
secrétaire	เลขาฯ
secrétaire	เลขาธิการ
secrétaire	รัฐมนตรี
secrétaire	เลขา
donner	ให้
donner	บริจาค
donner	มอบ
pièces	เหรียญ
pièces	อะไหล่
fonctions	หน้าที่
fonctions	คุณสมบัติ
fonctions	ฟังก์ชัน
informations	ข้อมูล
marché	ตลาด
charge	โหลด
sites	เว็บไซต์
basket	บาสเกตบอล
utiliser	ใช้
économie	เศรษฐกิจ
économie	เศรษฐศาสตร์
longueur	ยาว
légende	ตำนาน
pense	คิด
vingt	ยี่สิบ
bibliothèque	ไลบรารี
commerce	เทรด
commerce	ค้า
commerce	แลก
énergie	พลังงาน
publique	สาธารณชน
publique	สาธารณะ
petits	เล็ก
parties	อะไหล่
intérêt	ดอกเบี้ย
intérêt	สนใจ
laurent	เดวิด
kilomètres	ไมลส์
kilomètres	ไมล์
kilomètres	กิโล
kilomètres	กิโลเมตร
régions	ภูมิภาค
passer	ผ่าน
enseignement	สอน
exposition	นิทรรศการ
poids	เวท
santé	สุขภาพ
santé	ดื่ม
santé	เชียร์
santé	อนามัย
heure	เวลา
heure	ชั่วโมง
feu	ไฟ
feu	เพลิง
profession	อาชีพ
trouver	ค้นหา
trouver	หา
voyage	ทริป
supérieur	อธิการ
derniers	สุดท้าย
derniers	ล่าสุด
localité	ตำแหน่งที่ตั้ง
localité	ตำแหน่ง
arrière	กลับ
arrière	หลัง
autriche	ออสเตรีย
résultat	ผลลัพธ์
résultat	ผล
couleurs	สีสัน
couleurs	สี
comment	วิธี
signe	เซ็น
signe	ป้าย
signe	ลงชื่อ
apparaît	ปรากฏ
orchestre	วง
concours	ประกวด
concours	แข่งขัน
moderne	โมเด็ม
longue	นาน
longue	ยาว
termine	เสร็จ
liées	มัด
problèmes	ปัญหา
célèbre	ดัง
doivent	ต้อง
mariage	แต่งงาน
mariage	แต่ง
architecte	สถาปนิก
mêmes	เดียวกัน
artistes	จิตรกร
artistes	ศิลปิน
presque	เกือบ
affaire	กรณี
affaire	คดี
esprit	สปิริต
esprit	วิญญาณ
esprit	รังเกียจ
esprit	ใจ
esprit	มายด์
esprit	จิต
suivi	ติดตาม
suivi	ตาม
moteur	มอเตอร์
moteur	เครื่องยนต์
ouverture	เปิด
alain	เดวิด
alain	ไมเคิล
alain	ไมเคิ้ล
élève	ศิษย์
séries	ซีรี่ส์
séries	อนุกรม
vienne	เวียนนา
parlement	รัฐสภา
étudiant	นักศึกษา
étudiant	นักเรียน
techniques	เทคนิค
théorie	ทฤษฎี
ami	เพื่อน
super	ยอด
super	เยี่ยม
françaises	ฝรั่งเศส
images	แม่ค้า
images	รูป
don	บริจาค
pourquoi	ทำไม
note	เชิงอรรถ
note	อรรถ
morts	ตาย
considéré	พิจารณา
secteur	ภาค
représentant	ตัวแทน
saisons	ฤดูกาล
forêt	ป่า
forêt	ฟอเรส
forêt	ฟอเรสต์
forte	เข้ม
forte	แรง
forte	แข็งแกร่ง
commandant	เมเจอร์
docteur	หมอ
docteur	ดอกเตอร์
docteur	แพทย์
artistique	อาร์ท
artistique	อาร์ต
artistique	ศิลปะ
loin	ไกล
loin	ห่าง
collège	มหาวิทยาลัย
collège	วิทยาลัย
utilise	ใช้
bassin	เชิงกราน
victoires	ชนะ
victoires	ชัยชนะ
rend	ทำให้
bureau	ออฟฟิศ
bureau	สำนักงาน
contrat	สัญญา
féminin	สตรี
féminin	หญิง
romain	โรมัน
professionnel	วิชาชีพ
arbitre	กรรมการ
directement	โดยตรง
directement	ตรง
appel	อุทธรณ์
appel	แย้ง
appel	โทร
semaine	อาทิตย์
semaine	สัปดาห์
pied	เท้า
pied	ตีน
neuf	เก้า
européen	ยุโรป
photographie	ภาพถ่าย
bord	ขอบ
canadien	แคนาดา
utilisée	ใช้
entreprises	กิจการ
entreprises	ธุรกิจ
entreprises	บริษัท
lumière	สว่าง
lumière	เบา
lumière	ไลท์
lumière	ไฟ
lumière	แสง
supérieure	อธิการ
soviétique	โซเวียต
textes	ข้อความ
royale	ราชวงศ์
royale	รอยัล
moitié	ครึ่ง
pilote	นักบิน
pilote	ไดรเวอร์
réponse	ตอบ
reine	ควีน
reine	ราชินี
chacun	แต่ละ
physique	กายภาพ
chansons	เพลง
compris	รวม
via	ผ่าน
californie	แคลิฟอร์เนีย
militaires	กองทัพ
militaires	ทหาร
pape	โป๊ป
quoi	อะไร
parle	พูด
parle	คุย
courant	ปัจจุบัน
lire	อ่าน
ouvrages	หนังสือ
industrie	อุตสาหกรรม
lettre	จดหมาย
terres	ที่ดิน
terres	แลนด์
brésil	บราซิล
opération	ธุรกรรม
piste	แทร็ค
piste	รันเวย์
piste	แทร็ก
paix	สันติ
paix	สันติภาพ
paix	สันติสุข
vieux	เก่า
vieux	เก่าๆ
vieux	แก่
propriétaire	เจ้าของ
faible	อ่อน
faible	ต่ำ
faible	โลว์
faible	อ่อนแอ
journée	วัน
journée	เดย์
chargé	โหลด
puissance	อำนาจ
puissance	พลัง
puissance	พลังงาน
zones	พื้นที่
zones	บริเวณ
formule	นมผง
formule	สูตร
sœur	น้อง
opéra	เปร่า
puisque	ตั้งแต่
joué	เล่น
gros	ขายส่ง
gros	อ้วน
gros	อ้วนๆ
gros	ใหญ่
gros	บิ๊ก
montagne	ภูผา
montagne	ภูเขา
diverses	เบ็ดเตล็ด
découverte	สำรวจ
front	คิ้ว
circonscription	ดิวิชั่น
poète	กวี
champ	ช่อง
champ	ทุ่ง
champ	ฟิลด์
champ	สาขา
champ	สนาม
religieux	ศาสนา
vote	โหวต
projets	โครงการ
romaine	โรมัน
obtenir	รับ
blanche	ขาว
blanche	ไวท์
belle	งดงาม
belle	สวยงาม
belle	สวยๆ
belle	สวย
chant	ซง
chant	เพลง
chant	ร้อง
mondial	เวิลด์
mondial	โกลบอล
mondial	โลก
longtemps	นาน
longtemps	ยาว
congrès	รัฐสภา
congrès	สภา
chinois	จีน
soleil	ซุน
soleil	แสงแดด
soleil	ซัน
soleil	แดด
soleil	พระอาทิตย์
allemands	เยอรมัน
sportif	กีฬา
sportif	สปอร์ต
amis	เพื่อนๆ
amis	เพื่อน
peinture	จิตรกรรม
peinture	ทาสี
inclinaison	เอียง
mexique	เม็กซิโก
limite	จำกัด
limite	วงเงิน
dernières	สุดท้าย
dernières	ล่าสุด
gens	ผู้คน
gens	ผู้
gens	คน
gens	บุคคล
gens	ประชาชน
guitare	กีต้าร์
guitare	กีตาร์
liberté	อิสรภาพ
liberté	อิสระ
liberté	เสรีภาพ
