年	イヤー
體	身体
體	本体
體	本文
球隊	チーム
左	左側
戴	着る
戴	ダイ
戴	摩耗
自然	自然
自然	ナチュラル
自然	ネイチャー
台北	台北市
台北	台北
澳門	マカオ
新的	新規
新的	新しい
經濟	経済
傑	慈恵
傑	カケス
傑	ジェイ
切	切り取り
切	カット
越南	ベトナム
快速	クイック
快速	速い
快速	高速
學	ラーニング
學	学ぶ
學	学習
學	学問
職業	キャリア
職業	経歴
職業	占領
職業	求人
職業	職業
團	連隊
廣	ワイド
廣	広い
相同	同じ
相同	おなじ
相同	同一
類	クラス
類	階級
兵	兵隊
兵	兵士
松	マツ
松	パイン
發	毛髪
發	ヘア
發	ヘアー
發	髪の毛
政策	施策
政策	政策
政策	方針
政策	ポリシー
銀	シルバー
日期	デート
日期	日付
單曲	シングルス
普通	普通
鰭	フィン
男子	メン
男子	男性
共和國	共和制
共和國	共和国
理由	理性
理由	理由
南京	南京
南京	南京市
交流	交換
總統	社長
總統	大統領
總統	プレジデント
公分	センチメートル
標準	基準
標準	スタンダード
標準	標準
標準	規格
標準	条件
排名	ランク
排名	順位
排名	ランキング
表	テーブル
韓國	朝鮮
韓國	韓国
行動	オペレーション
行動	アクション
行動	操作
行動	作戦
行動	運営
行動	運行
桑	クワ
博士	医師
博士	先生
博士	ドクター
博士	医者
立法	立法
尾	尾翼
尾	しっぽ
熱帶	熱帯
熱帶	トロピカル
議員	参事官
議員	議員
漫畫	カートゥーン
漫畫	漫画
漫畫	コミック
漫畫	マンガ
短	短い
短	ショート
坑	ピット
大型	大きい
凱	カイ
凱	ケイ
生物	生き物
生物	生物
城鎮	タウン
城鎮	タウンズ
春	スプリング
海軍	海軍
海軍	ネイビー
公路	道路
公路	ハイウェイ
公路	公道
冠	クラウン
作家	ライター
作家	作家
空	空っぽ
雪	スノー
牛	ウシ
牛	ブル
牛	カウ
火	火災
火	火事
火	ファイア
攻擊	アサルト
攻擊	攻撃
攻擊	暴行
攻擊	進撃
值	価額
值	バリュー
十二	十二
新加坡	シンガポール
琳	リン
西部	ウエスタン
西部	ウエスト
西部	ウェスタン
西部	ウェスト
西部	西部
土	土壌
土	ダート
早期	早い
早期	アーリー
速度	速度
速度	スピード
合併	合併
合併	マージ
合併	統合
合併	併合
建築	アーキテクチャ
建築	建設
建築	建築
建築	建築物
建築	建物
道路	道路
發表	出版
發表	公開
發表	パブリッシング
低	低い
色	カラー
轉	曲がる
轉	ターン
仍然	スティル
仍然	まだ
仍然	それでも
來自	から
天津	天津市
天津	天津
技術	技法
技術	テクニック
技術	テクニカル
技術	テクノロジー
技術	技術
主任	ディレクター
主任	取締役
主任	監督
畢業	卒業
設	セット
設	集合
機場	空港
館	パビリオン
天主教	カトリシズム
天主教	カトリック
富	金持ち
富	リッチ
芬	フィン
程	チェン
房	ルーム
房	部屋
太平洋	パシフィック
費	料金
費	手数料
情況	シチュエーション
情況	状況
最初	当初
來源	出典
來源	ソース
首都	資本
首都	キャピタル
首都	首都
牌	カード
杯	コップ
杯	カップ
廣告	広告
深	奥行き
深	深い
深	ディープ
深	深度
描述	説明
描述	解説
皇帝	エンペラー
皇帝	天皇
皇帝	皇帝
域	ドメイン
團體	グループ
流行	ポピュラー
流行	ポップ
流行	人気
潘	パン
計畫	計画
計畫	プラン
列車	列車
列車	トレイン
列車	電車
環	ループ
環	リング
環	指輪
父	父親
不明	不明
不明	未確認
取代	置換
兄弟	ブラザー
兄弟	兄弟
物理	物理
物理	フィジカル
底	ボトム
武器	凶器
武器	武器
武器	兵器
顯示	ディスプレイ
顯示	ショー
制度	政権
報告	レポート
報告	報告
秒	番目
秒	セカンド
第五	フィフス
雲	ユン
小說	フィクション
小說	小説
程度	学位
導演	ディレクター
導演	取締役
導演	監督
父親	父親
和平	平和
和平	ピース
西北	北西
西北	北西部
圈	サークル
修改	編集
修改	変更
直	ストレート
直	まっすぐ
生產	製作
生產	製造業
生產	プロダクション
生產	生産
申請	アプリケーション
申請	出願
單	独身
單	シングル
谷	谷間
谷	バレー
巴黎	パリス
巴黎	パリ
家庭	家族
流域	盆地
流域	流域
宗教	宗教
英格蘭	イギリス
拜	バイ
聯合	関節
當地	地元
當地	ローカル
不久	まもなく
不久	もうすぐ
作用	役割
改革	革新
改革	リフォーム
改革	改革
藝術	美術
藝術	アート
藝術	芸術
球員	プレイヤー
球員	プレーヤー
球員	選手
教區	教区
處理	加工
處理	ハンドリング
處理	ハンドル
處理	取扱
處理	取り扱い
處理	処理
先生	サー
建議	推薦
建議	暗示
建議	助言
建議	アドバイス
建議	提案
建議	おすすめ
建議	プロポーズ
旅	旅団
全國	全国
人員	人材
人員	職員
虎	トラ
虎	タイガー
超級	スーパー
土地	ランド
土地	土地
四川	四川省
展	展示
特色	フィーチャー
特色	機能
特色	特徴
公園	公園
公園	パーク
包	パッケージ
包	バオ
包	パック
包	かばん
包	バッグ
西南	南西
翼	ウイングス
翼	ウイング
翼	つばさ
孔	コング
孔	ホール
盧	ルー
研究所	研究所
協會	協会
協會	社団
協會	アソシエーション
主演	主演
文學	文芸
文學	文学
頻道	チャネル
頻道	チャンネル
頻道	海峡
少年	ティーン
少年	ジュニア
少年	十代
舊	オールド
舊	古い
大家	みんな
股份	株式
股份	シェア
泉	和泉
泉	いずみ
紀錄	記録
紀錄	レコード
影片	映画
影片	ビデオ
影片	フィルム
影片	動画
影片	ムービー
身份	アイデンティティー
身份	アイデンティティ
基地	塩基
基地	ベース
文件	ファイル
電視劇	ドラマ
更多	もっと
藍	ブルー
藍	青い
藍	青色
居住	居所
居住	住居
力量	強度
力量	体力
板	ボード
板	プレート
浙江	浙江省
船	ボート
船	船舶
文章	冠詞
文章	記事
意見	コメント
意見	意見
公主	プリンセス
公主	王女
同意	賛成
同意	合意
同意	同意
果	果実
果	フルーツ
果	果物
最多	マックス
地下	地下鉄
地下	地下
十	テン
銀行	バンクス
銀行	バンク
銀行	銀行
非洲	アフリカ
媒體	メディア
支援	バックアップ
支援	支持
支援	サポート
陵	陵墓
陵	霊廟
拍攝	撮影
拍攝	射撃
拍攝	シュート
還有	そして
西藏	チベット
俄羅斯	ロシア
節	祭り
節	お祭り
節	フェスティバル
節	祭事
分析	分析
分析	解析
偉	ワイ
旗	フラグ
旗	バナー
旗	横断幕
旗	国旗
行星	惑星
作者	作者
作者	ライター
作者	著者
作者	作家
北海道	北海道
皇家	ロイヤル
電子	エレクトロニクス
電子	エレクトロニック
電子	電子
三十	三十
倫敦	ロンドン
範圍	レンジ
範圍	範囲
範圍	スコープ
黨	パーティ
黨	パーティー
微	マイクロ
教堂	教会堂
教堂	教会
教堂	チャーチ
警察	警察
警察	警察官
警察	ポリス
絲	シルク
帝國	帝政
帝國	エンパイア
帝國	帝国
娛樂	娯楽
娛樂	エンターテインメント
娛樂	レクリエーション
娛樂	エンターテイメント
坡	ポー
坡	斜面
坡	傾き
坡	スロープ
方案	演目
方案	プログラム
屋	ハウス
詞	単語
詞	言葉
詞	ワード
洞	洞窟
洞	ホール
宮	宮殿
影	シャドウズ
影	シャドー
影	シャドウ
速	速度
速	スピード
會議	会議
會議	ミーティング
會議	カンファレンス
資訊	情報
戰鬥	ファイティング
戰鬥	ファイト
戰鬥	戦い
戰鬥	戦闘
戰鬥	バトル
項目	プロジェクト
項目	アイテム
項目	品物
玩家	プレイヤー
玩家	プレーヤー
玩家	ゲーマー
玩家	選手
限制	限界
限制	リミット
限制	制限
電腦	コンピュータ
電腦	コンピューター
創作	創造
創作	クリエイティブ
創作	作成
引擎	エンジン
執行	処刑
執行	執行
執行	実行
英雄	ヒーロー
英雄	ヒーローズ
下午	午後
透過	スルー
反對	異議
反對	野党
小時	時間
昂	アン
昂	アウン
體育	スポーツ
投入	入力
有些	いくつか
有些	いくらか
有些	一部
元素	食材
元素	要素
元素	エレメント
元素	成分
元素	元素
元素	材料
宇	ウー
任命	任命
任命	選任
任命	予約
任命	任用
跨	トランス
王朝	王朝
區域	ゾーン
區域	領域
區域	地域
區域	エリア
區域	面積
區域	リージョン
以前	以前
報	新聞
報	新聞紙
分子	分子
隧道	トンネル
孫	太陽
崔	チェ
崔	クイ
申	シン
湖南	湖南省
雜誌	雑誌
雜誌	マガジン
有效	実効
有效	有効
平台	プラットホーム
平台	プラットフォーム
概念	概念
概念	コンセプト
議會	国会
議會	議会
傳統	伝統
夏季	サマー
照片	フォト
照片	写真
照片	画像
核	原子核
核	原子力
停止	停止
停止	ストップ
公開	公開
公開	公衆
公開	パブリック
仙	フェアリー
仙	妖精
劍	刀剣
機構	機関
機構	代理店
機構	制度
機構	エージェンシー
機構	施設
帶	持ち込み
帶	ブリング
帶	ベルト
操作	オペレーション
操作	操作
操作	作戦
操作	運営
操作	運行
取消	キャンセル
取消	取り消す
取消	解除
取消	抹消
取消	取り消し
人類	人間
人類	ヒューマン
人類	ヒト
市場	マーケットプレイス
市場	市場
市場	マーケット
飛	ハエ
飛	飛ぶ
飛	フライング
飛	フライ
軍事	軍隊
軍事	軍事
協助	アシスト
協助	援助
橋	ブリッジ
調查	調査
調查	アンケート
調查	捜査
投	ギプス
投	出演
投	キャスト
投	ピッチ
澳洲	オーストラリア
主教	ビショップ
紀念	土産物
紀念	土産
紀念	追悼
紀念	記念碑
地點	スポット
地點	ロケーション
地點	会場
地點	所在地
地點	場所
颱風	台風
決賽	ファイナル
決賽	決勝
決賽	最終
大臣	公使
大臣	大臣
柳	リュウ
人工	人工
守	まもる
移動	移動
移動	ムーブ
陸軍	軍隊
陸軍	アーミー
陸軍	陸軍
法院	コート
法院	法廷
法院	裁判所
留	滞在
留	ステイ
電	電気
電	エレクトリック
電	電力
運動員	アスリート
運動員	スポーツマン
運動員	選手
夢	ドリーム
羅馬	ローマ
科學	サイエンス
科學	科学
東北	北東
烏克蘭	ウクライナ
啟用	アクティブ
啟用	有効
皇后	女帝
皇后	クイーン
皇后	女王
皇后	皇后
肯	ケン
九龍	九龍
柱	カラム
動物	動物
動物	アニマル
佛教	仏教
佛教	仏教徒
精神	スピリット
精神	メンタル
精神	スピリチュアル
精神	精神
企業	エンタープライズ
企業	ビジネス
企業	企業
企業	事業
企業	営業
核心	原子核
核心	コア
核心	カーネル
環境	環境
河南	河南省
飛機	飛行機
飛機	航空機
太陽	太陽
太陽	ソーラー
深圳	深セン
瑞典	スウェーデン
廳	ホール
關	オフ
福建	福建省
選擇	チョイス
選擇	セレクション
選擇	選択
選擇	選考
珠	ビーズ
比較	比較
眼	アイズ
編號	ナンバー
編號	番号
編號	数値
亭	キオスク
思想	思考
思想	想い
思想	考え
破壞	破壊
重建	再建
基督教	キリスト教
基督教	クリスチャン
基督教	キリスト教徒
南方	サウス
南方	南部
南方	サザン
洋	大洋
洋	ひろし
公民	シビック
公民	市民
燕	飲み込む
燕	ツバメ
改善	改良
改善	改善
改善	向上
鐵道	鉄道
製造	製造業
製造	製造
敏	ミン
網路	インターネット
網路	ネットワーク
網路	ウェブ
炮	大砲
炮	ガン
岩	ロックス
岩	岩石
岩	ロック
排	小隊
朋友	友だち
朋友	友達
朋友	友人
朋友	フレンド
離開	離れる
有人	誰か
生命	ライフ
生命	生命
生命	生活
生命	人生
十五	十五
油	石油
油	オイル
狀態	ステータス
狀態	近況
調	チューン
調	メロディ
賢	ヒョン
更新	更新
更新	アップデート
降	降順
彈	遊ぶ
彈	プレイ
彈	遊び
艦	船舶
主題	トピック
主題	テーマ
主題	話題
主題	件名
主題	主体
球場	スタジアム
返回	リターン
宇宙	宇宙
醫院	病院
平方	正方形
平方	広場
平方	四角
批准	追認
批准	承認
批准	批准
瑞士	スイス
大道	アベニュー
大道	大通り
大道	ブールバール
旅客	旅客
旅客	乗客
酒店	ホテル
西方	ウエスタン
西方	ウエスト
西方	ウェスタン
西方	ウェスト
西方	西部
現代	モダン
未來	フューチャー
未來	みらい
未來	将来
未來	未来
營	キャンプ
營	大隊
鯉	コイ
任務	タスク
任務	割り当て
任務	代入
任務	ミッション
任務	譲渡
商業	商業
商業	コマース
商業	コマーシャル
商業	ビジネス
商業	商用
商業	事業
商業	営業
基金	ファンド
基金	資金
空間	空間
空間	スペース
亮	リョウ
零	ゼロ
巨	巨大
巨	巨人
巨	ジャイアント
過去	過去
存	デポジット
存	預金
提高	増やす
提高	増額
提高	増加
嚴重	深刻
嚴重	重度
論	理論
論	セオリー
俊	ジュン
俊	じゅん
背景	生い立ち
背景	背景
母親	母親
母親	おかあさん
訓練	トレーニング
訓練	修行
訓練	講習
訓練	研修
訓練	訓練
葡萄牙	ポルトガル
行為	挙動
行為	行動
喬	ジョー
朝鮮	朝鮮
朝鮮	韓国
工業	産業
工業	工業
工業	業界
坦克	戦車
坦克	タンク
劇場	演劇
劇場	シアター
劇場	劇場
授予	授与
授予	受賞
授予	表彰
水域	ウォーターズ
參考	参照
參考	参考
參考	リファレンス
韓	ハン
台北市	台北市
台北市	台北
收入	所得
收入	歳入
收入	収益
收入	収入
珍	ジェーン
成績	実績
成績	事績
成績	達成
成績	事跡
成績	功績
成績	業績
盛	シェン
菜	料理
菜	ディッシュ
古代	古代
灰	灰色
灰	グレイ
灰	グレー
工具	ツール
工具	道具
工具	工具
寬	ワイド
寬	広い
提升	エレベーター
提升	リフト
退	退却
退	撤退
十八	十八
持續	連続
品牌	焼印
品牌	銘柄
品牌	ブランド
品牌	ブランディング
翻譯	翻訳
目標	ゴール
目標	目標
目標	ターゲット
目標	目的
基礎	基底
基礎	塩基
基礎	ベース
自動	オートマチック
自動	自動
自動	オート
群島	諸島
理論	理論
理論	ドクトリン
理論	セオリー
理論	教義
軍隊	軍隊
軍隊	アーミー
軍隊	陸軍
鏡	ミラー
注意	注意
注意	注目
大樓	建物
出口	出口
出口	終了
出口	輸出
出口	エクスポート
地震	地震
關於	について
海外	海外
海外	オフショア
高速公路	ハイウェイ
高速公路	公道
產品	プロダクト
產品	製品
產品	商品
條約	条約
助理	アシスタント
助理	助手
畫	塗料
畫	ペンキ
畫	ペイント
畫	ドロー
畫	引き分け
畫	絵画
舞	ダンス
舞	ダンシング
舞	踊り
舞	踊る
荷蘭	オランダ
獸	ビースト
獸	野獣
汽車	カーズ
汽車	自動車
汽車	クルマ
宏	マクロ
避免	避ける
命令	注文
命令	指揮
命令	コマンド
命令	オーダー
命令	命令
遠	遠く
遠	遠い
結構	アーキテクチャ
結構	構造
結構	構成
結構	建築
埃及	エジプト
字母	手紙
字母	レター
字母	アルファベット
大陸	大陸
大陸	本土
大陸	コンチネンタル
可可	ココア
可可	ココ
海岸	海岸
水平	水平
墨西哥	メキシコ
都市	メトロポリス
都市	大都市
學習	学習
學習	勉強
學習	ラーニング
