年	año
工作	trabajos
工作	funcionando
工作	trabaje
工作	trabajando
北	norte
政治	políticos
政治	política
政治	político
政治	políticas
政治	politicas
政治	politica
星	estrellas
星	estrella
星	estelar
她	ella
他的	sus
他的	su
面	fideos
面	tallarines
作品	funciona
作品	trabaja
作品	obras
作品	trabajos
河	rio
河	río
文化	cultivo
文化	cultivos
文化	culturas
文化	cultura
條目	entradas
馬	caballos
馬	caballo
更	mas
更	más
電影	cine
電影	película
電影	películas
電影	peliculas
電影	pelicula
季	temporadas
季	temporada
季	estaciones
龍	pulmones
龍	pulmón
龍	dragones
龍	pulmonar
龍	dragón
女	hembra
女	mujer
女	femenino
女	hembras
正式	formales
正式	formalmente
正式	oficialmente
外	exterior
外	afuera
外	fuera
美	belleza
美	hermosa
美	hermosura
美	guapa
美	hermoso
美	bellos
美	hermosos
字	palabras
字	palabra
因為	porque
北京	pekín
不同	distinta
不同	distintos
不同	diferente
不同	distinto
不同	diferentes
足球	futbol
足球	fútbol
目前	actualidad
目前	actual
目前	corriente
目前	actualmente
所有	todo
所有	todas
所有	todos
部分	parciales
部分	parcialmente
部分	parcial
中央	centrales
中央	céntrica
中央	céntrico
郡	condado
國家	pais
國家	nacionales
國家	nacional
國家	estados
國家	paises
國家	países
國家	país
國家	estado
球	balón
球	bola
球	pelota
生	cruda
生	crudos
生	crudo
但是	sino
但是	pero
街	calles
街	callejero
街	calle
提供	proporcionada
提供	proveer
提供	proporcionados
提供	proporcione
提供	proporcionar
提供	proporcionado
城市	ciudad
城市	ciudades
一些	algunos
一些	algunas
長	larga
長	largos
長	largo
水	agua
人物	personaje
人物	carácter
人物	caracter
軍	armada
軍	ejercito
軍	ejército
加入	únete
加入	adhesión
加入	unir
加入	unirse
上海	shanghái
上海	shangai
第三	tercera
第三	terceros
第三	tercer
第三	tercero
屬	género
魚	pescados
魚	peces
魚	pesca
魚	pescado
魚	pez
波	ola
波	oleada
波	onda
回	regreso
回	volver
回	espalda
無	ninguno
無	ninguna
你	te
你	tú
你	usted
你	tu
你	vos
方	colmillo
話	dialecto
東	oriente
東	este
英國	inglaterra
周	semana
周	semanas
石	piedra
石	gema
事件	evento
事件	acontecimientos
事件	incidentes
事件	incidente
事件	incidencias
事件	eventos
事件	acontecimiento
建立	construir
建立	establecimiento
建立	construye
建立	construya
建立	creación
生活	vida
生活	vivir
生活	viviendo
派	tarta
派	pastel
教育	enseñanza
教育	educacion
教育	educación
教育	educativa
教育	educativo
車站	estacion
車站	estación
之後	después
之後	tras
之後	despues
國際	internacional
國際	internacionales
獎	premiado
獎	laudo
獎	adjudicación
獎	premio
獎	galardón
獎	galardones
獎	premios
完成	completo
完成	terminar
完成	terminado
完成	terminada
完成	acabados
完成	completar
完成	completado
完成	terminados
完成	finalizar
完成	completas
完成	hecho
完成	completa
完成	acabar
完成	finalizado
完成	acabado
白	blancos
白	blanco
白	blancas
白	blanca
音樂	musicales
音樂	musica
音樂	música
沙	arena
他們	ellas
他們	ellos
可能	posibles
可能	posible
分布	distribuido
分布	distribución
分布	distribuidas
分布	reparto
分布	distribuciones
分布	distribuida
分布	repartido
地區	distrito
地區	zonas
地區	áreas
地區	superficie
地區	área
地區	zona
車	carros
車	automóvil
車	autos
車	coche
車	automóviles
車	coches
車	auto
車	carro
官	oficial
梅	mayo
中文	chino
中文	chinos
自由	gratuito
自由	libertad
自由	libres
自由	libre
自由	gratis
黃	amarilla
黃	amarillos
黃	amarillas
黃	amarillo
獲得	obtener
獲得	conseguir
獲得	obtenga
獲得	consigue
光	ligera
光	luz
光	ligero
重要	importantes
重要	importancia
重要	importante
工程	obras
工程	ingenieros
工程	trabaja
工程	trabajos
工程	funciona
工程	ingeniería
港	babor
港	puerto
港	puertos
港	oporto
列	columna
最後	última
最後	último
最後	últimos
提交	presentada
提交	presentado
提交	presentados
提交	enviar
提交	presentación
提交	enviado
提交	sometimiento
提交	someter
提交	sumisión
提交	presentar
一般	generalmente
需要	necesitaba
需要	necesito
需要	necesita
需要	necesitado
需要	necesitar
需要	necesitó
需要	necesidades
需要	necesidad
江	rio
江	río
臺灣	taiwanés
臺灣	taiwaneses
臺灣	taiwán
最佳	óptimas
最佳	óptima
最佳	óptimo
最佳	óptimos
這個	esto
這個	este
這個	esta
地方	plazas
地方	lugar
地方	sitios
地方	localidades
地方	lugares
系列	serie
電視	televisiones
電視	televisión
電視	televisor
黑	oscura
黑	negros
黑	negra
黑	oscuridad
黑	oscuro
黑	negras
黑	oscuros
黑	negro
花	flores
花	flor
神	dios
遊戲	juego
遊戲	juegos
最高	cima
最高	arriba
最高	suprema
最高	supremo
最高	supremos
要求	demandas
要求	requisito
要求	solicitud
要求	exigencia
要求	demanda
要求	solicita
要求	exigir
要求	solicitudes
要求	requerimientos
要求	requisitos
要求	petición
要求	peticiones
要求	solicitar
要求	solicite
要求	exigencias
讓	dejemos
版本	ediciones
版本	versiones
版本	versión
發現	descubrimiento
發現	encontrados
發現	encontradas
發現	descubra
發現	descubrimientos
發現	hallado
發現	encontrada
發現	descubren
發現	encontrado
發現	descubre
發現	descubrir
語	idioma
語	idiomas
語	lenguaje
語	lengua
只有	sólo
只有	solo
只有	solamente
只有	únicamente
內容	contenido
內容	contenidos
最大	máximo
最大	maximo
最大	máx
製作	producción
製作	produccion
製作	producciones
出生	nacido
出生	nacimientos
出生	nacidos
出生	nacimiento
出生	natalidad
出生	parto
航空	aire
航空	aerolínea
航空	aerolíneas
航空	aviación
數	numero
數	cuenta
數	contar
數	recuento
數	conde
數	contando
數	número
出版	publicado
出版	publicados
出版	publicar
出版	publicadas
出版	publicando
出版	publicaciones
出版	publicación
出版	editorial
出版	publicada
發展	desarrollo
成功	éxito
成功	exitos
成功	exito
成功	exitosas
成功	éxitos
成功	exitoso
成功	exitosa
成功	exitosos
面積	superficie
面積	zona
面積	área
堡	fortaleza
堡	fuerte
系統	sistema
系統	sistemas
班	pelotón
班	escuadrón
班	escuadra
冠軍	campeona
冠軍	campeón
冠軍	campeones
冠軍	campeon
問題	problemática
問題	cuestión
問題	interrogante
問題	preguntas
問題	cuestiones
問題	pregunta
問題	problema
問題	interrogantes
問題	problemas
海拔	elevación
海拔	altitud
海拔	elevaciones
島	isla
方式	método
率	tasa
率	calificar
請	porfavor
請	porfa
請	favor
名稱	nombre
名稱	nombres
名稱	denominación
官方	oficialmente
愛	amar
愛	amor
愛	amores
得到	obtener
得到	conseguir
得到	obtenga
得到	consigue
平	plano
平	piso
平	plana
街道	calles
街道	subdistrito
街道	callejero
街道	calle
存在	presencia
存在	existencia
刪除	suprimido
刪除	eliminando
刪除	suprimir
刪除	borrado
刪除	eliminada
刪除	eliminar
刪除	borrando
刪除	quitar
刪除	quita
刪除	eliminados
刪除	borrar
刪除	supresión
刪除	eliminado
設計	diseños
設計	diseño
設計	diseñar
設計	concepción
設計	diseñando
群	agrupar
群	grupo
命名	nombrar
命名	denominación
負責	responsable
負責	responsables
服務	sirva
服務	servicios
服務	servicio
服務	sirven
服務	servir
服務	sirve
機	maquina
機	máquina
任何	cualquiera
任何	cualquier
列表	lista
列表	listado
西班牙	españa
頁	paginas
頁	páginas
條	tiras
兩	dos
當	cuando
當	cuándo
超	súper
以上	arriba
以上	supra
著名	famosa
著名	famosos
著名	famosas
著名	famoso
聖	santo
聖	santa
聖	san
志	ji
已經	ya
梁	viga
梁	rayo
梁	vigas
梁	haz
梁	haces
專輯	álbumes
專輯	álbum
專輯	disco
角色	personaje
角色	caracteres
角色	personajes
角色	carácter
角色	rol
角色	papeles
角色	caracter
半	medio
半	mitad
成員	miembro
成員	miembros
成員	diputados
東京	tokio
新聞	novedades
新聞	noticia
新聞	noticias
現在	ahora
劇	dramático
劇	dramática
後來	después
後來	posteriormente
女性	hembra
女性	femenino
女性	mujeres
女性	hembras
女性	mujer
高度	altitud
高度	altura
高度	estatura
說	di
說	diga
說	dí
說	decir
男	machos
男	varón
男	macho
男	masculino
之前	antes
合作	colaboración
合作	cooperar
合作	cooperación
合作	colaborar
門	puertas
門	portón
門	puerta
卷	rollo
卷	rollos
卷	bobinas
位置	localización
位置	lugar
位置	posicion
位置	ubicación
位置	emplazamiento
位置	posición
位置	ubicacion
活動	evento
活動	actividades
活動	acontecimientos
活動	eventos
活動	actividad
活動	acontecimiento
只	sólo
只	solo
只	solamente
只	únicamente
歷史	historial
歷史	historia
歌曲	canciones
歌曲	cantos
歌曲	canción
歌曲	cancion
歌曲	canto
點	puntos
點	punto
點	punta
植物	plantas
植物	planta
植物	vegetal
封	sella
封	foca
封	sello
皮	piel
皮	cuero
皮	cueros
非常	muy
而且	y
通常	generalmente
通常	usualmente
通常	normalmente
通常	habitualmente
形成	formación
形成	formando
比賽	juego
比賽	concurso
比賽	carrera
比賽	raza
比賽	certamen
聯賽	liga
聯賽	ligas
九	nueve
學校	colegios
學校	escuela
學校	escuelas
學校	colegio
完全	completamente
完全	totalmente
信	letra
信	carta
信	cartas
信	letras
期間	periodo
期間	período
接受	acepto
接受	aceptar
接受	aceptada
接受	aceptación
接受	aceptadas
接受	acepta
接受	aceptan
接受	aceptado
接受	aceptamos
接受	aceptados
書	libros
書	libro
交通	transportes
交通	transportación
交通	tránsito
交通	tráfico
交通	trafico
交通	transporte
木	madera
木	maderas
木	leña
討論	discusiones
討論	discutir
討論	debates
討論	discuta
討論	deliberaciones
故事	relatos
故事	cuentos
故事	historia
故事	historias
直接	directamente
直接	directos
直接	directas
直接	directo
直接	directa
參與	compromiso
參與	participación
參與	participantes
參與	implicación
參與	interacción
參與	participando
湖	laguna
湖	lago
湖	lagos
根	raices
根	raíces
根	raíz
保留	reservados
保留	reservado
保留	reservaciones
保留	reservas
保留	reserva
保留	reservada
保留	reservación
希望	esperanza
希望	esperanzas
手	manos
手	mano
心	corazón
心	corazon
心	corazones
巴士	ómnibus
巴士	autobus
巴士	autobuses
巴士	autobús
播放	difusión
播放	juegue
播放	obras
播放	jugando
播放	reproducción
播放	transmision
播放	radiodifusión
播放	transmisión
播放	emisión
播放	juega
播放	jugar
播放	reproducir
播放	tocando
音	consonante
音	tono
音	tonos
增加	incrementos
增加	incremento
增加	aumenta
增加	creciente
增加	aumentar
增加	aumentado
增加	aumentando
增加	incrementado
增加	aumentan
增加	aumento
增加	aumentada
增加	aumentos
增加	incrementando
角	angulo
角	cabo
角	angulares
角	rincón
角	punta
角	esquina
角	ángulo
角	capa
角	punto
天文台	observatorio
天文台	observatorios
這些	estos
這些	éstos
這些	estas
這些	éstas
太	tambien
太	demasiado
太	también
永	ala
歌	canciones
歌	cantos
歌	canción
歌	cancion
歌	canto
美元	dólares
美元	dólar
美元	dolares
美元	dolar
圖	gráfica
圖	grafo
圖	diagrama
圖	gráfico
圖	figura
圖	cifra
投票	votando
投票	sondeo
投票	votaciones
投票	votar
投票	votación
投票	voto
投票	encuesta
灣	cala
灣	caleta
灣	bahía
灣	ensenada
民主	democracia
寺	templos
寺	templo
寺	sien
雖然	aunque
參加	participación
參加	asista
參加	asistan
參加	participantes
參加	asistiendo
參加	participando
參加	asistir
特別	especial
特別	especiales
控制	mandos
控制	controla
控制	controles
控制	controlar
戰	batallas
戰	guerra
戰	batalla
戰	combate
電視台	televisiones
電視台	televisión
電視台	televisor
以下	debajo
以下	abajo
然而	aún
七	siete
口	desembocadura
口	boca
委員會	comision
委員會	comisión
編輯	editar
編輯	editando
編輯	editora
編輯	montaje
編輯	edición
編輯	edita
編輯	redactor
資料	dato
資料	datos
播出	difusión
播出	transmision
播出	radiodifusión
播出	transmisión
播出	emisión
路線	ruta
路線	rutas
年度	año
宋	cancion
宋	canción
宋	canto
附近	cercana
附近	cerca
附近	cercano
歌手	cantante
歌手	cantantes
歌手	cantor
店	almacenar
店	almacén
店	tienda
二十	veintiuno
二十	veinte
組織	división
組織	organización
組織	tejido
組織	tejidos
組織	organizacion
分類	clasificación
分類	clasificaciones
分類	clasificar
教授	profesor
教授	catedrático
教授	profesora
盃	taza
盃	copa
源	origen
源	fuente
源	procedencia
八	ocho
法國	francia
除了	salvo
除了	excepto
文字	texto
民族	étnico
民族	etnia
民族	etnias
民族	nacionalidades
民族	étnica
主席	presidente
主席	presidenta
不過	sino
不過	pero
文物	antigüedades
文物	artefactos
文物	reliquias
老	viejo
老	vieja
老	antigua
老	viejos
老	antiguo
女子	mujer
選	elegir
世紀	siglo
鐵	plancha
鐵	hierro
德國	alemania
票	pasaje
票	billete
票	billetes
票	boleto
票	entradas
票	boletos
打	lucha
打	pelea
打	luchar
關係	parentesco
關係	relaciones
關係	relación
關係	relacion
能力	capacidad
能力	competencias
能力	habilidad
能力	capacidades
佛	buda
少	menos
網站	sitios
網站	web
網站	webs
網站	sitio
模板	plantilla
模板	plantillas
頭	cabezal
頭	cabeza
個人	individuales
個人	personales
個人	individuo
擁有	poseer
擁有	tenencia
擁有	posesión
學生	alumnos
學生	alumno
學生	estudiante
學生	alumna
學生	estudiantes
鎮	ciudad
鎮	pueblo
南部	sureño
南部	sureña
南部	sur
南部	meridional
語言	idioma
語言	lenguas
語言	idiomas
語言	lengua
語言	lenguaje
模式	modos
模式	patrón
模式	pautas
模式	patrones
模式	modalidad
模式	patron
模式	modo
模式	pauta
相關	afines
相關	pertinentes
相關	relevante
相關	relevantes
相關	pertinente
相關	conexo
相關	conexas
相關	relacionado
相關	relacionada
決定	decide
決定	decisiones
決定	decisión
楊	enero
楊	ene
方向	orientación
方向	direcciones
方向	dirección
方向	indicaciones
方向	instrucciones
方法	métodos
方法	metodologías
方法	método
影響	influenciar
影響	influir
影響	efectos
影響	repercusión
影響	impactos
影響	influencias
影響	influencia
影響	repercusiones
影響	impacto
屬於	perteneció
屬於	pertenecido
屬於	pertenecían
屬於	pertenecía
許多	muchas
許多	muchos
第四	cuarto
第四	cuarta
死	muerto
死	muertos
死	muerta
自治	autonomía
蘇	demandar
甚至	incluso
甚至	aun
甚至	hasta
開	abrir
開	abre
開	abierta
開	abra
開	abierto
見	véase
見	vea
見	ver
只是	simplemente
只是	sólo
只是	solo
結束	final
結束	fin
巴西	brasil
共同	frecuente
共同	frecuentes
共同	común
共同	comunes
出版社	editor
出版社	editoriales
出版社	editores
出版社	editorial
提名	nominaciones
提名	nominada
提名	nominados
提名	nominado
提名	candidatura
提名	nominación
提名	nombramiento
提名	candidaturas
保護	protegida
保護	protección
保護	proteger
保護	protegerla
保護	protege
保護	proteccion
保護	proteja
保護	protegidos
保護	protegidas
保護	protegiendo
保護	protegido
加上	agrega
加上	añade
加上	además
加上	añadir
加上	agregar
食	comiendo
食	comer
獨立	independientes
獨立	independencia
獨立	autonomía
獨立	independiente
包含	contiene
包含	contenga
距離	distancia
距離	distancias
社會	sociedad
社會	sociedades
社會	sociales
加拿大	canadá
兩個	dos
公尺	medidores
公尺	contadores
公尺	medidor
公尺	metros
還	tambien
還	igualmente
還	también
還	además
哥	hermano
歐洲	europeos
歐洲	europea
歐洲	europeas
歐洲	europeo
歐洲	europa
像	gustar
像	como
鐵路	ferroviario
鐵路	ferrocarril
鐵路	ferrocarriles
鐵路	carril
鐵路	ferroviarios
居民	residentes
居民	habitantes
功能	funcional
功能	característica
功能	funciones
功能	características
功能	largometraje
功能	funcionalidad
功能	funcionalidades
功能	rasgo
功能	función
功能	rasgos
功能	funcionales
功能	caracteristicas
聯盟	alianzas
聯盟	ligas
聯盟	coalición
聯盟	unión
聯盟	alianza
聯盟	sindicato
聯盟	liga
洪	colgado
利用	usar
利用	utilizar
利用	utilización
利用	uso
最終	eventualmente
平均	media
平均	promedio
侵	agresión
侵	asalto
侵	transgresión
雙	doble
雙	dobles
再次	nuevamente
網	neto
網	neta
網	telaraña
網	red
網	netos
量	cantidad
演員	actores
演員	elenco
演員	actriz
演員	reparto
亞洲	asiáticas
亞洲	asiáticos
亞洲	asiática
亞洲	asiático
亞洲	asia
全球	globalmente
全球	mundialmente
全球	mundial
全球	globales
全球	globo
全部	todo
全部	todas
全部	todos
北部	norte
北部	septentrional
北部	norteña
運動	deportes
運動	deporte
運動	moción
運動	movimientos
運動	movimiento
運動	deportivo
中共	pcc
中共	ccp
中共	ecc
毛	asqueroso
毛	bruto
毛	brutos
草	césped
草	hierba
草	pasto
直到	hasta
名字	nombre
名字	denominación
地球	tierra
地球	terrestre
死亡	fallecimiento
死亡	defunción
死亡	muerte
戰爭	guerra
戰爭	guerras
作曲	compone
作曲	componía
作曲	componer
溪	arroyo
溪	riachuelo
紅	roja
紅	rojas
紅	rojo
唱片	grabar
唱片	récord
唱片	registro
安全	asegurado
安全	seguro
安全	segura
學院	colegios
學院	colegio
學院	universidad
學院	academia
學院	universidades
鄉	municipio
原因	razones
原因	motivo
原因	razón
原因	razon
原因	causa
原因	motivos
通過	pase
通過	pasa
通過	vía
通過	paso
通過	pasen
通過	mediante
通過	pasar
管	tubo
管	pipa
管	tubería
強	fuertes
強	fuerte
選舉	electorales
選舉	eleccion
選舉	elección
選舉	elecciones
辛	pecado
法律	derecho
法律	ley
法律	leyes
法律	legislación
革命	revoluciones
革命	revolución
計劃	plano
計劃	planos
計劃	planes
時代	veces
時代	épocas
時代	tiempos
男性	machos
男性	masculino
男性	hombres
男性	varones
男性	macho
男性	varón
目的	finalidades
目的	objetivos
形式	forma
形式	formato
形式	formulario
基本	básicas
基本	básica
基本	básico
基本	básicos
葉	hoja
葉	hojas
單位	unidad
單位	unidades
修	arreglar
修	fijar
科技	tecnológico
科技	tecnológica
科技	tecnologia
科技	técnico
科技	tecnología
青年	juventud
青年	jovenes
青年	jóvenes
流	fluir
流	arroyo
流	flujo
流	arroyos
流	caudal
流	transmitiendo
蒙古	mongoles
蒙古	mongol
蒙古	mongolia
結果	resultados
結果	desenlace
結果	resultado
教	enseñar
教	enseñanza
教	enseñe
教	enseñas
教	enseña
教	enseñando
教	docencia
教	profe
解放	liberó
解放	liberación
解放	emancipación
解放	liberado
解放	liberados
解放	liberada
解放	liberadas
體	corporal
體	carrocería
體	cuerpo
體	cadáver
球隊	equipos
球隊	equipo
左	izquierdo
左	izquierda
戴	desgaste
自然	naturaleza
自然	naturales
自然	naturalidad
自然	naturalmente
澳門	macao
新的	nuevas
新的	nueva
新的	nuevo
新的	novedades
新的	novedad
新的	nuevos
經濟	económicas
經濟	económico
經濟	económicos
經濟	economia
經濟	económica
經濟	economico
經濟	economía
切	corten
切	cortar
切	corte
切	corta
一起	juntos
一起	juntas
越南	vietnamitas
越南	vietnamita
快速	rápido
快速	rapidez
快速	rapido
快速	rápida
快速	ayuno
學	aprendan
學	aprende
學	aprenda
學	aprendiendo
學	aprendizaje
學	aprender
職業	ocupación
職業	carreras
職業	carrera
職業	profesiones
職業	profesión
職業	ocupaciones
團	regimiento
百	cien
百	centenar
廣	amplias
廣	amplio
廣	amplia
廣	ancho
相同	idéntica
相同	idénticas
相同	idéntico
相同	igual
相同	idénticos
相同	mismo
相同	misma
類	clase
類	clases
兵	soldados
兵	soldado
億	billón
億	billones
分鐘	minutos
分鐘	actas
分鐘	minuto
松	pino
松	pinus
松	pinos
發	peinado
發	pelo
發	cabellos
發	cabello
超過	exceder
政策	póliza
政策	política
政策	pólizas
政策	políticas
政策	politicas
政策	politica
銀	plata
銀	plateado
日期	fecha
日期	cita
日期	fechas
單曲	sencillos
單曲	solteros
單曲	individuales
普通	ordinario
普通	ordinarias
普通	ordinarios
普通	ordinaria
鰭	aleta
鰭	aletas
男子	hombres
共和國	republica
共和國	república
理由	razones
理由	motivo
理由	razón
理由	razon
理由	motivos
交流	intercambio
交流	intercambios
交流	cambio
交流	canje
總統	presidente
總統	presidenta
公分	centímetro
標準	normas
標準	norma
標準	estandar
標準	criterios
標準	criterio
標準	estándar
標準	estándares
排名	clasificación
排名	clasificaciones
排名	ranking
排名	clasificado
排名	rango
表	tabla
表	cuadro
表	mesa
韓國	coreana
韓國	corea
韓國	coreanos
韓國	coreano
行動	acción
行動	accion
行動	operación
行動	acciones
行動	funcionamiento
博士	medico
博士	doctora
博士	médico
立法	legislación
尾	cruz
尾	cola
尾	rabo
尾	colas
熱帶	tropicales
熱帶	trópicos
熱帶	trópico
議員	concejal
議員	diputado
議員	congresista
議員	senadora
議員	senador
漫畫	cómico
漫畫	historietas
漫畫	historieta
漫畫	cómic
漫畫	viñetas
漫畫	caricaturas
漫畫	cómics
漫畫	caricatura
短	cortos
短	corto
短	breve
短	corta
坑	fosa
坑	foso
坑	hoyo
坑	pozo
坑	pozos
大型	grandes
大型	grande
生物	biológica
生物	biológicas
生物	criatura
生物	biológicos
生物	criaturas
生物	organismos
生物	biológico
生物	biología
城鎮	ciudad
城鎮	pueblos
城鎮	ciudades
城鎮	pueblo
春	manantial
春	primavera
春	resorte
海軍	armada
海軍	marina
海軍	navales
公路	carretera
公路	autovía
公路	autopistas
公路	carreteras
公路	camino
公路	autopista
公路	caminos
冠	corona
作家	escritora
作家	escritor
作家	guionistas
作家	redactores
作家	escritores
空	vacía
空	vacíos
空	vacío
空	vacías
空	vacio
空	vaciar
雪	nieve
雪	nieves
雪	nevado
牛	vaca
牛	bovinos
牛	bovino
牛	ganado
牛	toro
火	fuego
火	incendio
攻擊	agresión
攻擊	atentados
攻擊	ataques
攻擊	asalto
攻擊	ataquen
攻擊	ataca
攻擊	atentado
攻擊	ataque
攻擊	atacar
值	valorar
值	valor
值	valora
值	valores
十二	doce
新加坡	singapur
西部	occidental
西部	occidentales
西部	oeste
西部	occidente
土	suciedad
土	tierra
土	suelos
土	mugre
土	suelo
早期	temprano
早期	primeros
速度	velocidad
速度	celeridad
速度	rapidez
合併	fusionar
合併	combinar
合併	fusiones
合併	fusión
合併	concentraciones
合併	fusionado
合併	consolidación
建築	edificios
建築	edificación
建築	construccion
建築	arquitectura
建築	edificio
建築	construyendo
建築	construcciones
建築	construcción
建築	inmuebles
建築	edificaciones
道路	carretera
道路	caminos
道路	carreteras
道路	camino
發表	publicado
發表	publicados
發表	publicar
發表	publicadas
發表	publicando
發表	publicaciones
發表	publicación
發表	editorial
發表	publicada
發表	publique
發表	publico
低	bajas
低	bajo
低	bajos
低	baja
低	bajar
低	inferior
轉	turno
轉	girar
仍然	todavia
仍然	aún
仍然	todavía
來自	de
來自	desde
每年	anuales
每年	anual
每年	anualmente
技術	tecnológico
技術	tecnológica
技術	técnica
技術	tecnica
技術	tecnología
技術	tecnologías
技術	tecnologia
技術	técnicos
技術	técnicas
技術	técnico
主任	directora
畢業	graduada
畢業	licenciado
畢業	graduación
畢業	graduado
畢業	graduados
畢業	postgrado
設	conjunto
設	fijado
設	plató
機場	aeropuertos
機場	aeropuerto
威廉	guillermo
館	pabellón
天主教	católica
天主教	católico
天主教	catolicismo
天主教	católicos
富	rica
富	ricas
富	ricos
富	rico
千	mil
芬	aleta
房	sala
房	habitación
房	cuarto
她的	ella
她的	su
太平洋	pacifico
太平洋	pacífico
費	tasa
費	honorarios
費	cuota
情況	situación
情況	situacion
最初	inicialmente
來源	origen
來源	fuente
來源	procedencia
來源	fuentes
首都	capitales
牌	naipes
牌	tarjetas
牌	cartas
牌	baraja
杯	taza
杯	copa
廣告	anuncios
廣告	publicidad
廣告	anuncio
深	profundo
深	profundidad
深	profunda
描述	descriptiva
描述	describa
描述	describir
描述	descriptivo
描述	descriptivos
描述	descripciones
描述	descripción
皇帝	emperador
域	dominio
域	dominios
團體	agrupaciones
團體	agrupa
團體	grupos
流行	populares
潘	sartén
潘	cacerola
計畫	plano
列車	trenes
列車	entrenar
列車	tren
列車	entreno
環	anillos
環	bucle
環	anillo
父	padre
不明	desconocidos
不明	desconocido
不明	desconocida
不明	desconocidas
取代	sustituya
取代	reemplazo
取代	reemplazado
取代	sustituir
取代	sustituido
取代	reemplazados
取代	sustituyó
取代	sustituye
取代	reemplazar
兄弟	hermano
物理	fisico
物理	física
物理	físico
物理	físicos
物理	fisica
物理	físicas
底	inferior
右	derecho
