ve	et
aldı	prit
aldı	reçue
aldı	reçus
aldı	pris
aldı	prise
aldı	reçu
em	suce
em	sucer
farklı	différents
farklı	différent
farklı	différentes
farklı	différente
futbol	football
futbol	foot
doğru	droit
doğru	vrai
doğru	exact
doğru	corriger
doğru	précis
doğru	vraie
doğru	corrigez
doğru	précises
doğru	exacte
doğru	correcte
doğru	vrais
doğru	droite
doğru	véritable
tarım	agricoles
tarım	agricole
on	dix
on	rte
özel	personnalisée
özel	exclusif
özel	spéciales
özel	exclusives
özel	spéciale
özel	privé
özel	personnalisés
özel	coutume
özel	privée
özel	privés
özel	exclusivité
özel	spécial
özel	spéciaux
özel	personnalisé
özel	exclusifs
biri	un
biri	une
alanı	zone
alanı	champ
alanı	région
alanı	domaine
vikipedi	wikipédia
uzun	étendue
uzun	prolongée
uzun	longtemps
uzun	prolongés
uzun	longues
uzun	prolongé
uzun	étendu
uzun	longs
uzun	longue
şarkı	chant
şarkı	chanson
şarkı	chanter
şarkı	chansons
lig	ligue
orta	moyen
orta	moyennes
orta	milieu
orta	médium
orta	moyenne
orta	centrer
orta	centre
oyuncu	joueurs
oyuncu	lecteur
oyuncu	comédien
oyuncu	actrice
oyuncu	joueur
oyuncu	comédienne
oyuncu	acteur
geri	reculer
geri	revenir
geri	retour
geri	dos
geri	arriéré
geri	arrière
mesaj	texte
mesaj	textes
elektrik	electrique
elektrik	électrique
elektrik	electricité
elektrik	électricité
ardından	apres
ardından	après
ardından	aprés
merkezi	centrale
merkezi	centrer
merkezi	centre
kısa	courts
kısa	courte
kısa	brève
kısa	court
kısa	brèves
kısa	courtes
kısa	bref
güney	méridionale
güney	méridional
güney	sud
almanya	allemagne
kişi	personne
değil	pas
değil	non
kuzey	nordique
kuzey	septentrional
kuzey	nord
kuzey	septentrionale
çeşitli	variée
çeşitli	variété
çeşitli	diverses
çeşitli	divers
çeşitli	variées
çeşitli	varié
çeşitli	variés
açıklama	légende
açıklama	explication
açıklama	descriptif
açıklama	explications
ortaya	dévoiler
ortaya	révèlent
ortaya	révéler
bilgileri	infos
ingilizce	anglais
ingilizce	francais
ingilizce	anglaise
olmak	être
olmak	devenir
olmak	devenant
olmak	etre
amerika	amérique
amerika	amerique
el	main
burada	voilà
burada	ici
burada	voici
yok	aucune
yok	aucun
yok	néant
gol	buts
gol	but
gol	lac
gol	objectifs
gol	objectif
sağlayan	fournissant
sağlayan	permettant
ana	maman
ana	principaux
ana	principal
ana	principales
ana	mere
ana	principale
ana	mère
suyu	jus
özellikle	spécialement
özellikle	surtout
özellikle	précisément
özellikle	particulièrement
özellikle	spécifiquement
ilköğretim	élémentaires
ilköğretim	élémentaire
ilköğretim	primaire
birleşik	unis
birleşik	unifiés
birleşik	unifiées
birleşik	unifié
birleşik	unies
birleşik	unifiée
birleşik	unie
ödülü	récompenser
ödülü	récompense
altyapı	infrastructures
yerine	remplacez
yerine	remplacer
yerine	remplace
yerine	remplacement
gün	journée
gün	journee
gün	jour
geçen	passer
geçen	passant
doğu	oriental
doğu	orientaux
doğu	orienter
doğu	orientale
doğu	orient
doğu	orientales
doğu	est
süre	heure
süre	duree
süre	durée
süre	temps
sabit	constante
sabit	corrigé
sabit	constantes
sabit	fixes
sabit	stabilité
sabit	réparé
sabit	fixe
sabit	écurie
sabit	stables
sabit	constants
sabit	fixé
sabit	stable
eğitim	tutoriel
eğitim	enseignement
eğitim	instructif
eğitim	éducation
eğitim	entraînement
eğitim	éducatif
eğitim	formation
eğitim	didacticiel
eğitim	didacticiels
su	eaux
su	eau
sırasında	lors
sırasında	pendant
sırasında	durant
uluslararası	internationaux
uluslararası	internationale
yaklaşık	environ
yaklaşık	approximativement
yaklaşık	approximatif
yaklaşık	approximative
yaklaşık	env
alman	allemands
alman	allemande
alman	allemand
az	petite
az	moins
az	peu
az	petit
millî	nationaux
millî	nationales
millî	nationale
kaynak	soudage
kaynak	sources
kaynak	ressources
kaynak	ressource
kaynak	soudure
kaynak	souder
kullanılan	utilisé
kullanılan	utilisée
kullanılan	utilisées
kullanılan	utilisés
paşa	pacha
ligi	ligue
görev	assignation
görev	cession
görev	devoir
görev	tâche
görev	affectation
halk	gens
halk	peuples
halk	publiques
halk	publique
halk	personnes
halk	publics
tv	téléviseur
tv	télévision
tv	télé
onun	son
onun	ses
onun	sa
yine	encore
ekonomisi	economique
ekonomisi	économie
ekonomisi	economie
yılı	an
yılı	annee
yılı	année
telefon	téléphone
yeniden	encore
yeniden	rebâtir
yeniden	reconstruire
içme	potable
içme	boire
içme	boisson
etki	effets
etki	incidence
etki	influencer
etki	effet
sezon	saison
sezon	saisons
ingiliz	britanniques
ingiliz	anglaise
ingiliz	anglais
ingiliz	britannique
ingiliz	francais
puan	notée
puan	évalués
puan	noté
puan	cote
puan	partition
puan	classé
puan	marquer
puan	nominale
puan	évalué
puan	cotation
puan	notation
nedeniyle	dû
nedeniyle	dus
nüfus	populations
batı	occident
batı	occidentale
batı	ouest
batı	occidental
altında	sous
tür	espèce
tür	tapez
tür	genres
tür	espèces
tür	taper
amerikan	américain
amerikan	américaines
amerikan	américaine
amerikan	américains
savaş	bataille
savaş	guerre
savaş	lutte
savaş	combat
savaş	bagarre
savaş	combattre
tekrar	répétition
tekrar	rejouer
tekrar	répète
tekrar	répétez
tekrar	répéter
tekrar	encore
anadolu	asiatique
anadolu	asie
anadolu	anatolie
söz	promesses
söz	promettre
söz	promis
söz	promets
söz	promesse
söz	mot
rağmen	rancune
rağmen	dépit
rağmen	malgré
grubu	groupe
elde	atteint
elde	réaliser
elde	acquérir
elde	acquises
elde	acquise
elde	acquis
ait	appartenance
ait	appartenant
ait	appartient
ait	possédés
ait	possédé
ait	appartenir
ait	appartiennent
ait	possédée
kadın	féminin
kadın	femmes
kadın	femelles
kadın	femme
kadın	femelle
türkçe	turc
türkçe	turque
türkçe	turcs
türkçe	anglaise
türkçe	turques
türkçe	anglais
türkçe	francais
kullanıcı	utilisateur
kullanıcı	usager
kullanıcı	usagers
kullanıcı	utilisateurs
tam	complets
tam	complète
tam	complètes
tam	pleine
tam	complet
tam	plein
birliği	syndicat
kanalizasyon	égout
kanalizasyon	assainissement
kanalizasyon	égouts
maç	allumette
maç	match
maç	jeu
maç	correspondance
maç	gibier
at	jeter
at	jument
at	cheval
at	chevaux
bölüm	circonscription
bölüm	partie
bölüm	chapitre
bölüm	département
bölüm	épisode
yazar	scénariste
yazar	auteur
yazar	écrivain
yazar	auteure
yazar	rédacteur
sıra	rangs
sıra	rangées
sıra	rangée
sıra	lignes
sıra	ligne
sıra	rang
ulusal	nationaux
ulusal	nationales
ulusal	nationale
teknik	technique
teknik	techniques
nüfusu	populations
deniz	marin
deniz	mer
deniz	marins
uygun	admissible
uygun	appropriés
uygun	ajuster
uygun	commodes
uygun	approprié
uygun	appropriées
uygun	convenable
uygun	appropriée
uygun	éligibles
uygun	pratique
uygun	éligible
uygun	commode
uygun	admissibles
bütün	entiers
bütün	entier
yakın	fermer
yakın	proximité
yakın	près
yakın	proche
listesi	listes
listesi	liste
dört	quatre
iç	verre
iç	bois
iç	intérieur
iç	boissons
iç	boire
iç	soupirs
iç	interieur
iç	boisson
iç	intérieurs
iç	soupir
iç	soupire
ingiltere	angleterre
alt	battre
alt	inférieur
alt	battez
alt	fond
alt	battement
alt	inférieure
alt	abaisser
alt	battu
asfalt	asphalte
asfalt	bitume
fransız	française
fransız	françaises
fransız	français
fransız	francais
belediye	municipaux
belediye	municipales
belediye	municipalité
belediye	municipale
stadyumu	stade
sonucu	conséquence
rusya	bélarus
rusya	biélorussie
rusya	russie
genellikle	essentiellement
genellikle	surtout
genellikle	principalement
genellikle	typiquement
genellikle	habituellement
genellikle	généralement
sonunda	finalement
sonunda	enfin
parti	partie
parti	fete
parti	parti
parti	soirée
parti	fête
erkek	mâle
erkek	hommes
erkek	mec
erkek	masculins
erkek	masculin
erkek	homme
beyaz	blanc
beyaz	blanche
beyaz	blanches
beyaz	blancs
beyaz	caucase
beyaz	caucasien
bölge	zone
bölge	territoire
bölge	région
bölge	domaine
italya	italie
onu	lui
hava	temps
hava	météorologie
hava	aérien
hava	climat
hava	intempéries
hava	météo
verilen	donné
verilen	donnés
çünkü	parceque
çünkü	parce
çünkü	car
birkaç	plusieurs
birkaç	peu
dönem	semestre
dönem	période
dönem	terme
açık	limpide
açık	effacer
açık	ouvrir
açık	ouvert
açık	ouverte
açık	clair
açık	ouvrez
açık	ouverture
futbolcu	footballeur
insan	humains
insan	humain
insan	personne
insan	mec
insan	homme
insan	humaine
merkez	siège
merkez	centrer
merkez	centrale
merkez	centre
düşük	faible
düşük	bas
düşük	faibles
düşük	basses
düşük	basse
altın	or
altın	doré
altın	dorée
bilinen	connu
bilinen	connues
bilinen	connue
bilinen	connus
neden	pourquoi
bin	milliers
bin	millier
bin	mille
genç	ado
genç	jeune
genç	adolescente
genç	adolescent
genç	jeunesse
genç	jeunes
dışında	excepté
dışında	sauf
kır	briser
kır	rupture
kır	pause
stadyum	stade
ülke	pays
dil	langues
dil	langage
dil	langue
dahil	incluse
dahil	incluent
dahil	comprenant
dahil	inclus
dahil	comprend
dahil	incluses
dahil	comprennent
dahil	inclure
dahil	inclut
dahil	incluant
dahil	compris
an	instant
iş	entreprises
iş	affaires
iş	entreprise
iş	emplois
iş	emploi
iş	travailler
iş	travaux
iş	travail
bölümü	département
ili	gouvernorat
gelir	revenus
gelir	revenu
gelir	recettes
kullanım	utiliser
kullanım	utilisez
kullanım	utilise
kullanım	utilisation
sanat	artistique
arasındaki	entre
üçüncü	tiers
üçüncü	troisieme
üçüncü	troisièmement
üçüncü	troisième
bunu	cet
bunu	ce
bunu	que
bunu	ceci
bunu	cette
bunu	cela
sonraki	prochain
sonraki	suivant
sonraki	prochaine
sonraki	suivante
ele	conquérir
ele	conquête
ele	vaincre
güzel	magnifiques
güzel	magnifique
güzel	bons
güzel	jolie
güzel	charmant
güzel	gentil
güzel	bonnes
güzel	jolies
güzel	superbe
güzel	bonne
güzel	beau
güzel	adorable
güzel	belle
güzel	joli
güzel	charmante
güzel	bon
güzel	sympa
güzel	bien
güzel	ravissante
alır	prend
çocuk	gamin
çocuk	garçon
çocuk	enfants
çocuk	enfant
sinema	film
sinema	cinémas
sinema	ciné
sinema	films
sinema	cinéma
askeri	militaire
askeri	militaires
askeri	armée
örneğin	exemple
üst	haut
üst	supérieur
üst	supérieure
kara	terre
kara	noire
kara	noires
kara	terres
kara	noir
kara	noirs
kara	terrain
oyun	match
oyun	jeu
oyun	jouer
oyun	gibier
oyun	jeux
oyun	jouez
beraber	ensemble
sırada	prochain
sırada	suivant
sırada	prochaine
sırada	suivante
şablon	gabarit
şablon	modèle
şablon	gabarits
şablon	schéma
şablon	motif
şablon	modèles
aday	requérant
aday	candidats
aday	désignés
aday	candidat
aday	demandeur
aday	nominée
aday	requérante
aday	nominé
milyon	millions
top	canon
top	ballon
top	boule
top	canons
top	balle
hakem	arbitres
hakem	réf
hakem	arbitrer
hakem	arbitre
ay	lunaire
ay	lune
ay	mois
internet	enchaînement
tiyatro	théâtral
tiyatro	dramatique
tiyatro	théâtres
tiyatro	drame
tiyatro	théâtre
tiyatro	théatre
tiyatro	théâtrale
kazandı	gagne
kazandı	gagnés
kazandı	gagnée
kazandı	gagnées
kazandı	gagné
kazandı	victoires
kültür	culturelle
kültür	culturels
kültür	culturel
karar	décidé
karar	décidée
karar	décisions
karar	décidés
karar	décision
tarih	histoire
tarih	historique
ilçe	comté
temel	élémentaire
temel	bases
temel	fondamentaux
temel	basique
temel	fondements
temel	fondation
temel	fondations
temel	basiques
temel	fondement
konu	objet
konu	thème
konu	sujet
bağlantı	contacte
bağlantı	lien
bağlantı	contacter
bağlantı	branchement
bağlantı	contactez
bağlantı	raccordement
bağlantı	connexion
çin	chine
ünlü	célébrités
ünlü	célèbre
ünlü	célébrité
ünlü	célèbres
ünlü	fameux
spor	sport
spor	sportif
spor	sportive
kalan	restant
kalan	restantes
kalan	restants
meslek	profession
meslek	métier
meslek	vocations
iran	persique
iran	persan
iran	perse
iran	perses
telif	redevance
telif	redevances
çıktı	sortie
ispanya	espagne
bile	même
bile	meme
izmir	smyrne
sosyal	sociale
sosyal	sociaux
cm	pouces
cm	centimètres
japonya	japon
ün	renommée
ün	gloire
ün	célébrité
geldi	arrivé
geldi	arrivés
böylece	ainsi
liste	listes
liste	liste
oy	voter
oy	voix
oy	votez
oy	vote
oy	votants
geniş	spacieux
geniş	spacieuses
geniş	grandes
geniş	vaste
geniş	grande
geniş	large
geniş	spacieuse
geniş	grands
geniş	grand
ev	domicile
ev	maison
ev	accueil
transfer	transférer
transfer	virements
transfer	transferts
transfer	transfert
önceki	précédents
önceki	précédente
önceki	auparavant
önceki	avant
önceki	précédentes
önceki	précédent
mısır	maïs
mısır	égyptien
mısır	égyptienne
mısır	égyptiens
mısır	egypte
mısır	égypte
rus	russes
rus	russe
yarı	demi
yarı	moitié
afrika	africain
afrika	africaine
afrika	africaines
afrika	africains
afrika	afrique
hareket	déménagement
hareket	mouvements
hareket	bouger
hareket	déplacer
hareket	mouvement
hareket	déménager
adil	justes
adil	équitable
adil	équitables
adil	foire
bölgesi	territoire
bölgesi	région
kontrol	vérifier
kontrol	chèque
kontrol	contrôlant
kontrol	contrôle
kontrol	contrôler
kontrol	cocher
kontrol	vérifiez
sahibi	propriétaire
bilim	scientifique
bilim	sciences
üreten	fabrique
sistemi	système
başarılı	réussite
başarılı	réussi
başarılı	succes
başarılı	succès
başarılı	réussie
ordu	militaire
ordu	militaires
ordu	armée
yaşayan	vivante
yaşayan	vivants
yaşayan	vivant
yaşayan	vivre
profesyonel	professionnelles
profesyonel	professionnels
profesyonel	professionnel
profesyonel	professionnelle
süper	superbe
süper	superbes
hiç	aucune
hiç	aucun
hiç	néant
hiç	jamais
ifade	témoignage
ifade	expresse
ifade	déclaration
ifade	énoncé
ifade	déposition
ifade	exprimer
ifade	exprès
şey	truc
şey	chose
rol	rôle
rol	rôles
islam	islamique
islam	islamiste
islam	musulman
rapor	rapport
rapor	reportage
rapor	signaler
kullanılır	utilisé
kullanılır	utilisée
kullanılır	utilisées
kullanılır	utilisés
yerel	locaux
yerel	locales
yerel	locale
yönetim	gestion
yönetim	gouvernance
video	vidéos
kurulan	fondé
kurulan	établi
kurulan	établie
kurulan	établis
kurulan	fondée
kurulan	établies
beş	cinq
final	finales
final	finale
forma	uniformes
forma	maillot
forma	uniforme
dizi	série
dizi	séries
dizi	séquences
dizi	séquence
şeklinde	façonnée
şeklinde	façonné
şeklinde	façonnés
gerekli	essentiels
gerekli	indispensable
gerekli	nécessaires
gerekli	essentiel
gerekli	obligatoire
gerekli	essentielle
gerekli	exigé
gerekli	exigée
gerekli	requise
gerekli	nécessaire
gerekli	essentielles
gerekli	requis
iklim	climat
ayrı	séparer
ayrı	séparée
ayrı	séparées
ayrı	séparés
ayrı	séparé
ayrı	distinct
veri	données
şampiyonası	championnats
şampiyonası	championnat
yerleşim	résidentielle
yerleşim	résidentiel
yerleşim	résidentiels
yerleşim	disposition
yerleşim	agencement
kariyeri	carrière
adet	période
yaz	eté
yaz	écrivez
yaz	ecrire
yaz	été
yaz	écrire
yaz	rédiger
tespit	détecté
tespit	détectée
tespit	détectent
tespit	détecter
tespit	détectés
tespit	détectées
tespit	détecte
tespit	détection
göz	oculaire
göz	yeux
göz	parcourir
göz	œil
göz	oeil
göz	feuilleter
göz	naviguer
televizyon	téléviseur
televizyon	télévision
televizyon	télé
sezonu	saison
sezonu	saisons
yayın	diffuser
yayın	publier
yayın	édition
yayın	radiodiffusion
yayın	diffusion
yayın	publication
karasal	terrestre
karasal	terrestres
durum	état
durum	statut
yıldız	étoiles
yıldız	astérisque
yıldız	etoiles
yıldız	vedette
yıldız	vedettes
yıldız	stellaire
yıldız	étoile
gelenek	traditions
nasıl	comment
tip	taper
tip	tapez
mücadele	lutte
mücadele	combat
mücadele	bagarre
mücadele	combattre
mücadele	combats
yeri	lieu
yeri	localité
yeri	localisation
yeri	emplacement
yardımcı	assistante
yardımcı	adjointe
yardımcı	adjoint
yardımcı	député
yıllık	annuelle
yıllık	annuaire
yıllık	annuel
yıllık	annuels
kız	sœurs
kız	fille
kız	fillette
kız	soeurs
cumhuriyet	républicains
cumhuriyet	république
cumhuriyet	républicaine
cumhuriyet	républicain
bağımsız	indépendants
bağımsız	indépendantes
bağımsız	indépendant
bağımsız	indépendante
bunlar	ceux
bunlar	ces
yanlış	fausse
yanlış	incorrecte
yanlış	faux
yanlış	mal
yanlış	erroné
yanlış	tort
yanlış	fausses
yanlış	inexacte
al	prend
al	prends
al	obtenir
al	obtenez
al	prenez
al	prendre
kurulu	planche
kurulu	installée
kurulu	installé
kurulu	installés
kurulu	installées
gerçek	réelle
gerçek	vérité
gerçek	vrai
gerçek	vraie
gerçek	réel
gerçek	vrais
gerçek	verite
gerçek	véritable
ses	bruit
ses	sonore
ses	son
ses	voix
ses	acoustique
ses	bruits
milli	nationaux
milli	nationales
milli	nationale
kitap	livre
kitap	réserver
kitap	ouvrages
kitap	livres
temsil	représentant
temsil	représentation
temsil	représenter
temsil	représentent
temsil	représentations
ten	peau
ödülleri	distinctions
ödülleri	récompenses
ödülleri	récompense
ödülleri	trophées
saat	heure
saat	horloges
saat	horloge
saat	horlogerie
saat	montres
güneş	dim
güneş	solaires
güneş	solaire
güneş	ensoleillement
güneş	soleil
yazarı	auteure
yazarı	auteur
haline	devenez
haline	deviens
haline	devenir
haline	deviennent
kaldı	restant
kaldı	séjourné
kaldı	restantes
kaldı	resté
kaldı	restants
bakanı	ministre
benzer	similaires
benzer	similaire
benzer	analogue
benzer	semblable
benzer	semblables
benzer	sosie
krallık	royaume
doğal	naturelles
doğal	naturels
doğal	naturel
doğal	naturelle
inşa	bâtiment
inşa	construits
inşa	bâtir
inşa	bâti
inşa	construit
inşa	immeuble
inşa	batiment
inşa	construite
inşa	construire
doğdu	née
doğdu	naître
doğdu	naissance
doğdu	né
yeterli	suffisantes
yeterli	suffisamment
yeterli	adéquate
yeterli	adéquat
yeterli	suffisant
yeterli	suffisants
yeterli	suffisante
yeterli	adéquates
ortak	associée
ortak	associé
ortak	partenaires
ortak	partenaire
londra	londres
türü	genres
türü	taper
türü	tapez
başkanlığı	présidence
göç	exode
göç	migrent
göç	émigration
göç	migrer
göç	migrations
as	as
as	eca
as	accrocher
as	pendre
bakanlığı	ministère
kurulmuştur	établies
kurulmuştur	établi
kurulmuştur	établis
kurulmuştur	établie
örnek	échantillon
örnek	échantillons
örnek	exemple
durumu	état
durumu	statut
israil	israël
kırmızı	roux
kırmızı	rouges
kırmızı	rouge
yönetmen	directeur
yönetmen	cinéaste
yönetmen	réalisateur
yönetmen	réalisé
yönetmen	directrice
yönetmen	dirigé
yönetmen	orienté
ön	devant
ön	avant
tamamen	complètement
tamamen	totalement
tamamen	complétement
tamamen	entièrement
tamamen	completement
tamamen	pleinement
tamamen	carrément
tipi	taper
tipi	tapez
araştırma	recherches
araştırma	recherche
araştırma	enquêtes
araştırma	enquête
orijinal	originale
orijinal	originaux
avusturya	autriche
yardım	aide
yardım	aider
yardım	aidez
serbest	relâché
serbest	gratuit
serbest	libéré
serbest	gratuitement
serbest	publié
serbest	indépendant
serbest	libèrent
serbest	gratuits
serbest	libérés
serbest	libération
serbest	libre
serbest	acrobatique
değer	valeur
değer	valeurs
oranı	taux
oranı	tarif
şarkıcı	chanteuse
şarkıcı	chanteur
destek	supporte
destek	renforts
destek	sauvegardes
destek	soutien
destek	soutient
destek	soutenir
destek	assistance
destek	soutiens
destek	sauvegarde
destek	appui
destek	sauvegarder
katıldı	rejoints
katıldı	participé
katıldı	rejoint
bugün	aujourdhui
bugün	hui
hafta	semaines
hafta	semaine
ekonomik	économie
ekonomik	economique
ekonomik	économique
ekonomik	economie
ekonomik	economiques
adam	homme
adam	mec
adam	gars
it	poussez
it	pousse
it	pousser
etkili	influentes
etkili	influent
etkili	influents
etkili	efficace
etkili	efficaces
etkili	influente
resmî	fonctionnaire
resmî	officiel
resmî	officielle
resmî	officiels
resmî	officielles
nehri	rivière
nehri	fleuve
hizmet	servez
hizmet	sers
hizmet	servir
düzenlenen	tenu
güçlü	propulsé
güçlü	puissants
güçlü	puissantes
güçlü	forte
güçlü	puissante
güçlü	puissant
güçlü	fort
güçlü	alimenté
güçlü	forts
güçlü	motorisé
arası	entre
asya	asiatique
asya	asie
asya	asiatiques
yolu	sillon
yolu	chemin
yolu	sentier
girdi	entré
girdi	entrés
girdi	entrée
sayı	marquer
sayı	numéro
sayı	partition
sayı	nombre
çalışma	étudier
çalışma	étude
çalışma	travailler
çalışma	etude
çalışma	travaux
çalışma	travail
yıllar	années
yıllar	ans
başlar	débute
başlar	démarre
başlar	commence
hukuk	droit
hukuk	loi
roman	fictions
ilan	annonce
ilan	publicité
başlık	manchette
başlık	entête
başlık	légende
başlık	titre
sürekli	constamment
sürekli	continus
sürekli	continue
sürekli	continu
sürekli	ininterrompu
kral	roi
sonrasında	apres
sonrasında	après
sonrasında	aprés
sonrasında	séquelles
sonrasında	contrecoup
hatta	même
hatta	meme
aile	familles
aile	familiale
aile	famille
metre	mètres
metre	compteurs
metre	compteur
metre	mètre
basketbol	basket
kullanımı	utilisation
kullanımı	utilise
kullanımı	utilisez
kullanımı	utilisant
kullanımı	utiliser
vardı	avait
vardı	avaient
vardı	avais
sovyet	soviétiques
sovyet	soviétique
kıbrıs	chypre
ticaret	entreprises
ticaret	affaires
ticaret	entreprise
ticaret	négoce
ticaret	échanges
ticaret	commerce
ticaret	négociation
ticaret	échange
can	clochette
can	cloche
kardeş	sœur
kardeş	frere
kardeş	frangin
kardeş	soeur
kardeş	frère
benim	miens
benim	mien
benim	mienne
belli	évident
belli	évidente
belli	évidence
belli	certaine
belli	certaines
öldü	mort
öldü	décédé
öldü	morts
öldü	morte
hızlı	rapide
hızlı	vitesse
hızlı	prompt
hızlı	vite
hızlı	rapidement
hızlı	rapidité
hızlı	rapides
hızlı	vitesses
yabancı	etrangers
yabancı	étranger
yabancı	étrangères
yabancı	etranger
yabancı	étrangère
