que	dat
pueden	kunnen
pueden	kunt
pueden	kan
varios	diverse
varios	divers
varios	diversen
varios	verscheidene
varios	verschillende
varios	meerdere
francia	frankrijk
solo	alleen
solo	enkel
solo	slechts
solo	gewoon
chile	chileense
tipo	typ
tipo	soort
obra	arbeid
obra	werk
obra	werken
iglesia	kerk
película	filmpje
película	film
entonces	daarna
entonces	dan
banda	bende
cuatro	vier
zona	oppervlakte
zona	gebied
televisión	televisie
principal	belangrijkste
principal	voornaamste
tuvo	hadden
tuvo	gehad
carlos	karel
rey	konings
rey	koning
premio	gunning
premio	onderscheiding
hace	doet
hace	maakt
edición	bewerken
edición	uitgave
edición	bewerk
edición	editie
tenía	hadden
tenía	gehad
premios	beloningen
premios	prijsuitreiking
premios	onderscheidingen
premios	gunning
premios	onderscheiding
sitio	beleg
sitio	belegering
futbolistas	voetballers
bien	nou
bien	lekker
bien	wel
bien	prima
bien	goed
segundo	tweede
mar	oceaan
mar	zee
poco	klein
poco	kleine
poco	weinig
orden	bestelling
orden	orde
orden	bestellen
estadounidense	amerikaans
estadounidense	amerikaan
estadounidense	amerikaanse
tierra	aarde
tierra	bodem
tierra	grond
título	titel
ellos	zij
ellos	ze
ellos	hen
están	zijn
división	divisie
división	deling
división	afdeling
canción	nummer
canción	zang
canción	liedje
canción	lied
fecha	datum
república	republiek
trabajo	arbeid
trabajo	werk
trabajo	baan
trabajo	werken
especie	soorten
especie	soort
especie	diersoort
especie	diersoorten
luis	lodewijk
caso	geval
caso	zaak
dentro	binnenkant
dentro	binnen
obras	toneelstukken
obras	speelt
obras	werken
obras	werkt
color	kleur
superficie	oppervlak
superficie	gebied
superficie	oppervlakte
superficie	bovengronds
copa	beker
copa	kopje
muchos	veel
muchos	velen
muchos	vele
línea	lijn
francisco	franciscus
francisco	frans
siguiente	volgend
siguiente	volgende
área	oppervlakte
área	gebied
grandes	groot
grandes	grote
censo	volkstelling
liga	liga
estas	deze
muerte	dood
muerte	doods
muerte	overlijden
medio	middellange
medio	middelgrote
medio	middelgroot
medio	helft
política	beleid
política	politiek
menos	minder
largo	lange
largo	lang
buenos	lekker
buenos	goed
hijo	zoon
hecho	gemaakt
hecho	klaar
hecho	feit
hecho	gedaan
algunas	sommigen
algunas	enkele
algunas	sommige
carrera	carrière
carrera	carriere
carrera	loopbaan
carrera	ras
poder	vermogen
poder	kracht
poder	macht
pueblo	stad
pueblo	mensen
pueblo	dorpje
pueblo	personen
pueblo	dorp
departamento	departement
departamento	afdeling
localidades	locaties
localidades	plaatsen
hizo	deed
veces	tijden
reino	koninkrijk
todas	allen
todas	alles
todas	alle
todas	allemaal
ejemplo	monster
ejemplo	voorbeeld
ejemplo	steekproef
género	geslacht
padre	vader
campo	veld
campo	kamp
campo	platteland
isla	eiland
hacer	maak
hacer	maken
misma	zelfde
misma	hetzelfde
ante	suède
conocido	gekende
conocido	kennismaking
conocido	kennis
conocido	bekend
conocido	bekende
conocido	gekend
países	landen
frente	voorzijde
frente	wenkbrauw
frente	voorkant
frente	voorhoofd
antonio	antonius
días	dagen
española	spaans
española	spaanse
versión	versie
varias	diverse
varias	verscheidene
varias	verschillende
varias	meerdere
actual	actueel
actual	huidige
actual	huidig
momento	ogenblik
lista	gereed
lista	lijstje
lista	lijst
lista	klaar
densidad	dichtheid
campeonato	kampioenschappen
campeonato	kampioenschap
tarde	avond
tarde	avondje
tarde	namiddag
tarde	middag
tarde	laat
tienen	heb
tienen	hebben
ejército	militaire
ejército	militair
ejército	krijgsmacht
ejército	landmacht
ejército	militairen
ejército	leger
porque	omdat
porque	want
observatorio	observatorium
actualmente	momenteel
desarrollo	ontwikkeling
escuela	scholen
programa	programma
programa	programmeren
información	gegevens
información	informatie
importante	belangrijke
importante	belangrijk
último	laatste
último	nieuwste
canciones	liederen
canciones	liedjes
canciones	nummers
uso	gebruik
uso	gebruiken
juegos	spellen
juegos	gamen
juegos	spelletjes
punto	stip
punto	puntje
punto	punt
posición	positie
alemania	duitsland
ubicación	locatie
ubicación	plaatsing
ubicación	ligging
ubicación	lokatie
partidos	wedstrijden
partidos	lucifers
grupos	groepen
miembros	lidmaatschap
miembros	leden
pedro	petrus
primeros	vroeg
primeros	eerst
primeros	vroege
primeros	eerste
teatro	bioscoop
teatro	theater
cualquier	elke
datos	gegevens
manera	manier
laboratorio	labo
laboratorio	laboratorium
socorro	reliëf
socorro	opluchting
libro	boek
diferentes	anders
diferentes	verschillend
diferentes	verschillende
nivel	niveau
llamado	gebeld
llamado	genoemd
llamado	belde
mayoría	meerderheid
unión	vakbond
unión	binding
unión	unie
edad	leeftijd
edad	ouderdom
artículos	artikels
artículos	artikelen
juego	spelletje
juego	gokken
juego	wedstrijd
juego	gamen
juego	spel
arte	kunsten
arte	kunstwerk
arte	illustraties
arte	kunst
arte	kunstwerken
especies	soorten
especies	soort
especies	diersoort
especies	diersoorten
estilo	stijl
cine	film
cine	bioscoop
cine	bioscopen
cine	filmpje
cine	films
selección	selectie
costa	kust
costa	kustlijn
equipos	uitrusting
equipos	materiaal
equipos	ploegen
equipos	apparatuur
equipos	materieel
origen	bron
origen	herkomst
origen	oorsprong
código	wetboek
puntos	gehecht
puntos	hechten
puntos	puntjes
puntos	punten
puntos	hechtingen
puntos	stippen
militar	krijgsmacht
militar	militaire
militar	militair
militar	militairen
américa	amerika
ubicado	gelokaliseerd
producción	uitvoer
producción	productie
producción	produktie
italia	italië
tener	heb
tener	hebben
plantas	plantjes
plantas	planten
comenzó	begonnen
comenzó	gestart
comenzó	begon
comenzó	opgestart
debe	moeten
debe	moet
siempre	altijd
metros	meter
metros	meters
oro	goud
oro	gulden
oro	gouden
posteriormente	vervolgens
posteriormente	straks
casi	bijna
construcción	opbouw
construcción	constructie
construcción	bouw
construcción	bouwnijverheid
construcción	bouwen
francés	fransman
francés	franse
francés	frans
francés	fransen
cultura	cultureel
cultura	culturele
cultura	cultuur
santiago	jacobus
cerca	afsluiten
cerca	sluit
cerca	nabijgelegen
cerca	sluiten
cerca	dichtbij
estudio	bestuderen
estudio	studeren
estudio	studeer
estudio	atelier
estudio	studie
principales	belangrijkste
principales	voornaamste
usuario	gebruiker
finalmente	eindelijk
finalmente	uiteindelijk
cinco	vijf
anterior	vorige
anterior	eerdere
anterior	eerder
anterior	vorig
anterior	voorgaande
cargo	opladen
batalla	veldslag
batalla	slag
batalla	strijd
batalla	gevecht
derecho	rechts
derecho	recht
derecho	juist
derecho	wet
imagen	imago
imagen	afbeelding
imagen	beeld
gracias	thnx
gracias	dank
gracias	bedankt
puerto	haven
puerto	bakboord
puerto	poort
torneo	tornooi
torneo	toernooi
mucho	veel
millones	miljoen
millones	miljoenen
comunidad	gemeenschap
fin	einde
fin	beëindigen
fin	eind
acuerdo	akkoord
acuerdo	overeenkomst
acuerdo	regeling
lado	zijde
lado	kant
lado	zijkant
colombia	colombia
colombia	colombiaanse
colombia	colombiaans
servicio	dienst
político	politieke
político	politiek
político	politica
político	politicus
películas	bioscoop
películas	films
ver	zien
ver	zie
ver	uitzicht
ver	bekijk
ver	weergave
ver	bekijken
fuera	eruit
fuera	buiten
fuera	buitenkant
fuera	uit
pesar	spijt
pesar	betreuren
muchas	veel
muchas	velen
muchas	vele
hoy	vandaag
tal	dergelijke
alto	hoog
alto	hoge
cuerpo	lichaam
sino	maar
disco	schijf
disco	diskette
finales	definitief
finales	finales
finales	eindes
finales	finale
sociedad	samenleving
sociedad	partnerschap
sociedad	genootschap
sociedad	maatschappij
tema	onderwerp
tema	thema
tema	proefpersoon
dirección	richting
dirección	directoraat
dirección	adres
dirección	beheer
hombres	mannen
última	laatste
última	nieuwste
estadio	stadion
ambos	allebei
ambos	beiden
ambos	beide
miguel	michaël
miguel	michiel
ley	handelen
ley	wet
oeste	westelijk
oeste	westen
mujeres	vrouwen
incluso	zelfs
cambio	uitwisseling
cambio	verandering
cambio	uitwisselen
cambio	veranderingen
cambio	veranderen
cambio	ruil
cambio	wijzigen
cambio	wijziging
jugador	speler
jugador	gokker
instituto	instituut
público	doelgroep
público	publiek
público	openbaar
público	doelgroepen
miembro	ledemaat
miembro	lid
pues	nou
pues	wel
superior	hogere
superior	hoger
media	gemiddelde
media	gemiddeld
parque	parkeren
llegó	gearriveerd
llegó	aangekomen
archivo	archiveren
archivo	archieven
archivo	bestand
archivo	archief
archivo	dossier
ahora	nu
parís	parijs
cruz	oversteken
cruz	kruis
cruz	staarten
cruz	munt
cabo	kaap
cabo	korporaal
brasil	brazilië
unido	verenigd
unido	verenigde
red	netto
red	raster
red	netwerk
aquí	hier
canal	kanaal
movimiento	verplaatsen
movimiento	bewegingen
movimiento	beweging
movimiento	verplaatsing
movimiento	beweeg
movimiento	bewegen
movimiento	motie
movimiento	verplaats
revista	tijdschrift
revista	dagboek
éxito	succes
éxito	succesvol
éxito	geslaagde
éxito	geslaagd
éxito	succesvolle
relación	relatie
elecciones	verkiezingen
elecciones	verkiezing
plaza	vierkant
plaza	plein
plaza	vierkante
grande	groot
grande	grote
distribución	distributie
distribución	verdeling
compañía	onderneming
compañía	gezelschap
compañía	bedrijf
islas	eilanden
proceso	verwerken
proceso	proces
alrededor	rondom
alrededor	rond
primero	eerst
primero	eerste
territorio	territorium
territorio	grondgebied
dice	zegt
león	leeuw
algo	iets
voz	stem
década	decennium
madre	moeder
madre	moedertje
organización	organisatie
organización	organiseren
monte	aankoppelen
aún	nog
aún	toch
decir	vertel
decir	zeg
decir	zeggen
goles	doelpunten
goles	doelstellingen
goles	doelen
sede	hoofdkwartier
sede	hoofdkantoor
importantes	belangrijke
importantes	belangrijk
resultado	uitkomst
resultado	resultaat
xix	negentiende
calle	straat
papel	papier
medios	betekend
medios	betekent
francesa	fransen
francesa	franse
francesa	frans
dio	gaf
aparece	verschijnt
aparece	lijkt
empresa	onderneming
empresa	gezelschap
empresa	bedrijf
empresa	zakelijk
propio	eigen
mapa	plattegrond
mapa	kaarten
mapa	kaart
civil	burgers
civil	civiel
educación	onderwijs
educación	educatief
educación	opvoeding
educación	leerzaam
llamada	genoemd
llamada	belde
llamada	gebeld
llamada	bel
llamada	bellen
llamada	oproep
ciudades	steden
alta	hoog
alta	hoge
igual	gelijk
igual	zelfde
igual	gelijke
igual	hetzelfde
allí	er
allí	daar
londres	londen
tercera	derde
edificio	bouwen
fallecimiento	ondergang
fallecimiento	dood
fallecimiento	doods
fallecimiento	overlijden
fuerzas	krachten
posible	mogelijk
posible	mogelijke
antiguo	oude
antiguo	oud
antiguo	antieke
antiguo	voormalig
antiguo	voormalige
antiguo	antiek
antiguo	ouwe
paso	stapje
paso	stap
paso	passeren
mujer	vrouwelijk
mujer	vrouwelijke
mujer	vrouw
mujer	vrouwtje
mujer	echtgenote
mujer	vrouwen
fuerza	forceren
fuerza	kracht
fuerza	sterkte
altura	lengte
altura	hoogte
hijos	zonen
hijos	zoons
servicios	dienstverlening
servicios	diensten
villa	dorp
villa	dorpje
conocida	gekende
conocida	bekend
conocida	gekend
conocida	bekende
campeón	kampioen
autor	schrijver
autor	auteur
modo	modus
personajes	karakters
personajes	tekens
personajes	personages
conjunto	instellen
conjunto	ingesteld
eso	dat
alemán	duits
alemán	duitse
meses	maanden
meses	maandenlang
único	unieke
único	uniek
parece	lijkt
antigua	oude
antigua	oud
antigua	antieke
antigua	antiek
antigua	ouwe
especial	speciaal
especial	bijzonder
especial	speciale
interior	innerlijke
interior	innerlijk
interior	binnenste
plata	zilveren
plata	zilver
consejo	raad
consejo	advies
consejo	adviezen
consejo	fooi
menor	mineur
menor	mindere
menor	minderjarige
seis	zes
libre	vrij
libre	gratis
llegar	aankomen
valle	vallei
personaje	karakter
personaje	personage
trata	mensenhandel
trata	behandelt
trata	traktatie
principalmente	meestal
principalmente	primair
principalmente	hoofdzakelijk
principalmente	voornamelijk
principalmente	vooral
castillo	kasteel
publicado	gepost
publicado	geplaatste
publicado	verschenen
publicado	gepubliceerde
publicado	geplaatst
publicado	uitgegeven
publicado	gepubliceerd
cantante	zanger
cantante	zangeres
referencia	referentie
referencia	verwijzing
inglaterra	engeland
resto	rust
resto	rusten
resto	uitrusten
común	vaak
común	gemeenschappelijk
editorial	publiceren
editorial	publicatie
editorial	uitgeverijen
editorial	uitgeverij
editorial	uitgever
deporte	sporten
espacio	ruimte
espacio	spatie
asociación	associatie
asociación	vereniging
asociación	partnerschap
hija	dochter
acción	actie
acción	optreden
acción	aktie
actores	actoren
actores	acteurs
hermano	broer
hermano	broertje
hermano	broeder
fundación	stichting
fundación	fundering
blanco	leeg
blanco	doel
blanco	wit
blanco	doelwitten
blanco	doelstellingen
blanco	blanco
blanco	witte
blanco	doelwit
blanco	doelen
profesional	professionele
profesional	professioneel
episodio	aflevering
principios	beginselen
principios	principe
principios	beginsel
principios	principes
imperio	rijk
imperio	keizerrijk
imperio	imperium
ganó	gewonnen
dicho	gezegd
dicho	zei
nunca	nooit
investigación	onderzoek
prefijo	voorvoegsel
municipios	gemeenten
problemas	probleem
problemas	vervloekingen
problemas	problemen
problemas	moeilijkheden
favor	alstublieft
favor	aub
favor	alsjeblieft
actividad	activiteit
joven	jonge
joven	jong
formación	vorming
formación	opleiding
formación	formatie
formación	trainen
lugares	locaties
lugares	plaatsen
incluyendo	inclusief
planta	plantjes
planta	planten
planta	verdieping
planta	vloer
período	periode
período	tijdvak
montañas	berg
montañas	bergen
ronda	rondje
ronda	rond
ronda	ronde
clase	klas
clase	klasse
especialmente	speciaal
especialmente	vooral
oficina	kantoor
oficina	bureau
alcalde	burgemeester
pasó	doorgegeven
pasó	geslaagd
pasó	gebeurde
estaban	waren
longitud	lengte
longitud	lengtegraad
temas	onderwerpen
temas	kwesties
políticos	politiek
políticos	politici
deportivo	sporten
deportivo	sportief
arquitectura	architectuur
creación	creatie
creación	schepping
creación	creëren
barrio	nabuurschap
barrio	buurt
argentino	argentijnse
argentino	argentinië
argentino	argentijns
libros	boeken
novela	roman
olímpicos	olympisch
jorge	joris
razas	voortplanten
razas	rassen
razas	fokken
razas	ras
academia	academie
jefe	chef
jefe	baas
jefe	opperhoofd
defensa	verweerschrift
defensa	verdediging
defensa	verweer
defensa	defensie
defensa	verdedigen
características	kenmerken
características	functies
características	karakteristieken
características	eigenschappen
honor	eer
honor	eren
incluye	omvat
incluye	inclusief
existen	besta
existen	bestaan
amor	liefde
amor	liefs
fuente	lettertype
fuente	bron
fuente	fontein
nuevos	nieuw
nuevos	nieuwe
martín	maarten
situación	toestand
situación	situatie
nombrado	genoemd
nombrado	genaamd
nombrado	benoemde
nombrado	aangesteld
nombrado	benoemd
existe	bestaat
ellas	zij
ellas	ze
ellas	hen
derechos	rechten
derechos	auteursrechten
derechos	auteursrecht
interés	belang
interés	interesse
interés	belangstelling
interés	rente
texto	tekst
escritores	schrijvers
actriz	actrice
persona	persoon
capacidad	capaciteiten
capacidad	vermogen
capacidad	capaciteit
artes	kunsten
artes	versnelling
artes	kunst
artes	uitrusting
artes	tandwielen
artes	versnellingen
artes	vistuig
participó	meegedaan
participó	deelgenomen
cantidad	bedrag
cantidad	hoeveelheid
cantidad	kwantiteit
situada	gesitueerd
fuentes	lettertypen
fuentes	fonteinen
fuentes	bronnen
vista	weergave
vista	bekijken
vista	uitzicht
vista	bekijk
luz	lichte
luz	licht
baja	lage
baja	laag
paz	vrede
tercer	derde
vuelta	terugkeer
vuelta	retour
vuelta	terugkeren
noche	avond
noche	nacht
noche	avondje
muestra	toont
muestra	monster
muestra	steekproef
rusia	rusland
rusia	rus
rusia	russisch
rusia	russische
personal	personeel
personal	personeelszaken
aeropuerto	luchthaven
aeropuerto	vliegveld
apoyo	steun
apoyo	ondersteuning
apoyo	ondersteunen
semana	weekje
palacio	paleis
propia	eigen
pacífico	vreedzame
pacífico	vredig
pacífico	vreedzaam
escritor	schrijfster
escritor	schrijver
castilla	castilië
profesor	leraar
profesor	onderwijzer
profesor	lerares
profesor	hoogleraar
profesor	docent
profesor	leerkracht
diseño	vormgeving
diseño	ontwerp
diseño	ontwerpen
casos	gevallen
negro	zwart
negro	neger
negro	nigger
negro	nikker
negro	zwarte
camino	pad
camino	weg
camino	manier
ayuda	hulp
ayuda	helpen
ayuda	steun
nombres	namen
podría	kan
podría	kon
causa	veroorzaakt
causa	oorzaak
causa	oorzaken
causa	veroorzaken
horario	openingstijden
horario	uur
horario	dienstregeling
horario	tijdschema
horario	schema
horario	uren
horario	planning
ciencias	wetenschap
ciencias	wetenschappen
últimos	laatste
últimos	nieuwste
tamaño	maat
tamaño	grootte
tamaño	afmeting
tamaño	formaat
tamaño	omvang
principio	principe
principio	beginsel
periodo	periode
periodo	tijdvak
nacimiento	geboorte
nada	niets
nada	niks
etapa	podium
etapa	toneel
etapa	fase
etapa	stadium
actualidad	actueel
actualidad	huidige
actualidad	huidig
pequeño	klein
pequeño	weinig
pequeño	piepklein
pequeño	kleine
pequeño	smal
santo	heilig
santo	heilige
zonas	oppervlakten
zonas	gebieden
lópez	lópez
referencias	referenties
referencias	verwijzingen
única	unieke
única	uniek
ediciones	uitgave
ediciones	edities
ediciones	bewerkingen
presente	presenteren
presente	heden
presente	presenteer
presente	aanwezig
congreso	congres
guitarra	gitaar
qué	wat
pablo	paulus
elementos	elementen
relaciones	betrekkingen
relaciones	relaties
relaciones	relatie
compuesto	composiet
compuesto	samengestelde
compuesto	samengesteld
horas	openingstijden
horas	uren
horas	uur
partes	delen
partes	onderdelen
lengua	taal
lengua	taalgebruik
lengua	tong
diversos	diverse
diversos	divers
diversos	diversen
militares	krijgsmacht
militares	militaire
militares	militair
militares	militairen
torre	toren
dado	gegeven
actividades	activiteiten
actividades	activiteit
nacionales	onderdanen
nacionales	staatsburgers
nacionales	nationaal
nacionales	nationale
cantón	kanton
nuevas	nieuw
nuevas	nieuwe
sencillo	alleenstaand
sencillo	makkelijk
sencillo	eenvoudig
sencillo	gemakkelijk
sencillo	eenvoudige
sencillo	simpel
sencillo	rustig
sencillo	vrijgezel
sencillo	alleenstaande
participación	opkomst
participación	deelnemende
participación	betrokkenheid
participación	deelneming
participación	participatie
participación	deelname
fuerte	sterk
fuerte	sterke
fuerte	sterken
italiano	italiaan
italiano	italiaanse
italiano	italiaans
primeras	eerst
primeras	eerste
jugadores	gokkers
jugadores	spelers
lleva	draagt
seguridad	beveiliging
seguridad	veiligheid
administración	beheerder
administración	administratie
administración	toediening
administración	beheer
empresas	ondernemingen
empresas	bedrijven
mercado	marktplaats
mercado	marktplein
mercado	markt
gonzález	gonzalez
lucha	vechten
lucha	vecht
lucha	worstel
lucha	strijd
lucha	worstelen
lucha	gevecht
lucha	worsteling
estructura	structuur
jesús	jezus
ocupación	bezetting
ocupación	bezigheid
ocupación	beroep
ocupación	bewoning
nacido	geboren
enrique	hendrik
literatura	literatuur
católica	katholiek
católica	katholieke
armas	armen
armas	kanonnen
armas	pistolen
armas	geweren
armas	vuurwapens
armas	wapens
energía	energie
idioma	taal
idioma	taalgebruik
cabeza	hoofden
cabeza	hoofd
cabeza	kop
cabeza	koppen
gobernador	gouverneur
cuyo	wiens
geográfica	geografisch
mes	maandje
mes	maand
situado	gelokaliseerd
situado	gesitueerd
diferencia	verschil
diferencia	variantie
objetivo	doel
objetivo	objectief
objetivo	doelwit
objetivo	doelpunt
objetivo	doelstelling
economía	economie
histórico	historisch
histórico	historische
india	indische
india	indisch
india	indiase
india	indiaas
india	indiaan
flores	bloemetje
flores	bloemetjes
flores	bloempje
flores	bloem
flores	bloemen
visita	bezoeken
visita	bezoek
conde	graaf
conde	telling
conde	tel
conde	tellen
fase	fase
resultados	resultaten
resultados	uitslagen
resultados	resultaat
niños	kinderen
tales	dergelijke
pequeña	klein
pequeña	kleine
pequeña	weinig
pequeña	smal
presenta	presenteert
presenta	cadeaus
presenta	cadeautjes
campaña	veldtocht
campaña	campagne
dar	geef
dar	geven
fernández	jansen
fernández	janssen
colegio	hogeschool
colegio	universiteit
occidental	westelijk
occidental	westen
aproximadamente	ongeveer
aproximadamente	grofweg
aproximadamente	ruwweg
ocasiones	gelegenheden
tropas	troep
tropas	troepen
sección	sectie
sección	afdeling
presencia	aanwezigheid
permite	vergunningen
sentido	zintuig
uruguay	uruguayaanse
ficha	tabblad
siete	zeven
ets	soa
animales	huisdieren
animales	dier
animales	dieren
animales	huisdier
esposa	echtgenote
esposa	vrouw
ríos	rivieren
catalina	catharina
murió	stierf
murió	gestorven
murió	overleden
realizar	presteren
realizar	optreden
realizar	uitvoeren
medalla	medaille
función	functie
usuarios	gebruikers
usuarios	gebruiker
calidad	kwaliteit
artistas	kunstenaars
artistas	kunstenares
artistas	artiest
artistas	artiesten
artistas	kunstenaar
nuestra	ons
nuestra	onze
independencia	onafhankelijk
independencia	onafhankelijkheid
independencia	zelfstandigheid
buena	lekker
buena	goed
sistemas	systemen
significa	betekend
significa	betekent
virgen	maagd
virgen	maagden
transporte	transport
transporte	vervoer
pueblos	dorpjes
pueblos	dorpen
pueblos	volkeren
coordenadas	coördinaten
coordenadas	coördinaat
coordenadas	coördineren
valor	waarde
valor	moed
internacionales	internationaal
unidad	eenheid
crear	creëren
crear	aanmaken
crear	creëer
crear	maken
imágenes	afbeeldingen
imágenes	beelden
imágenes	plaatjes
inicio	huis
inicio	beginnen
inicio	startpagina
inicio	thuis
inicio	begin
inicio	starten
salud	proost
salud	gezondheid
contiene	bevat
minutos	minuten
minutos	notulen
verano	zomer
sol	zonneschijn
sol	zonnetje
sol	zon
teoría	theorie
revolución	revolutie
entrada	invoer
entrada	binnenkomst
entrada	vermelding
entrada	entree
entrada	ingang
mejores	beste
mejores	beter
mando	commando
mando	opdracht
decidió	besloten
decidió	besliste
decidió	besloot
ciencia	wetenschap
ciencia	wetenschappen
dirigida	geregisseerd
dirigida	regisseerde
dirigida	gerichte
aire	lucht
importancia	belangrijkheid
importancia	belang
importancia	betekenis
ataque	aanvallen
ataque	aanval
comunicación	communicatie
comunicación	mededelingen
comunicación	mededeling
puente	brug
matrimonio	trouwen
matrimonio	huwelijk
material	materialen
material	materiaal
humanos	menselijke
humanos	mens
humanos	menselijk
humanos	mensen
humanos	mensjes
mitad	helft
realidad	werkelijkheid
realidad	realiteit
gente	mensen
gente	personen
cámara	fototoestel
escudo	afschermen
escudo	afscherming
escudo	schermen
escudo	schild
escudo	schilden
aguas	wateren
acceso	toegang
clasificación	ranglijst
clasificación	indeling
clasificación	sorteren
clasificación	rangschikken
clasificación	beoordeling
clasificación	classificatie
clasificación	kwalificatie
clasificación	rangschikking
clasificación	waardering
clasificación	kwalificeren
sigue	volg
sigue	volgen
sigue	volgt
cuya	wiens
sociales	sociale
sociales	sociaal
problema	probleem
trabajos	banen
trabajos	vacatures
trabajos	werken
trabajos	klussen
trabajos	arbeid
trabajos	werk
trabajos	werkt
elegido	uitverkoren
elegido	verkozen
elegido	gekozen
elegido	uitgekozen
elegido	uitverkorene
independiente	zelfstandig
independiente	onafhankelijke
independiente	onafhankelijk
futbolista	voetballer
futbolista	profvoetballer
comercial	commercieel
comercial	commerciële
diario	tijdschrift
diario	dagboek
diario	dagelijks
diario	dagelijkse
palabra	woord
carácter	karakter
carácter	personage
falta	ontbrekende
falta	ontbreekt
falta	ontbrekend
falta	gemis
falta	gebrek
falta	ontbreken
falta	missen
falta	vermist
reina	koningin
corte	snijden
