மற்றும்	ve
பிறப்பு	doğmuş
பிறப்பு	dogum
பிறப்பு	doğuştan
பிறப்பு	doğumu
பிறப்பு	kapak
பிறப்பு	doğdu
பிறப்பு	doğum
முக்கிய	onemli
முக்கிய	önemli
முக்கிய	önemlidir
முக்கிய	ana
பல்வேறு	çeşitlilik
பல்வேறு	çeşitliliği
பல்வேறு	çeşitli
திரைப்படங்கள்	film
திரைப்படங்கள்	filmler
திரைப்படங்கள்	sinema
பிற	diğer
பிற	diger
பிற	öteki
பிற	diğeri
அவர்கள்	onları
அவர்கள்	onlar
மொழி	dili
மொழி	lisan
மொழி	dile
மொழி	dil
முறை	yöntemi
முறை	yöntem
முறை	modu
முறை	kipi
முறை	mod
முறை	kip
முறை	prosedür
கோயில்	tapınak
கோயில்	tapınağı
விருது	ödülü
விருது	ödül
பொதுவாக	genel
அக்டோபர்	ekim
செய்து	işledi
தன்	atar
தன்	atıyor
தன்	onun
தன்	onunki
தொடர்ந்து	devam
இரண்டாம்	ikincil
இரண்டாம்	ikinci
இரண்டாம்	ikincisi
வரும்	geliyorum
வரும்	geliyor
மே	mayıs
மே	mayis
ஒவ்வொரு	her
ஒவ்வொரு	herbiri
மட்டுமே	yalnızca
மட்டுமே	sadece
வரலாறு	tarih
வரலாறு	tarihi
வரலாறு	geçmiş
பகுதியில்	bölge
பகுதியில்	alanı
பகுதியில்	alan
நூல்கள்	kitapları
நூல்கள்	kitap
நூல்கள்	kitaplar
சேர்ந்த	ait
பின்	sonra
பின்	sonrasında
பின்	sonrası
பின்	ardından
பின்	geri
பின்	arka
பின்	iğne
இல்லை	olmaz
இல்லை	değil
நவம்பர்	kasım
அதிக	yüksek
அதிக	yükseğe
அதிக	çak
அதிக	yükseklerde
காலத்தில்	nokta
காலத்தில்	adet
காலத்தில்	dönem
மிக	çok
மிக	cok
நான்கு	dört
பிறகு	sonra
பிறகு	sonrasında
பிறகு	öyleyse
பிறகு	sonrası
பிறகு	ardından
பிறகு	ozaman
பிறகு	sonradan
அரசியல்	siyasi
அரசியல்	siyaset
அரசியல்	siyasal
அரசியல்	politik
அரசியல்	politika
பகுதி	kısım
பகுதி	parçası
பகுதி	alanı
பகுதி	kısmen
பகுதி	bölgesi
பகுதி	bölüm
பகுதி	kısmi
பகுதி	bölge
பகுதி	bölgede
பகுதி	alan
பற்றி	hakkında
பற்றி	yaklaşık
ஆறு	nehri
ஆறு	altı
ஆறு	nehir
ஆறு	irmak
ஆறு	alti
மீண்டும்	tekrar
மீண்டும்	gene
மீண்டும்	yeniden
மீண்டும்	yine
இங்கிலாந்து	ingiltere
காலம்	mevsim
காலம்	adet
காலம்	nokta
காலம்	zaman
காலம்	süre
காலம்	dönem
காலம்	sezonu
காலம்	vakit
காலம்	sezon
நிலை	devlet
நிலை	düzey
நிலை	eyalet
நிலை	mevki
நிலை	konum
நிலை	pozisyon
நிலை	seviye
ஒரே	aynısından
ஒரே	aynen
ஒரே	aynısı
ஒரே	aynı
ஒரே	ayni
போர்	savaş
போர்	savas
காரணமாக	nedeniyle
காரணமாக	vadesi
பொருள்	nesne
பொருள்	konu
பொருள்	materyal
பொருள்	şahıs
பொருள்	itiraz
பொருள்	malzeme
பொருள்	konusu
பொருள்	denek
பொருள்	cisim
பொருள்	obje
பொருள்	ürün
பொருள்	madde
அறிவியல்	bilimsel
அறிவியல்	fen
அறிவியல்	bilim
பேச்சு	konusma
பேச்சு	konuşmak
பேச்சு	konuşma
பேச்சு	konuş
இதனால்	ile
அனைத்து	tümü
அனைத்து	hepsini
அனைத்து	hepsi
அனைத்து	tamamı
கல்வி	eğitim
ஏப்ரல்	nisan
ஏப்ரல்	nişan
உலக	evrensel
உலக	dünya
உலக	dunya
உலக	küresel
கே	gey
கே	eşcinsel
கீழ்	alttaki
கீழ்	altına
கீழ்	aşağı
கீழ்	altta
கீழ்	altinda
கீழ்	dibi
கீழ்	aşağıya
கீழ்	altında
கீழ்	dibe
கீழ்	alt
இடம்	konumu
இடம்	yer
இடம்	uzay
இடம்	yeri
இடம்	konum
இடம்	uzayı
இடம்	boşluk
செப்டம்பர்	eylül
பேர்	diğerleri
பேர்	diger
பேர்	diğerlerini
பேர்	başkaları
பெரும்	harika
பெரும்	küstah
நாடுகள்	ülkeleri
நாடுகள்	ülkeler
நாடுகள்	ülkelere
தொகுதி	modül
தொகுதி	albüm
தொகுதி	sistemi
தொகுதி	sistem
தொகுதி	modülü
தொகுதி	albümleri
கிழக்கு	doğulu
கிழக்கு	doğu
கிழக்கு	doğuya
கிழக்கு	doğuda
அமைப்பு	tuzak
அமைப்பு	kurulumu
அமைப்பு	sistemi
அமைப்பு	organizasyon
அமைப்பு	kuruluş
அமைப்பு	sistem
அமைப்பு	ayar
அமைப்பு	ayarlama
அமைப்பு	yapı
அமைப்பு	yapısı
அமைப்பு	kurulum
அமைப்பு	ayarı
அமைப்பு	örgüt
அளவு	boyu
அளவு	miktar
அளவு	ölçeği
அளவு	boy
அளவு	miktarı
அளவு	tutar
அளவு	boyut
அளவு	ölçek
அளவு	ölçekli
அளவு	beden
அளவு	büyüklük
மற்ற	diğer
மற்ற	diger
மற்ற	öteki
மற்ற	diğeri
இவற்றையும்	bunlar
இவற்றையும்	şunlar
இவற்றையும்	bunları
தற்போது	simdi
தற்போது	şimdi
பாடல்	şarkı
பாடல்	sarki
உண்டு	mevcuttur
உண்டு	müsait
உண்டு	mevcut
உண்டு	kullanılabilir
வாழும்	yaşayan
வாழும்	yaşıyorum
வாழும்	yaşamak
இருக்கிறது	mevcuttur
இருக்கிறது	müsait
இருக்கிறது	mevcut
இருக்கிறது	kullanılabilir
நிறுவனம்	bölük
நிறுவனம்	organizasyon
நிறுவனம்	işveren
நிறுவனம்	kuruluş
நிறுவனம்	firma
நிறுவனம்	şirket
நிறுவனம்	örgüt
நிறுவனம்	örgütü
நபர்கள்	millet
நபர்கள்	insanlar
நபர்கள்	halk
நபர்கள்	kişiler
காலனி	koloni
காலனி	kolonisi
மேற்கு	batıda
மேற்கு	batılı
மேற்கு	batı
மேற்கு	batıya
தலைவர்	lideri
தலைவர்	baskan
தலைவர்	cumhurbaşkanı
தலைவர்	lider
தலைவர்	önder
தலைவர்	başkan
முதலில்	once
முதலில்	öncelikle
முதலில்	ilk
முதலில்	önce
சார்ந்த	akraba
சார்ந்த	akrabası
சார்ந்த	temelli
சார்ந்த	akrabalar
சார்ந்த	tabanlı
சார்ந்த	bağımlılık
சார்ந்த	bağımlılığı
சார்ந்த	göreceli
மேல்	üstü
மேல்	üstte
மேல்	üst
நாடு	ülke
நாடு	vatan
மட்டும்	yalnızca
மட்டும்	sadece
அடிப்படையில்	temelde
எண்	sayar
எண்	kont
எண்	rakam
எண்	sayı
எண்	numarası
எண்	numara
எண்	say
குறிப்பிட்ட	belirtilmiş
குறிப்பிட்ட	belirli
குறிப்பிட்ட	belirtilen
குறிப்பிட்ட	belirtildi
குறிப்பிட்ட	spesifik
செய்ய	yap
சிறிய	az
சிறிய	kucuk
சிறிய	minik
சிறிய	küçük
சிறிய	ufak
வேறு	diğer
வேறு	diger
வேறு	öteki
வேறு	diğeri
மார்ச்	marş
மார்ச்	yürüyüş
மார்ச்	mart
நிலையில்	şart
நிலையில்	durum
நிலையில்	koşul
நிலையில்	sahne
நிலையில்	durumu
பெண்	kadin
பெண்	kiz
பெண்	kadın
பெண்	kız
பெண்	kızım
பெண்	dişi
பெண்	kadınım
வெற்றி	kazanma
வெற்றி	kazanmak
வெற்றி	kazanılan
வெற்றி	başarılar
வெற்றி	başarılı
வெற்றி	kazanıyor
வெற்றி	başarı
வெற்றி	galibiyet
வெற்றி	kazanır
வெற்றி	zafer
வெற்றி	kazanın
வெற்றி	kazan
வெற்றி	kazandı
இணைப்பு	bağ
இணைப்பு	eklenti
இணைப்பு	eki
இணைப்பு	bağlantı
திரைப்படம்	filim
திரைப்படம்	film
திரைப்படம்	sinema
வகை	kategorisi
வகை	tipi
வகை	kategori
வகை	türü
வகை	modu
வகை	kipi
வகை	tür
வகை	mod
வகை	kip
வகை	tip
ஐந்து	beş
அதே	aynısından
அதே	aynen
அதே	aynısı
அதே	aynı
அதே	ayni
சிறப்பு	seçme
சிறப்பு	özeldir
சிறப்பு	ozel
சிறப்பு	özel
சுமார்	hakkında
சுமார்	yaklaşık
கட்டுரைகள்	makale
கட்டுரைகள்	makaleler
கட்டுரைகள்	yazılar
படி	adım
படி	okuyun
படி	adımı
படி	okumak
படி	oku
படி	okuma
படி	basamak
மனித	insan
மனித	insani
பெரும்பாலும்	çoğunlukla
பெரும்பாலும்	neredeyse
பெரும்பாலும்	sıklıkla
பெரும்பாலும்	nerdeyse
பெரும்பாலும்	genellikle
பெரும்பாலும்	sıkça
கட்சி	parti
பொது	genel
பொது	halk
பொது	kamu
பொது	yaygın
கல்லூரி	üniversite
கல்லூரி	kolej
இசை	müzik
முறையில்	kipi
முறையில்	modu
முறையில்	mod
முறையில்	kip
நாட்டின்	ülke
நாட்டின்	vatan
மத்திய	merkezi
மத்திய	merkez
மில்லியன்	milyonlar
மில்லியன்	milyonlarca
மில்லியன்	milyon
நகரம்	sehir
நகரம்	şehir
எந்த	hangisi
எந்த	hangi
எந்த	herhangi
எனப்படும்	aradı
நீர்	su
செய்யும்	yapıyor
இணைந்து	katıl
இணைந்து	katılmak
இணைந்து	katılın
விக்கிப்பீடியா	vikipedi
சென்று	gitmiş
சென்று	gitti
பார்க்க	gör
பார்க்க	görün
பார்க்க	görmek
அணி	ekip
அணி	takım
எழுதிய	yazıldı
எழுதிய	yazılmış
எழுதிய	yazdı
எழுதிய	yazılı
எழுதிய	yazılan
எழுதிய	yazan
நிலையம்	istasyonu
நிலையம்	istasyon
நிலையம்	karakol
தொடர்பான	akraba
தொடர்பான	ilişkili
தொடர்பான	alakalı
தொடர்பான	ilgili
தொடர்பான	bağlantılı
மீட்டர்	metre
இடத்தில்	yer
கோவில்	tapınak
கோவில்	tapınağı
மாதம்	aylık
மாதம்	ay
ஆய்வு	araştırma
ஆய்வு	çalışma
ஆய்வு	araştırmalar
ஆய்வு	çalış
வட	kuzeye
வட	kuzey
வட	kuzeyde
குறைந்த	alçak
குறைந்த	düşük
குறைந்த	az
டிசம்பர்	aralık
முன்	cephe
முன்	öne
முன்	ön
முன்	önceden
முன்	önceki
முன்	öncesi
முன்	öncesinde
முன்	önce
வாழ்க்கை	yaşam
வாழ்க்கை	ömür
வாழ்க்கை	hayat
சனவரி	ocak
புனித	kutsal
புனித	mukaddes
இரண்டாவது	ikincil
இரண்டாவது	ikinci
இரண்டாவது	ikincisi
ஆங்கிலம்	turkish
ஆங்கிலம்	ingiliz
ஆங்கிலம்	ingilizce
ஆங்கிலம்	türkçe
அங்கு	orda
அங்கு	orada
தொழில்	sektör
தொழில்	iş
தொழில்	mesleği
தொழில்	sanayi
தொழில்	işletme
தொழில்	ticaret
தொழில்	endüstri
தொழில்	sanayii
தொழில்	meslek
பழைய	eski
பழைய	yaşlı
பழைய	ihtiyar
ஆண்டுகள்	seneler
ஆண்டுகள்	yıllardır
ஆண்டுகள்	yıllar
ஆண்டுகள்	yıllarca
ஆண்டுகள்	yılların
குறிப்பாக	özelliklede
குறிப்பாக	özellikle
குறிப்பாக	bilhassa
பார்க்கவும்	izleyin
பார்க்கவும்	ziyaret
பார்க்கவும்	izle
துறை	departmanı
துறை	iskele
துறை	bölüm
துறை	departman
துறை	bölümü
துறை	liman
கடல்	deniz
கடல்	okyanus
கடல்	denizcilik
கடல்	denizci
கடல்	okyanuslar
போல	gibi
போல	beğen
இதற்கு	icin
இதற்கு	için
சிறு	kucuk
சிறு	küçük
சிறு	ufak
தென்	güney
தென்	güneye
உயர்	yüksek
உயர்	çak
உயர்	yükseğe
உயர்	lüks
உயர்	yükseklerde
வடக்கு	kuzeye
வடக்கு	kuzey
வடக்கு	kuzeyde
ஆட்சி	krallık
ஆட்சி	kural
ஆட்சி	hükümdarlık
ஆட்சி	yönetim
ஆட்சி	saltanatı
ஆட்சி	saltanat
மக்களின்	millet
மக்களின்	insanlar
மக்களின்	halk
மக்களின்	kişiler
நோய்	hastalıklar
நோய்	hastalık
தேர்தல்	seçim
தேர்தல்	seçimler
உற்பத்தி	imalatı
உற்பத்தி	yapım
உற்பத்தி	prodüksiyon
உற்பத்தி	imalat
உற்பத்தி	üretim
வந்தது	vardım
வந்தது	geldi
கலை	sanat
கலை	sanatlar
தங்கள்	onların
தங்கள்	onlarin
சமூக	sosyal
சமூக	toplumsal
போல்	gibi
போல்	beğen
தர	kalite
தர	kalitesi
தர	kaliteli
நூற்றாண்டு	asır
நூற்றாண்டு	yüzyıl
அவருடைய	onun
அவருடைய	onunki
உலகின்	dünyalar
உலகின்	dünyaları
அமெரிக்கா	amerika
பகுதிகளில்	alanlar
பகுதிகளில்	bölgeler
பகுதிகளில்	alanları
வந்து	gelin
வந்து	gel
பரிசு	hediye
பரிசு	ödülü
பரிசு	ödül
பரிசு	armağan
பிரிவு	kategorisi
பிரிவு	kategori
பிரிவு	kısım
பிரிவு	bölüm
பிரிவு	bölümü
பிரிவு	bölünme
உடல்	beden
உடல்	vücut
உடல்	ceset
இவர்கள்	bunlar
இவர்கள்	şunlar
இவர்கள்	bunları
கூட	ayrıca
கூட	ayrica
கூட	hatta
கூட	bile
எழுத்தாளர்	yazar
குழு	grubu
குழு	grup
குழு	gurup
இலக்கிய	edebi
இலக்கிய	edebiyat
இலக்கிய	edebiyatı
விளையாட்டு	spor
விளையாட்டு	oyun
விளையாட்டு	maç
விளையாட்டு	sporlar
உறுப்பினர்கள்	üye
உறுப்பினர்கள்	üyeleri
உறுப்பினர்கள்	üyeler
இறப்பு	olum
இறப்பு	ölüm
அடி	vur
அடி	ayakları
அடி	ayak
அடி	ayaklar
துணை	destek
துணை	desteği
துணை	ahlak
துணை	yardımcısı
துணை	ortak
துணை	denizaltı
துணை	destekle
துணை	yardımcı
துணை	vekil
துணை	ahlaksızlık
துணை	alt
பதிப்பு	sürüm
பதிப்பு	versiyon
பதிப்பு	baskı
பதிப்பு	sürümü
சொல்	söyle
சொல்	kelime
சொல்	söz
சொல்	kelimesi
சொல்	laf
சொல்	sözcük
சொல்	söyleyin
சொல்	anlat
சொல்	de
தெற்கு	güney
தெற்கு	güneye
கட்டுரை	kompozisyon
கட்டுரை	makale
கட்டுரை	yazı
கட்டுரை	makaleler
கட்டுரை	yazılar
கட்டுரை	madde
வட்டம்	çember
வட்டம்	daire
சராசரி	ortalama
தொலைக்காட்சி	televizyon
தொலைக்காட்சி	tv
எண்ணிக்கை	sayar
எண்ணிக்கை	kont
எண்ணிக்கை	parça
எண்ணிக்கை	sıklık
எண்ணிக்கை	frekans
எண்ணிக்கை	say
தவிர	hariç
தவிர	dışında
நடிகர்	oyuncu
நடிகர்	aktör
பாடல்கள்	şarkılar
பாடல்கள்	şarkı
இன்று	bugün
இன்று	bügün
இன்று	bugünde
இன்று	bugun
சட்டம்	yasal
சட்டம்	kanuni
சட்டம்	kanun
சட்டம்	yasa
சட்டம்	kare
சட்டம்	hukuk
சட்டம்	çerçeve
சட்டம்	çerçevesi
சட்டம்	hukuki
அருகில்	yakınında
அருகில்	yakındaki
அருகில்	yakınlardaki
அருகில்	yakınlarda
அருகில்	yakınındaki
அருகில்	yakın
நேரம்	vakit
நேரம்	süre
நேரம்	zaman
முதலாவது	once
முதலாவது	öncelikle
முதலாவது	ilk
முதலாவது	önce
மூலமாக	aracılığıyla
மூலமாக	üzerinden
மூலமாக	yoluyla
மூலமாக	geçerek
உணவு	yiyecek
உணவு	yemek
உணவு	gıda
உணவு	yemekler
குறித்து	hakkında
குறித்து	yaklaşık
பெப்ரவரி	şubat
பகுதிகள்	bileşen
பகுதிகள்	bileşeni
பகுதிகள்	alanlar
பகுதிகள்	segmentler
பகுதிகள்	alanları
பகுதிகள்	parçaları
பகுதிகள்	bölgeleri
பகுதிகள்	bölgeler
பகுதிகள்	parçalar
நிறுவனங்கள்	firmalar
நிறுவனங்கள்	organizasyon
நிறுவனங்கள்	şirketler
நிறுவனங்கள்	şirketleri
நிறுவனங்கள்	kuruluşlar
ஜனவரி	ocak
எழுத்தாளர்கள்	yazarlar
நல்ல	güzel
நல்ல	iyi
அடுத்த	sıradaki
அடுத்த	sonraki
அடுத்த	sırada
படம்	foto
படம்	fotoğraf
படம்	fotograf
படம்	görsel
படம்	görüntü
படம்	imaj
படம்	resim
படம்	resmi
பாதுகாப்பு	güvenlidir
பாதுகாப்பு	emniyetli
பாதுகாப்பு	korunmak
பாதுகாப்பு	kasa
பாதுகாப்பு	korunma
பாதுகாப்பு	emniyeti
பாதுகாப்பு	güvenli
பாதுகாப்பு	güvenliği
பாதுகாப்பு	emniyet
பாதுகாப்பு	koruma
பாதுகாப்பு	güvenlik
பாதுகாப்பு	defans
பாதுகாப்பு	güvende
பாதுகாப்பு	savunma
தந்தை	baba
பங்கு	rol
பங்கு	rolün
பார்க்கப்பட்ட	görüntülenen
பயன்படுத்தி	kullanarak
பயன்படுத்தி	kullanımı
பயன்படுத்தி	kullanma
பயன்படுத்தி	kullanmak
பயன்படுத்தி	kullanıyor
அவர்களின்	onların
அவர்களின்	onlarin
செய்த	yapıldı
செய்த	yapılmış
பதிவு	ruhsat
பதிவு	gönderi
பதிவு	kayıt
பதிவு	izlenim
பதிவு	gösterim
பதிவு	tescil
பதிவு	rekor
பதிவு	plak
ஐரோப்பிய	avrupalı
ஐரோப்பிய	avrupa
முழுவதும்	tamamen
முழுவதும்	tamamlanmış
முழுவதும்	komple
முழுவதும்	ful
முழுவதும்	tamamlandı
முழுவதும்	dolu
முழுவதும்	tam
முழுவதும்	tamamıyla
முழுவதும்	tamamiyle
பயனர்	kullanıcı
தொடர்	seri
தொடர்	devam
போன்றவை	vb
ஜூன்	haziran
ஜூன்	joon
வழியாக	aracılığıyla
வழியாக	üzerinden
வழியாக	yoluyla
உறுப்பினர்	üye
உறுப்பினர்	istemci
உறுப்பினர்	üyelik
உறுப்பினர்	müşteri
ஆசிரியர்	hocam
ஆசிரியர்	düzenleyici
ஆசிரியர்	öğretmenim
ஆசிரியர்	editör
ஆசிரியர்	yazarı
ஆசிரியர்	öğretmen
ஆசிரியர்	hoca
ஆசிரியர்	yazar
ஆஃப்	kapalı
ஆஃப்	izin
முக்கியமான	onemli
முக்கியமான	kritik
முக்கியமான	eleştirel
முக்கியமான	önemli
முக்கியமான	önemlidir
தொடர்பு	bağlantı
தொடர்பு	iletisim
தொடர்பு	irtibat
தொடர்பு	iletişim
ஜூலை	temmuz
ஆற்றல்	enerji
ஆற்றல்	enerjisi
வேலை	iş
வேலை	çalışmak
வேலை	çalışma
வேலை	eyüp
வேலை	çalış
இருக்கலாம்	belki
சமய	dinsel
சமய	dini
சமய	dindar
பணி	iş
பணி	çalışmak
பணி	çalışma
பணி	görev
பணி	eyüp
பணி	çalış
கதை	hikâye
கதை	öykü
கதை	hikaye
கதை	masal
இடையே	arası
இடையே	arasında
இடையே	arasındaki
இடையே	arasına
பட்டம்	uçurtma
பட்டம்	diploma
பட்டம்	mezuniyet
பட்டம்	derecesi
பட்டம்	derece
பட்டம்	mezun
வழி	şekilde
வழி	yol
அப்போது	ozaman
அப்போது	öyleyse
அப்போது	sonra
விடுதலை	özgür
விடுதலை	kurtuluş
விடுதலை	özgürlük
விடுதலை	özgürlüğü
விடுதலை	hürriyet
ஆகஸ்ட்	ağustos
தேதி	randevu
தேதி	flört
தேதி	buluşma
தேதி	tarihi
தேதி	tarih
பிறந்த	doğumu
பிறந்த	doğum
பிறந்த	dogum
இன்னும்	ve
இன்னும்	hâlâ
இன்னும்	halen
இன்னும்	hala
ஜான்	yahya
அடுத்து	sıradaki
அடுத்து	sonraki
அடுத்து	sırada
சேவை	servis
சேவை	servisi
சேவை	hizmet
கருத்து	görüşler
கருத்து	yorumu
கருத்து	görüşleriniz
கருத்து	yorum
கருத்து	tema
கருத்து	yoruma
கருத்து	görüş
கருத்து	yorumda
காரணம்	sebep
காரணம்	çünkü
காரணம்	sebebi
காரணம்	nedeni
தனி	er
தனி	ayrı
தனி	ayırın
தனி	özele
தனி	özel
தனி	ayri
அவருக்கு	onu
நீண்ட	uzun
பள்ளி	okulumuz
பள்ளி	okulu
பள்ளி	okula
பள்ளி	okul
மகன்	oğul
மகன்	oğlum
மகன்	evlat
சர்வதேச	uluslararası
சர்வதேச	yurtdışı
எல்லா	tümü
எல்லா	hepsini
எல்லா	hepsi
எல்லா	tamamı
பொருட்கள்	ürünler
பொருட்கள்	malzemeler
பொருட்கள்	eşyalar
பொருட்கள்	ürünleri
பொருட்கள்	nesne
பொருட்கள்	malzeme
பொருட்கள்	erzak
பொருட்கள்	nesneler
பொருட்கள்	ürün
பொருட்கள்	nesneleri
மின்	elektrik
மின்	elektrikli
என்றால்	demek
என்றால்	anlamı
ஏழு	yedi
நடைபெற்ற	tutulan
நடைபெற்ற	düzenlenen
முன்னர்	önceden
முன்னர்	önceki
முன்னர்	öncesi
முன்னர்	öncesinde
முன்னர்	önce
பொறியியல்	mühendisliği
பொறியியல்	mühendislik
அமைப்புகள்	organizasyon
அமைப்புகள்	ayarları
அமைப்புகள்	ayarlar
அமைப்புகள்	kuruluşlar
மொழிகள்	diller
மொழிகள்	dilleri
மொழிகள்	dil
அத்துடன்	ayrıca
அத்துடன்	ayrica
முழு	ful
முழு	dolu
முழு	tam
முதன்மை	birincil
முதன்மை	üstte
முதன்மை	üst
முதன்மை	üstü
முதன்மை	ana
மணி	can
மணி	çan
மணி	zil
மணி	saat
தொகுப்பு	toplama
தொகுப்பு	kompozisyon
தொகுப்பு	paket
தொகுப்பு	koleksiyonu
தொகுப்பு	paketi
தொகுப்பு	koleksiyon
தொலைவில்	uzağa
தொலைவில்	uzakta
தொலைவில்	uzaklara
தொலைவில்	uzak
மருத்துவ	tıbbi
மருத்துவ	tıp
மருத்துவ	sağlık
மருத்துவ	medikal
வணிக	reklam
வணிக	ticari
திருமணம்	evlenmek
திருமணம்	nikah
திருமணம்	evlilik
திருமணம்	evlen
திருமணம்	evlendi
திருமணம்	evli
திருமணம்	düğün
நீங்கள்	sen
நீங்கள்	siz
நீங்கள்	seni
இயேசு	isa
நடித்த	başrolde
நடித்த	başrol
பொதுவான	genel
பொதுவான	halk
பொதுவான	kamu
பொதுவான	yaygın
சமயம்	din
சமயம்	dini
சமயம்	topluluk
சமயம்	cemaat
சமயம்	dinin
சமயம்	ümmet
சமயம்	toplum
எதிராக	karşı
எதிராக	karsi
எதிராக	aleyhinde
விட்டு	terk
பக்கம்	sayfaya
பக்கம்	sayfa
பக்கம்	sayfayı
பக்கம்	sayfada
பக்கம்	sayfası
உள்ளிட்ட	girilen
உள்ளிட்ட	girdi
அதிகம்	yüksek
அதிகம்	çak
அதிகம்	daha
அதிகம்	yükseğe
அதிகம்	devamı
அதிகம்	yükseklerde
நாட்கள்	günler
நாட்கள்	günlerce
நாட்கள்	günleri
நாட்கள்	günlerden
திருத்தந்தை	papa
மாற்றம்	değişiklik
மாற்றம்	değiştirme
மாற்றம்	değişim
மாற்றம்	dönüştürme
மாற்றம்	dönüşüm
மாற்றம்	değiştir
கழகம்	derneği
கழகம்	dernek
வேண்டிய	havasız
இறுதி	son
இறுதி	bitir
இறுதி	sonu
இறுதி	bitiş
வகைகள்	çeşitleri
வகைகள்	kategorileri
வகைகள்	modları
வகைகள்	türleri
