से	از
लेख	مقالات
अब	الان
अब	اکنون
अब	حالا
अमेरिका	آمریکای
अमेरिका	آمریکا
अमेरिका	امریکا
मंदिर	معبد
मंदिर	تمپل
मंदिर	عبادتگاه
मंदिर	پرستشگاه
दक्षिण	جنوب
दक्षिण	ساوت
दक्षिण	جنوبی
विभिन्न	گوناگون
विभिन्न	متفرقه
इतिहास	تاریخ
इतिहास	تاریخچه
लिया	گرفته
फ़िल्म	سینمایی
फ़िल्म	فیلمش
फ़िल्म	فیلم
फ़िल्म	فیلمی
क्योंकि	چون
पास	مجالس
पास	گذری
पास	پاس
पास	عبور
पास	گذر
विस्तृत	استادانه
विस्तृत	پیشرفته
विस्तृत	مفصل
दिन	روزهایی
दिन	روزای
दिन	روزهای
दिन	روزی
दिन	روز
दिन	روزها
दिन	روزگار
कृषि	کشاورزی
व्यक्ति	فردگرایی
व्यक्ति	فرد
व्यक्ति	شخصی
व्यक्ति	شخص
विज्ञान	علوم
विज्ञान	علم
विज्ञान	علمی
सदस्य	اعضا
सदस्य	اعضای
सदस्य	عضوی
सदस्य	عضو
हालांकि	هرچند
हालांकि	گرچه
हालांकि	اگرچه
सिंह	سینگ
सिंह	لئو
अनेक	بسیار
अनेक	چندین
अनेक	چندگانه
यहां	اینجا
संख्या	عدد
संख्या	اعدادی
संख्या	شمارۀ
संख्या	اعداد
संख्या	شماره
अपना	شما
बात	حرف
साहित्य	ادبیات
शिक्षा	شهریه
शिक्षा	تحصیلات
शिक्षा	آموزش
दिल्ली	دهلی
धर्म	دین
धर्म	مذاهب
धर्म	دارما
धर्म	ادیان
धर्म	مذهب
मूल	بومی
मूल	اصلی
मूल	منشأ
मूल	اوریجینال
मूल	مبدا
मूल	مبدأ
मूल	خاستگاه
मूल	بیسیک
मूल	اصیل
मूल	پکیج
मूल	پایه
तब	پس
बना	را
कोड	کد
संयुक्त	متحد
संयुक्त	یونایتد
संयुक्त	مفصل
जुलाई	ژوئیه
जुलाई	جولای
युद्ध	کارزار
युद्ध	جنگ
युद्ध	بتل
युद्ध	رزم
युद्ध	نبرد
युद्ध	جنگی
नदी	ریور
नदी	رود
नदी	رودخانه
वाला	ولا
वाला	والا
काल	تماس
काल	دورهای
काल	بخوانید
काल	دورۀ
काल	دوره
काल	وخیم
काल	پریود
वर्षों	سالها
वर्षों	سالهای
वर्षों	سال
प्रति	پر
स्टेशन	ایستگاه
स्टेशन	پاسگاه
बड़े	بیگ
बड़े	بزرگی
बड़े	درشت
बड़े	بزرگ
जनवरी	ژانویه
मध्य	مدین
मध्य	سنترال
मध्य	وسط
मध्य	مرکزی
मध्य	مرکز
मध्य	میانه
मध्य	میانی
मध्य	میدل
मध्य	مرکزش
मध्य	وسطی
मध्य	سنتر
राजा	کینگ
राजा	پادشاه
राजा	راجا
राजा	شاه
प्रथम	نخستین
प्रथम	اول
प्रथम	ابتدا
विश्वविद्यालय	qom
विश्वविद्यालय	دانشگاهها
विश्वविद्यालय	دانشگاههای
विश्वविद्यालय	دانشگاه
जून	ژوئن
जून	ژون
उसकी	او
मार्च	مارس
मार्च	مار
मार्च	پیشروی
मार्च	راهپیمایی
बन	طمع
अर्थ	معنا
अर्थ	معنی
अर्थ	معنای
अप्रैल	آوریل
अप्रैल	اپریل
महत्वपूर्ण	حیاتی
महत्वपूर्ण	انتقادی
महत्वपूर्ण	خطیر
महत्वपूर्ण	بحرانی
महत्वपूर्ण	مهمند
महत्वपूर्ण	مهم
प्रामाणिक	اصلن
आप	شما
आप	تو
किए	کوآ
अक्टूबर	اکتبر
समूह	گروهها
समूह	آدینه
समूह	گروه
समूह	گروهبندی
समूह	جماعت
समूह	گروپ
वर्तमान	جاری
वर्तमान	حاضر
वर्तमान	هدیه
वर्तमान	جریان
अध्ययन	مطالعه
अध्ययन	تحصیل
अध्ययन	مطالعات
विभाग	واحد
विभाग	تقسیم
विभाग	وزارت
विभाग	بخش
विभाग	اداره
आम	معمولی
आम	مشترک
आम	رایج
आम	انبه
स्थिति	شرایط
स्थिति	ایالت
स्थिति	شرط
स्थिति	حالت
स्थिति	موقعیت
स्थिति	دولت
स्थिति	موضع
स्थिति	وضعیت
स्थिति	استیت
प्रभाव	آثار
प्रभाव	اصابت
प्रभाव	جلوه
प्रभाव	ضربه
प्रभाव	برخوردی
प्रभाव	اثر
प्रभाव	تأثیر
प्रभाव	تاثیرات
प्रभाव	اثرات
प्रभाव	تأثیرات
प्रभाव	برخورد
आदर्श	آرمانگرایی
आदर्श	بُت
आदर्श	طاغوت
साल	سالها
साल	سالهای
साल	سال
पहली	نخستین
पहली	اول
पहली	ابتدا
संगीत	موسیقی
संगीत	موزیک
अमेरिकी	آمریکایی
अमेरिकी	آمریکن
अमेरिकी	امریکن
अमेरिकी	آمریکاییها
अमेरिकी	امریکایی
सेवा	سرویس
सेवा	خدمت
सेवा	خدمات
बनाने	ایجاد
बनाने	ساختن
आज	امروز
स्थापित	تمکین
स्थापित	نصب
स्थापित	بنیان
स्थापित	برپا
उच्च	رفیع
उच्च	بلند
उच्च	والا
देता	میدهد
उपलब्ध	موجود
काफी	کافیه
बड़ी	بیگ
बड़ी	بزرگی
बड़ी	درشت
बड़ी	بزرگ
शक	شک
शक	ساکا
प्रभा	پرا
श्री	سری
उदाहरण	نمونه
उदाहरण	مثلی
उदाहरण	مثال
उदाहरण	تصویرسازی
उदाहरण	نمونۀ
उदाहरण	مثالهای
उसका	او
ले	برداشت
ले	بگیرد
ले	بگیرید
ले	بگیر
जिससे	کدام
स्थापना	نصب
स्थापना	موسسه
स्थापना	تاسیس
स्थापना	تأسیس
कंपनी	شرکت
कंपनी	گروهان
कंपनी	کمپانی
अधिकांश	غالبا
अधिकांश	بیشتر
अधिकांश	اکثر
अधिकांश	بیشترین
सामाजिक	اجتماعی
सामाजिक	سوسیال
प्रत्येक	هرکدوم
प्रत्येक	هر
प्रत्येक	هریک
बड़ा	بزرگی
बड़ा	بزرگتر
बड़ा	بزرگتری
बड़ा	درشت
बड़ा	عالیه
बड़ा	عالی
बड़ा	بیگ
बड़ा	بزرگ
स्तर	لول
स्तर	تراز
स्तर	سطوح
स्तर	سطح
जारी	ادامه
चित्र	پیکچرز
चित्र	عکسها
चित्र	نگاره
चित्र	عکسه
चित्र	عکس
चित्र	تصویر
चित्र	تصاویر
इससे	از
इससे	ببندد
प्रणाली	سیستم
प्रणाली	سامانه
सरकारी	دولت
सरकारी	رسمی
सरकारी	دولتی
सरकारी	حکومت
जहां	کجای
जहां	کجا
देशों	کشورها
जल	آب
सूची	فهرست
विचार	رسیدگی
विचार	تفکر
विचार	افکارش
विचार	افکار
विचार	ایده
छोटे	اسمال
छोटे	کم
छोटे	لیتل
छोटे	کوچولو
छोटे	کوچکی
छोटे	اندکی
छोटे	کوچک
ऊपर	تاپ
ऊपर	بالا
ऊपर	فاعل
ऊपर	اوج
ऊपर	فراز
पानी	آب
सामान्य	عمومی
सामान्य	رایج
सामान्य	ژنرال
सामान्य	عادی
सामान्य	مشترک
सामान्य	معمولی
सामान्य	جنرال
सामान्य	نرمال
सामान्य	طبیعی
आगे	جلو
कुल	مجموع
कुल	کل
कुल	کلا
एक्स्प्रेस	اکسپرس
पुलिस	پلیس
पुलिस	پولیس
वर्ग	رده
वर्ग	دسته
वर्ग	میدان
वर्ग	مقوله
वर्ग	طبقاتی
वर्ग	ردۀ
वर्ग	کلاسها
वर्ग	مربع
वर्ग	کلاسهای
वर्ग	کلاسی
वर्ग	کلاس
शरीर	جسم
शरीर	بدنه
शरीर	بدن
शरीर	بدنی
अंग्रेजी	انگلیسی
माध्यम	متوسط
मानव	بشر
मानव	انسانی
मानव	انسان
पाकिस्तान	پاکستان
भूमिका	رل
भूमिका	آشنایی
भूमिका	مقدمه
भूमिका	نقشی
भूमिका	اشنایی
भूमिका	معرفی
भूमिका	نقش
हर	حور
हर	هار
हर	هر
हर	هور
अतिरिक्त	اضافی
अतिरिक्त	اضافه
अतिरिक्त	زاپاس
अतिरिक्त	حیا
पिता	پدر
पिता	پدری
समाज	اجتماع
समाज	جامعه
समाज	انجمن
नीचे	باتوم
नीचे	تهش
नीचे	زیر
नीचे	مفعول
नीचे	فرود
नीचे	پایین
दुनिया	جهان
दुनिया	دنیا
दुनिया	جهانی
आधुनिक	امروزی
आधुनिक	مدرن
ध्यान	مدیتیشن
ध्यान	توجه
हिंदी	هندی
दे	بده
सभा	محفل
सभा	مجمع
सभा	آدینه
सभा	گردآوری
सभा	مجلس
सभा	ویدهان
सभा	جماعت
परिवार	خانواده
परिवार	فامیل
परिवार	خانوادگی
विषय	مبحث
विषय	موضوعات
विषय	موضوع
विषय	فاعل
विषय	سوژه
विषय	موضوعاتی
अधिकार	حقوق
रंग	رنگهای
रंग	رنگ
रंग	رنگها
बाहर	بیرون
बाहर	برون
बाहर	استعفا
बाहर	انصراف
बाहर	ترک
खेल	بازیهای
खेल	ورزش
खेल	بازی
खेल	گیم
खेल	ورزشی
खेल	اسپرت
खेल	پخش
खेल	اسپورت
खेल	ورزشکار
खेल	بازیها
क्षेत्रों	مناطق
क्षेत्रों	نواحی
जहाँ	کجای
जहाँ	کجا
समान	همگن
समान	مشابه
समान	همون
सितंबर	سپتامبر
दूर	دورتر
दूर	میفرمایند
दूर	دور
दूर	دوردست
पता	آدرس
पता	نشانی
शक्ति	قوت
शक्ति	پاور
शक्ति	توان
शक्ति	قدرتش
शक्ति	قدرت
शक्ति	استحکام
शक्ति	نیرو
शक्ति	شاکتی
ब्रिटिश	بریتانیایی
ब्रिटिश	بریتانیا
कला	آرت
कला	هنر
कला	هنرهای
घर	آغازه
घर	وطن
घर	خونه
घर	خانه
संस्कृत	سانسکریت
प्रकाशित	انتشار
मई	مه
मई	می
मई	تا
प्रक्रिया	مراحل
प्रक्रिया	فرایند
प्रक्रिया	رویه
प्रक्रिया	فرآیند
प्रक्रिया	فرایندهای
प्रक्रिया	پروسه
प्रक्रिया	روند
सेना	سپاه
सेना	ارتشی
सेना	لشکر
सेना	لشگر
सेना	سنا
सेना	ارتش
पार्टी	جشن
पार्टी	مهمونی
पार्टी	حزب
पार्टी	پارتی
पार्टी	مهمانی
हम	زمزمه
हम	همهمه
पश्चिम	باختر
पश्चिम	غرب
पश्चिम	غربی
पश्चिम	وست
अंत	پایان
दशक	دهه
दशक	میلادی
पूरी	کل
नए	جدیدتر
बिना	بى
बिना	بدون
क्या	چه
क्या	چی
अगस्त	آگست
अगस्त	اوت
अगस्त	آگوست
संबंध	مراعات
संबंध	ارتباط
संबंध	روابط
संबंध	نسبتی
संबंध	رابطه
प्रदर्शन	عملکرد
प्रदर्शन	کارایی
प्रदर्शन	اجرا
मार्ग	راه
मार्ग	مسیر
पर्यटन	گردشگری
ज्ञान	علم
ज्ञान	دانش
ज्ञान	معرفت
ज्ञान	آگاهی
लगा	احساس
दिसम्बर	دکلان
दिसम्बर	دسامبر
अक्सर	اغلب
अक्सर	غالبا
सहायता	کمک
सहायता	حمایت
सहायता	پشتیبانی
सहायता	پشتیبان
सहायता	کمکهای
सहायता	توفیق
पहला	نخستین
पहला	اول
पहला	ابتدا
मृत्यु	مرگ
स्वयं	نفس
स्वयं	بخود
विकिपीडिया	ویکیپدیا
विकिपीडिया	ویکی
विकिपीडिया	ویکیپدیای
तैयार	اماده
तैयार	آماده
आवश्यक	ضروری
आवश्यक	فوری
आवश्यक	فوریه
आवश्यक	نیاز
आवश्यक	لازم
देखा	دید
देखा	دیده
देखा	ندیده
उत्पादन	تولید
रोग	بیماری
संबंधित	مرتبط
संबंधित	مربوط
शताब्दी	قرنه
शताब्दी	سده
शताब्दी	قرن
चीन	چین
अभी	الان
अभी	اکنون
अभी	حالا
संघ	فدراسیون
संघ	یونیون
संघ	اتحادیه
संघ	اتحاد
संघ	انجمن
यात्रा	مسافرت
यात्रा	سفری
यात्रा	سفر
मात्रा	مقدار
मात्रा	مبلغ
मात्रा	کمیت
रचना	آفرینش
रचना	خلقت
रचना	ترکیب
रचना	انشاء
रचना	ایجاد
जगह	جای
जगह	فاصله
जगह	فضای
जगह	فضا
जगह	مکانی
जगह	محل
जगह	فضایی
जगह	مکان
जगह	جایی
भिन्न	متفاوت
भिन्न	گسسته
भिन्न	کسر
लोक	علنی
लोक	عمومی
लोक	همگانی
सब	همه
पूरा	کل
पूरा	پر
पूरा	پره
पूरा	سرشار
पूरा	کاملش
पूरा	فول
पूरा	تکمیل
आवश्यकता	نیازی
प्रकाश	نوری
प्रकाश	روشن
प्रकाश	چراغها
प्रकाश	پراکاش
प्रकाश	چراغ
प्रकाश	سبک
प्रकाश	روشنایی
प्रकाश	نور
नई	جدید
नई	نو
नई	نیو
नई	جدیدتر
नई	تازه
चिकित्सा	طبی
चिकित्सा	درمان
चिकित्सा	درمانی
चिकित्सा	پزشکی
चिकित्सा	معالجه
दूसरी	دومی
दूसरी	ثانیه
दूसरी	دوم
कार्यक्रम	رخداد
कार्यक्रम	پروگرام
कार्यक्रम	برنامۀ
कार्यक्रम	حوادث
कार्यक्रम	رویدادها
कार्यक्रम	اتفاقات
कार्यक्रम	برنامه
कार्यक्रम	رویداد
कार्यक्रम	رویدادهای
कार्यक्रम	واقعه
पुराने	قدیمی
पुराने	پیر
पुराने	پیرتر
पुराने	بزرگتر
पुराने	قدمت
पुराने	کهنه
सदी	قرنه
सदी	سده
सदी	قرن
भगवान	خدا
भगवान	پروردگارا
भगवान	لرد
भगवान	خداوند
भगवान	الهی
भगवान	خدایی
भगवान	الله
लिखा	نوشتم
संस्थान	مؤسسه
संस्थान	موسسه
संस्थान	انستیتو
संस्कृति	فرهنگ
संस्कृति	فرهنگی
संस्कृति	تمدن
अंग्रेज़ी	انگلیسی
पूर्ण	پر
पूर्ण	پره
पूर्ण	سرشار
पूर्ण	کاملش
पूर्ण	فول
पूर्ण	تکمیل
पूर्ण	عالی
पूर्ण	پرفکت
परिवर्तन	دگرگونی
परिवर्तन	تغییرات
परिवर्तन	گذار
परिवर्तन	انتقال
परिवर्तन	تغییر
परिवर्तन	تبدیل
टीम	تیمهای
टीम	تیمی
टीम	تیم
चर्चा	بحثش
चर्चा	بحث
संगठन	سازماندهی
संगठन	سازمان
संगठन	سازمانهای
संगठन	سازمانها
शैली	شلی
शैली	سبک
तुलना	مقایسه
स्कूल	مدرسه
स्कूल	مکتب
स्कूल	مدارس
पुस्तक	کتاب
पुस्तक	کتابی
लेखक	نویسنده
लेखक	نویسندگان
लेखक	نویسندۀ
लेखक	مؤلف
संस्करण	نسخه
संस्करण	ورژن
संस्करण	نسخۀ
खिलाड़ी	بازیکنان
खिलाड़ी	پهلوان
खिलाड़ी	بازیکن
खिलाड़ी	ورزشکار
ट्रेन	متقاضیان
ट्रेन	قطارها
ट्रेन	قطاری
ट्रेन	قطار
आकार	شکلها
आकार	اندازۀ
आकार	سایز
आकार	شکل
आकार	اندازه
उत्तरी	شمالی
उत्तरी	شمال
सीमा	مرزبانی
सीमा	محدودیتها
सीमा	گسترۀ
सीमा	لبۀ
सीमा	سیما
सीमा	محدودیت
सीमा	مرز
सीमा	حد
सीमा	مرزی
सीमा	لبه
सीमा	گستره
सीमा	محدود
पश्चिमी	غربی
पश्चिमी	وسترن
व्यवस्था	توافق
आर्थिक	اقتصادی
राजधानी	سرمایه
राजधानी	پایتخت
दर्शन	بصیرت
दर्शन	ویژن
दर्शन	بینایی
दर्शन	فلسفه
दर्शन	دید
वहाँ	آنجا
विधि	روش
विधि	متد
विधि	حالت
विधि	روشهای
विधि	قانون
विधि	حقوق
अवधि	دورهای
अवधि	دوام
अवधि	دوران
अवधि	دورۀ
अवधि	دوره
अवधि	پریود
दृष्टि	تصویری
दृष्टि	دیداری
दृष्टि	بصری
दृष्टि	بصیرت
दृष्टि	ویژن
दृष्टि	بینایی
दृष्टि	دید
सिद्धांत	تئوری
सिद्धांत	اصول
सिद्धांत	نظریه
सिद्धांत	فرضیه
सिद्धांत	تعصب
कलाकार	هنرمندان
कलाकार	هنرمندی
कलाकार	هنرمند
बैंक	بانک
बैंक	بنک
बैंक	بنکس
बैंक	بانکها
ज्यादा	دیگر
ज्यादा	بیشتر
अंतिम	واپسین
अंतिम	نهائی
अंतिम	نهایی
अंतिम	لست
अंतिम	فاینال
अंतिम	آخری
अंतिम	آخرین
अंतिम	اخرین
अंतिम	پایانی
विशिष्ट	برجسته
विशिष्ट	مشخص
विशिष्ट	خاص
विशिष्ट	متمایز
विशिष्ट	ممتاز
हिन्दू	هندو
लाल	رد
लाल	قرمز
लाल	سرخ
रहने	اقامت
रहने	موندن
रहने	ماندن
पूर्वी	شرقی
पूर्वी	شرق
समर्थन	پشتیبانی
समर्थन	پشتیبان
समर्थन	حمایت
व्यापार	کسب
व्यापार	تجارت
प्रयास	تلاش
प्रयास	تلاشها
प्रयास	کوشش
प्रयास	تلاشهای
महिला	نسوان
महिला	بانو
महिला	مؤنث
महिला	زنی
महिला	ماده
महिला	مونث
महिला	بانوی
महिला	زن
परियोजना	پروژه
जीवित	زنده
अभिनेता	بازیگر
अभिनेता	بازیگران
अभिनेता	هنرپیشه
क्षमता	قابلیت
क्षमता	توانایی
क्षमता	گنجایش
क्षमता	بالقوه
क्षमता	ظرفیت
क्षमता	پتانسیل
क्षमता	گشایش
स्पष्ट	واضح
वो	او
वो	اون
पृथ्वी	زمین
गति	جنبش
गति	تحرک
गति	سرعت
गति	نهضت
परिणाम	نتیجۀ
परिणाम	نتایجی
परिणाम	نتایج
परिणाम	نتیجه
परिणाम	حاصل
राजस्थान	راجستان
लेने	گرفتن
होगा	ویل
भर	پرشده
पुत्र	پسر
शासन	ملکوت
शासन	حاکمیت
शासन	حکمرانی
शासन	قانون
शासन	رژیم
शासन	قاعده
शासन	سلطنت
नियंत्रण	کنترلهای
नियंत्रण	کنترل
नियंत्रण	مهار
नियंत्रण	کنترول
छत्तीसगढ़	چتیسگر
वर्णन	توصیف
वर्णन	مشخصات
वर्णन	شرح
क्रिकेट	کریکت
योजना	نقشه
योजना	پلان
योजना	تدبیر
योजना	طرحواره
आरम्भ	ابتدای
आरम्भ	آغاز
सन	سون
सन	خورشید
सन	سان
सन	آفتاب
राजनीतिक	راجکوت
राजनीतिक	سیاسی
प्राकृतिक	طبیعی
स्थानीय	محلی
कहानी	داستان
कहानी	داستانی
कहानी	قصه
कहानी	روایت
वृद्धि	سازی
वृद्धि	لیفت
वृद्धि	افزایش
वृद्धि	طلوع
वृद्धि	رشد
वृद्धि	نمو
सुरक्षा	امن
सुरक्षा	محافظت
सुरक्षा	ایمنی
सुरक्षा	امنیت
सुरक्षा	حفاظت
सुरक्षा	سلامت
सुरक्षा	حراست
सुरक्षा	امنیتی
सुरक्षा	پناه
लोकप्रिय	محبوبه
लोकप्रिय	محبوب
लोकप्रिय	عامه
कवि	شاعری
कवि	شاعر
हिस्सा	جزء
हिस्सा	پارت
हिस्सा	قسمت
पद	رتبه
पद	اصطلاح
पद	موقعیت
पद	درجه
पद	موضع
पद	اجل
पद	ترم
हाथ	دستان
हाथ	دستهای
हाथ	دست
जनता	علنی
जनता	عمومی
जनता	همگانی
विस्तार	جفا
विस्तार	بسط
विस्तार	پسوندهای
विस्तार	گسترش
विस्तार	افزونه
विस्तार	پسوند
विस्तार	انبساط
पूरे	کل
युग	دوره
द्वितीय	دومی
द्वितीय	ثانیه
द्वितीय	دوم
चुनाव	انتخابات
चुनाव	انتخاب
चुनाव	انتخابهای
चुनाव	انتخاباتی
व्यक्तिगत	فردگرایی
व्यक्तिगत	فرد
व्यक्तिगत	شخصی
मेल	نامۀ
मेल	نامه
दूसरा	دومی
दूसरा	ثانیه
दूसरा	دوم
आता	آید
प्रवेश	پذیرش
प्रवेश	ورود
प्रवेश	ورودی
प्रवेश	اماکن
प्रवेश	مدهوش
यूरोप	اروپای
यूरोप	اروپا
शुरुआत	ابتدای
शुरुआत	آغاز
दूरी	فاصله
दूरी	مسافت
सामग्री	رضایت
सामग्री	محتویات
सामग्री	خرسند
सामग्री	مواد
सामग्री	محتوا
सामग्री	مصالح
सामग्री	محتوای
ऊर्जा	انرژی
घटनाएँ	اتفاقات
घटनाएँ	حوادث
घटनाएँ	رویدادها
घटनाएँ	رویدادهای
ली	لی
वैज्ञानिक	دانشمندان
वैज्ञानिक	دانشمندی
वैज्ञानिक	دانشمند
वैज्ञानिक	علمی
उद्देश्य	مقاصد
उद्देश्य	هدفگیری
उद्देश्य	هدفی
उद्देश्य	عینی
उद्देश्य	مقصود
प्रस्तुत	عرضه
प्रान्त	استان
प्रान्त	ولایت
ऐतिहासिक	تاریخی
सर्वश्रेष्ठ	بهترین
सर्वश्रेष्ठ	بهتر
धार्मिक	دینی
धार्मिक	مذهبی
द्वीप	جزیره
द्वीप	آیلند
केंद्र	مرکزش
केंद्र	مرکز
केंद्र	سنتر
जनसंख्या	جمعیتی
जनसंख्या	جمعیت
यही	سابقه
दर	نرخ
सामने	جبهه
सामने	جلو
रेल	متقاضیان
रेल	قطارها
रेल	ریل
रेल	قطاری
रेल	قطار
पदार्थ	مواد
पदार्थ	مادهای
पदार्थ	مصالح
पदार्थ	اموال
तथ्य	حقایق
लाभ	برتری
लाभ	سودی
लाभ	نفع
लाभ	مزایای
