から	از
会議	ملاقات
会議	کنفرانس
会議	همایش
会議	جلسه
バンド	گروه
バンド	بند
追加	الحاق
追加	پیوستن
追加	افزودن
成功	موفقیت
成功	رستگار
成功	کامیابی
成功	موفق
成功	موفقیتهای
移動	حرکت
オリンピック	المپیک
国民	ملت
国民	نشنال
国民	ملی
国民	ملتی
ファン	پنکه
ファン	بادبزن
ファン	طرفداران
ファン	فن
ファン	هواداران
ファン	طرفدار
ファン	هوادارن
すべて	همه
山口	یاماگوچی
運動	مشق
運動	نهضت
運動	ورزش
運動	تحرک
運動	جنبش
運動	تمرین
環境	محیطهای
発足	افتتاحیه
大きな	بزرگی
大きな	بیگ
大きな	بزرگ
競技	رقابتها
競技	رقابتهای
競技	رقابت
競技	مسابقه
会長	جوبالند
ヨーロッパ	اروپای
ヨーロッパ	اروپا
紹介	مقدمه
紹介	معرفی
紹介	آشنایی
紹介	اشنایی
形式	شکل
形式	فرم
工場	کارخانه
工場	کارخانجات
相手	حریف
相手	رقیب
相手	حریفی
戦闘	کارزار
戦闘	بتل
戦闘	رزم
戦闘	مقابله
戦闘	نبرد
労働	زایمان
労働	کارگری
労働	کارگر
事務所	دفتر
事務所	اداره
限定	محدود
作戦	عمل
作戦	عملیات
オリジナル	اصالت
オリジナル	اصلی
オリジナル	اصیل
オリジナル	اوریجینال
可能性	امکانات
可能性	ممکن
可能性	احتمال
可能性	امکان
種類	نوع
種類	انواع
種類	تایپ
種類	تیپ
文字	نویسه
文字	شخصیت
協力	همکاری
指導	هدایت
指導	رهنمود
判断	حکم
判断	حاکمیت
判断	قضاوت
判断	قضاوتی
判断	داوری
連邦	فدراسیون
ネット	تور
ネット	تورها
共和国	جمهوری
引退	بازنشسته
引退	بازنشست
部門	وزارت
部門	بخش
部門	اداره
産業	صنعت
産業	صنایع
決勝	نهائی
決勝	نهایی
決勝	فاینال
決勝	آخرین
決勝	پایانی
系統	نسب
誕生	تولد
誕生	تولدها
誕生	ولادت
指揮	فرمان
レース	نژاد
レース	مسابقه
静岡	شیزوئوکا
郵便	نامۀ
郵便	نامه
神奈川	کاناگاوا
岡山	اوکایاما
埼玉	سایتاما
カップ	فنجان
カップ	جامی
カップ	قدح
カップ	کاپ
カップ	جام
ラン	اجرا
レイ	پرتو
移転	انتقال
移転	جابجایی
ほぼ	تقریبا
ほぼ	نزدیک
ほぼ	تقریباً
ほぼ	نمانده
交差点	تقاطع
交差点	چهارراه
イベント	رخداد
イベント	حوادث
イベント	رویدادها
イベント	اتفاقات
イベント	رویداد
イベント	رویدادهای
イベント	واقعه
異なる	متفاوت
神戸	کوبی
神戸	کوبه
カー	کر
出典	متن
出典	منابع
出典	مبدأ
出典	منبع
ほとんど	تقریبا
ほとんど	نزدیک
ほとんど	تقریباً
ほとんど	نمانده
行動	رفتاری
行動	رفتار
行動	سیرت
重要	مهمند
重要	مهم
プロジェクト	پروژههای
プロジェクト	پروژه
九州	کیوشو
電車	متقاضیان
電車	قطارها
電車	قطاری
電車	قطار
建築	معماری
クラス	رده
クラス	طبقاتی
クラス	ردۀ
クラス	کلاسها
クラス	کلاسهای
クラス	کلاسی
クラス	کلاس
導入	مقدمه
導入	معرفی
導入	آشنایی
導入	اشنایی
全体	کل
タイ	تای
タイ	تایلند
普通	عادی
普通	طبیعی
普通	معمولی
普通	نرمال
一人	یکی
一人	یگانه
一人	یک
長野	ناگانو
舞台	صحنه
舞台	مراحل
舞台	استیج
舞台	مرحله
スペイン	اسپانیا
スペイン	اسپانیای
意見	عقاید
意見	پندار
意見	عقیده
意見	نظر
意見	گمان
意見	نظرات
再び	دوباره
発見	اکتشاف
発見	کشف
発見	دیسکاوری
鈴木	سوزوکی
ローマ	روم
ローマ	رومی
ローマ	رم
ローマ	رومن
ローマ	رومان
ローマ	رُم
ローマ	روما
保護	محافظت
保護	پناه
保護	حفاظت
少女	دختر
少女	دختری
試験	کنکور
試験	معاینه
試験	امتحان
試験	امتحانات
試験	آزمون
多数	بیشماری
多数	بسیار
反対	مخالف
作家	نویسنده
作家	نویسندگان
作家	نویسندۀ
作家	مؤلف
地球	زمین
方法	روش
方法	متد
特徴	ویژگی
特徴	ویژگیها
特徴	مشخصات
特徴	ویژگیهای
ベース	بیس
ベース	مبنا
ベース	باس
ベース	پایگاه
ベース	پایه
男性	مردها
男性	مرد
男性	مَرد
男性	انسان
男性	مردان
男性	مردانی
男性	مذکر
男性	نر
ケース	کیس
ケース	موارد
ケース	مورد
ケース	پرونده
子供	کودکان
子供	فرزندان
子供	کودک
子供	فرزند
子供	بچه
子供	اطفال
福島	فوکوشیما
大臣	وزیران
大臣	وزیری
大臣	وزیر
大臣	وزرا
大臣	وزرای
オープン	باز
コーナー	گوشه
取締役	کارگردان
人気	محبوبه
人気	محبوبیت
人気	محبوب
人気	عامه
評価	نرخ
評価	ارزیابی
説明	توصیف
説明	مشخصات
説明	شرح
装備	تجهیزات
装備	وسایل
ドル	دلار
ドル	دالر
投票	رای
雑誌	مجله
熊本	کوماموتو
グランド	گرند
グランド	گراند
学科	وزارت
学科	بخش
学科	اداره
パー	پر
専用	وقف
登録	ثبات
佐藤	ساتو
田中	تاناکا
ステージ	صحنه
ステージ	مراحل
ステージ	استیج
ステージ	مرحله
沖縄	اوکیناوا
ゲスト	مهمان
ゲスト	مهمانان
ゲスト	میهمان
ゲスト	میهمانان
学生	محصل
学生	دانشجو
学生	شاگرد
学生	دانشجویان
言葉	سخن
言葉	واژه
言葉	کلام
言葉	کلمات
言葉	کلمه
教会	کلیساها
教会	کلیسا
教会	چرچ
教会	کلیساهای
教会	کلیسای
内閣	کابینه
内閣	کابینت
整備	نگهداری
整備	نگهداشت
主張	مطالبه
主張	ادعا
主張	اظهارنامه
主張	ادعای
ロック	قفل
ロック	راک
ロック	صخره
ロック	سنگی
事故	حوادث
事故	تصادفی
事故	تصادفات
事故	تصادف
事故	حادثه
分類	دسته
分類	مقوله
状況	شرایط
状況	موقعیت
状況	شرایطی
状況	وضعیتهای
状況	وضعیت
中村	ناکامورا
家族	خانواده
家族	فامیل
家族	خانوادگی
距離	فاصله
距離	مسافت
距離	فواصل
表現	نمایندگی
表現	تجلّی
表現	عبارت
表現	لاماسو
仙台	سندای
新しい	نو
新しい	جدید
新しい	نیو
新しい	تازه
ホール	هال
ホール	گودال
ホール	سوراخ
ホール	تالار
ホール	حفره
体重	وزن
体重	وزنه
体重	وزنش
血液	خونی
血液	خون
同意	موافق
同意	توافق
同意	رضایت
同意	موافقت
これらの	اینها
これらの	اینا
由来	منشأ
由来	مبدا
由来	مبدأ
由来	خاستگاه
平均	بدجنس
平均	میانگین
平均	متوسط
事実	حقایق
店舗	فروشگاه
店舗	ذخیره
カテゴリ	دسته
カテゴリ	مقوله
メートル	متری
メートル	متر
芸術	آرت
芸術	هنر
芸術	هنرهای
複数	جمع
複数	چندین
複数	چندگانه
観光	توریستی
観光	گردشگر
観光	گردش
観光	سیاحت
観光	جهانگرد
観光	توریست
観光	گردشگری
取得	مطالبه
取得	واکشی
取得	بازیابی
取得	ادعا
取得	ادعای
王国	فرمانروایی
王国	پادشاهی
電話	تلفن
刑事	کاراگاه
刑事	کارگاه
刑事	کارآگاه
レコード	ضبط
レコード	رکوردز
秋田	آکیتا
上記	فراز
トップ	بالا
トップ	تاپ
トップ	اوج
トップ	فاعل
付近	نزدیک
付近	نزدیکی
リン	فسفر
輸送	ترابری
輸送	انتقال
岐阜	گیفو
飛行	پرواز
飛行	پروازی
長崎	ناگازاکی
メイン	ماین
メイン	اصلی
メイン	مین
メイン	ابتدایی
メイン	اولیه
ロード	بارگذاری
ロード	بار
札幌	ساپورو
ワールド	جهان
ワールド	دنیا
ワールド	جهانی
美術	آرت
美術	هنر
息子	پسران
息子	فرزندان
息子	پسر
制度	مؤسسه
制度	موسسه
ツアー	تور
ツアー	تورهای
スタジオ	استودیو
スタジオ	استدیو
市民	شهروندان
市民	همشهری
市民	تابعیت
市民	شهروندی
市民	شهروند
松本	ماتسوموتو
同じく	همچنین
自然	سرشت
自然	طبیعت
自然	طبیعی
マイル	مایل
マイル	مایلز
組合	انجمنهای
生徒	محصل
生徒	دانشجو
生徒	شاگرد
生徒	مردمک
生徒	دانشجویان
ギター	گیتار
コース	دوره
防衛	دفاعی
防衛	دفاع
鹿児島	کاگوشیما
変化	تغییر
アナウンサー	منادی
アナウンサー	بانگ
タイプ	نوع
タイプ	تایپ
タイプ	تیپ
議会	پارلمان
議会	مجلس
石川	ایشیکاوا
パリ	پاریسی
パリ	پاریس
南部	جنوب
南部	جنوبی
南部	نامبو
経験	تجربه
延長	افزونه
延長	پسوند
延長	گسترده
ランド	سرزمین
ランド	خشکی
ランド	رند
条件	شرایط
条件	شرط
条件	شرطی
条件	معیارهای
条件	معیار
条件	وضعیتهای
伝説	اسطوره
伝説	افسانه
ロンドン	لندن
フリー	آزاده
フリー	آزاد
フリー	رایگان
フリー	آزادی
競走	نژاد
競走	مسابقه
高橋	تاکاهاشی
デジタル	رقمی
デジタル	دیجیتالی
デジタル	دیجیتال
山田	یامادا
台湾	تایوان
ポジション	موقعیت
ポジション	مواضع
ポジション	موضع
ポジション	موقعیتهای
インド	هندوستان
インド	هند
吉田	یوشیدا
名誉	شرافتی
名誉	افتخار
名誉	شرافت
名誉	عزت
名誉	شرف
名誉	گرامی
ソング	اهنگ
ソング	ترانه
ソング	آهنگ
ソング	نغمه
ソング	آواز
ライン	خط
履歴	تاریخ
履歴	تاریخچه
方向	جهت
方向	مسیرها
方向	قبله
法律	قوانین
法律	حقوق
法律	قانون
提案	فرمایشات
提案	تلقین
提案	پیشنهادی
提案	پیشنهاد
提案	پیشنهادهای
提案	خواستگاری
提案	پیشنهادات
シティ	سیتی
シティ	شهر
シティ	شهری
効果	آثار
効果	جلوه
効果	تأثیر
効果	اثر
効果	تاثیرات
効果	اثرات
効果	تأثیرات
ミュージック	موسیقی
ミュージック	موزیک
ヶ月	ماههای
ヶ月	ماهه
ヶ月	ماهها
ヶ月	ماه
毎日	هروز
解説	تفسیری
解説	شرح
解説	توصیف
解説	مشخصات
解説	تفسیر
レギュラー	منظم
職業	کار
職業	شغلی
職業	مستمر
職業	اشغال
職業	شغل
職業	ایوب
職業	حرفه
製品	محصولاتی
製品	محصولات
製品	فرآورده
製品	ضرب
製品	حاصل
製品	محصول
太郎	تارو
速度	سرعت
角川	کادوکاوا
改正	بازبینی
近く	نزدیک
近く	نزدیکی
電子	الکترونها
電子	الکترون
電子	الکترونهای
電子	الکترونی
アイドル	بیکار
アイドル	بُت
アイドル	طاغوت
更新	بهروز
配信	تحویل
配信	زایمان
配信	مخابره
配信	پخش
山本	یاماموتو
はじめ	هاجیمه
仕事	کار
仕事	کاری
仕事	شغل
仕事	ایوب
連盟	کنفدراسیون
政策	سیاست
政治家	سیاستمدار
政治家	سیاستمداران
メディア	رسانه
メディア	متوسط
図書館	کتابخانه
ただ	فقط
外国	خارجی
外国	خارجه
艦隊	ناوگان
支配	تسلط
支配	حکمرانی
強い	قوی
継承	ارث
継承	جانشینی
バージョン	نسخه
バージョン	نسخۀ
ポイント	نکته
ポイント	نقطه
ポイント	پوینت
ポイント	امتیاز
ポイント	نقاط
旅客	سرنشین
旅客	مسافر
方針	سیاستهای
方針	سیاست
執筆	نویسندگی
執筆	نوشتن
タイム	زمان
タイム	تایم
基準	استاندارد
基準	معیار
基準	استانداردها
基準	استانداردهای
基準	معیارهای
化学	شیمی
化学	شیمیایی
接続	ارتباطات
接続	ارتباط
接続	اتصالات
接続	متصل
接続	اتصال
接続	وصل
勝ち	برد
勝ち	پیروز
勝ち	برنده
メーカー	صورتگر
メーカー	سازنده
障害	معلولیت
障害	افتادگی
障害	معلول
障害	ناتوانی
小林	کوبایاشی
ブル	بول
ホテル	هتل
ホテル	هتلها
ホテル	هتلهای
仕様	مشخصاتش
仕様	مشخصاتی
仕様	مشخصات
将軍	جنرال
将軍	عمومی
将軍	ژنرال
奈良	نارا
ビデオ	ویدئویی
ビデオ	ویدیو
ビデオ	ویدئو
ビデオ	ویدیویی
ビデオ	ویدیوی
ビデオ	ویدئوی
富山	تویاما
分割	پاشیده
分割	شکافتن
商業	تجاری
商業	تجارت
商業	بازرگانی
商業	الاهلی
殺人	قتل
スタイル	استایلز
スタイル	سبک
スタイル	سبکهای
リング	حلقه
リング	انگشتر
リング	رینگ
報告	گزارشها
報告	گزارش
マーク	مارک
宣言	اعلام
宣言	اعلان
キング	کینگ
キング	پادشاه
キング	شاه
拡大	وسعت
伊藤	ایتو
ハイ	رفیع
ハイ	بلند
ハイ	والا
ベル	بل
ベル	ناقوس
ベル	زنگ
提出	تسلیمی
提出	تسلیم
入学	پذیرش
入学	ورودی
入学	مدهوش
フォン	فونی
支持	پشتیبانی
支持	پشتیبان
支持	حمایت
復活	رستاخیز
地震	زلزله
博物館	موزه
週間	هفتگی
週間	هفتۀ
週間	هفته
機構	مکانیسم
機構	مکانیزم
定義	تعاریف
定義	تعریف
天皇	امپراتور
天皇	امپراطور
日本人	ژاپنی
直接	مستقیما
直接	مستقیماً
投手	پارچ
カナダ	کانادایی
カナダ	کانادا
性格	نویسه
性格	شخصیت
性格	شخصیتی
ユニット	واحد
ユニット	یگان
ユニット	یکا
ユニット	واحدها
ユニット	یکای
ピアノ	پیانو
ピアノ	پیانوی
良い	خوب
良い	خوبش
良い	خوبی
即時	فوری
近い	نزدیکتر
レベル	لول
レベル	تراز
レベル	سطوح
レベル	سطح
三重	میه
政権	رژیم
達成	کامیابی
達成	دستاوردهای
見る	دیدن
見る	نما
見る	نمای
空間	فضای
空間	فضا
空間	فاصله
空間	فضایی
規定	آذوقه
同一	همسان
同一	منطبق
ライト	نوری
ライト	روشن
ライト	چراغها
