年	год
政治	политическая
星	стар
星	звёзды
星	звезда
星	звезды
她	она
陳	чэнь
陳	тян
陳	чен
陳	чан
他的	его
面	лапша
面	лапшу
作品	работает
河	ривер
河	реки
河	река
文化	культуры
文化	культур
文化	культура
條目	записи
馬	лошадка
馬	лошадей
馬	конь
馬	коней
馬	кони
馬	лошадь
馬	лошади
氏	клан
氏	тхи
更	больше
更	более
更	еще
曼	манн
電影	кинотеатр
電影	фильм
電影	кино
電影	фильмы
季	сезонов
季	сезон
龍	драконы
龍	лёгкое
龍	лёгкие
龍	легкое
龍	дракона
龍	драконов
龍	легких
龍	легкие
龍	дракон
女	женщина
女	женская
女	женщины
女	женское
女	женщину
女	женский
正式	формальный
正式	формально
正式	формальные
正式	официально
外	снаружи
外	вне
明	минг
明	мин
美	красивая
美	красота
美	красавица
美	красивые
美	красиво
字	слов
字	слово
字	слова
北京	пекинской
北京	пекин
不同	разные
不同	различных
足球	футбол
目前	нынешней
目前	текущее
目前	текущий
目前	текущая
目前	текущие
所有	все
所有	всех
所有	всем
部分	частичный
部分	частично
部分	частичная
部分	частичное
部分	отчасти
中央	центральный
中央	центральное
中央	центральной
中央	центральная
森	мори
森	сен
郡	округ
郡	графство
郡	округе
國家	штатов
國家	штаты
國家	национальные
國家	национальная
國家	государство
國家	национальный
國家	национальных
國家	государства
國家	стран
國家	штат
國家	страны
國家	страна
國家	состояние
球	бал
球	шар
球	мяч
生	сырой
但是	но
街	улица
城市	город
城市	города
城市	городов
一些	некоторые
一些	некоторых
長	длинный
長	долго
長	лонг
長	длинные
長	длинная
水	воду
水	воды
水	вода
人物	символ
人物	характер
人物	персонаж
軍	армии
軍	армия
加入	присоединилась
加入	присоединиться
加入	вступила
加入	присоединение
加入	присоединились
加入	присоединился
加入	присоединяйтесь
英	ин
上海	шанхай
史	ши
第三	третья
第三	третий
第三	третье
屬	род
魚	рыба
魚	рыбка
魚	рыбы
波	волна
波	волны
回	обратно
回	спина
回	назад
吉	кэт
你	вы
你	тебя
你	ты
方	фан
話	диалект
東	ист
東	востоке
東	восток
東	восточная
東	восточный
英國	англия
英國	англии
周	недель
周	недели
周	неделю
周	чжоу
周	чоу
周	неделя
石	ши
石	камень
石	стоун
事件	инциденты
事件	мероприятия
事件	инцидент
事件	происшествия
事件	инцидента
事件	события
事件	происшествие
事件	мероприятие
事件	инцидентов
事件	событие
建立	сотворение
建立	строить
建立	построить
建立	создания
建立	создание
建立	учреждение
生活	живые
生活	живое
生活	жизни
生活	живущие
生活	жизнь
派	пирог
派	пирожок
教育	образование
教育	просвещение
車站	станция
車站	вокзал
車站	станции
之後	после
國際	международные
國際	международный
獎	награду
獎	приз
獎	премия
獎	награда
獎	награды
完成	завершена
完成	полная
完成	сделано
完成	закончили
完成	завершено
完成	полный
完成	закончить
完成	завершить
完成	закончил
白	белое
白	белый
白	бай
白	уайт
白	белые
音樂	музыкальные
音樂	музыкальная
音樂	музыку
音樂	музыка
音樂	мюзикл
沙	ша
沙	шах
沙	песок
他們	они
可能	возможно
可能	возможная
可能	возможен
可能	возможна
分布	распространенный
分布	распространен
分布	распределения
分布	распространено
分布	распространение
分布	распределение
地區	площадь
地區	область
地區	районы
地區	области
地區	округ
地區	район
車	машины
車	автомобили
車	машина
車	вагон
車	автомобиль
車	машину
官	офицер
梅	мэй
梅	майские
梅	мая
梅	мей
梅	май
中文	китайцы
中文	китайская
中文	китайское
中文	китая
中文	китайский
自由	свободный
自由	бесплатные
自由	свобода
自由	свободно
自由	свободу
自由	свободной
自由	бесплатный
自由	свободы
自由	бесплатно
黃	желтая
黃	вонг
黃	хван
黃	желтые
黃	хуан
黃	желтый
黃	жёлтый
獲得	получите
獲得	получить
光	света
光	свет
光	хикари
光	светло
重要	важность
重要	важные
重要	важно
重要	важное
重要	важны
重要	важных
重要	важная
工程	работает
工程	инжиниринг
工程	инженерии
港	порт
港	порту
港	гавани
港	гавань
港	харбор
列	столбец
列	колонна
列	колонка
列	колонке
段	дуань
最後	последние
最後	последнее
最後	последняя
最後	последний
提交	представлен
提交	представленный
提交	представление
提交	представленное
提交	представлено
經	сутра
需要	потребность
需要	требуется
需要	нужно
需要	потребности
需要	потребностей
需要	нужна
江	ривер
江	реки
江	река
江	цзян
臺灣	тайваня
臺灣	тайвань
最佳	оптимально
最佳	оптимальные
最佳	оптимальный
最佳	оптимального
最佳	оптимальное
這個	это
這個	этот
這個	эта
泰	тхэ
泰	тай
地方	места
地方	местами
地方	место
系列	серии
系列	серия
電視	телевидения
電視	телевидение
電視	телевизор
登	дэн
黑	темно
黑	чёрное
黑	чёрные
黑	черный
黑	тёмный
黑	темноте
黑	темная
黑	тёмная
黑	чёрный
花	цветы
花	цветок
花	цветочки
花	хана
花	цветочек
神	бог
神	боже
遊戲	игры
遊戲	игра
宗	цзун
清	цин
最高	топ
最高	высшая
最高	сверху
最高	верховный
最高	высший
最高	наивысший
最高	верх
要求	просьбе
要求	потребовать
要求	требования
要求	запросы
要求	просьба
要求	спрос
要求	просьбы
要求	требует
要求	запрос
要求	потребности
要求	запросить
要求	требование
要求	спроса
讓	пусть
讓	джин
讓	жан
版本	версия
版本	издания
版本	версий
版本	версии
發現	найдено
發現	обнаружение
發現	найдена
發現	обнаружить
發現	открытие
發現	найдены
發現	нашла
發現	найден
語	язык
只有	только
內容	контент
內容	содержимое
內容	материалы
最大	макс
華	вах
華	хуа
製作	производство
製作	производства
出生	родился
出生	родилась
出生	рождения
出生	рождение
出生	роды
朱	жу
朱	чжу
朱	джу
航空	авиакомпания
航空	авиакомпании
航空	авиации
航空	авиалинии
航空	воздух
航空	авиация
數	граф
數	считаю
數	номер
數	подсчет
數	рассчитывает
數	число
數	считать
數	количество
出版	опубликовано
出版	опубликованные
出版	опубликована
出版	опубликован
出版	опубликованный
出版	издательство
出版	издание
出版	опубликование
出版	публикация
發展	разработка
發展	развитие
成功	успешного
成功	успех
成功	успешно
成功	успешная
成功	успешные
成功	успешный
成功	успеха
成功	успешное
面積	площадь
面積	район
面積	область
堡	крепость
堡	форт
系統	системы
系統	систем
系統	система
蘭	лан
劉	ю
劉	лау
劉	лю
班	взвод
班	отряд
班	спасатели
班	команда
冠軍	чемпионы
冠軍	чемпион
冠軍	чемпионов
問題	проблема
問題	вопрос
問題	проблемы
問題	вопросы
康	кан
海拔	высота
島	островных
島	остров
島	острова
方式	способ
方式	метод
率	ставка
率	оцените
請	пожалуйста
名稱	название
名稱	названия
名稱	имена
名稱	имя
官方	официально
愛	люблю
愛	любим
愛	любовь
愛	любить
得到	получите
得到	получить
平	пин
平	квартира
平	квартиру
平	пинг
印度	индию
印度	индии
印度	индия
街道	микрорайон
街道	улица
街道	улицах
街道	улицы
存在	присутствие
存在	бытие
存在	существование
刪除	удалить
刪除	удалена
刪除	исключить
刪除	исключен
刪除	удалено
刪除	убрать
刪除	удаленные
刪除	удаление
設計	конструкция
設計	проектирование
設計	конструкций
設計	дизайн
發行	выдача
卡特	картер
群	группы
群	группа
命名	назвать
負責	ответственное
負責	ответственные
負責	ответственная
負責	ответственный
服務	услуга
服務	служба
服務	услуги
服務	подавать
服務	службы
服務	сервис
服務	обслуживание
服務	служит
服務	служить
服務	услуг
機	машина
機	аппарат
任何	любой
任何	любые
任何	любая
任何	любую
任何	любое
列表	перечень
列表	список
唐	тан
唐	дону
唐	дона
唐	дон
西班牙	испанию
西班牙	испании
西班牙	испания
頁	страницы
頁	страниц
條	полоски
兩	двое
兩	две
兩	два
當	когда
超	супер
超	ультра
丁	динь
夏	ся
以上	выше
著名	знаменитая
著名	известная
著名	известный
著名	знаменитость
著名	знаменитый
聖	сен
聖	святая
聖	святой
聖	сент
志	чи
已經	уже
梁	луч
梁	лян
梁	люн
梁	лучи
梁	пучок
專輯	альбомы
專輯	альбом
角色	ролях
角色	персонажи
角色	символов
角色	символ
角色	характер
角色	персонаж
角色	роль
角色	персонажей
角色	символы
角色	роли
武	такэси
赫	хёк
半	половину
半	половина
半	половины
半	наполовину
成員	участники
成員	член
成員	члены
成員	членов
成員	участник
東京	токио
新聞	новости
新聞	новость
現在	теперь
現在	сейчас
劇	драма
劇	драмы
後來	позже
後來	позднее
女性	женщина
女性	женская
女性	женщины
女性	женщин
女性	самки
女性	женское
女性	женский
高度	рост
高度	высота
說	скажите
說	скажем
說	скажи
說	сказать
男	мужской
男	самец
男	мужские
男	мужчина
之前	прежде
之前	перед
之前	до
合作	сотрудничать
合作	сотрудничество
門	двери
門	врата
門	ворота
門	дверь
卷	ролл
位置	положение
位置	должность
位置	местонахождение
位置	расположение
位置	место
位置	местоположение
位置	позиция
活動	мероприятия
活動	активность
活動	действия
活動	деятельность
活動	события
活動	мероприятие
活動	событие
只	только
歷史	история
歷史	истории
歌曲	песни
歌曲	песнь
歌曲	песня
點	дот
點	очко
點	точками
點	точки
點	точка
一次	однажды
一次	раз
植物	растения
植物	растение
植物	завод
植物	растений
封	фэн
封	печать
皮	кожа
非常	очень
而且	и
通常	обычно
形成	формирования
形成	формирование
形成	формируется
比賽	раса
比賽	конкурс
比賽	игра
比賽	расы
比賽	евровидение
比賽	гонка
比賽	гонки
聯賽	лига
聯賽	лиги
九	девять
學校	школа
學校	школ
學校	школе
學校	школы
完全	полностью
完全	совершенно
完全	абсолютно
信	письма
信	письмо
信	буква
信	буквы
期間	период
接受	принять
接受	принята
接受	примите
接受	принято
接受	признание
接受	принятии
接受	принятие
接受	приняты
接受	принимаем
接受	принимаю
接受	принят
書	книги
書	книгу
書	книга
書	книг
交通	движения
交通	перевозки
交通	транспортировка
交通	пробки
交通	транспорт
交通	трафик
交通	перевозка
交通	движение
木	дрова
木	деревянный
木	дерево
木	вуд
木	деревянные
木	древесины
木	древесина
討論	обсудить
討論	дискуссии
討論	обсуждения
故事	рассказы
故事	история
故事	истории
故事	рассказ
故事	новость
直接	прямая
直接	прямые
直接	директ
直接	непосредственно
直接	напрямую
參與	участвующие
參與	участвовавшие
參與	вовлечение
參與	участвующих
參與	участие
朗	лэнг
朗	лон
湖	озеро
湖	лейк
根	рут
根	корень
根	корни
保留	оговорок
保留	бронирование
保留	оговорка
保留	защищены
保留	оговорки
希望	надеюсь
希望	надеемся
希望	хоуп
希望	надежда
手	рука
手	руку
手	руки
心	сердца
心	сердце
心	сердцу
巴士	автобусы
巴士	автобусов
巴士	автобус
播放	играть
播放	воспроизведение
播放	трансляция
播放	воспроизведения
播放	вещание
播放	играю
播放	трансляции
播放	пьесы
播放	играет
播放	играйте
播放	играй
音	тон
音	согласные
增加	увеличение
增加	увеличивает
增加	увеличить
角	мыс
角	уголок
角	угловое
角	очко
角	углу
角	угол
角	плащ
角	точка
天文台	обсерваторий
天文台	обсерватория
天文台	обсерватории
耶	ура
這些	эти
丹	дан
丹	дэн
太	слишком
太	тоже
徐	со
永	ён
永	крыла
永	крыло
歌	песни
歌	песнь
歌	песня
美元	доллар
美元	доллары
霍	нп
圖	граф
圖	рисунок
圖	график
圖	фигура
圖	цифра
圖	диаграмма
投票	опрос
投票	голосовать
投票	голосуйте
投票	проголосовать
投票	голосование
投票	голосования
灣	бей
灣	залив
灣	бэй
灣	бухте
民主	демократия
民主	демократии
寺	храм
雖然	хотя
參加	участвующие
參加	участвующих
參加	посещающих
參加	участвовавшие
特別	специальный
特別	специального
特別	специальные
特別	специальное
特別	особая
特別	специальная
控制	управление
控制	контролирует
控制	контроль
控制	контроля
蒙	мон
戰	войны
戰	битва
戰	бой
戰	сражение
戰	война
電視台	телевидения
電視台	телевидение
電視台	телевизор
以下	ниже
然而	однако
七	семь
七	седьмая
口	рот
仁	джен
仁	джин
委員會	комиссии
委員會	комиссия
編輯	редактор
編輯	редактирования
編輯	редактирование
編輯	изменить
編輯	монтаж
編輯	правка
編輯	редактировать
編輯	редактора
資料	данных
資料	данные
隆	рю
青	цин
播出	вещание
播出	трансляции
播出	трансляция
路線	маршрут
路線	маршрутов
路線	трасса
路線	маршруты
年度	год
宋	песнь
宋	песня
附近	неподалеку
附近	близко
附近	рядом
附近	поблизости
附近	вблизи
歌手	певец
歌手	певцов
歌手	певица
店	магазин
二十	двадцать
組織	организация
組織	дивизион
組織	отдел
組織	подразделение
組織	ткани
組織	ткань
組織	организации
組織	деление
分類	классификация
分類	классифицировать
分類	классификации
分類	классификаций
教授	профессор
教授	преподаватель
盃	чаша
盃	чашка
盃	кубок
源	источник
八	восемь
八	восьмой
法國	франс
法國	франция
法國	франции
除了	кроме
文字	текста
文字	текст
民族	национальности
民族	национальностей
主席	председателю
主席	президент
主席	председателя
主席	председатель
不過	но
文物	артефакты
文物	реликвий
文物	древностей
老	старый
老	старая
老	старое
老	старые
女子	женщину
女子	женщина
選	выберите
世紀	столетие
世紀	век
鐵	утюг
鐵	железа
鐵	железо
鐵	железный
德國	германии
德國	германию
德國	германия
票	билет
票	билеты
動畫	аниме
打	бой
打	драка
關係	отношений
關係	взаимосвязь
關係	взаимоотношения
關係	отношения
能力	умение
能力	вместимость
能力	компетенция
能力	компетентность
能力	потенциала
能力	потенциал
能力	емкость
能力	способность
佛	будда
少	меньше
少	менее
網站	вебсайт
網站	сайты
網站	сайт
模板	шаблон
模板	шаблоны
頭	голова
頭	голову
頭	головка
個人	личные
個人	личного
個人	отдельных
個人	индивидуальное
個人	индивидуальная
個人	личный
個人	индивидуальный
個人	личное
個人	личная
個人	индивидуальные
擁有	владеть
擁有	хранение
擁有	владение
擁有	обладание
學生	ученик
學生	студенты
學生	ученики
學生	студентка
學生	студентов
學生	студент
學生	учащиеся
鎮	город
鎮	городок
南部	южные
南部	южное
南部	южной
南部	южный
南部	южная
南部	юг
語言	языках
語言	языки
語言	язык
模式	режимы
模式	режим
模式	шаблоны
模式	схеме
模式	шаблон
模式	узор
相關	актуально
相關	соответствующих
相關	связанные
決定	решения
決定	решение
決定	постановляет
楊	янг
楊	ё
楊	яна
楊	ян
楊	джан
楊	джен
方向	ориентация
方向	направления
方向	направленность
方向	направление
方向	ориентации
郭	го
方法	методики
方法	методы
方法	метод
方法	методологии
方法	способ
影響	воздействие
影響	влияние
影響	результативность
影響	эффекты
影響	последствия
影響	эффект
屬於	принадлежали
許多	многим
許多	многих
許多	многие
許多	много
第四	четвертая
第四	четвертый
第四	четвертой
第四	четвертое
第四	четвёртый
第四	четвёртая
秀	су
死	мертва
死	мертвые
死	умер
死	мертв
死	мертвый
自治	автономию
自治	автономии
自治	автономия
自治	самостоятельность
蘇	сью
甚至	даже
開	открыто
開	открытая
開	открытый
開	открыть
見	см
見	посмотреть
見	видишь
田	тянь
只是	просто
只是	только
結束	конце
結束	конец
巴西	бразилии
巴西	бразилию
巴西	бразилия
共同	общая
共同	общих
共同	общие
出版社	издатель
出版社	издательство
出版社	издателей
提名	номинации
提名	кандидатуры
提名	назначение
提名	выдвижение
提名	назначенных
提名	назначенные
保護	охрана
保護	защитите
保護	защищен
保護	защитить
保護	защищена
保護	охраняемых
保護	защита
保護	защищены
保護	защищать
加上	плюс
加上	добавить
加上	добавьте
食	ем
獨立	независимые
獨立	инди
獨立	независимая
獨立	независимый
獨立	независимое
獨立	независимости
獨立	независимость
包含	содержит
距離	расстояния
距離	расстояние
社會	общество
社會	общества
社會	социальная
社會	социальные
社會	социального
社會	социальное
社會	социальный
加拿大	канаду
加拿大	канада
兩個	двое
兩個	две
兩個	два
公尺	метров
公尺	метр
公尺	счетчик
公尺	метрах
還	также
哥	брат
哥	братец
歐洲	европа
歐洲	европейского
歐洲	европейская
歐洲	европы
歐洲	европейское
歐洲	европейский
歐洲	европу
像	как
像	нравится
鐵路	железнодорожных
鐵路	железнодорожные
鐵路	железнодорожный
居民	жителей
居民	жители
居民	резиденты
功能	функциональная
功能	особенность
功能	функциональность
功能	функциональные
功能	функция
功能	особенности
功能	функции
功能	функциональных
聯盟	профсоюз
聯盟	союзы
聯盟	союза
聯盟	коалицию
聯盟	юнион
聯盟	альянс
聯盟	лига
聯盟	союз
聯盟	лиги
聯盟	коалиции
聯盟	коалиция
洪	хун
洪	хон
洪	повесили
利用	используйте
利用	использовать
利用	использование
平均	средний
平均	средняя
平均	среднее
侵	штурм
侵	нападение
侵	атака
雙	двойное
雙	двойные
雙	двойной
雙	двойная
再次	снова
再次	опять
再次	вновь
網	веб
網	сети
網	нетто
網	чистый
網	сеть
施	ши
量	количество
演員	бросили
演員	субъектов
演員	актер
演員	актриса
演員	актёр
演員	актеры
亞洲	азиатская
亞洲	азиатский
亞洲	азия
亞洲	азиатские
亞洲	азии
全球	глобальные
全球	глобальная
全球	глобально
全球	глобус
全球	глобальный
全球	глобальное
全部	все
全部	всех
全部	всем
北部	север
北部	северный
北部	северной
北部	северная
北部	северные
北部	норт
北部	северное
運動	спорт
運動	спортивная
運動	передвижение
運動	спортивные
運動	ходатайство
運動	движение
中共	коп
中共	кпк
中共	упк
毛	брутто
毛	мао
毛	валового
草	трава
草	траве
草	траву
草	травы
直到	до
名字	название
名字	имя
地球	земля
死亡	смерть
戰爭	война
戰爭	войны
戰爭	войн
作曲	сочинять
溪	ручей
溪	крик
邦	понг
紅	красного
紅	красное
紅	красная
紅	красные
紅	красный
唱片	записывать
唱片	рекорд
唱片	записать
唱片	запись
安全	обезопасить
安全	безопасно
安全	безопасное
安全	сейф
玉	джейд
學院	колледжи
學院	колледжей
學院	коллегия
學院	колледж
學院	академии
學院	академия
勝	шэн
豪	хоу
豪	хау
原因	причины
原因	причина
原因	причиной
通過	пропуск
通過	пас
通過	пройти
通過	через
通過	сквозь
通過	виа
管	трубка
管	трубку
管	трубы
管	труба
強	сильное
強	сильна
強	сильный
強	сильная
強	сильные
選舉	избрание
選舉	выборы
辛	грех
辛	синь
辛	син
漢	хан
法律	право
法律	законы
法律	закон
法律	законов
革命	революции
革命	революция
計劃	планы
計劃	план
時代	времена
時代	таймс
男性	мужчины
男性	мужские
男性	мужской
男性	самец
男性	мужчин
男性	мужчина
男性	самцы
男性	мужики
目的	цели
形式	формат
形式	формуляр
形式	форма
形式	бланк
形式	форму
形式	форме
鄭	чжэн
鄭	чон
鄭	чжон
基本	базовые
基本	базовый
基本	базовая
基本	основные
葉	лист
葉	ип
單位	единица
單位	единицы
單位	подразделение
單位	подразделения
單位	подразделений
修	починить
修	исправить
科技	технологии
科技	техника
科技	технология
青年	молодость
青年	молодежи
青年	молодёжь
青年	молодежь
流	ручьи
流	потоки
流	потока
流	ручей
流	поток
流	потокового
流	потоков
蒙古	монголии
蒙古	монголия
結果	результаты
結果	результат
結果	итог
結果	итоги
教	учить
教	обучение
教	преподавание
教	преподавать
教	преподавания
教	научить
解放	эмансипации
解放	освобождения
解放	освобожден
解放	освобожденных
解放	освобождение
解放	освободили
祖	джо
體	тело
體	тела
球隊	команды
球隊	команда
左	осталось
左	левой
左	налево
左	слева
左	оставил
戴	надеть
戴	носить
戴	дай
自然	естественные
自然	естественный
自然	естественно
自然	естественное
自然	характера
自然	природа
自然	характер
自然	натуральный
自然	натуральные
自然	природных
自然	натура
台北	тайбэй
澳門	макао
新的	новые
新的	новинка
新的	новая
新的	новое
新的	новый
新的	новых
經濟	экономический
經濟	экономические
經濟	экономическая
經濟	экономика
經濟	экономия
經濟	экономического
傑	джей
傑	цзе
切	снято
切	вырезать
切	сократить
一起	вместе
越南	вьетнама
越南	вьетнам
權	квон
快速	быстрый
快速	быстрая
快速	быстро
學	обучения
學	учись
學	обучение
學	учусь
學	учимся
學	учиться
學	учитесь
職業	карьера
職業	профессии
職業	профессия
職業	профессий
職業	карьеры
職業	оккупация
職業	оккупации
團	полк
團	полка
百	сотня
百	сто
廣	широкие
廣	широкого
廣	широкая
廣	широкой
廣	широкий
相同	одинаковые
相同	идентичные
相同	идентичны
類	класс
兵	солдат
億	миллиарда
億	млрд
億	миллиард
分鐘	минуты
分鐘	минута
分鐘	минут
分鐘	минуту
松	пайн
發	волосы
發	волос
超過	превышение
政策	политика
銀	серебряный
銀	сильвер
銀	серебро
日期	свидание
日期	финики
日期	даты
日期	дата
單曲	разряд
普通	обычная
普通	обычных
普通	обычный
普通	обычные
鰭	фин
鰭	плавники
男子	мужики
男子	мужчины
男子	мужчин
共和國	республики
共和國	республика
理由	причины
理由	причина
南京	нанкине
交流	обмен
交流	биржа
交流	обмены
交流	биржи
交流	обменов
總統	президент
總統	председатель
公分	сантиметр
標準	критерий
標準	стандарты
標準	стандартная
標準	нормы
標準	стандартные
標準	стандартный
標準	критерии
標準	стандарт
排名	ранга
排名	зачёте
排名	ранг
排名	звание
排名	рейтинг
表	стол
表	таблица
韓國	корейский
韓國	корейском
韓國	корея
韓國	корее
韓國	корейская
行動	действий
行動	действие
行動	акция
行動	эксплуатация
行動	операция
行動	меры
行動	действия
博士	доктор
博士	врач
立法	законодательство
尾	хвост
尾	хвосты
熱帶	тропический
熱帶	тропиках
熱帶	тропических
熱帶	тропические
議員	сенатора
議員	конгрессмен
議員	советник
議員	сенатор
漫畫	мультики
漫畫	мультик
漫畫	комиксы
漫畫	комик
漫畫	манга
漫畫	комикс
短	короткая
短	коротко
短	короткие
短	короткое
短	короткий
坑	яму
坑	яма
坑	ямы
大型	большие
大型	большая
大型	крупный
大型	большой
大型	крупные
大型	крупных
凱	кэй
凱	кая
凱	кей
凱	кай
生物	биологии
生物	организмы
生物	биологическое
生物	биологический
生物	организмов
生物	биологическая
生物	биология
生物	существо
生物	биологические
生物	тварь
生物	существа
城鎮	город
城鎮	городах
城鎮	городок
城鎮	города
春	весенний
春	весна
海軍	флот
公路	дороги
公路	дорога
公路	роуд
公路	дорог
公路	автомагистрали
公路	шоссе
公路	дорожной
冠	короны
冠	корона
冠	корону
作家	писателей
作家	писатели
作家	писатель
作家	сценарист
空	пустое
空	пустая
空	пустой
空	пустые
空	пусто
雪	снег
雪	снега
雪	сноу
牛	скот
牛	бык
牛	коровы
牛	корова
火	огонь
火	пожар
攻擊	атаковать
攻擊	нападение
攻擊	атака
攻擊	атаки
攻擊	нападений
攻擊	штурм
攻擊	атаку
攻擊	нападения
攻擊	нападки
值	значения
值	величина
值	ценность
值	величины
值	ценности
值	стоимость
值	значение
值	ценностей
十二	двенадцать
新加坡	сингапура
新加坡	сингапур
新加坡	сингапуре
琳	линн
西部	запад
西部	западные
西部	вест
西部	западное
西部	западная
西部	западный
西部	уэст
西部	западной
土	почва
土	грязь
土	почвы
早期	рано
早期	раннее
早期	ранний
早期	ранняя
速度	скорость
速度	скорости
合併	консолидации
合併	слияний
合併	объединение
合併	слияние
合併	объединить
合併	слияния
合併	консолидация
建築	зданий
建築	здания
建築	конструкция
建築	архитектуры
建築	архитектура
建築	строительство
建築	здание
道路	дороги
道路	дорога
道路	роуд
道路	дорог
道路	дорожной
發表	опубликовано
發表	опубликованные
發表	опубликована
發表	опубликован
發表	опубликованный
發表	издательство
發表	опубликовать
發表	публиковать
發表	публикация
低	низко
低	низкое
低	низкая
低	низким
低	ниже
低	низкий
低	нижняя
低	нижние
低	нижний
庫	куп
色	цвета
色	цвет
樂	лок
轉	поворот
轉	очередь
來自	из
來自	от
每年	ежегодно
每年	ежегодная
天津	тяньцзинь
技術	техника
