மற்றும்	और
கல்வி	शिक्षा
ஏப்ரல்	अप्रेल
ஏப்ரல்	अप्रैल
உலக	विश्व
உலக	जग
உலக	दुनिया
உலக	संसार
உலக	वैश्विक
கே	गे
கீழ்	तहत
கீழ்	bas
கீழ்	निम्नतर
கீழ்	अंतर्गत
கீழ்	निचला
கீழ்	अधीन
கீழ்	तल
கீழ்	बॉटम
கீழ்	नीचे
இடம்	स्पेस
இடம்	अंतरिक्ष
இடம்	लोकेशन
இடம்	जगह
இடம்	समष्टि
இடம்	अवस्थिति
இடம்	स्थान
இடம்	प्लेस
செப்டம்பர்	सितंबर
செப்டம்பர்	सितम्बर
பேர்	अन्य
பெரும்	बड़ा
பெரும்	ग्रेट
பெரும்	महान
சி	चाई
சி	ची
நாடுகள்	देशो
நாடுகள்	देश
நாடுகள்	देशों
தொகுதி	तन्त्र
தொகுதி	सिस्टम
தொகுதி	मोड्यूल
தொகுதி	मॉड्यूल
தொகுதி	एलबम
தொகுதி	एल्बम
தொகுதி	प्रणाली
தொகுதி	तंत्र
கிழக்கு	पूर्वी
கிழக்கு	ईस्ट
கிழக்கு	प्राची
கிழக்கு	पूर्व
அமைப்பு	तन्त्र
அமைப்பு	सेटिंग
அமைப்பு	अवसंरचना
அமைப்பு	ढांचा
அமைப்பு	सिस्टम
அமைப்பு	स्ट्रक्चर
அமைப்பு	संगठन
அமைப்பு	संरचना
அமைப்பு	प्रणाली
அமைப்பு	तंत्र
அமைப்பு	सेटअप
அளவு	राशि
அளவு	पैमाना
அளவு	आकार
அளவு	स्केल
அளவு	मापक
அளவு	मात्रा
நகர்	नागर
நகர்	नगर
மற்ற	अन्य
மற்ற	विविध
இந்து	हिन्दू
இந்து	हिंदू
இவற்றையும்	ये
தற்போது	फिलहाल
தற்போது	अभी
தற்போது	अब
பாடல்	सोंग
பாடல்	गीत
பாடல்	गाना
உண்டு	उपलब्धियाँ
உண்டு	उपलब्ध
வாழும்	सजीव
வாழும்	जीना
இருக்கிறது	उपलब्धियाँ
இருக்கிறது	उपलब्ध
நிறுவனம்	संगठन
நிறுவனம்	कंपनी
நிறுவனம்	नियोक्ता
நிறுவனம்	कम्पनी
நபர்கள்	लोग
நபர்கள்	लोगों
துடுப்பாட்டக்காரர்	क्रिकेटर
காலனி	उपनिवेशों
காலனி	उपनिवेशवाद
காலனி	कॉलोनी
காலனி	उपनिवेश
மேற்கு	पश्चिम
மேற்கு	पश्चिमी
மேற்கு	वेस्ट
தலைவர்	राष्ट्रपति
தலைவர்	अध्यक्ष
தலைவர்	नेता
தலைவர்	प्रदेशाध्यक्ष
முதலில்	प्रथम
முதலில்	पहले
முதலில்	पहला
முதலில்	पहली
சார்ந்த	रिश्तेदार
சார்ந்த	आधारित
சார்ந்த	संबंधी
சார்ந்த	निर्भरता
சார்ந்த	सापेक्ष
மேல்	टॉप
மேல்	उपर
மேல்	ऊपर
மேல்	शीर्ष
நாடு	देश
மட்டும்	तभी
மட்டும்	सिर्फ
மட்டும்	केवल
அடிப்படையில்	आधार
அடிப்படையில்	मूलरूप
அடிப்படையில்	मूलतः
எண்	गिनती
எண்	संख्या
எண்	गणना
எண்	क्रमांक
எண்	नंबर
குறிப்பிட்ட	विशिष्ट
குறிப்பிட்ட	उल्लेखित
குறிப்பிட்ட	निर्दिष्ट
செய்ய	बना
செய்ய	बनाओ
செய்ய	मेक
சிறிய	छोटे
சிறிய	छोटा
சிறிய	लिटिल
சிறிய	छोटी
வந்த	आए
வந்த	आये
வந்த	आया
வேறு	अन्य
மார்ச்	मार्च
மார்ச்	कूच
நிலையில்	चरण
நிலையில்	स्टेज
நிலையில்	स्थिति
நிலையில்	हालत
நிலையில்	कंडीशन
நிலையில்	शर्त
பெண்	महिला
பெண்	औरत
பெண்	नारी
பெண்	मादा
பெண்	लडकी
பெண்	लड़की
பெண்	स्त्री
வெற்றி	जीती
வெற்றி	सफल
வெற்றி	सफलता
வெற்றி	जीतना
வெற்றி	विन
வெற்றி	विन्स
வெற்றி	जीता
வெற்றி	कामयाबी
வெற்றி	विजय
வெற்றி	जीत
வெற்றி	जीते
இணைப்பு	संलग्नक
இணைப்பு	कनेक्शन
இணைப்பு	अटैचमेंट
இணைப்பு	कड़ी
இணைப்பு	अनुलग्नक
இணைப்பு	लिंक
திரைப்படம்	फिल्म
திரைப்படம்	फ़िल्म
திரைப்படம்	मूवी
திரைப்படம்	चलचित्र
திரைப்படம்	फिल्मी
வகை	प्रकार
வகை	क़िस्म
வகை	वर्ग
வகை	विधि
வகை	मोड
வகை	श्रेणी
ஐந்து	पांच
ஐந்து	पाँच
அதே	वही
அதே	समान
சிறப்பு	विशेष
சிறப்பு	खास
சிறப்பு	प्रदर्शित
சிறப்பு	ख़ास
சுமார்	परिचय
கட்டுரைகள்	लेख
கட்டுரைகள்	आलेख
படி	चरण
படி	पढ़े
படி	कदम
படி	पढ़ें
படி	पढ़ा
படி	स्टेप
மனித	मानव
மனித	इंसान
மனித	मनुष्य
பெரும்பாலும்	अधिकांशतः
பெரும்பாலும்	अक्सर
பெரும்பாலும்	लगभग
பெரும்பாலும்	ज्यादातर
பெரும்பாலும்	प्रायः
பெரும்பாலும்	ज़्यादातर
பெரும்பாலும்	अधिकांश
பெரும்பாலும்	अकसर
பெரும்பாலும்	अधिकतर
கட்சி	दल
கட்சி	पार्टी
பொது	लोक
பொது	सार्वजनिक
பொது	कॉमन
பொது	जनरल
பொது	पब्लिक
பொது	सामान्य
பொது	जनता
பொது	साधारण
பொது	आम
கல்லூரி	कॉलेज
இசை	म्यूज़िक
இசை	संगीत
முறையில்	मोड
முறையில்	विधि
நாட்டின்	देश
மத்திய	मध्य
மத்திய	सेंट्रल
மத்திய	केंद्रीय
மில்லியன்	लाख
மில்லியன்	लाखों
மில்லியன்	मिलियन
மில்லியன்	लाखो
நகரம்	नगर
நகரம்	शहर
நகரம்	सिटी
எந்த	कोई
எந்த	जिससे
எனப்படும்	पुकारा
எனப்படும்	बुलाया
நீர்	वाटर
நீர்	जल
நீர்	पानी
இணைந்து	जुड़ें
விக்கிப்பீடியா	विकिपीडिया
சென்று	गए
பார்க்க	देख
பார்க்க	देखें
பார்க்க	देखिए
அணி	टीम
அணி	मैट्रिक्स
அணி	टोली
அணி	मेट्रिक्स
எழுதிய	लिखा
எழுதிய	लिखी
நிலையம்	स्टेशन
தொடர்பான	संबंधित
தொடர்பான	सम्बन्धित
மீட்டர்	मीटर
இடத்தில்	जगह
இடத்தில்	स्थान
இடத்தில்	प्लेस
கோவில்	मंदिर
கோவில்	टेम्पल
கோவில்	कोविल
கோவில்	मन्दिर
மாதம்	माह
மாதம்	महीने
மாதம்	महीना
மதுரை	मदुरै
ஆய்வு	शोध
ஆய்வு	अनुसंधान
ஆய்வு	पढ़ाई
ஆய்வு	अध्ययन
வட	उत्तर
குறைந்த	न्यूनतम
குறைந்த	निम्न
குறைந்த	कम
குறைந்த	निम्नतम
டிசம்பர்	दिसंबर
டிசம்பர்	दिसम्बर
முன்	सामने
முன்	अग्र
முன்	पहले
முன்	प्री
வாழ்க்கை	जिन्दगी
வாழ்க்கை	जीवन
வாழ்க்கை	ज़िन्दगी
வாழ்க்கை	जिंदगी
வாழ்க்கை	ज़िंदगी
சனவரி	जनवरी
புனித	पवित्र
புனித	पावन
இரண்டாவது	द्वितीय
இரண்டாவது	द्वितीयक
இரண்டாவது	सेकंड
இரண்டாவது	माध्यमिक
இரண்டாவது	दूसरी
இரண்டாவது	सेकेंड
இரண்டாவது	सेकण्ड
இரண்டாவது	दूसरा
ஆங்கிலம்	अंग्रेजी
ஆங்கிலம்	अंग्रेज़ी
ஆங்கிலம்	अंग्रेज
அங்கு	वहाँ
அங்கு	वहीँ
அங்கு	वहां
அங்கு	वहा
தொழில்	उद्योग
தொழில்	दुकानदारी
தொழில்	वृत्ति
தொழில்	कारोबार
தொழில்	व्यवसायिक
தொழில்	बिज़नेस
தொழில்	व्यापार
தொழில்	व्यवसाय
பழைய	पुराने
பழைய	बूढ़ा
பழைய	ओल्ड
பழைய	वृद्ध
பழைய	पुरानी
பழைய	पुराना
ஆண்டுகள்	सालों
ஆண்டுகள்	वर्ष
ஆண்டுகள்	वर्षों
ஆண்டுகள்	सालो
ஆண்டுகள்	साल
குறிப்பாக	विशेषकर
பார்க்கவும்	देखें
பார்க்கவும்	विज़िट
பார்க்கவும்	देखना
பார்க்கவும்	देखिये
துறை	बंदरगाह
துறை	पोर्ट
துறை	विभाग
துறை	बंदरगाहों
குறிக்கும்	इंगित
கடல்	सागर
கடல்	मरीन
கடல்	समंदर
கடல்	महासागर
கடல்	समुद्रतट
கடல்	समुद्री
கடல்	समुद्र
போல	जैसे
இதற்கு	लिये
சிறு	छोटे
சிறு	छोटा
சிறு	माइनर
சிறு	हीन
சிறு	नाबालिग
சிறு	लघु
சிறு	छोटी
தென்	साउथ
தென்	दक्षिणी
தென்	दक्षिण
உயர்	आलीशान
உயர்	डीलक्स
உயர்	हाई
உயர்	ऊँची
உயர்	उच्च
வடக்கு	उत्तर
ஆட்சி	शासन
ஆட்சி	नियम
ஆட்சி	हुकूमत
ஆட்சி	शासनकाल
ஆட்சி	किंगडम
மக்களின்	लोग
மக்களின்	लोगों
நோய்	रोग
நோய்	बीमारी
நோய்	विकार
தேர்தல்	चुनाव
உற்பத்தி	विनिर्माण
உற்பத்தி	उत्पादन
உற்பத்தி	निर्माण
ஆக	अगस्त
வந்தது	आए
வந்தது	आये
வந்தது	आया
கலை	आर्ट
கலை	कला
தங்கள்	उनका
தங்கள்	उनकी
தங்கள்	उनके
தங்கள்	इनकी
சமூக	सोशल
சமூக	सामाजिक
போல்	जैसे
போல்	बोल
தர	गुणवत्ता
தர	क्वालिटी
தர	विशेषता
நூற்றாண்டு	सदी
நூற்றாண்டு	शताब्दी
நூற்றாண்டு	शतक
அவருடைய	उसके
அவருடைய	उसका
அவருடைய	उसकी
உலகின்	संसार
அமெரிக்கா	अमेरिका
அமெரிக்கா	अमरीका
பகுதிகளில்	एटलस
பகுதிகளில்	क्षेत्र
பகுதிகளில்	क्षेत्रों
வந்து	आइये
வந்து	आईये
பரிசு	उपहार
பரிசு	तोहफा
பரிசு	इनाम
பரிசு	ईनाम
பரிசு	पुरस्कार
பிரிவு	अनुभाग
பிரிவு	विभाग
பிரிவு	खण्ड
பிரிவு	वर्ग
பிரிவு	धारा
பிரிவு	विभाजन
பிரிவு	खंड
பிரிவு	श्रेणी
பிரிவு	प्रभाग
உடல்	देह
உடல்	शरीर
உடல்	जिस्म
உடல்	बॉडी
இவர்கள்	ये
கூட	भी
கூட	सम
எழுத்தாளர்	राइटर
எழுத்தாளர்	लेखक
எழுத்தாளர்	रचनाकार
குழு	ग्रुप
குழு	समूह
இலக்கிய	साहित्यिक
இலக்கிய	साहित्य
விளையாட்டு	क्रीड़ा
விளையாட்டு	खेल
விளையாட்டு	गेमिंग
விளையாட்டு	स्पोर्ट्स
விளையாட்டு	गेम
விளையாட்டு	खेलकूद
உறுப்பினர்கள்	सदस्यों
உறுப்பினர்கள்	सदस्य
இறப்பு	मौत
இறப்பு	मृत्यु
இறப்பு	मोत
இறப்பு	निधन
அடி	पैर
அடி	पांव
அடி	फ़ुट
அடி	पाँव
அடி	फीट
அடி	पैरों
அடி	हिट
துணை	वाइस
துணை	सहायता
துணை	समर्थन
துணை	पार्टनर
துணை	साझेदार
துணை	संगी
துணை	साथी
துணை	डिप्टी
துணை	उप
பதிப்பு	संस्करण
பதிப்பு	वर्जन
சொல்	बोलो
சொல்	शब्द
சொல்	बताना
சொல்	कह
சொல்	वर्ड
சொல்	कहें
சொல்	बताओ
தெற்கு	साउथ
தெற்கு	दक्षिणी
தெற்கு	दक्षिण
கட்டுரை	लेख
கட்டுரை	निबंध
கட்டுரை	संयोजन
கட்டுரை	निबन्ध
கட்டுரை	रचना
கட்டுரை	संरचना
கட்டுரை	आलेख
வட்டம்	वृत
வட்டம்	वृत्त
வட்டம்	सर्किल
வட்டம்	घेरा
சராசரி	औसत
சராசரி	मतलब
தொலைக்காட்சி	टेलीविजन
தொலைக்காட்சி	दूरदर्शन
தொலைக்காட்சி	टीवी
தொலைக்காட்சி	टेलीविज़न
முன்னாள்	पूर्व
எண்ணிக்கை	गणना
எண்ணிக்கை	फ़्रीक्वेंसी
எண்ணிக்கை	गिनती
எண்ணிக்கை	आवृत्ति
தவிர	मगर
நடிகர்	एक्टर
நடிகர்	अभिनेता
நடிகர்	कर्ता
பாடல்கள்	गीतों
பாடல்கள்	गाने
பாடல்கள்	गीत
இன்று	आज
சட்டம்	फ़्रेम
சட்டம்	ढांचा
சட்டம்	लीगल
சட்டம்	विधिक
சட்டம்	एक्ट
சட்டம்	फ्रेम
சட்டம்	कानून
சட்டம்	गठन
சட்டம்	अधिनियम
சட்டம்	विधि
சட்டம்	कानूनी
அருகில்	निकटवर्ती
அருகில்	आसपास
அருகில்	निकट
நேரம்	वक़्त
நேரம்	समय
நேரம்	वक्त
முதலாவது	प्रथम
முதலாவது	पहले
முதலாவது	पहला
முதலாவது	पहली
உணவு	भोजन
உணவு	खाना
குறித்து	परिचय
பெப்ரவரி	फ़रवरी
பெப்ரவரி	फरवरी
பகுதிகள்	क्षेत्र
பகுதிகள்	पार्ट्स
பகுதிகள்	खण्ड
பகுதிகள்	घटक
பகுதிகள்	एटलस
பகுதிகள்	अवयव
பகுதிகள்	भाग
பகுதிகள்	क्षेत्रों
நிறுவனங்கள்	संगठन
நிறுவனங்கள்	कंपनियों
நிறுவனங்கள்	कंपनियाँ
ஜனவரி	जनवरी
எழுத்தாளர்கள்	लेखक
எழுத்தாளர்கள்	लेखकों
நல்ல	अच्छे
நல்ல	शुभ
நல்ல	गुड
அடுத்த	अगला
படம்	छवि
படம்	फ़ोटो
படம்	चित्र
படம்	प्रतिबिम्ब
படம்	पिक्चर
படம்	तस्वीर
படம்	फोटो
பாதுகாப்பு	सुरक्षित
பாதுகாப்பு	संरक्षण
பாதுகாப்பு	सुरक्षा
பாதுகாப்பு	मिलावट
பாதுகாப்பு	रक्षा
தஞ்சாவூர்	तंजावुर
தந்தை	बाप
தந்தை	पिता
தந்தை	चचा
பங்கு	भूमिका
அவர்களின்	उनका
அவர்களின்	उनकी
அவர்களின்	उनके
அவர்களின்	इनकी
செய்த	बना
செய்த	बनाया
நியூ	नियू
பதிவு	रजिस्टर
பதிவு	छाप
பதிவு	रेकार्ड
பதிவு	पंजीकरण
பதிவு	रिकॉर्ड
பதிவு	रजिस्ट्रेशन
பதிவு	रिकार्ड
பதிவு	पोस्ट
ஐரோப்பிய	यूरोपीय
ஐரோப்பிய	यूरोपियाई
முழுவதும்	पूरा
முழுவதும்	पूर्ण
முழுவதும்	फुल
பயனர்	उपयोक्ता
பயனர்	यूजर
பயனர்	प्रयोक्ता
பயனர்	उपयोगकर्ता
தொடர்	धारावाहिक
தொடர்	सीरियल
போன்றவை	आदि
போன்றவை	इत्यादि
ஜூன்	जून
உறுப்பினர்	क्लाइंट
உறுப்பினர்	सदस्य
உறுப்பினர்	सदस्यता
உறுப்பினர்	ग्राहक
உறுப்பினர்	क्लाएंट
ஆசிரியர்	लेखक
ஆசிரியர்	संपादक
ஆசிரியர்	रचयिता
ஆசிரியர்	टीचर
ஆசிரியர்	शिक्षक
ஆசிரியர்	एडिटर
ஆசிரியர்	अध्यापक
ஆஃப்	बन्द
ஆஃப்	बंद
முக்கியமான	नाजुक
முக்கியமான	गंभीर
முக்கியமான	आलोचनात्मक
முக்கியமான	क्रिटिकल
முக்கியமான	महत्वपूर्ण
தொடர்பு	सम्पर्क
தொடர்பு	संपर्क
செய்தார்	किया
ஜூலை	जुलाई
ஆற்றல்	उर्जा
ஆற்றல்	ऊर्जा
கிலோ	सहस्र
கிலோ	किलो
வேலை	काम
வேலை	जॉब
வேலை	नौकरी
வேலை	कार्य
வேலை	कार्यालय
இருக்கலாம்	संभवतः
இருக்கலாம்	शायद
சமய	धार्मिक
பணி	काम
பணி	जॉब
பணி	नौकरी
பணி	कार्य
பணி	कार्यालय
கதை	कहानी
கதை	स्टोरी
அதிகமாக	मुश्किल
பட்டம்	उपाधि
பட்டம்	डिग्री
பட்டம்	पतंग
பட்டம்	स्नातक
வழி	राह
வழி	रास्ते
வழி	मार्ग
வழி	ट्रेल
வழி	तरीका
வழி	रास्ता
அப்போது	फिर
அப்போது	तब
விடுதலை	आजादी
விடுதலை	मुक्ति
விடுதலை	आज़ादी
விடுதலை	स्वतंत्रता
ஆகஸ்ட்	अगस्त
தேதி	तिथि
தேதி	दिनांक
தேதி	तारीख़
தேதி	तारीख
பிறந்த	जन्म
பிறந்த	जनम
இன்னும்	और
இன்னும்	स्टिल
ஜான்	जॉन
அடுத்து	अगला
சேவை	सेवा
கருத்து	प्रसंग
கருத்து	टिप्पणी
கருத்து	प्रतिक्रिया
கருத்து	फीडबैक
கருத்து	थीम
கருத்து	पुनर्भरण
காரணம்	ध्येय
காரணம்	कारण
காரணம்	निमित्त
தனி	अलग
தனி	निजी
தனி	जुदा
தனி	पृथक
தனி	प्राइवेट
அவருக்கு	उसे
அவருக்கு	उसको
அவருக்கு	उससे
நீண்ட	लंबी
நீண்ட	लम्बी
நீண்ட	लंबा
பள்ளி	विद्यालय
பள்ளி	स्कूल
மகன்	बेटा
மகன்	पुत्र
மகன்	लाडला
மகன்	बेटे
மகன்	सोन
சர்வதேச	अन्तर्राष्ट्रीय
சர்வதேச	अंतर्राष्ट्रीय
சர்வதேச	अंतरराष्ट्रीय
எல்லா	सब
எல்லா	सभी
பொருட்கள்	आपूर्ति
பொருட்கள்	वस्तु
பொருட்கள்	आपूर्तियाँ
பொருட்கள்	उत्पाद
பொருட்கள்	ऑब्जेक्ट
பொருட்கள்	आइटम
பொருட்கள்	वस्तुएँ
பொருட்கள்	वस्तुएं
பொருட்கள்	मद
மின்	इलेक्ट्रिक
மின்	विद्युत
என்றால்	अर्थात्
என்றால்	मतलब
என்றால்	यानि
ஏழு	सात
நடைபெற்ற	आयोजित
முன்னர்	पहले
பொறியியல்	अभियान्त्रिकी
பொறியியல்	इंजीनियरिंग
பொறியியல்	इंजीनियरी
கா	गाव
கா	खा
அமைப்புகள்	सेटिंग
அமைப்புகள்	विन्यास
அமைப்புகள்	संगठन
அமைப்புகள்	जमावट
அமைப்புகள்	सेटिंग्स
மொழிகள்	भाषाएँ
மொழிகள்	भाषाएं
மொழிகள்	भाषा
அத்துடன்	भी
முழு	पूरा
முழு	पूर्ण
முழு	फुल
முதன்மை	टॉप
முதன்மை	मेन
முதன்மை	शीर्ष
முதன்மை	प्राथमिक
முதன்மை	मुख्य
முதன்மை	प्रमुख
முதன்மை	उपर
முதன்மை	ऊपर
மணி	मणि
மணி	घंटी
மணி	बेल
மணி	मनी
மணி	घंटा
தொகுப்பு	पैकेज
தொகுப்பு	संग्रह
தொகுப்பு	संग्रहण
தொகுப்பு	कलेक्शन
தொகுப்பு	संयोजन
தொகுப்பு	रचना
தொகுப்பு	संरचना
தொலைவில்	दूर
மருத்துவ	मेडिकल
மருத்துவ	चिकित्सा
மருத்துவ	चिकित्सीय
வணிக	वाणिज्यिक
திருமணம்	निकाह
திருமணம்	शादी
திருமணம்	मैरिज
திருமணம்	विवाहित
திருமணம்	विवाह
திருமணம்	शादीशुदा
நீங்கள்	आप
நீங்கள்	तुम
நீங்கள்	आपको
