और	وال
शामिल	يتضمن
शामिल	مدرج
शामिल	تشمل
शामिल	يشمل
शामिल	المدرجة
शामिल	شملت
शामिल	تتضمن
शामिल	شمل
शामिल	تضمين
उन्हें	هم
उस	ذلك
उस	هذا
स्थान	موقع
स्थान	الموقع
स्थान	الاماكن
स्थान	مواقع
स्थान	المكان
स्थान	اماكن
स्थान	مكان
स्थान	المواقع
प्रमुख	الرائد
प्रमुख	الرئيسية
प्रमुख	رائد
प्रमुख	رئيس
प्रमुख	الرئيس
प्रमुख	ماجور
प्रमुख	رئيسية
प्रमुख	الزعيم
हुई	هوي
बीच	الشاطيء
बीच	الوسط
बीच	شاطئ
बीच	الشاطئ
बीच	المنتصف
बीच	شاطيء
बीच	بيتش
बीच	المركز
बीच	سنتر
बीच	مركز
गए	رحل
गए	ذهبت
गए	ذهب
गए	رحت
गए	رحلت
मुख्य	رئيس
मुख्य	الرئيس
मुख्य	الرئيسية
मुख्य	رئيسية
मुख्य	الزعيم
थी	كان
थी	كانت
उसे	هي
उसे	هو
उसे	له
उसे	لها
कार्य	العمل
कार्य	اعمل
कार्य	الشغل
कार्य	شغل
कार्य	عمل
कार्य	الوظيفة
कार्य	وظيفة
कार्य	وظائف
कार्य	الوظائف
कार्य	المهام
कार्य	المهمة
कार्य	مهام
नगर	المدينه
नगर	تاون
नगर	بلدة
नगर	البلدة
नगर	مدينة
नगर	ناجر
नगर	المدينة
नगर	سيتي
उपयोग	الاستخدامات
उपयोग	استعمال
उपयोग	استخدامات
उपयोग	استخدم
उपयोग	استخدام
उपयोग	الاستعمال
उपयोग	استعمل
उपयोग	الاستخدام
लोगों	الناس
लोगों	اشخاص
लोगों	اناس
लोगों	ناس
लोगों	الاشخاص
आधार	اساس
आधार	قاعدة
आधार	القاعدة
आधार	الاساس
काम	اعمل
काम	عمل
काम	العمل
जीवन	الحياة
जीवन	حياة
जीवन	الحياه
विश्व	الدنيا
विश्व	العالمي
विश्व	عالم
विश्व	العالم
भाग	اجزاء
भाग	الاقسام
भाग	جزء
भाग	الاجزاء
भाग	اقسام
भाग	الجزء
निर्माण	الخلق
निर्माण	الانشاء
निर्माण	نبني
निर्माण	البناء
निर्माण	تصنيع
निर्माण	الانشاءات
निर्माण	بناء
निर्माण	خلق
निर्माण	التشييد
निर्माण	التصنيع
निर्माण	تبني
निर्माण	انشاء
निर्माण	تشييد
गई	رحت
दोनों	كلاهما
राष्ट्रीय	ناشيونال
राष्ट्रीय	الوطنية
राष्ट्रीय	وطني
राष्ट्रीय	وطنية
जानकारी	المعلومات
जानकारी	الاعلام
जानकारी	معلومات
पोर्टल	البوابة
पोर्टल	بوابة
शहर	المدينه
शहर	المدن
शहर	مدينة
शहर	مدن
शहर	المدينة
शहर	سيتي
बार	اوقات
बार	بار
बार	حانات
बार	حانة
बार	قضبان
बार	القضبان
बार	الحانات
बार	مرات
बार	الاوقات
बार	التايمز
बार	شريط
बार	المرات
बार	تايمز
बार	البار
बार	الحانة
वाली	والي
लगभग	تقريبا
फिल्म	فيلم
फिल्म	الفلم
फिल्म	الفيلم
यहाँ	هنا
प्रसिद्ध	مشهورة
प्रसिद्ध	شهير
प्रसिद्ध	مشهور
प्रसिद्ध	شهيرة
प्रसिद्ध	الشهيرة
विकास	التطوير
विकास	التنمية
विकास	تنمية
विकास	النمو
विकास	نمو
केवल	فقط
देश	البلاد
देश	البلدان
देश	امة
देश	الدول
देश	بلاد
देश	بلدان
देश	البلد
देश	الامة
देश	بلد
अलग	مختلف
अलग	مختلفة
अलग	مختلفين
अलग	منفصل
अलग	مختلفا
अलग	منفصلة
विशेष	حصريا
विशेष	الحصري
विशेष	حصري
विशेष	مميز
विशेष	الخاص
विशेष	خاص
विशेष	حصرية
विशेष	خاصة
दी	اعطيت
दी	اعطى
दी	وهب
दी	نظرا
पृष्ठ	الصفحة
पृष्ठ	الصفحات
पृष्ठ	صفحات
पृष्ठ	صفحة
माना	نظر
माना	مانا
शब्द	كلمات
शब्द	الكلمة
शब्द	الكلمات
शब्द	كلمة
फिर	ثم
फिर	اذا
फिर	اذن
फिर	بعدها
तीन	ثلاث
तीन	ثلاثة
तीन	ثلاثه
पुरस्कार	جوائز
पुरस्कार	الجوائز
पुरस्कार	ثواب
पुरस्कार	الجائزة
पुरस्कार	جائزة
लेख	الفرضية
लेख	المقالات
लेख	مقال
लेख	اطروحة
लेख	مقالة
लेख	المقالة
लेख	المادة
लेख	مقالات
अब	الان
अब	والان
दौरान	خلال
दौरान	اثناء
अमेरिका	امريكا
अमेरिका	اميركا
मंदिर	المعبد
मंदिर	تمبل
मंदिर	معبد
वार्ता	محادثات
वार्ता	المحادثات
दक्षिण	جنوبا
दक्षिण	جنوب
दक्षिण	جنوبي
दक्षिण	ساوث
दक्षिण	الجنوب
स्थल	المكان
विभिन्न	المتنوعة
विभिन्न	متنوع
विभिन्न	متنوعة
विभिन्न	شتى
इतिहास	تاريخ
इतिहास	التاريخ
लिया	اخذ
लिया	المتخذة
लिया	تؤخذ
लिया	ماخوذ
फ़िल्म	فيلم
फ़िल्म	الفلم
फ़िल्म	الفيلم
क्योंकि	لاني
क्योंकि	عشان
क्योंकि	بسبب
क्योंकि	لانني
क्योंकि	لان
क्योंकि	لانه
पास	تمرير
पास	مرر
विस्तृत	مفصلة
विस्तृत	المتقدم
विस्तृत	متقدمة
विस्तृत	المفصل
विस्तृत	المتقدمة
विस्तृत	مفصل
विस्तृत	متقدم
दिन	النهار
दिन	اليوم
दिन	نهارا
दिन	الايام
दिन	يوم
दिन	ايام
दिन	نهار
कृषि	زراعة
कृषि	الزراعة
कृषि	الحراثة
शुरू	بدا
शुरू	بدات
व्यक्ति	فرد
व्यक्ति	الفردية
व्यक्ति	شخص
व्यक्ति	الشخص
व्यक्ति	الفرد
व्यक्ति	فردي
व्यक्ति	فردية
विज्ञान	العلوم
विज्ञान	علوم
विज्ञान	العلم
सदस्य	مشتركين
सदस्य	مشترك
सदस्य	المشترك
सदस्य	المشتركون
सदस्य	اعضاء
सदस्य	مشتركون
सदस्य	عضوة
सदस्य	الاعضاء
सदस्य	العضو
सदस्य	عضو
हालांकि	بالرغم
सिंह	سينغ
सिंह	ليو
अनेक	كثير
अनेक	عدة
अनेक	متعدد
अनेक	العديد
अनेक	كثيرون
अनेक	الكثيرون
अनेक	الكثير
अनेक	المتعددة
अनेक	تعدد
अनेक	متعددة
यहां	هنا
संख्या	عدد
संख्या	رقم
संख्या	الاعداد
संख्या	الرقم
संख्या	العدد
संख्या	ارقام
संख्या	الارقام
अपना	تك
अपना	امتلك
बात	الكلام
बात	الحديث
बात	كلام
बात	التحدث
बात	الشيء
साहित्य	ادب
साहित्य	الادب
शिक्षा	تعليم
शिक्षा	التعليم
शिक्षा	التربية
दिल्ली	دلهي
धर्म	الديانات
धर्म	ديانة
धर्म	الديانة
धर्म	الدين
धर्म	الاديان
मूल	الاصلية
मूल	اصلية
मूल	الاصليون
मूल	الاصلي
मूल	اصلي
मूल	الاصل
मूल	اساسي
मूल	الاساسية
मूल	اصل
मूल	اساسية
तब	ثم
तब	اذا
तब	اذن
तब	بعدها
बना	اصنع
बना	صنعت
बना	اجعل
बना	جعل
बना	مصنوع
बना	صنع
कोड	رموز
कोड	الرمز
कोड	الرموز
कोड	رمز
कोड	كود
कोड	شفرة
कोड	الكود
संयुक्त	متحدة
संयुक्त	متحدين
संयुक्त	مشتركة
संयुक्त	المتحدة
जुलाई	تموز
जुलाई	يوليو
युद्ध	الحرب
युद्ध	معركة
युद्ध	حرب
युद्ध	المعركة
युद्ध	باتل
नदी	نهر
नदी	النهر
नदी	ريفر
वाला	فالا
काल	الفترة
काल	توتر
काल	مكالمة
काल	فترة
काल	متوترة
काल	نداء
काल	اتصل
काल	الاتصال
वर्षों	سنوات
वर्षों	السنين
वर्षों	سنين
वर्षों	اعوام
वर्षों	السنوات
स्टेशन	المحطات
स्टेशन	محطة
स्टेशन	محطات
स्टेशन	المحطة
बड़े	كبير
बड़े	كبيرة
बड़े	الكبير
बड़े	كبيره
जनवरी	يناير
मध्य	سنترال
मध्य	وسط
मध्य	الاوسط
मध्य	الوسط
मध्य	سنتر
मध्य	مركز
मध्य	مركزي
मध्य	المنتصف
मध्य	المركز
मध्य	مركزية
मध्य	الوسطى
राजा	الملك
राजा	كينغ
राजा	ملك
राजा	راجا
राजा	كينج
प्रथम	الاولى
प्रथम	اولا
प्रथम	الاول
प्रथम	اول
विश्वविद्यालय	جامعات
विश्वविद्यालय	الجامعة
विश्वविद्यालय	جامعة
विश्वविद्यालय	الجامعات
जून	حزيران
जून	يونيو
उसकी	ده
उसकी	هي
उसकी	لها
मार्च	مسيرة
मार्च	مار
मार्च	مارس
मार्च	المسيرة
मार्च	اذار
बनी	باني
बनी	الارنب
अर्थ	معنى
अर्थ	المعنى
अर्थ	يعنى
अर्थ	يعني
अर्थ	بمعنى
अप्रैल	نيسان
अप्रैल	ابريل
महत्वपूर्ण	مهمة
महत्वपूर्ण	هام
महत्वपूर्ण	حرجة
महत्वपूर्ण	المهم
महत्वपूर्ण	حرج
महत्वपूर्ण	الحرجة
महत्वपूर्ण	مهم
प्रामाणिक	اصلية
प्रामाणिक	اصيل
प्रामाणिक	اصيلة
प्रामाणिक	الاصيل
आप	انت
आप	انتي
अक्टूबर	اكتوبر
समूह	الجماعات
समूह	المجموعة
समूह	التجمع
समूह	المجموعات
समूह	مجموعات
समूह	الجماعة
समूह	مجموعة
वर्तमान	هدية
वर्तमान	تيار
वर्तमान	التيار
वर्तमान	الحالي
वर्तमान	الحاضر
अध्ययन	دراسة
अध्ययन	الدراسة
अध्ययन	يدرس
अध्ययन	الدراسه
अध्ययन	دراسات
अध्ययन	الدراسات
अध्ययन	ادرس
विभाग	الاقسام
विभाग	الادارات
विभाग	الشعبة
विभाग	شعبة
विभाग	الادارة
विभाग	القسم
विभाग	قسم
विभाग	ادارات
आम	المانجو
आम	شائعة
आम	شائع
स्थिति	حالة
स्थिति	دولة
स्थिति	موقف
स्थिति	الحالة
स्थिति	الوضع
स्थिति	الولاية
स्थिति	شرط
स्थिति	الموضع
स्थिति	ولاية
स्थिति	الشرط
स्थिति	الموقف
स्थिति	الدولة
स्थिति	المنصب
प्रभाव	الاثر
प्रभाव	تاثيرات
प्रभाव	المؤثرات
प्रभाव	الاصطدام
प्रभाव	التاثيرات
प्रभाव	تاثير
प्रभाव	التاثير
आदर्श	ديال
आदर्श	المعبود
आदर्श	المثالية
आदर्श	معبود
आदर्श	المثالي
आदर्श	ايدول
साल	السنه
साल	سنوات
साल	عام
साल	السنين
साल	سنه
साल	السنة
साल	سنين
साल	اعوام
साल	العام
साल	سنة
साल	السنوات
पहली	الاولى
पहली	اولا
पहली	الاول
पहली	اول
संगीत	الموسيقى
संगीत	موسيقى
संगीत	موسيقي
अमेरिकी	امريكية
अमेरिकी	الاميركيين
अमेरिकी	الامريكي
अमेरिकी	امريكي
अमेरिकी	امريكيون
सेवा	الخدمة
सेवा	الخدمات
सेवा	خدمة
बनाने	جعل
बनाने	صنع
आज	اليوم
स्थापित	انشا
स्थापित	تاسست
स्थापित	تاسس
स्थापित	انشئت
स्थापित	انشئ
स्थापित	مثبتة
स्थापित	اسست
उच्च	مرتفع
उच्च	عال
उच्च	عالية
उच्च	عالي
उच्च	عاليا
चाहिए	ينبغي
देता	تعطي
देता	يعطي
उपलब्ध	متوفر
उपलब्ध	تتوفر
उपलब्ध	متاحة
उपलब्ध	متوفرة
उपलब्ध	متاح
काफी	كفاية
काफी	يكفي
काफी	كفى
काफी	كافي
बड़ी	كبير
बड़ी	كبيرة
बड़ी	الكبير
बड़ी	كبيره
चार	اربع
चार	اربعة
चार	اربعه
शक	اشك
शक	الشك
शक	شك
श्री	سري
उदाहरण	مثال
उदाहरण	امثلة
उदाहरण	المثال
उदाहरण	الامثلة
उदाहरण	التوضيح
उसका	ده
उसका	هي
उसका	لها
ले	اخذ
ले	خذ
जिससे	والذي
जिससे	ايهما
जिससे	الذي
स्थापना	تثبيت
स्थापना	الانشاء
स्थापना	منشات
स्थापना	المنشات
स्थापना	التركيب
स्थापना	تركيب
स्थापना	التثبيت
कंपनी	شركة
कंपनी	رفقة
कंपनी	الشركة
कंपनी	شركه
अधिकांश	اغلب
अधिकांश	غالبا
अधिकांश	الاكثر
अधिकांश	معظم
सामाजिक	اجتماعية
सामाजिक	الاجتماعية
सामाजिक	اجتماعي
सामाजिक	الاجتماعي
बड़ा	كبير
बड़ा	عظيم
बड़ा	اعظم
बड़ा	عظيمة
बड़ा	اضخم
बड़ा	اكبر
बड़ा	الكبير
बड़ा	كبيره
बड़ा	كبيرة
बड़ा	العظيم
स्तर	مستويات
स्तर	المستوى
स्तर	المستويات
स्तर	مستوى
बनाया	صنعت
बनाया	خلق
बनाया	خلقت
बनाया	جعل
बनाया	مصنوع
बनाया	صنع
जारी	جارية
जबकि	بينما
चित्र	الصوره
चित्र	الصور
चित्र	صور
चित्र	صورة
चित्र	صوره
चित्र	الصورة
इससे	من
इससे	يخترع
प्रणाली	المنظومة
प्रणाली	نظام
प्रणाली	النظام
सरकारी	الحكومة
सरकारी	مسؤول
सरकारी	الرسمي
सरकारी	رسمي
सरकारी	الحكومات
सरकारी	رسمية
सरकारी	حكومة
जहां	اين
जहां	حيث
देशों	البلدان
देशों	الدول
देशों	بلدان
जल	مياه
जल	الماء
जल	ماء
जल	المياه
सूची	القوائم
सूची	قوائم
सूची	قائمة
सूची	القائمة
सूची	قائمه
विचार	افكار
विचार	ظننت
विचार	الفكرة
विचार	النظر
विचार	الفكر
विचार	الاعتبار
विचार	فكرة
विचार	ظن
विचार	فكرت
विचार	اعتقدت
विचार	فكره
विचार	الافكار
छोटे	صغير
छोटे	الصغير
छोटे	صغر
छोटे	صغيرة
छोटे	القليل
छोटे	قليل
छोटे	صغيره
ऊपर	اعلاه
ऊपर	قمة
ऊपर	الاعلى
ऊपर	القمة
ऊपर	توب
आधारित	قائم
पानी	مياه
पानी	الماء
पानी	ماء
पानी	المياه
सामान्य	عادي
सामान्य	لواء
सामान्य	عام
सामान्य	اللواء
सामान्य	شائعة
सामान्य	طبيعي
सामान्य	عامة
सामान्य	جنرال
सामान्य	الجنرال
सामान्य	شائع
आगे	الامام
आगे	للامام
कुल	اجمالي
कुल	الاجمالي
कुल	المجاميع
कुल	مجموع
कुल	المجموع
एक्स्प्रेस	اعرب
पुलिस	الشرطة
पुलिस	بوليس
पुलिस	شرطه
पुलिस	شرطة
वर्ग	الفصول
वर्ग	صفوف
वर्ग	صف
वर्ग	المربع
वर्ग	فئة
वर्ग	الفئة
वर्ग	الصفوف
वर्ग	الفصل
वर्ग	مربع
वर्ग	فصول
वर्ग	مربعة
वर्ग	ميدان
वर्ग	الصف
वर्ग	الطبقة
शरीर	جثة
शरीर	الجسد
शरीर	جسد
शरीर	الجسم
शरीर	جسم
अंग्रेजी	الانكليزية
अंग्रेजी	انجليزي
अंग्रेजी	بالانكليزية
अंग्रेजी	الانجليزية
अंग्रेजी	انجليزية
माध्यम	المتوسط
माध्यम	متوسطة
माध्यम	متوسط
मानव	الانسان
मानव	انسان
मानव	بشري
मानव	بشرية
पाकिस्तान	باكستان
भूमिका	مقدمة
भूमिका	المقدمة
भूमिका	دور
भूमिका	الدور
हर	هار
हर	هور
अतिरिक्त	اضافية
अतिरिक्त	اضافات
अतिरिक्त	الاضافات
अतिरिक्त	اضافي
पिता	اب
पिता	الاب
पिता	ابت
समाज	المجتمع
समाज	مجتمع
समाज	الجمعية
नीचे	القاع
नीचे	قاع
नीचे	ادناه
नीचे	تحت
नीचे	اسفل
दुनिया	الدنيا
दुनिया	العالمي
दुनिया	عالم
दुनिया	العالم
आधुनिक	الحديثة
आधुनिक	حديثة
ध्यान	تامل
ध्यान	الاهتمام
ध्यान	اهتمام
ध्यान	الانتباه
ध्यान	انتباه
हिंदी	هندية
हिंदी	هندي
हिंदी	الهندية
दे	اعطاء
दे	اعطي
सभा	تجمع
सभा	جمعية
सभा	التجمع
सभा	الجمعية
सभा	جمع
सभा	الجماعة
परिवार	عائلي
परिवार	العائلة
परिवार	الاسرة
परिवार	اسرة
परिवार	عائلة
विषय	الموضوعات
विषय	موضوعات
विषय	المواضيع
विषय	موضوع
विषय	مواضيع
विषय	الموضوع
अधिकार	حقوق
अधिकार	الحقوق
रंग	اللون
रंग	لون
रंग	الالوان
रंग	الوان
बाहर	خارجية
बाहर	خارج
बाहर	النزهات
बाहर	خرج
बाहर	الخارج
बाहर	خارجا
बाहर	استقال
बाहर	اخرج
खेल	الالعاب
खेल	مباراة
खेल	المباراة
खेल	العب
खेल	المباريات
खेल	لعبة
खेल	لعب
खेल	مباريات
खेल	الرياضات
खेल	تلعب
खेल	اللعبة
खेल	سبورت
खेल	العاب
खेल	الرياضة
खेल	رياضة
खेल	مسرحية
खेल	تشغيل
खेल	اللعب
क्षेत्रों	المناطق
क्षेत्रों	مجالات
क्षेत्रों	مناطق
क्षेत्रों	المجالات
जहाँ	اين
जहाँ	حيث
समान	متجانسة
समान	مماثل
समान	نفسه
समान	نفس
समान	مماثلة
समान	مشابهة
समान	مشابه
सितंबर	سبتمبر
सितंबर	ايلول
दूर	بعيدا
दूर	البعيد
दूर	بعيد
पता	عنوان
पता	العناوين
पता	العنوان
पता	عناوين
शक्ति	قوة
शक्ति	القوة
शक्ति	طاقة
शक्ति	السلطة
शक्ति	شاكتي
शक्ति	الطاقة
ब्रिटिश	بريطانيا
ब्रिटिश	البريطاني
ब्रिटिश	بريطانية
ब्रिटिश	بريطاني
ब्रिटिश	البريطانية
कला	الفنون
कला	فن
कला	فنون
कला	الفن
कला	ارت
देते	العقليات
घर	هاوس
घर	المنزل
घर	منزل
घर	الوطن
घर	البيت
संस्कृत	السنسكريتية
प्रकाशित	انشر
प्रकाशित	النشر
प्रकाशित	نشر
प्रकाशित	نشرت
प्रकाशित	منشور
मई	ايار
मई	مايو
मई	ماي
मई	قد
प्रक्रिया	الاجراء
प्रक्रिया	عملية
प्रक्रिया	اجراء
प्रक्रिया	عمليات
प्रक्रिया	الاجراءات
प्रक्रिया	العملية
सेना	جيوش
सेना	سينا
सेना	جيش
सेना	الجيوش
सेना	الجيش
पार्टी	حفلة
पार्टी	حزب
पार्टी	الطرف
पार्टी	الحزب
पार्टी	حفل
पश्चिम	غربا
पश्चिम	غربي
पश्चिम	غرب
पश्चिम	الغرب
पश्चिम	ويست
अंत	النهاية
अंत	نهاية
नए	الاحدث
नए	احدث
बिना	بدون
क्या	شنو
क्या	ماذا
क्या	ما
क्या	ايش
अगस्त	اغسطس
अगस्त	اوغست
विकसित	تطورت
विकसित	طور
संबंध	العلاقات
संबंध	علاقات
संबंध	الترابط
संबंध	العلاقة
संबंध	علاقة
संबंध	علاقه
संबंध	ترابط
प्रदर्शन	التعرض
प्रदर्शन	عرض
प्रदर्शन	العرض
प्रदर्शन	اداء
प्रदर्शन	الاداء
प्रदर्शन	تعرض
मार्ग	طريقة
मार्ग	الطريق
मार्ग	طريقه
मार्ग	الطريقة
पर्यटन	السياحة
पर्यटन	للسياحة
ज्ञान	معرفة
ज्ञान	المعارف
ज्ञान	المعرفة
लगा	بدت
लगा	بدى
लगा	شعرت
दिसम्बर	ديسمبر
प्रदर्शित	عرض
प्रदर्शित	معروض
प्रदर्शित	العرض
प्रदर्शित	معروضة
प्रदर्शित	المميز
प्रदर्शित	الموصى
अक्सर	غالبا
सहायता	الدعم
सहायता	معونة
सहायता	المعونات
सहायता	ساعد
सहायता	دعم
सहायता	المعونة
सहायता	المساعدات
सहायता	المساعدة
सहायता	مساعدة
पहला	الاولى
पहला	اولا
पहला	الاول
पहला	اول
मृत्यु	الموت
मृत्यु	موت
मृत्यु	الوفاة
मृत्यु	الوفيات
मृत्यु	وفاة
स्वयं	ذاتي
स्वयं	الذاتي
स्वयं	الذات
स्वयं	امتلك
स्वयं	سلف
स्वयं	النفس
विकिपीडिया	يكي
विकिपीडिया	الويكي
विकिपीडिया	ويكيبيديا
विकिपीडिया	ويكي
तैयार	جاهز
तैयार	مستعد
तैयार	جاهزة
तैयार	استعداد
तैयार	مستعدون
आवश्यक	المطلوبة
आवश्यक	عاجل
आवश्यक	مطلوب
आवश्यक	مطلوبة
आवश्यक	مستعجل
आवश्यक	المطلوب
देखा	راى
देखा	شاهدت
देखा	شوهد
देखा	بدت
देखा	رايت
देखा	نظرت
देखा	شفت
देखा	شاف
उत्पादन	الانتاج
उत्पादन	انتاج
रोग	داء
रोग	الامراض
रोग	المرض
रोग	مرض
शताब्दी	القرن
शताब्दी	قرن
गये	رحت
चीन	الصين
चीन	الصينية
अभी	الان
अभी	والان
संघ	رابطة
संघ	النقابة
संघ	جمعية
संघ	الاتحادات
संघ	يونيون
संघ	الجمعية
संघ	اتحاد
संघ	نقابة
संघ	النقابات
संघ	الاتحاد
संघ	الرابطة
यात्रा	السفر
यात्रा	رحلة
यात्रा	سفر
यात्रा	سفرة
यात्रा	الرحلة
मात्रा	كمية
मात्रा	الكمية
मात्रा	المبلغ
रचना	الخلق
रचना	الانشاء
रचना	تكوين
रचना	التكوين
रचना	خلق
रचना	انشاء
रचना	تشكيل
रचना	التشكيل
जगह	المكان
जगह	مساحة
जगह	فضاء
जगह	حيز
जगह	مكان
जगह	الفضاء
जगह	التباعد
भिन्न	مختلف
भिन्न	مختلفة
भिन्न	مختلفين
भिन्न	مختلفا
भिन्न	منفصلة
लोक	الجمهور
लोक	عام
लोक	عامة
लोक	العامة
लोक	علنية
सब	كلهم
सब	كله
सब	الكل
सब	جميع
सब	كل
पूरा	كامل
पूरा	كاملة
पूरा	اكملت
पूरा	الكامل
पूरा	اكتمل
पूरा	ملي
पूरा	اكتملت
आवश्यकता	مطلب
आवश्यकता	اشتراط
आवश्यकता	الشرط
आवश्यकता	متطلب
प्रकाश	الانوار
प्रकाश	نور
प्रकाश	انوار
प्रकाश	فاتح
प्रकाश	خفيف
प्रकाश	اضاءة
प्रकाश	ضوء
प्रकाश	الاضواء
