மற்றும்	и
இணைப்புகள்	вложения
இணைப்புகள்	соединения
இணைப்புகள்	вложений
இரண்டு	двое
இரண்டு	две
இரண்டு	два
தகவல்	инфо
தகவல்	послание
தகவல்	информация
தகவல்	сообщение
மாவட்ட	район
மாவட்ட	округ
மொத்த	итого
மொத்த	всего
வளர்ச்சி	рост
வளர்ச்சி	разработка
வளர்ச்சி	роста
வளர்ச்சி	развитие
மாவட்டம்	район
மாவட்டம்	округ
அந்த	это
மிகவும்	очень
திட்டம்	проект
திட்டம்	проекта
திட்டம்	план
தேசிய	национальная
தேசிய	национальный
தேசிய	национальные
தேசிய	национальных
கலந்து	посещающих
இலங்கை	цейлон
இங்கு	вот
இங்கு	здесь
கி	чжи
அமெரிக்க	американских
அமெரிக்க	американские
அமெரிக்க	американская
அமெரிக்க	американский
அமெரிக்க	американец
அடிப்படை	базовые
அடிப்படை	базовая
அடிப்படை	база
அடிப்படை	базовый
அடிப்படை	основа
அடிப்படை	основные
அடிப்படை	основание
பெயர்	метка
பெயர்	ярлык
பெயர்	имя
பெயர்	название
பெயர்	лейбл
மூன்று	трое
மூன்று	три
ஆண்கள்	мужчин
ஆண்கள்	мужики
ஆண்கள்	мужчины
ஆண்கள்	самцы
ஒன்று	один
ஒன்று	одно
ஒன்று	собрать
ஒன்று	одна
ஒன்று	либо
ஐக்கிய	юнайтед
ஐக்கிய	объединенные
புதிய	свежая
புதிய	новые
புதிய	новинка
புதிய	свежий
புதிய	новая
புதிய	новое
புதிய	новый
புதிய	новых
புதிய	свежие
புதிய	свежее
அவரது	её
அவரது	его
அவரது	ей
அவரது	ее
மொத்தம்	итого
மொத்தம்	всего
இவை	эти
சிறந்த	лучшие
சிறந்த	здорово
சிறந்த	лучшая
சிறந்த	лучший
சிறந்த	великолепно
சிறந்த	лучшее
சிறந்த	превосходно
சிறந்த	отлично
அரசு	правительство
வசதிகள்	объекты
இந்தியா	индию
இந்தியா	индии
இந்தியா	индия
பெரிய	большие
பெரிய	здорово
பெரிய	большая
பெரிய	биг
பெரிய	крупный
பெரிய	большой
பெரிய	крупные
பெரிய	крупных
பெரிய	великолепно
பெரிய	отлично
ஊரக	сельские
ஊரக	сельское
ஊரக	сельских
ஊரக	сельский
நாள்	день
நாள்	дэй
பிறப்பு	родился
பிறப்பு	родилась
பிறப்பு	рождения
பிறப்பு	рождение
பிறப்பு	люк
பிறப்பு	роды
இருந்தது	было
இருந்தது	была
இருந்தது	был
முக்கிய	важные
முக்கிய	важно
முக்கிய	важное
முக்கிய	основные
முக்கிய	основная
முக்கிய	основных
முக்கிய	важны
முக்கிய	важных
முக்கிய	важная
முக்கிய	главная
பல்வேறு	разновидности
பல்வேறு	разновидность
பல்வேறு	различные
பல்வேறு	различных
பல்வேறு	разнообразие
இருந்த	были
திரைப்படங்கள்	кино
திரைப்படங்கள்	фильмы
பிற	другие
பிற	другой
பிற	другая
பிற	другое
பிற	прочие
அவர்கள்	они
அவர்கள்	их
மொழி	язык
முறை	процедуры
முறை	режим
முறை	метод
முறை	процедура
முறை	способ
கோயில்	храм
விருது	премия
விருது	награду
விருது	награда
பொதுவாக	общие
பொதுவாக	генерал
அக்டோபர்	октября
அக்டோபர்	октябрь
செய்து	совершенные
செய்து	совершено
தன்	его
தன்	бросает
இரண்டாம்	второе
இரண்டாம்	вторая
இரண்டாம்	среднее
இரண்டாம்	секунда
இரண்டாம்	второй
சென்னை	ченнаи
வரும்	приходит
வரும்	иду
வரும்	предстоящие
மே	мая
மே	мэй
மே	май
மே	майские
ஒவ்வொரு	каждую
ஒவ்வொரு	каждому
ஒவ்வொரு	каждая
ஒவ்வொரு	каждое
ஒவ்வொரு	каждый
மட்டுமே	только
வரலாறு	история
வரலாறு	истории
பகுதியில்	площадь
பகுதியில்	район
பகுதியில்	область
நூல்கள்	книги
நூல்கள்	книг
சேர்ந்த	принадлежащих
பின்	обратно
பின்	спина
பின்	назад
பின்	пин
பின்	прикрепить
பின்	после
இல்லை	не
நவம்பர்	ноября
நவம்பர்	ноябрь
அதிக	высокий
அதிக	высокая
அதிக	высоко
அதிக	высокого
காலத்தில்	период
மிக	очень
நான்கு	четверо
நான்கு	четыре
பிறகு	после
பிறகு	тогда
பிறகு	затем
பிறகு	потом
பிறகு	позже
பிறகு	позднее
அரசியல்	политических
அரசியல்	политика
அரசியல்	политический
அரசியல்	политики
அரசியல்	политическая
பகுதி	площадь
பகுதி	сегмента
பகுதி	частичный
பகுதி	область
பகுதி	частично
பகுதி	регион
பகுதி	сегмент
பகுதி	частичная
பகுதி	район
பகுதி	частичное
பகுதி	часть
பற்றி	о
ஆறு	река
ஆறு	ривер
ஆறு	реки
ஆறு	шестой
ஆறு	шестеро
ஆறு	шесть
மீண்டும்	снова
மீண்டும்	опять
மீண்டும்	вновь
இங்கிலாந்து	англия
இங்கிலாந்து	англии
காலம்	время
காலம்	сезон
காலம்	период
காலம்	тайм
காலம்	времени
நிலை	положение
நிலை	должность
நிலை	государство
நிலை	позиция
நிலை	штат
நிலை	уровня
நிலை	уровень
நிலை	состояние
போர்	война
போர்	войны
பொருள்	произведение
பொருள்	материалы
பொருள்	предмет
பொருள்	синонимы
பொருள்	объект
பொருள்	объекта
பொருள்	материал
பொருள்	товар
பொருள்	тема
பொருள்	продукт
பொருள்	субъект
பொருள்	продукта
பொருள்	изделие
அறிவியல்	наука
அறிவியல்	науки
பேச்சு	разговор
பேச்சு	речь
பேச்சு	речи
பேச்சு	говорить
பேச்சு	поговорить
பேச்சு	разговоры
இதனால்	с
அனைத்து	все
அனைத்து	всех
அனைத்து	всем
கல்வி	образование
கல்வி	просвещение
ஏப்ரல்	апрель
ஏப்ரல்	апр
ஏப்ரல்	апреля
ஏப்ரல்	эйприл
உலக	глобальные
உலக	глобальная
உலக	глобальный
உலக	мир
உலக	глобальное
கே	гей
கே	геи
முடியும்	может
முடியும்	могу
முடியும்	можно
கீழ்	низ
கீழ்	снизу
கீழ்	ниже
கீழ்	нижняя
கீழ்	нижние
கீழ்	дно
கீழ்	нижний
கீழ்	под
கீழ்	вниз
இடம்	пространство
இடம்	космической
இடம்	космос
இடம்	местонахождение
இடம்	расположение
இடம்	место
இடம்	местоположение
செப்டம்பர்	сентябрь
செப்டம்பர்	сентября
பேர்	другие
பேர்	прочие
பெரும்	великолепно
பெரும்	наглый
பெரும்	здорово
பெரும்	отлично
சி	чи
நாடுகள்	стран
நாடுகள்	страны
தொகுதி	альбомы
தொகுதி	модуль
தொகுதி	система
கிழக்கு	ист
கிழக்கு	востоке
கிழக்கு	восток
கிழக்கு	восточная
கிழக்கு	восточное
கிழக்கு	восточные
கிழக்கு	восточной
கிழக்கு	восточный
அமைப்பு	структура
அமைப்பு	организация
அமைப்பு	настроить
அமைப்பு	система
அமைப்பு	организации
அமைப்பு	настройка
அளவு	шкала
அளவு	размеры
அளவு	масштаб
அளவு	размер
அளவு	масштабы
அளவு	сумма
அளவு	шкалы
அளவு	количество
நகர்	нагар
மற்ற	другие
மற்ற	другой
மற்ற	другая
மற்ற	другое
மற்ற	разное
மற்ற	прочие
இந்து	индуистских
இவற்றையும்	эти
தற்போது	теперь
தற்போது	сейчас
பாடல்	песнь
பாடல்	песня
உண்டு	иметь
உண்டு	доступно
உண்டு	доступны
உண்டு	имеющихся
உண்டு	доступен
உண்டு	доступные
வாழும்	живое
வாழும்	живые
வாழும்	живущие
இருக்கிறது	доступно
இருக்கிறது	доступны
இருக்கிறது	имеющихся
இருக்கிறது	доступен
இருக்கிறது	доступные
நிறுவனம்	работодателя
நிறுவனம்	компания
நிறுவனம்	рота
நிறுவனம்	организация
நிறுவனம்	компании
நிறுவனம்	работодатель
நிறுவனம்	заказчик
நிறுவனம்	организации
நபர்கள்	народ
நபர்கள்	люди
நபர்கள்	людей
காலனி	колония
காலனி	колонии
மேற்கு	запад
மேற்கு	западные
மேற்கு	вест
மேற்கு	западное
மேற்கு	западная
மேற்கு	западный
மேற்கு	уэст
மேற்கு	западной
தலைவர்	лидер
தலைவர்	президент
தலைவர்	руководитель
தலைவர்	председатель
முதலில்	первый
முதலில்	первое
முதலில்	первая
முதலில்	сначала
சார்ந்த	основано
சார்ந்த	относительной
சார்ந்த	зависимости
சார்ந்த	родственник
சார்ந்த	относительная
சார்ந்த	относительные
சார்ந்த	относительное
சார்ந்த	зависимость
சார்ந்த	относительный
மேல்	топ
மேல்	сверху
மேல்	верх
நாடு	страна
நாடு	страны
மட்டும்	только
அடிப்படையில்	основа
அடிப்படையில்	основание
எண்	считать
எண்	граф
எண்	номер
எண்	число
எண்	количество
குறிப்பிட்ட	конкретная
குறிப்பிட்ட	указано
குறிப்பிட்ட	указанное
குறிப்பிட்ட	указаны
குறிப்பிட்ட	конкретный
குறிப்பிட்ட	конкретные
குறிப்பிட்ட	конкретных
குறிப்பிட்ட	заявил
குறிப்பிட்ட	указанных
குறிப்பிட்ட	конкретное
செய்ய	сделать
சிறிய	мелкие
சிறிய	маленькие
சிறிய	мало
சிறிய	маленький
சிறிய	малых
சிறிய	маленькая
சிறிய	малые
வந்த	пришел
வந்த	пришла
வந்த	пришёл
வேறு	другие
வேறு	другой
வேறு	другая
வேறு	другое
வேறு	прочие
மார்ச்	март
மார்ச்	марта
மார்ச்	марш
நிலையில்	ступень
நிலையில்	условие
நிலையில்	стадия
நிலையில்	состояние
நிலையில்	этапе
நிலையில்	этап
பெண்	женщина
பெண்	женская
பெண்	женщины
பெண்	девчонка
பெண்	девушка
பெண்	девочка
பெண்	женское
பெண்	женщину
பெண்	женский
வெற்றி	победу
வெற்றி	успех
வெற்றி	победить
வெற்றி	выиграл
வெற்றி	победил
வெற்றி	выиграть
வெற்றி	выигрыш
வெற்றி	победила
வெற்றி	выигрывает
வெற்றி	побеждает
வெற்றி	победы
வெற்றி	победа
வெற்றி	выиграла
வெற்றி	успеха
இணைப்பு	привязанность
இணைப்பு	связь
இணைப்பு	ссылку
இணைப்பு	линк
இணைப்பு	ссылка
இணைப்பு	вложение
இணைப்பு	соединение
இணைப்பு	подключение
இணைப்பு	связать
திரைப்படம்	фильм
திரைப்படம்	кино
வகை	тип
வகை	категории
வகை	режим
வகை	категория
ஐந்து	пять
ஐந்து	пятеро
சிறப்பு	избранные
சிறப்பு	специальный
சிறப்பு	специального
சிறப்பு	специальные
சிறப்பு	актуальное
சிறப்பு	специальное
சிறப்பு	особая
சிறப்பு	специальная
சிறப்பு	рекомендуемые
சிறப்பு	выделенные
தமிழர்	тамилов
விட	чем
சுமார்	о
கட்டுரைகள்	статей
கட்டுரைகள்	статьи
கட்டுரைகள்	изделия
படி	прочитать
படி	шаг
படி	прочесть
படி	читайте
படி	читай
படி	читать
மனித	человеческое
மனித	человек
மனித	человека
மனித	человеческая
பெரும்பாலும்	почти
பெரும்பாலும்	часто
பெரும்பாலும்	практически
பெரும்பாலும்	преимущественно
பெரும்பாலும்	зачастую
பெரும்பாலும்	нередко
கட்சி	сторона
கட்சி	партия
கட்சி	вечеринка
பொது	общая
பொது	общественность
பொது	общие
பொது	публичные
பொது	общественности
பொது	общих
பொது	генерал
கல்லூரி	колледж
கல்லூரி	коллегия
இசை	музыку
இசை	музыка
முறையில்	режим
நாட்டின்	страна
நாட்டின்	страны
மத்திய	центральный
மத்திய	центральное
மத்திய	центральной
மத்திய	центральная
மில்லியன்	миллиона
மில்லியன்	миллионов
மில்லியன்	млн
மில்லியன்	миллион
மில்லியன்	миллионы
நகரம்	город
நகரம்	города
எந்த	любой
எந்த	любые
எந்த	который
எந்த	которое
எந்த	любая
எந்த	которая
எந்த	любую
எந்த	любое
எந்த	которые
எனப்படும்	позвонил
எனப்படும்	звонил
எனப்படும்	называется
நீர்	воду
நீர்	воды
நீர்	вода
செய்யும்	делаю
செய்யும்	делаешь
இணைந்து	присоединиться
இணைந்து	присоединяйтесь
விக்கிப்பீடியா	википедии
விக்கிப்பீடியா	википедия
சென்று	ушла
சென்று	ушли
சென்று	ушел
சென்று	ушёл
பார்க்க	см
பார்க்க	посмотреть
பார்க்க	видишь
அணி	команда
அணி	матрица
அணி	матрицу
அணி	матрицы
எழுதிய	написано
எழுதிய	написала
எழுதிய	написали
எழுதிய	письменные
எழுதிய	написал
எழுதிய	письменное
எழுதிய	письменный
எழுதிய	писал
நிலையம்	станция
நிலையம்	вокзал
நிலையம்	станции
தொடர்பான	связанные
மீட்டர்	метр
மீட்டர்	счетчик
மீட்டர்	метрах
மீட்டர்	метров
இடத்தில்	место
கோவில்	храм
மாதம்	месяц
மாதம்	месяца
ஆய்வு	исследования
ஆய்வு	исследований
ஆய்வு	исследование
ஆய்வு	изучение
வட	север
வட	северный
வட	северной
வட	северная
வட	норт
குறைந்த	низко
குறைந்த	низкое
குறைந்த	низкая
குறைந்த	низким
குறைந்த	меньше
குறைந்த	низкий
குறைந்த	меньшей
குறைந்த	меньшее
குறைந்த	менее
டிசம்பர்	дек
டிசம்பர்	декабрь
முன்	прежде
முன்	пре
முன்	передние
முன்	фронт
முன்	перед
முன்	до
முன்	передняя
வாழ்க்கை	жизни
வாழ்க்கை	жизнь
சனவரி	январь
சனவரி	января
புனித	святые
புனித	святой
புனித	святая
புனித	святейший
புனித	святое
இரண்டாவது	второе
இரண்டாவது	вторая
இரண்டாவது	среднее
இரண்டாவது	секунда
இரண்டாவது	второй
ஆங்கிலம்	английский
ஆங்கிலம்	английская
அங்கு	там
தொழில்	промышленность
தொழில்	профессия
தொழில்	бизнес
தொழில்	отрасль
தொழில்	промышленности
தொழில்	индустрия
பழைய	старая
பழைய	старые
பழைய	старый
பழைய	старое
பழைய	старшая
பழைய	старше
ஆண்டுகள்	годы
ஆண்டுகள்	лет
குறிப்பாக	особенно
குறிப்பாக	конкретно
குறிப்பாக	специально
பார்க்கவும்	визит
பார்க்கவும்	посетить
பார்க்கவும்	посещение
பார்க்கவும்	визита
பார்க்கவும்	часы
பார்க்கவும்	посмотреть
பார்க்கவும்	смотрите
பார்க்கவும்	смотреть
துறை	порт
துறை	порту
துறை	департамент
குறிக்கும்	указывает
குறிக்கும்	указывая
கடல்	морской
கடல்	морские
கடல்	моря
கடல்	морская
கடல்	океан
கடல்	океана
கடல்	море
போல	как
போல	нравится
இதற்கு	для
இதற்கு	за
சிறு	мелкие
சிறு	незначительное
சிறு	незначительные
சிறு	маленькие
சிறு	маленький
சிறு	малых
சிறு	маленькая
சிறு	малые
சிறு	несовершеннолетний
தென்	южный
தென்	южной
தென்	южная
தென்	юг
உயர்	высокий
உயர்	высокая
உயர்	высоко
உயர்	высокого
வடக்கு	север
வடக்கு	северный
வடக்கு	северной
வடக்கு	северная
வடக்கு	норт
ஆட்சி	управление
ஆட்சி	королевство
ஆட்சி	правило
ஆட்சி	царство
மக்களின்	народ
மக்களின்	люди
மக்களின்	людей
நோய்	болезни
நோய்	заболевания
நோய்	болезнь
நோய்	заболевание
தேர்தல்	избрание
தேர்தல்	выборы
உற்பத்தி	производство
உற்பத்தி	изготовление
உற்பத்தி	производства
வந்தது	приехали
வந்தது	прибыли
வந்தது	пришла
வந்தது	прибыла
வந்தது	пришёл
வந்தது	пришел
வந்தது	прибыл
கலை	арт
கலை	искусство
தங்கள்	их
சமூக	социальная
சமூக	социальные
சமூக	социального
சமூக	социальное
சமூக	социальный
போல்	как
போல்	бол
போல்	нравится
தர	качество
நூற்றாண்டு	столетие
நூற்றாண்டு	век
அவருடைய	его
உலகின்	миров
உலகின்	миры
அமெரிக்கா	америка
அமெரிக்கா	америки
பகுதிகளில்	области
பகுதிகளில்	районы
வந்து	приходите
வந்து	приходи
பரிசு	подарок
பரிசு	дар
பரிசு	премия
பரிசு	приз
பிரிவு	отдел
பிரிவு	дивизион
பிரிவு	подразделение
பிரிவு	категории
பிரிவு	секция
பிரிவு	раздел
பிரிவு	деление
பிரிவு	категория
உடல்	тело
உடல்	тела
இவர்கள்	эти
கூட	слишком
கூட	также
கூட	даже
கூட	тоже
எழுத்தாளர்	писатель
எழுத்தாளர்	сценарист
குழு	группы
குழு	группа
இலக்கிய	литература
இலக்கிய	литературных
இலக்கிய	литературный
விளையாட்டு	спортивные
விளையாட்டு	спорт
விளையாட்டு	спортивная
விளையாட்டு	игра
உறுப்பினர்கள்	члены
உறுப்பினர்கள்	участники
உறுப்பினர்கள்	членов
இறப்பு	смертность
இறப்பு	смерть
அடி	ноги
அடி	ступни
அடி	ударил
அடி	хит
அடி	стопы
துணை	партнер
துணை	поддержки
துணை	партнёр
துணை	поддержка
துணை	порок
துணை	заместитель
துணை	поддержку
துணை	вице
துணை	поддерживаю
துணை	напарник
பதிப்பு	издание
பதிப்பு	версия
பதிப்பு	версии
சொல்	скажите
சொல்	скажи
சொல்	расскажите
சொல்	слово
சொல்	рассказать
சொல்	скажем
சொல்	сказать
தெற்கு	южный
தெற்கு	южной
தெற்கு	южная
தெற்கு	юг
கட்டுரை	композиция
கட்டுரை	состав
கட்டுரை	сочинение
கட்டுரை	изделия
கட்டுரை	статей
கட்டுரை	статьи
கட்டுரை	статья
கட்டுரை	эссе
வட்டம்	круг
சராசரி	средний
சராசரி	средняя
சராசரி	среднее
தொலைக்காட்சி	телевидения
தொலைக்காட்சி	телевидение
தொலைக்காட்சி	телевизор
முன்னாள்	бывшая
முன்னாள்	бывшей
முன்னாள்	прежний
முன்னாள்	бывшие
முன்னாள்	бывший
எண்ணிக்கை	граф
எண்ணிக்கை	частотность
எண்ணிக்கை	периодичность
எண்ணிக்கை	частота
எண்ணிக்கை	считать
தவிர	исключить
தவிர	кроме
நடிகர்	актёр
நடிகர்	актер
பாடல்கள்	песни
இன்று	сегодня
சட்டம்	юридическая
சட்டம்	акт
சட்டம்	правовая
சட்டம்	юридический
சட்டம்	рамки
சட்டம்	кадр
சட்டம்	рамку
சட்டம்	право
சட்டம்	правовой
சட்டம்	закон
அருகில்	неподалеку
அருகில்	близко
அருகில்	рядом
அருகில்	поблизости
அருகில்	вблизи
நேரம்	тайм
நேரம்	время
நேரம்	времени
முதலாவது	первый
முதலாவது	первое
முதலாவது	первая
முதலாவது	сначала
நாம்	пусть
நாம்	позволяет
மூலமாக	виа
மூலமாக	через
மூலமாக	сквозь
உணவு	питание
உணவு	еды
உணவு	продовольствие
உணவு	продовольственной
உணவு	пища
உணவு	еда
குறித்து	о
பெப்ரவரி	февраля
பெப்ரவரி	февраль
பகுதிகள்	компонент
பகுதிகள்	сегментов
பகுதிகள்	районы
பகுதிகள்	частей
பகுதிகள்	части
பகுதிகள்	области
பகுதிகள்	запчасти
பகுதிகள்	регионы
பகுதிகள்	сегменты
நிறுவனங்கள்	компаний
நிறுவனங்கள்	организаций
நிறுவனங்கள்	компаниям
நிறுவனங்கள்	компании
நிறுவனங்கள்	организации
ஜனவரி	январь
ஜனவரி	января
எழுத்தாளர்கள்	писателей
எழுத்தாளர்கள்	писатели
நல்ல	хороший
நல்ல	хорош
நல்ல	хороша
நல்ல	хорошее
நல்ல	хорошо
அடுத்த	следующая
அடுத்த	следующий
அடுத்த	далее
படம்	фото
படம்	картинка
படம்	изображения
படம்	фотография
படம்	фотка
படம்	изображение
படம்	имидж
படம்	образ
பாதுகாப்பு	охрана
பாதுகாப்பு	безопасно
பாதுகாப்பு	безопасность
பாதுகாப்பு	сейф
பாதுகாப்பு	обороны
பாதுகாப்பு	защита
பாதுகாப்பு	оборона
பாதுகாப்பு	безопасное
தந்தை	отче
தந்தை	отец
பங்கு	роли
பங்கு	роль
பார்க்கப்பட்ட	посмотрели
பயன்படுத்தி	используя
பயன்படுத்தி	использование
அவர்களின்	их
செய்த	сделанные
செய்த	сделано
செய்த	сделаны
செய்த	сделана
செய்த	сделал
நியூ	ниуэ
பதிவு	регистрация
பதிவு	пост
பதிவு	запись
பதிவு	регистр
பதிவு	зарегистрироваться
பதிவு	записать
பதிவு	впечатления
பதிவு	зарегистрировать
பதிவு	реестр
பதிவு	рекорд
பதிவு	опубликовать
பதிவு	впечатление
பதிவு	регистра
பதிவு	записывать
பதிவு	публикация
ஐரோப்பிய	европейского
ஐரோப்பிய	европейский
ஐரோப்பிய	европейское
ஐரோப்பிய	европейская
முழுவதும்	совершенно
முழுவதும்	полного
முழுவதும்	полная
முழுவதும்	полные
முழுவதும்	полностью
முழுவதும்	полное
முழுவதும்	полный
முழுவதும்	завершить
பயனர்	пользователя
பயனர்	пользователю
பயனர்	пользователь
தொடர்	продолжать
தொடர்	последовательный
தொடர்	продолжить
தொடர்	продолжаем
தொடர்	серийный
ஜூன்	июнь
ஜூன்	чжун
ஜூன்	июня
ஜூன்	джун
வழியாக	виа
வழியாக	через
உறுப்பினர்	членство
உறுப்பினர்	клиента
உறுப்பினர்	член
உறுப்பினர்	клиент
உறுப்பினர்	участник
ஆசிரியர்	учительница
ஆசிரியர்	редактор
ஆசிரியர்	учитель
ஆசிரியர்	автор
ஆசிரியர்	преподаватель
ஆசிரியர்	редактора
ஆஃப்	офф
முக்கியமான	важные
முக்கியமான	важно
முக்கியமான	критические
முக்கியமான	важное
முக்கியமான	критическая
முக்கியமான	критический
முக்கியமான	важны
முக்கியமான	важных
முக்கியமான	важная
முக்கியமான	критическое
தொடர்பு	контакты
தொடர்பு	связаться
தொடர்பு	контакт
செய்தார்	сделал
செய்தார்	сделала
ஜூலை	июль
ஆற்றல்	энергетика
ஆற்றல்	энергия
ஆற்றல்	энергии
கிலோ	кило
கிலோ	килограмм
வேலை	работы
வேலை	труд
வேலை	работа
இருக்கலாம்	возможно
இருக்கலாம்	может
சமய	религиозных
சமய	религиозный
சமய	религиозное
சமய	религиозная
பணி	работы
பணி	работа
பணி	задача
பணி	задание
பணி	труд
கதை	рассказ
கதை	новость
கதை	история
அதிகமாக	едва
அதிகமாக	еле
இடையே	между
பட்டம்	степень
பட்டம்	кайт
பட்டம்	выпускной
பட்டம்	степени
வழி	способ
வழி	след
வழி	путь
அப்போது	затем
அப்போது	тогда
அப்போது	потом
விடுதலை	освобождения
விடுதலை	свобода
விடுதலை	свободу
விடுதலை	освобождение
விடுதலை	свободы
ஆகஸ்ட்	августа
ஆகஸ்ட்	август
தேதி	свидание
தேதி	дата
பிறந்த	рождения
பிறந்த	роды
பிறந்த	рождение
இன்னும்	и
ஜான்	иоанн
ஜான்	яан
ஜான்	джон
அடுத்து	следующая
அடுத்து	следующий
அடுத்து	далее
சேவை	услуга
சேவை	служба
சேவை	услуги
சேவை	службы
சேவை	сервис
சேவை	обслуживание
கருத்து	отзыв
கருத்து	комментировать
கருத்து	прокомментировать
கருத்து	отклики
கருத்து	тема
கருத்து	комментарий
கருத்து	отзывы
காரணம்	причина
காரணம்	причиной
தனி	отдельный
தனி	отдельная
தனி	отделить
தனி	личное
தனி	частного
தனி	частные
தனி	отдельное
தனி	частная
தனி	частное
தனி	частный
அவருக்கு	его
அவருக்கு	ему
நீண்ட	длинный
நீண்ட	долго
நீண்ட	лонг
நீண்ட	длинные
நீண்ட	длинная
பள்ளி	школа
பள்ளி	школе
பள்ளி	школы
மற்றொரு	другой
மற்றொரு	другая
மகன்	сын
மகன்	сынок
சர்வதேச	международные
சர்வதேச	международный
எல்லா	все
எல்லா	всех
எல்லா	всем
பொருட்கள்	продукты
பொருட்கள்	пункты
பொருட்கள்	продукция
பொருட்கள்	изделия
பொருட்கள்	предметы
பொருட்கள்	поставки
பொருட்கள்	объекты
பொருட்கள்	товары
பொருட்கள்	поставок
பொருட்கள்	объектов
மின்	электрическая
மின்	электрик
மின்	электрический
என்றால்	означает
ஏழு	семь
ஏழு	седьмая
நடைபெற்ற	провел
முன்னர்	прежде
முன்னர்	ранее
முன்னர்	перед
முன்னர்	до
பொறியியல்	инжиниринг
பொறியியல்	инженерии
கா	гса
அமைப்புகள்	организаций
அமைப்புகள்	настройки
அமைப்புகள்	организации
அமைப்புகள்	параметры
அமைப்புகள்	настройка
மொழிகள்	языках
மொழிகள்	языки
அத்துடன்	также
முழு	полного
முழு	полная
முழு	полные
முழு	полное
முழு	полный
முதன்மை	топ
முதன்மை	начальное
முதன்மை	начального
முதன்மை	первичные
முதன்மை	сверху
முதன்மை	основная
முதன்மை	основных
முதன்மை	основные
முதன்மை	главная
முதன்மை	верх
மணி	час
மணி	колокольчик
மணி	белл
மணி	мани
மணி	колокол
தொகுப்பு	коллекция
தொகுப்பு	композиция
தொகுப்பு	посылка
தொகுப்பு	состав
தொகுப்பு	коллекции
தொகுப்பு	упаковка
தொகுப்பு	сбор
தொகுப்பு	пакет
தொலைவில்	подальше
தொலைவில்	далеко
தொலைவில்	прочь
மருத்துவ	медицинских
மருத்துவ	медицинское
மருத்துவ	медицинская
மருத்துவ	медицинский
வணிக	коммерческие
வணிக	коммерческий
வணிக	коммерческая
திருமணம்	женат
திருமணம்	свадьбы
திருமணம்	женился
திருமணம்	жениться
திருமணம்	свадьбу
திருமணம்	свадебный
