ve	そして
ödülleri	賞品
saat	クロック
saat	時間
saat	時計
saat	腕時計
güneş	ソーラー
güneş	日光
güneş	太陽
güneş	サンシャイン
güneş	日差し
yazarı	作者
yazarı	著者
yazarı	作家
kaldı	残り
kaldı	滞在
kaldı	残額
bakanı	公使
bakanı	大臣
geçti	合格
krallık	王国
doğal	自然
doğal	ナチュラル
inşa	建物
inşa	構築
yeterli	足りる
ortak	パートナー
londra	ロンドン
türü	タイプ
türü	種類
türü	ジャンル
başkanlığı	総裁
göç	入国
göç	移民
göç	移住
göç	移行
as	ハング
as	エース
kurulmuştur	設立
logo	ロゴス
logo	ロゴ
örnek	サンプリング
örnek	サンプル
kemal	カマル
durumu	状態
durumu	条件
durumu	ステータス
durumu	近況
israil	イスラエル
kırmızı	赤い
kırmızı	赤色
kırmızı	レッド
yönetmen	ディレクター
yönetmen	取締役
yönetmen	監督
ön	前面
ön	フロント
ön	表側
tipi	タイプ
tipi	種類
tipi	吹雪
araştırma	照会
araştırma	研究
araştırma	探究
araştırma	問い合わせ
araştırma	リサーチ
orijinal	オリジナル
avusturya	オーストリア
yardım	援助
yardım	ヘルプ
serbest	自由
serbest	釈放
serbest	無料
serbest	フリー
serbest	リリース
değer	価額
değer	バリュー
oranı	レート
oranı	比率
oranı	評価
şarkıcı	シンガー
destek	バックアップ
destek	支持
destek	サポート
bugün	トゥデイ
bugün	今日
hafta	週間
ekonomik	経済
adam	男性
adam	ガイ
it	押す
it	プッシュ
kendisi	自身
kendisi	独学
etkili	実効
etkili	効率
yayınları	出版物
resmî	公式
resmî	職員
nehri	河川
hizmet	サービス
hizmet	サーブ
düzenlenen	開催
güçlü	パワフル
güçlü	濃い
güçlü	強い
asya	アジア
yolu	パス
girdi	入力
girdi	エントリ
girdi	エントリー
sayı	得点
sayı	数値
sayı	番号
sayı	スコア
sayı	ナンバー
çalışma	ワーク
çalışma	作業
çalışma	勉強
çalışma	仕事
yıllar	年数
hukuk	法律
hukuk	法学
roman	フィクション
roman	小説
ilan	広告
başlık	タイトル
başlık	見出し
başlık	称号
başlık	ヘッダー
başlık	ヘッダ
başlık	肩書
başlık	キャプション
sürekli	連続
sürekli	常時
sürekli	絶えず
kral	国王
kral	キング
sonrasında	アフター
sonrasında	余波
hatta	偶数
aile	家族
metre	メーター
metre	メートル
basketbol	バスケットボール
basketbol	バスケ
kullanımı	使い方
kullanımı	使用
sovyet	ソビエト
kıbrıs	キプロス
ticaret	商業
ticaret	トレード
ticaret	コマース
ticaret	ビジネス
ticaret	取引
ticaret	貿易
ticaret	事業
ticaret	営業
can	ベル
kardeş	ブラザー
kardeş	シスター
kardeş	姉妹
kardeş	兄弟
benim	鉱山
öldü	デッド
hızlı	クイック
hızlı	スピード
hızlı	スピーディー
hızlı	速い
hızlı	速度
hızlı	高速
yabancı	エイリアン
yabancı	外国
yabancı	よそ者
yerli	先住民
yerli	ローカル
yerli	地元
yerli	国内
yerli	ネイティブ
ağır	重い
ağır	ヘビー
kiralık	レント
kiralık	家賃
kiralık	借りる
kiralık	レンタル
ticari	商業
ticari	商用
ticari	コマーシャル
avustralya	オーストラリア
enerji	エネルギー
zaten	既に
zaten	すでに
madalya	メダル
mevcut	既存
mevcut	プレゼント
mevcut	現在
yarışması	コンテスト
akdeniz	地中海
azerbaycan	アゼルバイジャン
güç	フォース
güç	権力
güç	パワー
güç	体力
güç	強度
ileri	フォワード
ileri	上級
ileri	進む
ileri	転送
yüzyıl	センチュリー
yüzyıl	世紀
hakları	権利
sol	左側
sayfası	ページ
çalışmalar	研究
italyan	イタリアン
değişiklik	変化
değişiklik	改変
değişiklik	変更
değişiklik	改造
değişiklik	チェンジ
saha	フィールド
sık	スクイーズ
tur	ツアー
japon	日本人
japon	ジャパニーズ
japon	日本語
dili	言語
yüzey	曲面
yüzey	表面
başkan	大統領
başkan	議長
başkan	社長
başkan	会長
başkan	プレジデント
ek	別館
ek	加法
ek	加算
konusu	件名
konusu	主体
metal	金属
yaygın	共通
kulübü	クラブ
kulübü	棍棒
tanımlar	定義
fark	告示
fark	実現
fark	換価
fark	通知
fark	差分
fark	斑点
fark	差異
fark	告知
fark	違い
şampiyon	チャンピオン
şampiyon	チャンプ
şampiyon	チャンピオンズ
yunanistan	ギリシャ
ölüm	デス
bizans	ビザンチウム
radyo	ラジオ
hasan	ハッサン
hasan	ハサン
bölgede	リージョン
bölgede	地域
kanada	カナダ
ilçesi	ディストリクト
ilçesi	地区
gitar	ギター
arap	アラブ
posta	郵便
posta	ポスタル
posta	メール
yalnızca	のみ
yapı	構造
yapı	構成
eyalet	状態
eyalet	都道府県
not	メモ
not	ノート
not	注記
not	備考
güncelleme	更新
güncelleme	アップデート
hüseyin	フセイン
sanatçı	芸術家
sanatçı	アーティスト
tartışma	申し立て
tartışma	論証
tartışma	話し合い
tartışma	ディベート
tartışma	ディスカッション
kapak	表紙
kapak	カバー
kapak	孵化
kapak	ハッチ
kapak	被覆
kapak	ふた
baş	ヘッド
baş	頭部
barış	平和
barış	ピース
düşünüyorum	思考
düşünüyorum	考え
yaşam	ライフ
yaşam	生命
yaşam	生活
yaşam	人生
kanal	運河
kanal	チャネル
kanal	チャンネル
kanal	海峡
para	金銭
para	硬貨
para	コイン
para	貨幣
para	マネー
para	生地
para	お金
kötü	バッド
kötü	悪い
geçmişi	バックグラウンド
geçmişi	背景
genelde	通常
festivali	祭り
festivali	お祭り
festivali	フェスティバル
festivali	祭事
çalışmaları	研究
normal	レギュラー
han	カーン
han	ハーン
gerek	ニーズ
sayfa	ページ
isim	名称
isim	氏名
isim	名詞
isim	名前
uzay	空間
uzay	スペース
pop	ポップス
sonrası	アフター
mezun	同窓会
mezun	卒業
mezun	卒業生
derece	学位
gece	ナイト
emin	自信
muhammed	モハメッド
muhammed	ムハンマド
bilgiler	情報
çift	ダブル
çift	二重
çift	カップル
çift	ペア
olay	イベント
olay	行事
çalışan	社員
çalışan	職員
çalışan	作業
çalışan	働く
suriye	シリア
dolayısıyla	エルゴ
sonuç	結論
sonuç	結果
sonuç	エンディング
kişisel	パーソナル
kişisel	個人
yüzde	パーセント
yüzde	パーセンテージ
yüzde	割合
halen	スティル
halen	まだ
halen	それでも
site	ウェブサイト
sınıf	クラス
sınıf	教室
sınıf	階級
dizisi	シーケンス
oyunları	ゲーム
antik	アンティーク
antik	古代
yukarıda	二階
yukarıda	上記
yukarıda	上の
yapmak	メイキング
hollanda	アムステルダム
hollanda	オランダ
hollanda	ロッテルダム
yana	サイド
kategori	区分
kategori	カテゴリ
kategori	分類
kategori	カテゴリー
kazanan	勝者
kazanan	ウィナー
savunma	防御
savunma	ディフェンス
savunma	抗弁
savunma	防衛
yedi	セブン
belediyesi	市町村
polonya	ポーランド
yaş	年齢
yoğun	忙しい
yoğun	激しい
yoğun	濃密
yoğun	ビジー
park	駐車
isveç	スウェーデン
siyasetçi	政治家
edebiyat	文芸
edebiyat	文学
müzesi	美術館
müzesi	博物館
et	食肉
et	ビーフ
et	牛肉
haber	ニュース
annesi	母親
annesi	おかあさん
kupa	マグカップ
kupa	コップ
kupa	トロフィー
kupa	カップ
verildi	与えられた
klasik	古典
klasik	クラシカル
klasik	ビンテージ
klasik	クラシック
yönetimi	経営
yönetimi	管理
yönetimi	マネージメント
yönetimi	マネジメント
doğan	ファルコン
toprak	ダート
toprak	ランド
toprak	土地
toprak	アース
toprak	土壌
toprak	地球
brezilya	ブラジル
bazen	時々
bazen	ときどき
irak	イラク
siyah	ブラック
siyah	黒い
iddia	主張
iddia	取得
iddia	債権
iddia	表明
okul	スクール
okul	学校
doğum	マタニティ
doğum	バースデー
doğum	誕生
doğum	生年月日
kore	朝鮮
kore	韓国
portekiz	ポルトガル
güvenlik	安全
güvenlik	セーフティ
güvenlik	セキュリティー
güvenlik	セキュリティ
başkenti	資本
başkenti	キャピタル
başkenti	首都
tamamı	すべて
tamamı	全体
hala	叔母
hala	おば
hala	まだ
hala	それでも
hala	スティル
orada	そこ
giriş	ログイン
giriş	導入
giriş	エントリー
giriş	入力
giriş	紹介
giriş	エントリ
camii	モスク
derneği	協会
derneği	社団
derneği	アソシエーション
kuruldu	設立
asker	軍隊
asker	兵隊
asker	兵士
asker	軍事
süleyman	スレイマン
süleyman	ソロモン
kaşif	エクスプローラー
taşıyan	軸受
enstitüsü	研究所
hindistan	インド
değişik	異なる
sonradan	後で
dini	宗教
öğretim	指示
öğretim	教職員
öğretim	学部
öğretim	命令
yazı	執筆
yazı	冠詞
yazı	筆記
yazı	記事
yazı	書き込み
yazı	テキスト
kaynağı	ソース
kaynağı	出典
kaynağı	フィード
dikkat	注意深い
dikkat	注意
dikkat	注目
takip	チェイス
takip	トラッキング
takip	トラック
takip	フォロー
takımyıldız	星座
hak	権利
izin	許可
izin	許諾
izin	オフ
kanalı	運河
kanalı	チャネル
kanalı	チャンネル
kanalı	海峡
kurulmuş	設立
şair	歌人
şair	詩人
belirli	特定
mahalle	近所
mahalle	近隣
demir	アンカー
demir	アイロン
tıp	医学
tasarımı	デザイン
bilimsel	サイエンス
bilimsel	科学
profili	プロフィール
profili	プロファイル
arka	戻る
arka	背中
arka	後ろ
arka	裏側
adalet	正義
aşk	ラブ
aşk	ラヴ
sanayi	産業
sanayi	工業
sanayi	業界
seyirci	オーディエンス
seyirci	観客
inç	インチ
katalog	カタログ
moskova	モスクワ
isviçre	スイス
geçmiş	歴史
geçmiş	履歴
geçmiş	合格
geçmiş	過去
geçmiş	由緒
geçmiş	沿革
erken	早い
erken	アーリー
aktif	アクティブ
sarı	ブロンド
sarı	黄色
sarı	イエロー
sarı	金髪
üretim	製作
üretim	製造業
üretim	プロダクション
üretim	生産
etkisi	インパクト
etkisi	影響力
etkisi	効果
etkisi	影響
etkisi	エフェクト
etkisi	衝撃
müdürlüğü	総局
stüdyo	スタジオ
yeşil	グリーン
yeşil	緑色
ailesi	家族
ortalama	平均
sahne	場面
sahne	ステージ
sahne	風景
sahne	舞台
sahne	現場
sahne	シーン
sahne	景色
insanlar	ピープル
insanlar	ヒト
ermeni	アルメニア
tanrı	ゴッド
parçası	部分
parçası	パート
din	宗教
etkin	アクティブ
etkin	実効
etkin	有効
mümkün	可能性
metin	テキスト
ilgi	利息
ilgi	利子
eğitimi	トレーニング
eğitimi	修行
eğitimi	チュートリアル
eğitimi	講習
eğitimi	研修
eğitimi	訓練
bilgisayar	コンピュータ
bilgisayar	コンピューター
sınırları	限界
sınırları	リミット
sınırları	境界
sınırları	制限
özgür	無料
özgür	自由
özgür	フリー
parlaklık	明度
parlaklık	光度
parlaklık	輝度
vokal	ボーカル
demokratik	民主主義
seçim	チョイス
seçim	選択
seçim	選挙
seçim	セレクション
seçim	選考
seçim	選任
amerikalı	アメリカン
sistem	システムズ
sistem	システム
şimdi	ナウ
amacı	目的
özellikleri	属性
özellikleri	特徴
özellikleri	機能
özellikleri	特性
özellikleri	特色
özellikleri	プロパティ
kg	キログラム
dur	停止
dur	ストップ
seçkin	エリート
mavi	ブルー
mavi	青い
mavi	青色
sovyetler	ソビエト
işçi	社員
işçi	職員
işçi	労働
işçi	分娩
canlı	ライブ
canlı	アライブ
canlı	活気
canlı	生きる
fatih	征服者
tercih	好み
tercih	チョイス
tercih	選択
kişilik	人格
kişilik	人柄
kişilik	パーソナリティ
kişilik	性格
kişilik	個性
olası	可能性
boş	空欄
boş	ブランク
boş	空っぽ
kadınlar	女性
ara	通話
ara	検索
ara	コール
çıkar	減算
çıkar	引く
çıkar	削除
çıkar	取り除く
doğrudan	ダイレクト
doğrudan	直接
birlik	統一
birlik	単位
birlik	リーグ
birlik	ユナイテッド
birlik	ユニット
birlik	ユニオン
adası	アイル
üniversite	カレッジ
üniversite	大学
ismail	イスマエル
kopyaları	レプリカ
kopyaları	部数
kopyaları	コピー
sıcak	ホット
sıcak	あったかい
sıcak	暖かい
sıcak	温かい
sıcak	熱い
sıcak	暑い
fransızca	フレンチ
fransızca	フランス語
alınan	受信
alınan	受け取り
federasyonu	連邦
bulgaristan	ブルガリア
uyum	調和
uyum	ハーモニー
uyum	コンプライアンス
meclisi	組み立て
meclisi	アセンブリ
meclisi	集会
öncesi	以前
programı	スケジュール
programı	プログラム
programı	日程
dağı	マウント
ödül	賞品
ödül	受賞
ödül	懸賞
ödül	表彰
ödül	報酬
hayat	ライフ
hayat	生命
hayat	生活
hayat	人生
üye	会員
üye	メンバー
üye	メンバ
yapısı	構造
yapısı	構成
sebep	理性
sebep	理由
sebep	動機
öne	フォワード
öne	転送
öne	前面
öne	表側
öne	宣伝
öne	フロント
öne	進む
evli	既婚
doktor	医師
doktor	医者
doktor	ドクター
doktor	ドク
doktor	先生
popüler	ポピュラー
popüler	人気
çıkış	アウトプット
çıkış	出力
çıkış	終了
çıkış	出口
çıkış	ログアウト
macaristan	ハンガリー
taş	ストーン
taş	ロック
taş	ストーンズ
taş	ロックス
taş	岩石
iletişim	コミュニケーション
iletişim	通信
