और	y
प्राप्त	obtenida
प्राप्त	obtenido
प्राप्त	recibidos
प्राप्त	recibidas
इसका	sus
इसका	su
प्रयोग	experimento
प्रयोग	experimentar
प्रयोग	experimentación
प्रयोग	uso
प्रयोग	utilización
प्रयोग	experimentos
शामिल	incluida
शामिल	incluya
शामिल	incluído
शामिल	incluyen
शामिल	involucrados
शामिल	implicada
शामिल	incluidas
शामिल	involucrada
शामिल	incluido
शामिल	incluir
शामिल	implicado
शामिल	incluye
शामिल	involucrado
शामिल	incluyan
शामिल	incluidos
उन्हें	ellas
उन्हें	ellos
उस	eso
उस	que
स्थान	plazas
स्थान	localización
स्थान	lugar
स्थान	localizaciones
स्थान	sitios
स्थान	ubicación
स्थान	ubicaciones
स्थान	ubicacion
स्थान	emplazamiento
स्थान	localidades
स्थान	lugares
प्रमुख	jefa
प्रमुख	principal
प्रमुख	principales
प्रमुख	jefe
प्रमुख	mayor
प्रमुख	comandante
बीच	centrar
बीच	playa
बीच	centro
बीच	playas
गए	ido
मुख्य	jefa
मुख्य	principales
मुख्य	principal
मुख्य	jefe
थी	estaba
थी	fue
थी	era
उसे	su
उसे	ella
उसे	él
कार्य	empleos
कार्य	obra
कार्य	tarea
कार्य	empleo
कार्य	tareas
कार्य	trabajo
कार्य	trabajar
कार्य	trabajos
कार्य	trabaje
उनकी	sus
उनकी	su
नगर	ciudad
नगर	pueblo
उपयोग	utilizar
उपयोग	utiliza
उपयोग	usar
उपयोग	uso
उपयोग	usos
उपयोग	utilización
लोगों	personas
लोगों	gente
लोगों	pueblo
आधार	premisa
काम	obra
काम	trabajo
काम	trabajar
काम	trabajos
काम	trabaje
जीवन	vida
विश्व	mundial
विश्व	mundo
भाग	piezas
भाग	parte
भाग	tramos
भाग	secciones
भाग	partes
भाग	repuestos
निर्माण	construir
निर्माण	construccion
निर्माण	construcciones
निर्माण	construye
निर्माण	fabricación
निर्माण	construcción
निर्माण	construya
निर्माण	creación
निर्माण	manufactura
दोनों	tanto
दोनों	ambas
दोनों	ambos
राष्ट्रीय	nacional
राष्ट्रीय	nacionales
जानकारी	informaciones
जानकारी	informacion
जानकारी	información
पोर्टल	portales
शहर	ciudad
शहर	centro
शहर	céntrico
शहर	ciudades
बार	tiempos
बार	rejas
बार	épocas
बार	barra
बार	bares
बार	veces
बार	barras
लगभग	aproximadamente
लगभग	casi
फिल्म	película
फिल्म	pelicula
फिल्म	cine
यहाँ	aqui
यहाँ	aquí
यहाँ	acá
यहाँ	aca
प्रसिद्ध	renombrada
प्रसिद्ध	renombrado
प्रसिद्ध	famosos
प्रसिद्ध	famoso
प्रसिद्ध	famosa
प्रसिद्ध	famosas
विकास	crecimiento
विकास	desarrollo
केवल	sólo
केवल	solo
केवल	solamente
केवल	únicamente
देश	nación
देश	pais
देश	nacion
देश	paises
देश	países
देश	país
वेबसाइट	web
वेबसाइट	sitio
अलग	separado
अलग	distinta
अलग	separar
अलग	distintos
अलग	diferente
अलग	separadas
अलग	distinto
अलग	diferentes
अलग	separada
अलग	separados
विशेष	exclusivos
विशेष	exclusivas
विशेष	exclusiva
विशेष	especial
विशेष	especiales
विशेष	exclusividad
विशेष	exclusivo
इसकी	sus
इसकी	su
दी	dio
दी	dados
दी	dado
दी	dió
पृष्ठ	paginas
पृष्ठ	páginas
पृष्ठ	página
पृष्ठ	pagina
माना	considerada
माना	considerados
माना	supuestamente
माना	consideradas
माना	considerado
शब्द	palabras
शब्द	palabra
फिर	luego
फिर	entonces
तीन	tres
पुरस्कार	premiado
पुरस्कार	laudo
पुरस्कार	adjudicación
पुरस्कार	recompensas
पुरस्कार	premio
पुरस्कार	galardón
पुरस्कार	recompensa
पुरस्कार	galardones
पुरस्कार	premios
लेख	artículos
लेख	articulos
लेख	articulo
लेख	tesis
लेख	artículo
अब	ahora
दौरान	durante
अमेरिका	américa
मंदिर	templos
मंदिर	templo
मंदिर	sien
अलावा	aparte
अलावा	adición
वार्ता	charlas
वार्ता	conversaciones
दक्षिण	sur
स्थल	lugar
विभिन्न	diversos
विभिन्न	varias
विभिन्न	varios
इतिहास	historial
इतिहास	historia
लिया	tomada
लिया	tomados
लिया	tomado
लिया	tomadas
फ़िल्म	película
फ़िल्म	pelicula
फ़िल्म	cine
क्योंकि	porque
पास	pase
पास	pasa
पास	pasen
पास	paso
पास	pasar
विस्तृत	elaborada
विस्तृत	exhaustivos
विस्तृत	elaborado
विस्तृत	avanzado
विस्तृत	detallado
विस्तृत	elaboradas
विस्तृत	avanzada
विस्तृत	exhaustivas
विस्तृत	detallada
विस्तृत	adelantado
विस्तृत	exhaustiva
विस्तृत	avanzadas
विस्तृत	exhaustivo
विस्तृत	avanzados
विस्तृत	detalladas
विस्तृत	elaborados
दिन	diurno
दिन	días
दिन	dias
दिन	día
दिन	diurnas
दिन	jornadas
दिन	diurna
दिन	dia
कृषि	labranza
कृषि	agricultura
जाना	viabilidad
शुरू	comenzado
शुरू	comenzar
शुरू	comenzó
शुरू	iniciada
शुरू	iniciado
शुरू	empezar
व्यक्ति	individuales
व्यक्ति	individualismo
व्यक्ति	individuo
व्यक्ति	persona
उनका	sus
उनका	su
विज्ञान	ciencia
विज्ञान	ciencias
सदस्य	miembro
सदस्य	diputados
सदस्य	suscriptores
सदस्य	abonado
सदस्य	miembros
सदस्य	abonados
हालांकि	aunque
सिंह	león
अनेक	muchas
अनेक	multiples
अनेक	varios
अनेक	múltiples
अनेक	varias
अनेक	múltiple
अनेक	muchos
यहां	aqui
यहां	aquí
यहां	acá
यहां	aca
संख्या	numero
संख्या	números
संख्या	número
संख्या	numeros
अपना	propio
अपना	su
अपना	propias
अपना	propia
अपना	sus
अपना	propios
अपना	tu
अपना	tus
बात	hable
बात	hablar
बात	cosa
बात	charla
बात	habla
साहित्य	literatura
शिक्षा	educacion
शिक्षा	educación
शिक्षा	enseñanza
शिक्षा	matrícula
धर्म	religión
धर्म	religiones
मूल	nativas
मूल	básicos
मूल	autóctona
मूल	básica
मूल	básico
मूल	básicas
मूल	origen
मूल	nativa
मूल	nativo
मूल	nativos
मूल	procedencia
मूल	originales
तब	luego
तब	entonces
बना	hecho
बना	hacer
बना	hecha
कोड	códigos
कोड	codigo
कोड	código
संयुक्त	unidos
संयुक्त	concurrente
संयुक्त	unió
संयुक्त	unida
संयुक्त	combinados
संयुक्त	porro
संयुक्त	combinadas
संयुक्त	combinado
संयुक्त	combinada
संयुक्त	unido
संयुक्त	articulación
संयुक्त	concurrentes
संयुक्त	conjunta
संयुक्त	articulaciones
जुलाई	julio
युद्ध	batallas
युद्ध	guerra
युद्ध	batalla
युद्ध	combate
नदी	rio
नदी	río
काल	período
काल	llamar
काल	tensos
काल	tensas
काल	tenso
काल	tensa
काल	llamada
काल	llama
काल	periodo
काल	llame
ऐसे	tales
ऐसे	tal
वर्षों	selva
वर्षों	anos
वर्षों	años
स्टेशन	estacion
स्टेशन	estaciones
स्टेशन	emisoras
स्टेशन	estación
बड़े	grandes
बड़े	grande
बड़े	gran
जनवरी	enero
मध्य	céntrica
मध्य	céntrico
मध्य	mediana
मध्य	centro
मध्य	centrar
मध्य	centrales
राजा	rey
प्रथम	primeros
प्रथम	primeras
प्रथम	primero
प्रथम	primera
प्रथम	primer
विश्वविद्यालय	universitarios
विश्वविद्यालय	universitario
विश्वविद्यालय	universidad
विश्वविद्यालय	universidades
जून	junio
उसकी	sus
उसकी	ella
उसकी	su
मार्च	marcha
मार्च	marchen
मार्च	marzo
बन	bollo
बनी	conejito
बनी	conejo
बनी	conejita
अर्थ	significado
अप्रैल	abril
महत्वपूर्ण	importante
महत्वपूर्ण	crítico
महत्वपूर्ण	trascendental
महत्वपूर्ण	críticos
महत्वपूर्ण	importantes
महत्वपूर्ण	critica
महत्वपूर्ण	crítica
प्रामाणिक	auténtico
प्रामाणिक	auténticos
प्रामाणिक	auténtica
प्रामाणिक	autentica
प्रामाणिक	autentico
आप	te
आप	tú
आप	usted
आप	tu
आप	vos
अक्टूबर	octubre
समूह	agrupar
समूह	congregación
समूह	agrupa
समूह	agrupaciones
समूह	grupo
समूह	grupos
वर्तमान	presente
वर्तमान	actualidad
वर्तमान	actual
वर्तमान	corriente
अध्ययन	estudiar
अध्ययन	estudio
अध्ययन	estudios
अध्ययन	estudiando
अध्ययन	estudia
विभाग	departamentos
विभाग	departamento
विभाग	división
आम	frecuentes
आम	común
आम	frecuente
आम	comunes
आम	mangos
स्थिति	situación
स्थिति	posicion
स्थिति	estatus
स्थिति	situacion
स्थिति	condición
स्थिति	condicion
स्थिति	estado
स्थिति	posición
प्रभाव	efecto
प्रभाव	efectos
प्रभाव	repercusión
प्रभाव	influencias
प्रभाव	impacto
आदर्श	idealismo
आदर्श	ideales
आदर्श	ídolo
साल	año
साल	anos
साल	años
पहली	primeros
पहली	primeras
पहली	primero
पहली	primera
पहली	primer
संगीत	musica
संगीत	música
अमेरिकी	americana
अमेरिकी	estadounidense
अमेरिकी	americanos
अमेरिकी	americano
अमेरिकी	norteamericanos
अमेरिकी	estadounidenses
अमेरिकी	americanas
सेवा	servicio
बनाने	haciendo
बनाने	crear
बनाने	hacer
बनाने	excavadores
बनाने	creación
बनाने	excavadoras
बनाने	creando
आज	hoy
स्थापित	instalado
स्थापित	establecida
स्थापित	fundó
स्थापित	fundada
स्थापित	establecido
स्थापित	establecidos
स्थापित	instaladas
स्थापित	funda
स्थापित	fundado
स्थापित	instalada
स्थापित	instalados
स्थापित	establecer
उच्च	elevada
उच्च	alto
उच्च	alta
चाहिए	debiera
चाहिए	deberían
चाहिए	debería
चाहिए	deberia
देता	da
उपलब्ध	disponibles
उपलब्ध	disponible
काफी	suficiente
काफी	suficientes
काफी	abundancia
काफी	basta
बड़ी	grandes
बड़ी	grande
बड़ी	gran
चार	cuatro
शक	duda
शक	dudas
शक	dudar
शक	dudo
उदाहरण	ejemplo
उदाहरण	instancias
उदाहरण	ejemplos
उदाहरण	ilustración
उदाहरण	instancia
उसका	sus
उसका	ella
उसका	su
ले	tome
ले	toma
ले	tomar
जिससे	cuáles
जिससे	cual
जिससे	cuál
स्थापना	instale
स्थापना	establecimiento
स्थापना	instalaciones
स्थापना	montaje
स्थापना	instala
स्थापना	instalar
स्थापना	instalación
कंपनी	companía
कंपनी	empresa
कंपनी	compañía
कंपनी	compañia
अधिकांश	mayormente
अधिकांश	principalmente
सामाजिक	sociales
प्रत्येक	cada
बड़ा	genial
बड़ा	estupendo
बड़ा	grandes
बड़ा	grande
बड़ा	gran
बड़ा	grandioso
स्तर	niveles
स्तर	nivel
बनाया	creado
बनाया	creadas
बनाया	hecha
बनाया	creada
बनाया	creados
बनाया	hecho
बनाया	creó
जारी	continuación
जारी	emitido
जारी	continuo
जारी	expedida
जारी	continuado
जारी	continuó
जारी	emitidos
जारी	expedido
जबकि	mientras
चित्र	fotos
चित्र	foto
चित्र	cuadros
चित्र	fotografías
चित्र	imagen
चित्र	imágenes
चित्र	imagenes
चित्र	imágen
इससे	inventa
इससे	de
इससे	desde
प्रणाली	sistema
सरकारी	gubernamental
सरकारी	funcionaria
सरकारी	gobierno
सरकारी	oficial
सरकारी	funcionario
जहां	dónde
जहां	adonde
जहां	donde
देशों	paises
देशों	países
जल	encogimiento
जल	agua
सूची	lista
सूची	listas
सूची	listado
रखा	mantenido
विचार	consideración
विचार	pensamiento
विचार	pensamientos
विचार	pensó
विचार	contraprestación
छोटे	poco
छोटे	pequeñas
छोटे	pequeño
छोटे	pequeña
छोटे	pequeños
छोटे	poquito
ऊपर	cima
ऊपर	arriba
ऊपर	supra
आधारित	basada
आधारित	basado
पानी	agua
सामान्य	generales
सामान्य	frecuentes
सामान्य	común
सामान्य	generalidades
सामान्य	frecuente
सामान्य	normalidad
सामान्य	comunes
सामान्य	normales
आगे	adelante
आगे	delanteras
आगे	delanteros
आगे	delantero
कुल	agregada
कुल	agregados
कुल	agregado
कुल	totales
एक्स्प्रेस	expresar
एक्स्प्रेस	expresa
एक्स्प्रेस	expresas
एक्स्प्रेस	expreso
एक्स्प्रेस	exprés
पुलिस	policía
पुलिस	policia
पुलिस	policías
वर्ग	cuadrada
वर्ग	clases
वर्ग	categoria
वर्ग	categoría
वर्ग	clase
वर्ग	cuadrado
वर्ग	plaza
शरीर	corporal
शरीर	carrocería
शरीर	cuerpo
शरीर	cadáver
अंग्रेजी	ingles
अंग्रेजी	espanol
अंग्रेजी	inglés
माध्यम	mediano
माध्यम	medio
माध्यम	mediana
माध्यम	médium
माध्यम	medianas
मानव	humanos
मानव	humana
मानव	humanas
मानव	humano
पाकिस्तान	pakistán
भूमिका	introducción
भूमिका	rol
हर	cada
अतिरिक्त	adicional
अतिरिक्त	extra
अतिरिक्त	adicionales
अतिरिक्त	sobra
अतिरिक्त	repuesto
पिता	padre
समाज	sociedad
उत्पन्न	generadas
उत्पन्न	generados
उत्पन्न	generado
उत्पन्न	generada
नीचे	debajo
नीचे	inferior
नीचे	abajo
दुनिया	mundial
दुनिया	mundo
आधुनिक	modernos
आधुनिक	moderna
आधुनिक	modernas
आधुनिक	moderno
ध्यान	meditación
ध्यान	meditar
ध्यान	atencion
ध्यान	atención
दे	dar
सभा	reuniendo
सभा	congregación
सभा	reunión
सभा	asamblea
सभा	montaje
सभा	ensamblaje
सभा	recolección
परिवार	familiar
परिवार	familiares
परिवार	familia
परिवार	famila
विषय	materias
विषय	sujeto
विषय	sujetos
विषय	asignaturas
विषय	súbditos
विषय	tópico
विषय	tópicos
विषय	súbdito
विषय	asignatura
विषय	tema
विषय	temáticas
विषय	asunto
विषय	temas
अधिकार	derechos
रंग	colorantes
रंग	colores
रंग	color
बाहर	afuera
बाहर	exterior
बाहर	fuera
बाहर	renunciar
बाहर	exteriores
खेल	deportes
खेल	deporte
खेल	juegue
खेल	juego
खेल	juegos
खेल	juega
खेल	jugar
खेल	deportivo
खेल	reproducir
क्षेत्रों	zonas
क्षेत्रों	áreas
जहाँ	dónde
जहाँ	adonde
जहाँ	donde
समान	homogéneo
समान	homogéneos
समान	similares
समान	homogéneas
समान	igual
समान	parecidos
समान	homogénea
समान	parecido
समान	mismo
समान	misma
सितंबर	septiembre
सितंबर	setiembre
दूर	lejana
दूर	lejano
दूर	lejos
दूर	distantes
दूर	lejanos
दूर	distante
पता	direcciones
पता	domicilios
पता	dirección
पता	domicilio
पता	direccion
शक्ति	potencia
शक्ति	fortaleza
शक्ति	fuerza
शक्ति	poder
ब्रिटिश	británicos
ब्रिटिश	británico
ब्रिटिश	británica
कला	artes
कला	arte
देते	mentalidades
घर	casita
घर	inicio
घर	hogar
घर	casa
संस्कृत	sánscrito
प्रकाशित	publicado
प्रकाशित	publicados
प्रकाशित	publicar
प्रकाशित	publicadas
प्रकाशित	publicada
प्रकाशित	publique
प्रकाशित	publico
मई	mayo
प्रक्रिया	procesa
प्रक्रिया	procesar
प्रक्रिया	procesos
प्रक्रिया	procedimiento
प्रक्रिया	proceso
सेना	armada
सेना	ejercito
सेना	ejércitos
सेना	ejército
पार्टी	fiesta
पार्टी	parte
पार्टी	festejando
पार्टी	partido
हम	zumbido
रेलवे	ferroviarios
रेलवे	ferroviario
रेलवे	ferrocarriles
रेलवे	ferrocarril
पश्चिम	occidental
पश्चिम	oeste
पश्चिम	occidente
अंत	final
अंत	fin
दशक	decenio
दशक	década
पूरी	enteras
पूरी	entera
पूरी	enteros
पूरी	entero
बिना	sin
क्या	qué
अगस्त	agosto
अगस्त	ago
विकसित	evolucionado
विकसित	desarrollado
विकसित	desarrollados
विकसित	desarrolladas
विकसित	evolucionó
विकसित	evolucionaron
विकसित	desarrollada
संबंध	vinculación
संबंध	relación
संबंध	parentesco
संबंध	relaciones
संबंध	unión
संबंध	relacion
प्रदर्शन	mostrar
प्रदर्शन	pantalla
प्रदर्शन	actuaciones
प्रदर्शन	desempeño
प्रदर्शन	visualización
प्रदर्शन	representaciones
प्रदर्शन	exposición
प्रदर्शन	rendimiento
प्रदर्शन	actuación
ऐसी	tales
ऐसी	tal
मार्ग	ruta
मार्ग	manera
मार्ग	camino
पर्यटन	turismo
ज्ञान	conocimientos
ज्ञान	conocimiento
लगा	parecieron
लगा	fieltro
लगा	pareció
लगा	sentí
लगा	parecía
दिसम्बर	dic
दिसम्बर	diciembre
प्रदर्शित	mostrar
प्रदर्शित	pantalla
प्रदर्शित	destacada
प्रदर्शित	destacado
प्रदर्शित	mostrados
प्रदर्शित	visualización
प्रदर्शित	destacadas
प्रदर्शित	mostrado
प्रदर्शित	destacados
प्रदर्शित	exhibido
अक्सर	frecuente
अक्सर	frecuentes
अक्सर	frecuentemente
अक्सर	menudo
सहायता	ayuda
सहायता	ayudar
सहायता	apoyo
सहायता	asistencia
सहायता	soporte
सहायता	ayudas
पहला	primeros
पहला	primeras
पहला	primero
पहला	primera
पहला	primer
मृत्यु	fallecimiento
मृत्यु	defunción
मृत्यु	muerte
मृत्यु	mortalidad
स्वयं	propio
स्वयं	propias
स्वयं	propia
स्वयं	propios
स्वयं	auto
तैयार	lista
तैयार	preparados
तैयार	listas
तैयार	listo
तैयार	listos
आवश्यक	requerida
आवश्यक	urge
आवश्यक	exigido
आवश्यक	urgente
आवश्यक	requeridos
आवश्यक	urgentes
आवश्यक	requerido
आवश्यक	urgencia
देखा	vio
देखा	observados
देखा	vieron
देखा	miré
देखा	vigilado
देखा	vi
देखा	miraba
देखा	observado
देखा	visto
उत्पादन	producción
उत्पादन	produccion
रोग	enfermedad
संबंधित	afines
संबंधित	respectiva
संबंधित	conexo
संबंधित	conexas
संबंधित	respectivas
संबंधित	respectivo
संबंधित	relacionado
संबंधित	relacionada
संबंधित	respectivos
शताब्दी	siglo
चीन	vajilla
चीन	porcelana
अभी	ahora
संघ	uniones
संघ	asociación
संघ	sindicatos
संघ	unión
संघ	sindicato
संघ	federación
यात्रा	viaje
यात्रा	viajar
यात्रा	trayecto
यात्रा	travesía
यात्रा	viajes
मात्रा	importe
मात्रा	cantidad
मात्रा	monto
रचना	composición
रचना	creación
जगह	espaciales
जगह	espacial
जगह	lugar
जगह	espacio
भिन्न	distinta
भिन्न	fracción
भिन्न	distintos
भिन्न	discreta
भिन्न	diferente
भिन्न	distinto
भिन्न	discreto
भिन्न	diferentes
भिन्न	discretas
भिन्न	discretos
लोक	públicas
लोक	público
लोक	publico
लोक	públicos
सब	prs
सब	todo
सब	todas
सब	todos
पूरा	lleno
पूरा	terminado
पूरा	completados
पूरा	plena
पूरा	entera
पूरा	completar
पूरा	enteras
पूरा	completado
पूरा	completadas
पूरा	completas
पूरा	enteros
पूरा	completada
पूरा	completa
पूरा	llena
पूरा	finalizado
पूरा	completo
पूरा	entero
आवश्यकता	requiere
आवश्यकता	requisito
आवश्यकता	exigir
आवश्यकता	requerir
आवश्यकता	requieren
प्रकाश	ligera
प्रकाश	luces
प्रकाश	luz
प्रकाश	ligero
नई	nuevas
नई	nueva
नई	nuevo
नई	novedades
नई	novedad
नई	nuevos
चिकित्सा	médicas
चिकित्सा	médicos
चिकित्सा	terapia
चिकित्सा	médico
चिकित्सा	medico
चिकित्सा	medicina
दूसरी	segundos
दूसरी	segunda
दूसरी	segundas
दूसरी	segundo
कार्यक्रम	evento
कार्यक्रम	acontecimientos
कार्यक्रम	programas
कार्यक्रम	programar
कार्यक्रम	eventos
कार्यक्रम	acontecimiento
कार्यक्रम	programa
पुराने	mayores
पुराने	viejo
पुराने	vieja
पुराने	antigua
पुराने	viejos
पुराने	antiguo
सदी	siglo
भगवान	señor
भगवान	dios
लिखा	escrita
लिखा	escribió
लिखा	escritas
लिखा	escribí
लिखा	escrito
लिखा	escribía
लिखा	escritos
संस्थान	instituto
संस्थान	institutos
संस्कृति	cultivo
संस्कृति	cultura
अंग्रेज़ी	ingles
अंग्रेज़ी	espanol
अंग्रेज़ी	inglés
पूर्ण	perfecto
पूर्ण	perfectos
पूर्ण	completada
पूर्ण	finalizado
पूर्ण	completados
पूर्ण	plena
पूर्ण	completar
पूर्ण	terminado
पूर्ण	completado
पूर्ण	completadas
पूर्ण	perfectas
पूर्ण	completas
पूर्ण	llena
पूर्ण	completa
पूर्ण	perfecta
पूर्ण	lleno
पूर्ण	completo
परिवर्तन	transformaciones
परिवर्तन	variación
परिवर्तन	conversión
परिवर्तन	cambia
परिवर्तन	modificaciones
परिवर्तन	reconversión
परिवर्तन	cambiar
परिवर्तन	transición
परिवर्तन	cambios
परिवर्तन	transformación
परिवर्तन	cambio
टीम	equipos
टीम	equipo
चर्चा	discusiones
चर्चा	discusión
चर्चा	debate
संगठन	organización
संगठन	organizacion
संगठन	organizaciones
शैली	estilo
तुलना	comparaciones
तुलना	comparación
स्कूल	colegios
स्कूल	escuela
स्कूल	escuelas
स्कूल	colegio
पुस्तक	libro
लेखक	escritora
लेखक	escritor
लेखक	guionistas
लेखक	redactores
लेखक	autora
लेखक	escritores
लेखक	autor
लेखक	autores
संस्करण	versiones
संस्करण	edición
संस्करण	ediciones
संस्करण	versión
खिलाड़ी	atleta
खिलाड़ी	jugador
खिलाड़ी	reproductores
खिलाड़ी	jugadores
खिलाड़ी	jugadora
खिलाड़ी	reproductor
खिलाड़ी	deportista
ट्रेन	trenes
ट्रेन	entrenar
ट्रेन	tren
ट्रेन	entreno
प्रचलित	imperante
प्रचलित	prevaleciente
आकार	formas
आकार	talla
आकार	tallas
आकार	tamaño
आकार	tamaños
आकार	forma
उत्तरी	norte
उत्तरी	septentrional
उत्तरी	norteña
सीमा	fronteriza
सीमा	frontera
सीमा	borde
सीमा	limite
सीमा	limites
सीमा	intervalo
सीमा	gama
सीमा	limitar
सीमा	cordillera
सीमा	límites
सीमा	fronterizo
सीमा	alcance
सीमा	límite
सीमा	fronteras
सीमा	rango
पश्चिमी	occidental
पश्चिमी	occidentales
पश्चिमी	oeste
पश्चिमी	occidente
व्यवस्था	acuerdo
व्यवस्था	arreglos
व्यवस्था	arreglo
आर्थिक	económicas
आर्थिक	económico
आर्थिक	económicos
आर्थिक	económica
आर्थिक	economico
राजधानी	mayúsculas
राजधानी	capitales
दर्शन	filosofía
दर्शन	visión
वहाँ	allí
वहाँ	ahí
वहाँ	ahi
विधि	métodos
विधि	derecho
विधि	ley
विधि	legislación
विधि	leyes
विधि	modalidad
विधि	modo
विधि	método
अवधि	duración
अवधि	período
अवधि	periodos
अवधि	períodos
अवधि	periodo
दृष्टि	visuales
दृष्टि	visión
सिद्धांत	teoria
सिद्धांत	principios
सिद्धांत	teoría
कलाकार	artistas
कलाकार	artista
बैंक	bancos
बैंक	banco
बैंक	banca
ज्यादा	mas
ज्यादा	más
अंतिम	último
अंतिम	definitivo
अंतिम	finales
अंतिम	últimos
अंतिम	última
विशिष्ट	distinguido
विशिष्ट	especifico
विशिष्ट	específicas
विशिष्ट	distinguida
विशिष्ट	específica
विशिष्ट	específicos
विशिष्ट	distinguidos
विशिष्ट	específico
हिन्दू	hindúes
हिन्दू	hindú
लाल	roja
लाल	rojos
लाल	rojas
लाल	rojo
रहने	quedarse
पूर्वी	oriente
पूर्वी	orientales
पूर्वी	este
पूर्वी	oriental
समर्थन	aval
समर्थन	apoyo
समर्थन	anotaciones
समर्थन	soporte
समर्थन	apoyos
समर्थन	respaldo
व्यापार	intercambios
व्यापार	comerciar
व्यापार	negocios
व्यापार	comercio
व्यापार	empresa
व्यापार	negocio
प्रयास	intentos
प्रयास	tentativas
प्रयास	esfuerzo
महिला	hembra
महिला	dama
महिला	femenino
महिला	hembras
महिला	señora
