から	출신
公開	게시
公開	발행
公開	출판
公開	공중
北海道	홋카이도
北海道	도오
最終	마지막
最終	파이널
最終	기말고사
最終	결승전
最終	라스트
アニメ	애니메이션
確認	확인하기
確認	확인
一般	장군
一般	일반인
一般	일반
歴史	역사
歴史	기록
歴史	히스토리
歴史	내역
選挙	선거
計画	예정된
計画	기획
計画	플랜
計画	계획
計画	플래닝
経済	경제
ページ	페이지
教授	교수
教授	교수님
ラジオ	라디오
ラジオ	라디오방송
劇場	연극
劇場	영화관
劇場	극장
グループ	집단
グループ	그룹
英語	영어
英語	잉글리시
女性	여자들
女性	여성
女性	여자
女性	여인
女性	암컷
獲得	적립
得点	점수
得点	득점
コメント	댓글
コメント	코멘트
漫画	만화가
漫画	코믹스
漫画	만화
他の	기타
就任	승천
廃止	폐지
廃止	폐지됨
販売	판매
販売	매출
販売	영업
攻撃	공격
サッカー	축구
議員	상원
議員	상원의원
全国	전국
デビュー	데뷔해
デビュー	데뷔
協会	협회
路線	노선
路線	경로
フジ	후지
戦争	전쟁
製作	제작
製作	생산
製作	프로덕션
部分	부품
部分	부분
部分	파트
高校	고등학교
番号	번호
番号	숫자
最初	우선
最初	처음
最初	퍼스트
最初	먼저
受賞	수상
受賞	어워드
期間	기간
期間	주기
期間	시대
広島	히로시마로
広島	히로시마
場所	장소
場所	위치
場所	음식점
技術	기술
海軍	해군
海軍	네이비
リンク	링크
合併	합병
道路	로드
道路	도로
特定	구체적
特定	지정
特定	구체
特定	특정
特定	지정됨
朝日	아사히
意味	의미
システム	체계
システム	시스템
モデル	모형
モデル	모델
列車	트레인
列車	기차
列車	열차
建設	건설
建設	공사
建設	건축
とき	언제
とき	언제쯤
最後	마지막
最後	라스트
科学	사이언스
科学	과학
理由	이유
そして	그리고
一つ	하나
最高	최고
最高	베스트
ブロック	차단
ブロック	블록
ブロック	블럭
車両	차량
自動車	차량
自動車	자동차
人口	인구
人口	인구순
特に	특히
営業	업체
営業	비즈니스
営業	사업
発生	발생
新聞	신문
連続	연속
連続	지속
連続	연속성
政府	정부
構成	설정
構成	합성
構成	구조물
構成	구조
構成	구성
構成	작곡
最大	최대
キャラクター	캐릭터
キャラクター	인물
キャラクター	문자
キャラクター	등장인물
キャラクター	성격
小説	소설
それぞれ	각각
機関	기관
機関	장기
参照	참고
参照	참조
メンバー	회원
メンバー	멤버
メンバー	구성원
メンバー	멤버들
発行	이슈
発行	문제
発行	발급
発行	발행
画像	사진
画像	그림
画像	이미지
状態	국가
状態	조건
状態	상태
名称	이름
ホーム	집에
ホーム	고향
ホーム	집으로
ホーム	가정
運行	작동
運行	작전
投稿	포스트
投稿	게시글
投稿	게시물
投稿	게시
投稿	포스팅
名前	이름
福岡	후쿠오카
施設	기관
施設	시설
調査	수사
調査	조사
調査	설문조사
製造	제조
イタリア	이탈리아
ロシア	러시아
ロシア	러시아어
ロシア	러시아인
独立	독립
独立	독립적
独立	독립기념일
独立	독립운동
物語	이야기
物語	스토리
物語	소식
神社	신사
企画	계획
企画	플래닝
企画	기획
名古屋	나고야
通常	일반적으로
通常	보통
企業	기업
企業	엔터프라이즈
航空	공기
航空	항공
航空	에어
スーパー	슈퍼
帝国	제국
帝国	엠파이어
影響	영향
影響	영향력
勝利	우승
勝利	승리
デザイン	설계
デザイン	디자인
本社	본부
本社	본사
人間	인간
人間	인간인
人間	인체
千葉	지바
千葉	치바
交通	교통수단
交通	운송
交通	교통량
交通	트래픽
交通	수송
交通	교통
組織	조직
組織	기구
組織	단체
構造	구조물
構造	구조
戦い	배틀
戦い	전투
実施	구현
ここ	여기에
ここ	여기
以前	전에
以前	이전
サービス	서비스
統合	통합
統合	병합
統合	합치기
テーマ	주제
テーマ	테마
面積	구역
面積	면적
面積	지역
面積	영역
エンジン	엔진
主演	출연
主演	주연
ビル	윌리엄
日本語	일본어
日本語	일본
日本語	일본인
契約	계약서
契約	계약
設定	환경설정
設定	설정
設定	구성
設定	설정하기
ライブ	라이브
ライブ	생방송
含む	포함됨
含む	포함
含む	포함함
専門	전문
専門	전문성
機能	기능
機能	함수
機能	특징
身長	높이
身長	키는
所在地	위치
完成	완성
表記	표기
表記	표기법
運転	운전
運転	드라이빙
写真	사진
写真	사진술
写真	그림
関連	관련성
関連	관련
書店	서점
高い	비싸다
高い	비싼
高い	하이
高い	높음
生産	제작
生産	생산
生産	프로덕션
横浜	요코하마
宇宙	우주
管理	경영
管理	관리하기
管理	관리
公園	파크
公園	파크스
公園	공원
スポーツ	스포츠
脚本	문자
脚本	스크립트
目的	목표
目的	목적
生活	생명
生活	생활
生活	라이프
生活	인생
カード	카드
基本	베이직
基本	기초
基本	기본
新潟	니가타
女優	여배우
女優	여배우들
女優	배우
タイトル	제목
タイトル	타이틀
政治	정치
政治	정치학
電気	전력
電気	전기
警察	경찰관
警察	경찰
作成	생성
作成	만드세요
作成	만들기
作成	만들었습니다
作成	만듭니다
作成	창조
予定	계획
予定	예정된
スター	항성
経営	경영
経営	관리
自由	리버티
自由	무료
自由	자유
自由	프리덤
過去	과거
陸軍	군대
陸軍	육군
運営	작동
運営	작전
愛知	아이치
表示	조회
表示	보기
社長	대통령
社長	회장
団体	조직
団体	기구
団体	단체
工業	공업
工業	산업
通り	길거리
通り	거리가
通り	스트리트
通り	거리
外部	외부
通信	통신
通信	의사소통
通信	커뮤니케이션스
通信	커뮤니케이션
通信	소통
俳優	여배우
俳優	배우
スペシャル	특별
スペシャル	스페셜
スペシャル	특수
スペシャル	특별한
少年	소년
少年	보이
少年	남자아이
病院	병원
結婚	혼인
結婚	결혼
個人	개인
個人	개별
個人	개인적
個人	개인적인
個人	개인용
区間	간격
区間	구간
銀行	뱅킹
銀行	뱅크
銀行	은행
研究所	연구소
主に	주로
学園	학원
彼女	그녀는
彼女	그녀
ニュース	소식
ニュース	뉴스
その他	다른
その他	기타
ソフト	부드러워
ソフト	청량
ソフト	부드럽게
ソフト	소프트
ソフト	부드러운
文学	문학
能力	능력
能力	능력자
なし	없음
学者	학자
国内	국내
空港	공항
空港	국제공항
ヨーク	요크
高速	빨라
高速	빠름
高速	빠르다
言語	언어
設計	설계
設計	디자인
韓国	코리아
韓国	한국
リリース	릴리스
リリース	릴리즈
リリース	개봉
リリース	출시
リリース	발매
ベスト	조끼
ベスト	최고
ベスト	베스트
現代	현대
会議	콘퍼런스
会議	회담
会議	회의
会議	미팅
会議	모임
会議	만남
バンド	밴드
追加	추가하기
追加	추가
成功	성공적
成功	성공
成功	성공적인
成功	성공함
移動	이사
移動	이동
移動	움직임
移動	움직여
オリンピック	올림픽
国民	네이션
国民	내셔널
国民	국립
国民	국민
ファン	팬들
すべて	전체
すべて	모두
山口	야마구치
運動	운동
運動	움직임
環境	환경
発足	취임식
競技	경쟁
会長	회장님
会長	회장
ヨーロッパ	유럽
紹介	도입
紹介	소개팅
紹介	소개
形式	형태
形式	양식
形式	형식
工場	공장
工場	팩토리
相手	상대편
相手	상대
相手	상대성
戦闘	배틀
戦闘	컴뱃
戦闘	전투
労働	노동
事務所	사무실
事務所	사무소
事務所	오피스
限定	제한된
限定	한정
データ	자료
データ	데이터
作戦	작동
作戦	작전
オリジナル	오리지널
オリジナル	독창
オリジナル	독창성
オリジナル	원본
可能性	가능한
可能性	가능
可能性	가능성
種類	타입
種類	유형
種類	형식
種類	종류
文字	캐릭터
文字	인물
文字	문자
文字	등장인물
文字	성격
大統領	대통령
大統領	회장
協力	협력
指導	복음
判断	심판
判断	판단력
判断	판결
判断	판단
連邦	연맹
連邦	연방
共和国	공화국
引退	퇴직
引退	은퇴
部門	부서
産業	산업
産業	업계
決勝	기말고사
決勝	파이널
決勝	결승전
プロデューサー	프로듀서
プロデューサー	제작자
系統	리니지
誕生	탄생
誕生	출생
誕生	출산
指揮	커맨드
指揮	명령
指揮	명령어
指揮	지휘
指揮	사령부
レース	인종
レース	경주
レース	레이싱
レース	레이스
レース	경쟁
静岡	시즈오카
郵便	우편
郵便	편지
郵便	메일
岡山	오카야마
埼玉	사이타마
項目	항목
ラン	실행
ラン	런닝
ラン	달려
ラン	달리기
レイ	레이
移転	전송
ほぼ	거의
交差点	교차점
交差点	교차로
交差点	교차
イベント	이벤트
イベント	행사
異なる	다르다
異なる	달라
異なる	다름
神戸	고베
出典	소스
出典	출처
出典	원본
関西	간사이
ほとんど	거의
行動	동작
行動	행위
行動	행동
重要	중요하다
重要	중요
プロジェクト	프로젝트
九州	큐슈
九州	규슈
電車	트레인
電車	기차
電車	열차
建築	아키텍처
建築	건축학
建築	건축
クラス	수업
クラス	계급
クラス	클래스
クラス	학급
導入	도입
導入	소개팅
導入	소개
アジア	아시아
全体	전체적으로
全体	전반
全体	전반적으로
タイ	타이
タイ	태극권
タイ	태국
普通	정상
普通	정규
普通	보통
普通	평범
一人	하나
長野	나가노
舞台	스테이지
舞台	무대
舞台	단계
スペイン	스페인
スペイン	스페인인
意見	의견
再び	또다시
再び	다시
発見	찾기
発見	찾아보기
発見	디스커버리
発見	발견
鈴木	스즈키
ローマ	로만
ローマ	로마
保護	보호
保護	보호하기
少女	소녀
試験	시험
試験	검사
多数	많은
反対	반대로
反対	반대편
反対	반대
作家	작가
作家	제작자
作家	저자
作家	작성자
地球	대지
地球	지구
方法	방법
方法	메서드
方法	수단
方法	메소드
特徴	기능
特徴	특징
特徴	특성
ベース	베이스
ベース	배스
ベース	기지
男性	남성
男性	멘트
男性	사람
男性	수컷
男性	남자
ケース	사례
ケース	대소문자
ケース	케이스
子供	아이유
子供	키즈
子供	아이들
子供	어린이들
子供	자녀
子供	어린이
子供	애들
子供	아동
以来	언제부터
以来	이후
以来	이후부터
福島	후쿠시마
大臣	장관
オープン	열기
オープン	오픈
コーナー	구석
コーナー	코너
コーナー	모퉁이
取締役	디렉터
取締役	감독
人気	인기가
人気	인기가요
人気	인기
評価	평점
評価	비율
評価	평가하기
評価	별점
評価	평가
説明	묘사
説明	설명하기
説明	설명해
説明	설명
説明	설명해주세요
装備	장비
ドル	달러
投票	투표
雑誌	매거진
雑誌	잡지
熊本	구마모토
グランド	그랜드
学科	부서
専用	헌신
登録	등록
登録	레지스터
登録	가입
佐藤	사토
田中	타나카
田中	다나카
ステージ	스테이지
ステージ	무대
ステージ	단계
沖縄	오키나와
ゲスト	참석자
ゲスト	손님들
ゲスト	게스트
ゲスト	게스트로
ゲスト	손님
学生	유학생
学生	학생
学生	학생들
言葉	워드
言葉	단어
教会	교회
内閣	내각
整備	정비
整備	점검
整備	유지보수
主張	주장
主張	혐의
主張	표명
ロック	바위
ロック	잠금
ロック	자물쇠
事故	사고
事故	교통사고
分類	분류
分類	분류법
分類	카테고리
分類	카테고리가
分類	분류학
分類	범주
状況	상황
状況	상황이
中村	나카무라
家族	패밀리
家族	가족과
家族	가족
距離	거리
表現	표현식
表現	표현
仙台	센다이
ホール	구멍이
ホール	구멍
体重	몸무게가
体重	무게
体重	몸무게
体重	체중
血液	피피
血液	혈액
血液	블러드
同意	승낙
同意	합의
同意	동의
由来	출처
平均	평균
事実	팩트
事実	사실
店舗	매장
店舗	상점
店舗	스토어
店舗	가게
カテゴリ	분류
カテゴリ	범주
カテゴリ	카테고리
カテゴリ	카테고리가
メートル	미터
芸術	미술
芸術	아트
芸術	예술
主人公	주인공
複数	다중
複数	복수
複数	복수형
観光	관광
観光	관광객
取得	주장
取得	가져오기
王国	킹덤
王国	왕국
電話	전화기
電話	전화
刑事	형사
刑事	탐정
レコード	기록
レコード	레코드
レコード	녹음
レコード	녹화
秋田	아키타
トップ	인기
付近	근처
輸送	교통수단
輸送	수송
輸送	운송
輸送	교통
岐阜	기후
飛行	항공편
飛行	비행
長崎	나가사키
メイン	메인
ロード	로드
ロード	로딩
札幌	삿포로
ワールド	세상
ワールド	월드
ワールド	세계
美術	미술
美術	아트
美術	예술
息子	아들
息子	아들들
制度	기관
ツアー	투르
ツアー	여행
ツアー	투어
ツアー	둘러보기
ツアー	구경
ツアー	관광
スタジオ	스튜디오스
スタジオ	스튜디오
市民	시민들
市民	시민
市民	시티즌
市民	시민권
松本	마츠모토
松本	마쓰모토
同じく	마찬가지로
自然	자연
自然	천연
マイル	마일즈
マイル	마일
マイル	마일리지
マイル	마일스
マイル	마일리
組合	협회
生徒	유학생
生徒	학생들
生徒	눈동자
生徒	학생
生徒	동공
ギター	기타
コース	코스
コース	강좌
コース	과정
防衛	방위
防衛	방어
防衛	국방
防衛	디펜스
鹿児島	가고시마
変化	바뀌기
変化	바꾸기
変化	변경
変化	변화
タイプ	타입
タイプ	유형
タイプ	형식
タイプ	종류
議会	국민의회
議会	의회
議会	국회
石川	이시카와
パリ	파리
南部	남방
南部	남부
経験	경험
経験	체험
延長	확대
延長	연장
延長	확장
延長	확장자
ランド	육지
ランド	랜드
条件	조건부
条件	조건
条件	기준
伝説	레전드
伝説	전설
ロンドン	런던
本部	본부
本部	본사
フリー	무료
フリー	자유
競走	인종
競走	경주
競走	레이싱
競走	레이스
競走	경쟁
高橋	다카하시
高橋	타카하시
デジタル	디지털
山田	야마다
台湾	타이완
台湾	대만
ポジション	포지션
ポジション	위치
ポジション	입장
ポジション	직위
インド	인디아
インド	인도
吉田	요시다
東海	도카이
名誉	명예
名誉	영광
ソング	노래
ソング	송송
ライン	라인
履歴	역사
履歴	기록
履歴	히스토리
履歴	내역
方向	오리엔테이션
方向	방향
方向	지향
法律	법학
法律	법률
法律	법칙
提案	추천
提案	제안
シティ	도시
シティ	시티
効果	영향
効果	효과
ミュージック	음악
ミュージック	뮤직
ヶ月	개월
毎日	일상
毎日	매일
解説	설명
解説	묘사
レギュラー	정규
レギュラー	보통
職業	직업
職業	점령
職業	욥기
製品	상품
製品	제품
太郎	타로
速度	속력
速度	스피드
速度	속도
改正	리비전
近く	근처
電子	전자
徒歩	걷기
徒歩	산책
アイドル	아이돌
アイドル	아이돌이
更新	고침
更新	업데이트
更新	갱신
更新	새로고침
配信	배송
配信	배달
配信	게재
配信	방송
山本	야마모토
仕事	퇴근
仕事	욥기
仕事	직장
仕事	직업
仕事	작업
連盟	연맹
連盟	연방
政策	방침
政策	정책
政治家	정치인들
政治家	정치
政治家	정치인
政治家	정치가
メディア	중간
メディア	미디엄
メディア	미디어
図書館	라이브러리
図書館	도서관
ただ	그냥
ただ	단지
外国	외국인
艦隊	플리트
艦隊	함대
支配	판결
強い	스트롱
強い	강한
継承	상속
バージョン	버전
ポイント	포인트
ポイント	지점
ポイント	점수
温泉	온천
旅客	여객
旅客	승객
方針	방침
方針	정책
執筆	글쓰기
執筆	쓰기
タイム	타임
タイム	시간
基準	스탠더드
基準	표준
基準	기준
化学	화학
化学	화학물질
接続	연결하기
接続	연결
接続	커넥션
勝ち	승리
メーカー	제조사
メーカー	메이커
メーカー	제조업체
障害	장애
障害	장애인
ブル	황소
ホテル	호텔
仕様	규격
仕様	사양
将軍	장군
将軍	일반인
将軍	일반
奈良	나라
ビデオ	비디오
ビデオ	동영상
分割	스플리트
分割	스플릿
分割	분할
分割	나누기
商業	커머스
商業	상업용
商業	상용
商業	상거래
商業	상업
殺人	살인
殺人	치사
殺人	살인사건
殺人	살인죄
スタイル	스타일
スタイル	스타일스
リング	소환
リング	반지
リング	고리
リング	링링
報告	신고
報告	보고
報告	보고서
マーク	마르크
マーク	표시
マーク	마크
宣言	선포
宣言	선언
拡大	확대
伊藤	이토
ハイ	하이
ハイ	높음
提出	제출합니다
提出	제출
入学	입장료
入学	입학
入学	입구
支持	후원
支持	지원
支持	지지
復活	부활
地震	지진
地震	대지진
博物館	박물관
博物館	박물관과
週間	주일
週間	일주일
週間	매주
週間	주간
機構	메커니즘
定義	정의
定義	정의하기
天皇	황제
天皇	천황
日本人	일본어
日本人	일본
日本人	일본인
学部	교수
学部	학부
投手	투수
緯度	위도
カナダ	캐나다인
カナダ	캐나디안
カナダ	캐나다
性格	캐릭터
性格	인물
性格	문자
性格	개성
性格	인격
性格	성격
ユニット	단위
ユニット	유닛
ユニット	단위계
ピアノ	피아노
良い	좋다
即時	즉각
近い	가까워
レベル	레벨
レベル	수준
達成	달성
達成	성취
達成	업적
見る	조회
見る	보기
空間	공간
空間	스페이스
空間	우주
規定	조항
同一	동일함
同一	동일한
同一	동일
ライト	가벼움
ライト	가볍게
ライト	조명
ライト	가벼운
ライト	불빛
ライト	라이트
ヒット	히트
ヒット	조회수
大分	오이타
ブルー	블루
ブルー	청색
ブルー	파랑
ブルー	푸른
ブルー	파란색
ブルー	푸른색
流れ	플로
流れ	플로우
流れ	흐름
ガス	가스
作業	퇴근
作業	직장
作業	작업
作業	일하기
貨物	물품
貨物	운송
貨物	화물
貨物	상품
市場	마켓
市場	시장
青森	아오모리
経度	경도
徳島	도쿠시마
通算	평생
サイズ	크기
サイズ	사이즈
サイズ	차원
翻訳	번역자
翻訳	번역중
翻訳	번역기
翻訳	번역하기
翻訳	번역
配置	정렬
配置	선형
配置	편곡
配置	배치
配置	배포
新宿	신주쿠
コード	코드
コード	부호
米国	미국
そこ	거기
そこ	거기에
安全	무사히
安全	안전성
安全	안전한
安全	안전
番目	세번째
番目	두번째
番目	둘째
番目	셋째
被害	피해
被害	손상
被害	손해
侵害	침해
商品	물품
商品	상품
商品	제품
詳細	자세히
詳細	세부사항
備考	발언
備考	노트
単位	단위
単位	유닛
単位	단위계
加藤	카토
渡辺	와타나베
機械	머신
機械	기계
地元	현지
地元	로컬
地元	지역주민
地元	국소
出版社	출판
出版社	출판사
出版社	퍼블리셔
革命	혁명
革命	레볼루션
革命	레벌루션
増加	증가
軌道	궤도
農業	농업
農業	농장
農業	농지
農業	농사
北部	북부
条約	조약
土曜	토요일
理論	이론
オーストラリア	오스트레일리아
オーストラリア	오스트레일리아의
欧州	유럽
成長	증가
成長	성장
成長	자라고
賛成	동의
海外	해외로
海外	해외
生物	생명체
生物	생물
生物	생물학
感じ	느낌
理解	이해
理解	이해하기
戦士	워리어
戦士	워리어스
戦士	전사
ジャンル	장르
実験	실험
出力	출력
師団	디비전
師団	사단
主催	호스팅
主催	주최
主催	호스트
統一	통일
統一	단결
統一	유니티
料理	푸드
料理	음식
料理	요리
料理	식품
料理	식량
ブランド	브랜드
首都	자본주의
首都	수도
首都	캐피털
首都	자본
首都	캐피탈
報道	저널리즘
破壊	골절
破壊	파괴
スタジアム	스타디움
スタジアム	경기장
停止	멈추기
停止	중단
停止	정지
停止	중지
土地	육지
土地	랜드
解散	해산
捜査	수사
捜査	조사
兄弟	브라더스
兄弟	형제들
兄弟	형제
兄弟	오빠
兄弟	아우
メジャー	전공
メジャー	메이저
イメージ	그림
イメージ	이미지
違い	차이와
違い	차이
違い	차이점
軍事	군사
創設	창립
ハン	한한
カラー	컬러
カラー	색상
カラー	색깔
チャンネル	채널
ドラフト	초안
ドラフト	임시
ドラフト	드래프트
川崎	카와사키
川崎	가와사키
西部	서부
西部	웨스트
西部	서쪽
オランダ	네덜란드령
オランダ	네덜란드인
オランダ	네덜란드
オランダ	홀랜드
セット	설정
セット	세트
セット	집합
動物	애니멀
動物	동물학
動物	동물들
動物	동물
住民	상주
住民	레지던트
住民	주민들
住民	주민
資本	자본주의
資本	수도
資本	캐피털
資本	자본
資本	캐피탈
福井	후쿠이
テンプレート	템플릿
あなた	당신은
あなた	당신
あなた	귀하
選択	선택
選択	선택하기
ジョージ	죠지
ジョージ	조지
失敗	고장
失敗	실패
標準	표준
標準	스탠더드
ワン	하나
清水	시미즈
購入	구매
購入	구입
購入	구매하기
購入	사기
終点	종착역
終点	종착
タレント	연예인
タレント	탤런트
タレント	엔터테이너
タレント	재능
リア	리어
リア	리아
階級	수업
階級	계급
階級	클래스
階級	학급
レッド	붉은색
レッド	붉은
レッド	레드
レッド	빨간색
レッド	빨강
市長	시장
コーチ	코치
建物	빌딩
建物	건물들
建物	건축물
建物	건축
建物	건물
ジュニア	주니어
候補	후보자
候補	후보
朝鮮	코리아
朝鮮	한국
自動	자동
モード	모드
皇帝	황제
皇帝	천황
認定	인식
認定	자격증
分離	분리
挑戦	도전
挑戦	챌린지
改革	개혁
改革	개혁개방
集団	집단
集団	그룹
魔法	매직
魔法	마법
魔法	마술
修正	고쳐
修正	고치
修正	교정
修正	고치기
修正	보정
継続	계속
地下鉄	언더그라운드
地下鉄	지하철
地下鉄	지하
地下鉄	메트로
井上	이노우에
ブログ	블로그
部屋	객실
既に	이미
既に	벌써
トラック	트럭
トラック	추적
トラック	트랙
東部	동방
東部	동부
東部	이스트
東部	동쪽
美術館	박물관
美術館	박물관과
合計	합계
合計	총액
合計	전체
古代	고대
エンディング	결론
エンディング	엔딩
ユーザー	사용자
父親	아버지
バック	벅스
批判	평론
批判	비평
批判	비판
原因	원인
植物	식물학
植物	공장
植物	식물
ショー	보이기
ショー	표시
ショー	공연
ボーカル	보컬
コミック	코믹
コミック	만화가
コミック	코믹스
コミック	만화
毎週	주간
毎週	매주
エネルギー	에너지
ルール	규칙
ルール	법칙
未来	미래
未来	퓨처
移行	이전
ユース	청년
ユース	청춘
ユース	청소년
ユース	젊음
三菱	미쓰비시
週刊	주간
週刊	매주
乗車	탑승
まだ	아직도
まだ	여전히
ランキング	랭킹
ランキング	순위
ダイ	다이족
ダイ	다이
処理	처리
処理	프로세싱
年齢	연령
年齢	나이
年齢	나이에
エリア	구역
エリア	면적
エリア	지역
エリア	영역
形態	양식
形態	형태학
形態	형태론
派遣	디스패치
ポーランド	폴란드
作曲家	작곡가
精神	정신
精神	스피릿
日付	날짜
日付	데이트
スタート	시작하기
スタート	시작
範囲	스코프
範囲	범위
宣伝	홍보하기
宣伝	홍보
宣伝	프로모션
宣伝	승진
哲学	철학
財団	파운데이션
財団	재단
反応	반응
反応	공감
教師	교사
教師	스승
教師	교사들
教師	선생님
宗教	종교
武器	무기
住宅	숙소
住宅	주택
保存	저장하기
保存	저장
保存	절약
保存	보존
辞典	사전
機関車	기관차
緊急	응급
緊急	비상사태
緊急	긴급한
緊急	긴급
緊急	급한
地下	언더그라운드
地下	지하도
地下	지하
連隊	연대
ウィキペディア	위키백과의
ウィキペディア	위키백과
ストーリー	이야기
ストーリー	스토리
ストーリー	소식
太陽	태양
太陽	햇볕
交換	교환
保険	보험
制限	극한
制限	제한
制限	한계
キー	열쇠
キー	키키
栃木	도치기
責任	책임감
責任	책임
児童	아이유
フル	가득
急行	익스프레스
電力	전력
電力	전기
医学	의료
医学	의학
所有	소유
ブラック	검정색
ブラック	블랙
ブラック	검은색
ブラック	검정
サー	선생님
シーン	현장
シーン	장면
憲法	헌법
支店	지점
支店	분기
鳥取	돗토리
管理者	운영자
管理者	관리자
略称	약자
略称	약어
オープニング	개봉
オープニング	오프닝
田村	다무라
田村	타무라
カリフォルニア	캘리포니아
タウン	도시
タウン	시내
タウン	타운
タウン	마을
カバー	덮개
カバー	표지
カバー	커버
コンピュータ	컴퓨터
取引	트레이딩
取引	무역
取引	트레이드
取引	거래
取引	트랜잭션
禁止	금지
禁止	금주법
統計	통계학
統計	통계
強化	강화
パン	냄비
物理	물리적
物理	물리
インターネット	인터넷
管轄	관할권
パーク	파크
パーク	공원
アフリカ	아프리카
先生	교사
先生	스승
先生	닥터
先生	선생님
訓練	훈련
訓練	트레이닝
ハウス	하우스
展示	전시관
展示	전시
展示	전람회
展示	전시회
展示	박람회
月刊	매달
月刊	매월
月刊	월간
検索	찾기
検索	검색하기
検索	검색
池田	이케다
ポール	파울
ポール	바울
ポール	파울로스
ポール	파울로
会員	회원
会員	멤버
会員	멤버십
リスト	리스트
リスト	목록
リスト	명단
トンネル	터널
チャート	차트
内部	내부
内部	인테리어
グリーン	초록
グリーン	녹색
グリーン	초록색
グリーン	그린
竣工	완성
カール	왜곡
戦車	탱크
戦車	전차
スキー	스키
愛称	닉네임
愛称	별명
消滅	대멸종
消滅	대량절멸
消滅	멸종
再開	이력서
再開	재개
ミニ	미니
機器	장비
機器	기기
機器	장치
機器	디바이스
機器	단말기
プロダクション	제작
プロダクション	생산
プロダクション	프로덕션
スタッフ	스탭
スタッフ	직원들
スタッフ	직원
いくつか	일부
プログラム	프로그램
アカデミー	아카데미아
アカデミー	아카데미
司会	발표자
合意	합의
合意	동의
合意	협정
二人	두두
二人	두분
改善	개선
改善	향상
改善	개선하기
文書	문서
文書	문서로
世代	세대
