और	и
देश	страна
देश	нации
वेबसाइट	вебсайт
वेबसाइट	сайт
अलग	отдельный
अलग	отдельная
अलग	отделить
अलग	разные
अलग	различных
अलग	отдельное
अलग	разделены
विशेष	специальный
विशेष	специального
विशेष	исключительной
विशेष	специальные
विशेष	специальное
विशेष	эксклюзивный
विशेष	особая
विशेष	специальная
विशेष	эксклюзивные
दी	дала
दी	отдал
दी	дал
दी	учитывая
पृष्ठ	страница
पृष्ठ	страницы
पृष्ठ	страниц
पृष्ठ	страницу
माना	мана
माना	предположительно
माना	рассмотрел
शब्द	слов
शब्द	слово
शब्द	слова
फिर	затем
फिर	тогда
फिर	потом
तीन	трое
तीन	три
पुरस्कार	награду
पुरस्कार	вознаграждение
पुरस्कार	приз
पुरस्कार	премия
पुरस्कार	награда
पुरस्कार	награды
पुरस्कार	призы
लेख	диссертации
लेख	тезис
लेख	изделия
लेख	статей
लेख	статьи
लेख	статья
अब	теперь
अब	сейчас
अमेरिका	америка
मंदिर	храм
दक्षिण	южный
दक्षिण	южной
दक्षिण	южная
दक्षिण	юг
विभिन्न	различные
विभिन्न	прочее
विभिन्न	разное
विभिन्न	различных
इतिहास	история
इतिहास	истории
लिया	принятых
लिया	взяты
लिया	принято
फ़िल्म	фильм
फ़िल्म	кино
पास	пропуск
पास	пройти
पास	пас
विस्तृत	расширенный
विस्तृत	передовых
विस्तृत	исчерпывающий
विस्तृत	передовые
विस्तृत	исчерпывающим
विस्तृत	подробно
विस्तृत	подробное
विस्तृत	подробные
विस्तृत	подробный
दिन	дневное
दिन	дни
दिन	дневные
दिन	дэй
दिन	дневной
दिन	день
दिन	дней
जाना	жизнеспособность
जाना	жизнеспособности
शुरू	началось
शुरू	начато
शुरू	начинайте
शुरू	начать
शुरू	начал
शुरू	начали
व्यक्ति	индивидуальное
व्यक्ति	индивидуальная
व्यक्ति	индивидуализм
व्यक्ति	индивидуальный
व्यक्ति	индивидуальные
व्यक्ति	человек
व्यक्ति	отдельных
उनका	их
विज्ञान	наука
विज्ञान	науки
सदस्य	участники
सदस्य	член
सदस्य	члены
सदस्य	подписчиков
सदस्य	подписчики
सदस्य	членов
सदस्य	участник
हालांकि	хотя
सिंह	лев
सिंह	лео
सिंह	сингх
अनेक	многие
अनेक	много
अनेक	многим
अनेक	несколько
अनेक	многих
अनेक	множественные
यहां	вот
यहां	здесь
संख्या	номер
संख्या	числа
संख्या	цифры
संख्या	номера
संख्या	число
संख्या	количество
अपना	ваша
अपना	собственный
अपना	собственное
अपना	твой
अपना	твоя
अपना	собственная
अपना	собственные
अपना	ваше
अपना	ваш
अपना	собственных
अपना	ваши
बात	разговор
बात	говорить
बात	штука
बात	поговорить
बात	разговоры
बात	вещь
साहित्य	литература
शिक्षा	образование
शिक्षा	просвещение
दिल्ली	дели
धर्म	религия
धर्म	дхарма
धर्म	религий
धर्म	религии
मूल	оригинал
मूल	оригинальная
मूल	базовые
मूल	базовая
मूल	происхождения
मूल	оригинальные
मूल	оригинальный
मूल	базовый
मूल	оригиналы
मूल	основные
मूल	оригинально
मूल	первоначального
मूल	происхождение
मूल	родной
तब	затем
तब	тогда
तब	потом
बना	сделанные
बना	сделано
बना	сделаны
बना	сделана
बना	сделал
बना	сделать
कोड	код
कोड	коды
कोड	кодексы
संयुक्त	сочетании
संयुक्त	одновременное
संयुक्त	совместная
संयुक्त	юнайтед
संयुक्त	совместное
संयुक्त	совместных
संयुक्त	объединенные
संयुक्त	совместный
जुलाई	июль
युद्ध	войны
युद्ध	битва
युद्ध	бой
युद्ध	сражение
युद्ध	война
नदी	ривер
नदी	реки
नदी	река
वाला	вала
काल	позвонить
काल	звонок
काल	напряженная
काल	напряженной
काल	период
काल	звоните
ऐसे	такие
वर्षों	годы
वर्षों	лет
प्रति	пер
स्टेशन	станция
स्टेशन	станций
स्टेशन	вокзал
स्टेशन	станции
बड़े	большие
बड़े	большая
बड़े	биг
बड़े	крупный
बड़े	большой
बड़े	крупные
बड़े	крупных
जनवरी	январь
जनवरी	января
मध्य	ближнем
मध्य	среднее
मध्य	средняя
मध्य	центр
मध्य	центральной
मध्य	центральная
मध्य	центральный
मध्य	средний
मध्य	центральное
राजा	кинг
राजा	царь
राजा	король
राजा	раджа
प्रथम	первый
प्रथम	первое
प्रथम	первая
प्रथम	сначала
विश्वविद्यालय	университет
विश्वविद्यालय	университеты
जून	июнь
जून	чжун
जून	июня
जून	джун
उसकी	её
उसकी	его
उसकी	ей
उसकी	ее
जिसके	облегчает
मार्च	мар
मार्च	марта
मार्च	марш
मार्च	март
बन	бан
बनी	зайка
बनी	банни
बनी	зайчик
अर्थ	смысл
अर्थ	значение
अप्रैल	апрель
अप्रैल	апр
अप्रैल	апреля
अप्रैल	эйприл
महत्वपूर्ण	важные
महत्वपूर्ण	важно
महत्वपूर्ण	критические
महत्वपूर्ण	важное
महत्वपूर्ण	критическая
महत्वपूर्ण	критический
महत्वपूर्ण	важны
महत्वपूर्ण	важных
महत्वपूर्ण	важная
महत्वपूर्ण	критическое
प्रामाणिक	подлинная
प्रामाणिक	подлинный
प्रामाणिक	настоящие
प्रामाणिक	подлинные
आप	вы
आप	тебя
आप	ты
अक्टूबर	октября
अक्टूबर	октябрь
समूह	группы
समूह	конгрегация
समूह	группа
समूह	групп
वर्तमान	нынешней
वर्तमान	подарок
वर्तमान	текущее
वर्तमान	текущий
वर्तमान	настоящее
वर्तमान	текущая
वर्तमान	текущие
अध्ययन	исследований
अध्ययन	исследования
अध्ययन	изучаю
अध्ययन	учусь
अध्ययन	изучение
अध्ययन	исследование
अध्ययन	изучения
विभाग	отдел
विभाग	дивизион
विभाग	подразделение
विभाग	департаментов
विभाग	департаменты
विभाग	деление
विभाग	департамент
आम	манго
आम	общая
आम	общих
आम	общие
स्थिति	положение
स्थिति	условие
स्थिति	должность
स्थिति	государство
स्थिति	позиция
स्थिति	статус
स्थिति	штат
स्थिति	ситуация
स्थिति	состояние
प्रभाव	воздействие
प्रभाव	влияние
प्रभाव	результативность
प्रभाव	эффекты
प्रभाव	последствия
प्रभाव	эффект
आदर्श	идеал
आदर्श	идеальная
आदर्श	идол
आदर्श	идеализм
साल	годы
साल	год
साल	лет
पहली	первый
पहली	первое
पहली	первая
पहली	сначала
संगीत	музыку
संगीत	музыка
अमेरिकी	американских
अमेरिकी	американские
अमेरिकी	американская
अमेरिकी	американский
अमेरिकी	американцы
अमेरिकी	американец
सेवा	услуга
सेवा	служба
सेवा	услуги
सेवा	службы
सेवा	сервис
सेवा	обслуживание
बनाने	старателей
बनाने	создание
बनाने	изготовление
आज	сегодня
स्थापित	основанная
स्थापित	основано
स्थापित	основанное
स्थापित	установлена
स्थापित	основан
स्थापित	основанный
स्थापित	установлен
स्थापित	установлены
स्थापित	основана
स्थापित	установлено
उच्च	возвышенный
उच्च	высокая
उच्च	высокого
उच्च	высокий
उच्च	высоко
चाहिए	должны
चाहिए	должен
देता	дает
देता	даёт
देता	дарит
उपलब्ध	доступно
उपलब्ध	доступны
उपलब्ध	имеющихся
उपलब्ध	доступен
उपलब्ध	доступные
काफी	хватит
काफी	достаточно
बड़ी	большие
बड़ी	большая
बड़ी	биг
बड़ी	крупный
बड़ी	большой
बड़ी	крупные
बड़ी	крупных
चार	четверо
चार	четыре
शक	сомнения
शक	сомневаться
शक	сомнение
शक	сомнений
श्री	исп
श्री	шри
उदाहरण	иллюстрации
उदाहरण	пример
उदाहरण	примеры
उसका	её
उसका	его
उसका	ей
उसका	ее
ले	возьмите
ले	бери
ले	принять
ले	берите
ले	взять
ले	возьми
जिससे	которая
जिससे	который
जिससे	которое
जिससे	которые
स्थापना	установки
स्थापना	установить
स्थापना	установите
स्थापना	установок
स्थापना	учреждение
स्थापना	установка
स्थापना	сооружения
कंपनी	рота
कंपनी	компания
कंपनी	компании
अधिकांश	большинство
अधिकांश	наиболее
अधिकांश	преимущественно
सामाजिक	социальная
सामाजिक	социальные
सामाजिक	социального
सामाजिक	социальное
सामाजिक	социальный
प्रत्येक	каждую
प्रत्येक	каждому
प्रत्येक	каждая
प्रत्येक	каждое
प्रत्येक	каждый
बड़ा	большие
बड़ा	здорово
बड़ा	крупнее
बड़ा	большая
बड़ा	биг
बड़ा	крупный
बड़ा	большой
बड़ा	крупные
बड़ा	крупных
बड़ा	великолепно
बड़ा	отлично
स्तर	уровня
स्तर	уровни
स्तर	уровней
स्तर	уровень
बनाया	сделанные
बनाया	создан
बनाया	создана
बनाया	сделано
बनाया	созданный
बनाया	сделаны
बनाया	сделана
बनाया	создано
बनाया	сделал
बनाया	созданные
जारी	выпущено
जारी	изданы
जारी	выдано
जारी	текущих
जारी	продолжение
जारी	продолжил
जारी	издан
चित्र	картинка
चित्र	изображения
चित्र	фотография
चित्र	рисунки
चित्र	фотка
चित्र	изображение
चित्र	образы
चित्र	фотографии
चित्र	имидж
चित्र	образ
चित्र	картинки
इससे	из
इससे	от
प्रणाली	система
सरकारी	официальных
सरकारी	официальная
सरकारी	правительство
सरकारी	официальные
सरकारी	официальный
सरकारी	официальное
जहां	куда
जहां	где
देशों	стран
देशों	страны
जल	плечами
जल	воду
जल	воды
जल	вода
सूची	списки
सूची	перечни
सूची	перечень
सूची	список
विचार	рассмотрение
विचार	мысль
विचार	идея
विचार	думал
विचार	мысли
विचार	идеи
छोटे	мелкие
छोटे	маленькие
छोटे	мало
छोटे	маленький
छोटे	малых
छोटे	маленькая
छोटे	малые
ऊपर	топ
ऊपर	выше
ऊपर	сверху
ऊपर	верх
आधारित	основано
इसलिए	поэтому
पानी	воду
पानी	воды
पानी	вода
सामान्य	общая
सामान्य	нормально
सामान्य	обычный
सामान्य	нормальная
सामान्य	общие
सामान्य	нормальный
सामान्य	нормальное
सामान्य	общих
सामान्य	генерал
आगे	вперёд
आगे	вперед
कुल	совокупная
कुल	итого
कुल	совокупные
कुल	совокупное
कुल	совокупный
कुल	всего
एक्स्प्रेस	экспресс
एक्स्प्रेस	выразить
पुलिस	полицейские
पुलिस	полиции
पुलिस	полицейский
पुलिस	полиция
वर्ग	площадь
वर्ग	класс
वर्ग	классы
वर्ग	квадратный
वर्ग	квадрат
वर्ग	категории
वर्ग	занятия
वर्ग	категория
शरीर	тело
शरीर	тела
अंग्रेजी	английский
अंग्रेजी	английская
माध्यम	средних
माध्यम	среднее
माध्यम	средняя
माध्यम	средние
माध्यम	средний
मानव	человеческое
मानव	человек
मानव	человека
मानव	человеческая
पाकिस्तान	пакистана
पाकिस्तान	пакистан
भूमिका	роли
भूमिका	роль
भूमिका	введение
हर	каждую
हर	каждая
हर	каждое
हर	каждый
हर	гур
हर	хар
अतिरिक्त	дополнительный
अतिरिक्त	дополнительная
अतिरिक्त	запасных
अतिरिक्त	дополнительное
अतिरिक्त	дополнительные
अतिरिक्त	дополнительно
पिता	отче
पिता	отец
समाज	общество
समाज	общества
नीचे	низ
नीचे	снизу
नीचे	ниже
नीचे	дно
नीचे	вниз
दुनिया	мир
आधुनिक	современная
आधुनिक	современное
आधुनिक	современные
आधुनिक	современный
आधुनिक	современных
ध्यान	внимание
ध्यान	медитации
ध्यान	вниманию
हिंदी	хинди
दे	дайте
दे	отдать
दे	дать
दे	дай
सभा	собрание
सभा	сборка
सभा	сабха
सभा	конгрегация
सभा	ассамблеи
सभा	ассамблея
सभा	сбора
सभा	сбор
परिवार	родные
परिवार	семейное
परिवार	семья
परिवार	семьи
परिवार	семейство
विषय	субъекты
विषय	предмет
विषय	объект
विषय	предметы
विषय	темы
विषय	тема
विषय	субъект
विषय	теме
अधिकार	прав
अधिकार	права
रंग	цвета
रंग	цвет
बाहर	бросить
बाहर	вне
बाहर	снаружи
बाहर	открытый
बाहर	аут
खेल	спорт
खेल	играть
खेल	спортивная
खेल	спортивные
खेल	игры
खेल	игра
खेल	играйте
खेल	играй
क्षेत्रों	области
क्षेत्रों	районы
जहाँ	куда
जहाँ	где
समान	аналогичные
समान	однородной
समान	схожие
समान	аналогичное
समान	похожие
समान	аналогичная
सितंबर	сентябрь
सितंबर	сентября
दूर	дальний
दूर	прочь
दूर	далеко
दूर	отдаленных
दूर	подальше
पता	адресов
पता	адреса
पता	адрес
शक्ति	сила
शक्ति	мощь
शक्ति	шакти
शक्ति	власть
शक्ति	прочность
शक्ति	мощность
ब्रिटिश	британские
ब्रिटिश	британцы
ब्रिटिश	великобритании
ब्रिटिश	британское
ब्रिटिश	британская
ब्रिटिश	британский
कला	арт
कला	искусство
देते	менталитета
घर	домой
घर	домашний
घर	дома
घर	хаус
घर	дом
घर	хауз
संस्कृत	санскрит
प्रकाशित	опубликовано
प्रकाशित	опубликованные
प्रकाशित	опубликована
प्रकाशित	опубликован
प्रकाशित	опубликованный
प्रकाशित	опубликовать
प्रकाशित	публиковать
मई	мая
मई	мэй
मई	май
मई	майские
प्रक्रिया	процедура
प्रक्रिया	процесс
प्रक्रिया	процессы
प्रक्रिया	процедуры
प्रक्रिया	процесса
सेना	армии
सेना	армий
सेना	армия
सेना	сена
पार्टी	сторона
पार्टी	партия
पार्टी	вечеринок
पार्टी	вечеринки
पार्टी	вечеринка
हम	гум
रेलवे	железнодорожных
रेलवे	железнодорожный
पश्चिम	запад
पश्चिम	вест
पश्चिम	западная
पश्चिम	западный
पश्चिम	уэст
अंत	конце
अंत	конец
दशक	десятилетия
दशक	десятилетие
पूरी	целые
पूरी	целиком
पूरी	целое
पूरी	целая
बिना	без
क्या	какие
क्या	какая
क्या	какой
क्या	что
अगस्त	августа
अगस्त	август
विकसित	развитые
विकसित	эволюционировали
विकसित	разработан
विकसित	развитых
विकसित	разработано
संबंध	отношений
संबंध	взаимосвязь
संबंध	взаимоотношения
संबंध	отношения
प्रदर्शन	показ
प्रदर्शन	воздействия
प्रदर्शन	производительность
प्रदर्शन	отображение
प्रदर्शन	исполнение
प्रदर्शन	отображения
प्रदर्शन	выступления
ऐसी	такие
मार्ग	способ
मार्ग	трасса
मार्ग	путь
मार्ग	маршрут
पर्यटन	туризм
ज्ञान	знания
ज्ञान	знание
लगा	чувствовала
लगा	почувствовала
लगा	чувствовал
लगा	казалось
दिसम्बर	дек
दिसम्बर	декабрь
प्रदर्शित	избранные
प्रदर्शित	показ
प्रदर्शित	отображаться
प्रदर्शित	отображается
प्रदर्शित	актуальное
प्रदर्शित	показано
प्रदर्शित	выставлены
प्रदर्शित	отображение
प्रदर्शित	отображения
प्रदर्शित	рекомендуемые
प्रदर्शित	выделенные
अक्सर	зачастую
अक्सर	часто
अक्सर	нередко
सहायता	поддержки
सहायता	поддержка
सहायता	помочь
सहायता	помощь
सहायता	помогите
सहायता	поддержку
सहायता	справка
सहायता	поддерживаю
पहला	первый
पहला	первое
पहला	первая
पहला	сначала
मृत्यु	смертность
मृत्यु	смерть
स्वयं	собственный
स्वयं	собственное
स्वयं	собственная
स्वयं	собственные
स्वयं	собственных
विकिपीडिया	википедии
विकिपीडिया	вики
विकिपीडिया	википедия
तैयार	готовы
तैयार	готово
तैयार	готов
तैयार	готова
आवश्यक	требуются
आवश्यक	срочное
आवश्यक	срочная
आवश्यक	требуемое
आवश्यक	срочно
आवश्यक	требуется
देखा	посмотрели
देखा	выглядел
देखा	смотрели
देखा	видела
देखा	видел
देखा	посмотрел
देखा	пила
देखा	смотрела
देखा	увидел
देखा	видели
देखा	смотрел
देखा	увидела
देखा	посмотрела
उत्पादन	производство
उत्पादन	производства
रोग	болезни
रोग	заболевания
रोग	болезнь
रोग	заболевание
संबंधित	связанные
शताब्दी	столетие
शताब्दी	век
गये	пошла
चीन	китай
अभी	теперь
अभी	сейчас
संघ	профсоюз
संघ	союзы
संघ	союза
संघ	федерации
संघ	юнион
संघ	союз
संघ	профсоюзов
संघ	федерация
संघ	ассоциация
संघ	ассоциации
संघ	профсоюзы
यात्रा	путешествие
यात्रा	путешествия
यात्रा	поездки
यात्रा	поездка
यात्रा	проезд
यात्रा	трип
मात्रा	сумма
मात्रा	количество
रचना	композиция
रचना	сотворение
रचना	состав
रचना	создания
रचना	создание
जगह	пространство
जगह	космической
जगह	космос
जगह	место
जगह	интервал
जगह	интервалы
भिन्न	разные
भिन्न	фракции
भिन्न	отдельных
भिन्न	различных
लोक	общественности
लोक	публичные
लोक	общественность
सब	все
सब	всех
सब	всем
पूरा	завершил
पूरा	полного
पूरा	завершена
पूरा	целые
पूरा	полная
पूरा	полные
पूरा	завершен
पूरा	целиком
पूरा	полное
पूरा	завершено
पूरा	полный
पूरा	завершить
पूरा	целое
पूरा	целая
आवश्यकता	требовать
आवश्यकता	требование
प्रकाश	свет
प्रकाश	огни
प्रकाश	пракаш
प्रकाश	светло
प्रकाश	света
नई	новые
नई	новинка
नई	новая
नई	новое
नई	новый
नई	новых
चिकित्सा	медицинских
चिकित्सा	терапии
चिकित्सा	медицинский
चिकित्सा	медицинская
चिकित्सा	медицинское
चिकित्सा	терапия
दूसरी	второе
दूसरी	второй
दूसरी	вторая
दूसरी	секунда
कार्यक्रम	мероприятия
कार्यक्रम	события
कार्यक्रम	мероприятие
कार्यक्रम	программы
कार्यक्रम	программа
कार्यक्रम	событие
पुराने	старая
पुराने	старые
पुराने	старый
पुराने	старое
पुराने	старшая
पुराने	старше
सदी	столетие
सदी	век
भगवान	лорд
भगवान	боже
भगवान	бхагаван
भगवान	бог
भगवान	господь
लिखा	написано
लिखा	написала
लिखा	написали
लिखा	письменные
लिखा	написал
लिखा	письменное
लिखा	письменный
लिखा	писал
संस्थान	институт
संस्थान	институты
संस्कृति	культура
अंग्रेज़ी	английский
अंग्रेज़ी	английская
पूर्ण	завершил
पूर्ण	идеальный
पूर्ण	идеально
पूर्ण	полного
पूर्ण	завершена
पूर्ण	полная
पूर्ण	полные
पूर्ण	завершен
पूर्ण	идеальная
पूर्ण	полное
पूर्ण	завершено
पूर्ण	полный
पूर्ण	завершить
परिवर्तन	трансформация
परिवर्तन	перемены
परिवर्तन	преобразования
परिवर्तन	изменения
परिवर्तन	изменение
परिवर्तन	сменить
परिवर्तन	изменить
परिवर्तन	преобразование
परिवर्तन	переход
परिवर्तन	конверсии
परिवर्तन	трансформации
टीम	команды
टीम	команда
चर्चा	дискуссия
चर्चा	обсуждение
चर्चा	дискуссии
चर्चा	обсуждения
संगठन	организации
संगठन	организация
संगठन	организаций
अगर	агар
शैली	шелли
शैली	стиль
तुलना	сравнения
तुलना	сравнение
तुलना	сопоставление
स्कूल	школа
स्कूल	школ
स्कूल	школе
स्कूल	школы
पुस्तक	книгу
पुस्तक	книга
लेखक	писатели
लेखक	авторов
लेखक	автор
लेखक	писателей
लेखक	писатель
लेखक	сценарист
लेखक	авторы
संस्करण	версия
संस्करण	издания
संस्करण	версий
संस्करण	издание
संस्करण	версии
खिलाड़ी	игрокам
खिलाड़ी	спортсмен
खिलाड़ी	игроков
खिलाड़ी	проигрыватель
खिलाड़ी	игрок
खिलाड़ी	игроки
ट्रेन	поезда
ट्रेन	поезд
आकार	размеры
आकार	размер
आकार	формы
आकार	фигуры
आकार	форма
आकार	форме
उत्तरी	северный
उत्तरी	северной
उत्तरी	северная
उत्तरी	северные
उत्तरी	северное
सीमा	диапазон
सीमा	ограничить
सीमा	границы
सीमा	предел
सीमा	дальность
सीमा	сима
सीमा	пределы
सीमा	границу
सीमा	лимит
सीमा	ограничение
सीमा	граница
पश्चिमी	западные
पश्चिमी	западное
पश्चिमी	западная
पश्चिमी	западный
पश्चिमी	западной
व्यवस्था	договоренность
आर्थिक	экономические
आर्थिक	экономическая
आर्थिक	экономический
आर्थिक	экономического
राजधानी	столицы
राजधानी	капитал
राजधानी	столиц
राजधानी	столица
राजधानी	столицах
दर्शन	философия
दर्शन	видение
दर्शन	философии
दर्शन	зрение
