から	จาก
人間	มนุษย์
千葉	ชิบะ
アン	แอน
アン	อัง
アン	อ่าง
交通	จราจร
交通	ขนส่ง
組織	มโน
組織	องค์กร
組織	องค์การ
構造	โครงสร้าง
戦い	รบ
戦い	ศึก
戦い	สงคราม
以前	ก่อน
サービス	บริการ
テーマ	ธีม
面積	พื้นที่
面積	บริเวณ
エンジン	เครื่องยนต์
主演	นำแสดง
ビル	บิล
日本語	ญี่ปุ่น
契約	สัญญา
ライブ	สด
含む	บรรจุ
専門	ชำนาญ
専門	เชี่ยวชาญ
機能	คุณสมบัติ
機能	ฟีเจอร์
機能	คุณลักษณะ
機能	ฟังก์ชัน
所在地	ตำแหน่งที่ตั้ง
所在地	ตำแหน่ง
表記	กรณ์
運転	ขับ
運転	ขับขี่
写真	ภาพ
写真	รูปภาพ
写真	รูป
写真	ภาพถ่าย
関連	เกี่ยวข้อง
高い	แพงๆ
高い	สูง
高い	ไฮ
高い	แพง
生産	ผลิต
上の	เหนือ
宇宙	จักรภพ
宇宙	ภพ
宇宙	จักรวาล
管理	จัดการ
バー	บาร์
バー	แถบ
バー	แท่ง
ジョン	จอห์น
ジョン	จอร์น
公園	สวน
公園	จอด
スポーツ	กีฬา
スポーツ	สปอร์ต
脚本	บท
目的	วัตถุประสงค์
生活	ชีวิต
カード	บัตร
カード	การ์ด
カード	ไพ่
タイトル	ชื่อ
政治	การเมือง
電気	รถไฟฟ้า
電気	ไฟฟ้า
警察	ตำรวจ
作成	สร้าง
ガン	ปืน
予定	วางแผน
スター	ดาว
スター	ดวงดาว
スター	ดารา
自由	อิสระ
自由	เสรี
自由	ฟรี
自由	เสรีภาพ
自由	ว่าง
自由	อิสรภาพ
過去	อดีต
陸軍	กองทัพ
陸軍	ทัพ
表示	ดู
社長	ประธาน
社長	ประธานาธิบดี
団体	องค์กร
団体	องค์การ
工業	อุตสาหกรรม
通り	ถนน
外部	ภายนอก
通信	สื่อสาร
スペシャル	พิเศษ
少年	บอย
銀行	แบงค์
銀行	ธนาคาร
銀行	แบงก์
研究所	สถาบัน
主に	หลักๆ
彼女	นาง
彼女	หล่อน
彼女	เธอ
ニュース	ข่าวสาร
ニュース	ข่าว
その他	อื่นๆ
ソフト	นุ่ม
ソフト	อ่อน
ソフト	นิ่ม
文学	วรรณคดี
文学	วรรณกรรม
学者	บัณฑิต
ヨーク	ยอร์ก
ヨーク	ยอร์ค
高速	ด่วน
高速	เร็ว
高速	รวดเร็ว
高速	ไว
言語	ภาษา
設計	ออกแบบ
設計	ดีไซน์
韓国	เกาหลี
リリース	ปล่อย
会議	พบปะ
会議	ประชุม
バンド	วง
追加	เพิ่ม
成功	สำเร็จ
移動	ขยับ
移動	ย้าย
移動	เลื่อน
オリンピック	โอลิมปิก
国民	ชาติ
国民	เนชั่น
ファン	แฟน
ファン	แฟนๆ
ファン	พัดลม
すべて	ทุก
すべて	ทั้งหมด
運動	ขบวนการ
大きな	บิ๊ก
大きな	ใหญ่
会長	ประธาน
ヨーロッパ	ยุโรป
紹介	อ้างอิง
紹介	บทนำ
形式	ฟอร์ม
工場	โรงงาน
戦闘	รบ
戦闘	ศึก
戦闘	สงคราม
労働	แรงงาน
事務所	ออฟฟิศ
事務所	สำนักงาน
限定	จำกัด
データ	อินเทอร์เน็ต
データ	ข้อมูล
オリジナル	ต้นฉบับ
オリジナル	ดั้งเดิม
オリジナル	เดิม
種類	พิมพ์
種類	ชนิด
種類	ประเภท
大統領	ประธาน
大統領	ประธานาธิบดี
指導	แนวทาง
判断	ตัดสิน
ネット	เน็ต
ネット	ตาข่าย
ネット	สุทธิ
ネット	ถ้วน
共和国	สาธารณรัฐ
引退	เกษียณ
部門	กรม
部門	แผนก
産業	อุตสาหกรรม
誕生	เกิด
誕生	กำเนิด
レース	แข่ง
郵便	จดหมาย
カップ	คัพ
カップ	ถ้วย
ラン	วิ่ง
ラン	หนี
ラン	รัน
レイ	เรย์
移転	โอน
ほぼ	เกือบ
イベント	เหตุการณ์
イベント	กิจกรรม
異なる	ต่าง
神戸	โกเบ
出典	ต้นทาง
出典	แหล่ง
ほとんど	เกือบ
行動	พฤติกรรม
重要	สำคัญ
プロジェクト	โครงการ
電車	รถไฟ
建築	สถาปัตยกรรม
クラス	ห้องเรียน
クラス	คลาส
クラス	เรียน
導入	บทนำ
アジア	เอเชีย
タイ	ต่าย
タイ	ประเทศไทย
タイ	ไท
タイ	ไทย
タイ	ไท่
タイ	ไต้
普通	ปรกติ
普通	สามัญ
普通	ธรรมดา
普通	ปกติ
一人	หนึ่ง
一人	เดียว
舞台	เวที
舞台	ขั้น
スペイン	สเปน
再び	อีก
発見	สำรวจ
ローマ	โรม
ローマ	โรมัน
保護	ป้องกัน
保護	ปกป้อง
少女	สาว
試験	ข้อสอบ
試験	สอบ
多数	หลาย
多数	มากมาย
反対	ต่อ
地球	ธรณี
地球	โลก
特徴	ลักษณะ
特徴	คุณสมบัติ
特徴	ฟีเจอร์
特徴	คุณลักษณะ
ベース	แบส
ベース	แบต
ベース	แบ
ベース	เบส
ベース	ฐาน
ベース	ฐานทัพ
男性	ผู้ชาย
男性	ตัวผู้
男性	ชาย
男性	บุรุษ
男性	มนุษย์
男性	คน
男性	แมน
ケース	กรณี
ケース	คดี
子供	กุมาร
子供	เด็กๆ
子供	เด็ก
子供	ลูกๆ
以来	ตั้งแต่
オープン	เปิด
コーナー	มุม
人気	นิยม
評価	คะแนน
評価	ประเมิน
評価	อัตรา
説明	อธิบาย
装備	อุปกรณ์
ドル	ดอลลาร์
投票	โหวต
雑誌	นิตยสาร
学科	กรม
学科	แผนก
専用	ทุ่มเท
ステージ	เวที
ステージ	ขั้น
ゲスト	แขก
学生	นักศึกษา
学生	นักเรียน
言葉	คำ
言葉	ลมปาก
教会	ศาสนจักร
教会	โบสถ์
内閣	ตู้
ロック	ล็อค
ロック	หิน
ロック	ร็อค
ロック	โยก
ロック	ล็อก
事故	อุบัติเหตุ
状況	สถานการณ์
家族	ครอบครัว
家族	ตระกูล
表現	สำนวน
新しい	ใหม่
新しい	นิว
ホール	รู
ホール	ฮอลล์
ホール	ฮอล
ホール	หลุม
ホール	โพรง
血液	โลหิต
血液	เลือด
同意	ยินยอม
由来	ที่มา
由来	ต้นทาง
由来	กำเนิด
平均	เฉลี่ย
店舗	ร้าน
メートル	เมตริก
メートル	เมตร
芸術	ศิลปศาสตร์
芸術	ศิลปะ
芸術	อาร์ต
芸術	อาร์ท
主人公	ตัวเอก
複数	พจน์
複数	หลาย
複数	หลายๆ
複数	พหูพจน์
王国	อาณาจักร
電話	โทรศัพท์
レコード	บันทึก
レコード	สถิติ
上記	เหนือ
トップ	ท็อป
付近	ใกล้
リン	ลิน
リン	ฟอสฟอรัส
輸送	ขนส่ง
メイン	เมน
メイン	เมนส์
メイン	หลัก
ロード	โหลด
エル	แอล
ワールド	เวิลด์
ワールド	โลก
美術	อาร์ท
美術	อาร์ต
美術	ศิลปะ
息子	ลูก
息子	ลูกชาย
息子	บุตร
制度	สถาบัน
ツアー	ทัวร์
市民	พลเมือง
市民	ประชาชน
自然	สันดาน
自然	ธรรมชาติ
マイル	ไมลส์
マイル	ไมล์
組合	สมาคม
生徒	ศิษย์
生徒	นักศึกษา
生徒	นักเรียน
ギター	กีต้าร์
ギター	กีตาร์
コース	คอร์ส
コース	หลักสูตร
防衛	ป้องกัน
変化	เปลี่ยน
変化	เปลี่ยนแปลง
タイプ	พิมพ์
タイプ	ชนิด
タイプ	ประเภท
議会	รัฐสภา
パリ	ปารีส
南部	ใต้
経験	ประสบ
経験	ประสบการณ์
延長	ขยาย
ランド	ที่ดิน
ランド	แลนด์
ランド	แรนด์
ランド	แรน
条件	เงื่อนไข
条件	สภาพ
条件	เกณฑ์
伝説	ตำนาน
ロンドン	ลอนดอน
フリー	ฟรี
フリー	อิสระ
フリー	ว่าง
フリー	เสรี
競走	แข่ง
デジタル	ดิจิตอล
台湾	ไต้หวัน
ポジション	จุดยืน
ポジション	ตำแหน่ง
インド	อินเดีย
名誉	เกียรติ
名誉	เกียรติยศ
ソング	ซง
ソング	เพลง
ライン	บรรทัด
ライン	เส้น
履歴	ประวัติศาสตร์
履歴	ประวัติการ
履歴	ประวัติ
方向	ปฐมนิเทศ
方向	ทิศทาง
法律	กฎหมาย
法律	กฎ
提案	แนะนำ
シティ	ซิตี้
シティ	เมือง
ミュージック	เพลง
ミュージック	ดนตรี
ミュージック	มิวสิค
ヶ月	เดือน
レギュラー	ปกติ
レギュラー	ปรกติ
職業	อาชีพ
職業	งาน
製品	ผลิตภัณฑ์
製品	สินค้า
太郎	เผือก
速度	ความเร็ว
近く	ใกล้
電子	อิเล็กตรอน
徒歩	เดิน
更新	อัพเดต
更新	อัปเดต
仕事	งาน
仕事	ทำงาน
政策	นโยบาย
メディア	สื่อ
メディア	กลาง
図書館	ไลบรารี
ただ	แค่
外国	ต่างด้าว
強い	เข้ม
強い	แรง
強い	แข็งแกร่ง
継承	มรดก
バージョン	เวอร์ชั่น
バージョン	เวอร์ชัน
ポイント	ประเด็น
ポイント	จุด
ポイント	ชี้
ポイント	แต้ม
ポイント	คะแนน
方針	นโยบาย
執筆	เขียน
タイム	เวลา
基準	มาตรฐาน
基準	เกณฑ์
化学	เคมี
化学	เคมีภัณฑ์
勝ち	ชนะ
障害	พิการ
ブル	กระทิง
ホテル	โรงแรม
仕様	สเปค
将軍	ทั่วไป
将軍	แม่ทัพ
ビデオ	วีดีโอ
ビデオ	วิดีโอ
分割	แยก
分割	แบ่ง
商業	พาณิชย์
商業	โฆษณา
スタイル	สไตล์
リング	วงแหวน
リング	ริง
リング	แหวน
報告	รายงาน
マーク	มาร์ค
マーク	เครื่องหมาย
キング	ราชา
キング	คิง
キング	กษัตริย์
ハイ	สูง
ハイ	ไฮ
ベル	ระฆัง
ベル	กระดิ่ง
ベル	เบลล์
提出	ส่ง
支持	สนับสนุน
支持	รองรับ
復活	คืนชีพ
博物館	พิพิธภัณฑ์
週間	อาทิตย์
週間	สัปดาห์
機構	กลไก
定義	นิยาม
定義	กำหนด
天皇	จักรพรรดิ
日本人	ญี่ปุ่น
学部	คณาจารย์
学部	คณะ
直接	โดยตรง
投手	เหยือก
カナダ	แคนาดา
性格	บุคลิกลักษณะ
性格	บุคลิกภาพ
性格	บุคลิก
ユニット	หน่วย
ユニット	ยูนิต
ピアノ	เปียนโน
良い	ดี
良い	เก่ง
近い	ใกล้ๆ
近い	ใกล้
レベル	เลเวล
レベル	ระดับ
三重	หมี่
見る	ดู
見る	เห็น
空間	อวกาศ
空間	พื้นที่
ライト	สว่าง
ライト	เบา
ライト	ไลท์
ライト	แสง
ライト	ไฟ
ライト	ไรท์
ヒット	ชน
ヒット	ฮิต
ヒット	ตี
ヒット	จีบ
ヒット	ถล่ม
ブルー	สีน้ำเงิน
ブルー	บลู
ブルー	น้ำเงิน
流れ	ไหล
流れ	กระแส
ガス	ก๊าซ
ガス	แก๊ส
ガス	น้ำมัน
作業	งาน
作業	ทำงาน
貨物	สินค้า
市場	ตลาด
サイズ	ขนาด
サイズ	ไซส์
サイズ	มิติ
翻訳	ล่าม
翻訳	แปล
コード	โค้ด
コード	รหัส
米国	สหรัฐอเมริกา
米国	สหรัฐฯ
そこ	มี
安全	ปลอดภัย
安全	เซฟ
番目	วินาที
商品	ผลิตภัณฑ์
商品	สินค้า
詳細	ละเอียด
備考	บันทึก
備考	หมายเหตุ
備考	โน้ต
単位	หน่วย
単位	ยูนิต
機械	แมชชีน
機械	เครื่องจักร
機械	เครื่อง
マイ	เชียงใหม่
革命	ปฏิวัติ
増加	เพิ่ม
農業	เกษตร
農業	การเกษตร
農業	เกษตรกรรม
北部	เหนือ
理論	ทฤษฎี
オーストラリア	ออสเตรเลีย
欧州	ยุโรป
成長	โต
賛成	ยินยอม
生物	ชีวภาพ
感じ	รู้สึก
戦士	นักรบ
ジャンル	ประเภท
ジャンル	แนว
実験	ทดลอง
師団	ดิวิชั่น
主催	จัด
主催	โฮสต์
統一	สามัคคี
統一	เอกภาพ
料理	อาหาร
ブランド	ยี่ห้อ
ブランド	แบรนด์
首都	ทุน
首都	พระนคร
報道	วารสารศาสตร์
破壊	แตกหัก
破壊	ทำลาย
スタジアム	สนาม
停止	หยุด
土地	ที่ดิน
土地	แลนด์
兄弟	น้อง
戦隊	ฝูงบิน
メジャー	เมเจอร์
イメージ	ภาพ
イメージ	รูปภาพ
イメージ	อิมเมจ
軍事	กองทัพ
軍事	ทหาร
ハン	ฮั่น
ハン	ฮัน
ハン	ฮาน
カラー	สีสัน
カラー	สี
チャンネル	ช่อง
ドラフト	ร่าง
西部	เวสต์
オランダ	เนเธอร์แลนด์
オランダ	ฮอลแลนด์
セット	ตั้ง
セット	กำหนด
動物	สัตว์
民族	ชาติพันธุ์
資本	ทุน
資本	พระนคร
テンプレート	ต้นแบบ
あなた	เจ้า
あなた	เธอ
あなた	คุณ
選択	เลือก
ジョージ	จอร์จ
失敗	ขัดข้อง
標準	มาตรฐาน
ワン	หนึ่ง
ワン	เดียว
購入	ซื้อ
購入	เลี้ยง
ライ	ไร่
ライ	ไรย์
タレント	พรสวรรค์
階級	ห้องเรียน
階級	คลาส
階級	เรียน
レッド	เรด
レッド	แดง
市長	เทศมนตรี
コーチ	โค้ช
コーチ	โค๊ช
建物	ตึก
建物	อาคาร
ジュニア	เยาวชน
朝鮮	เกาหลี
自動	อัตโนมัติ
モード	โหมด
皇帝	จักรพรรดิ
挑戦	ท้า
挑戦	ท้าทาย
改革	ปฏิรูป
集団	กลุ่ม
魔法	มนตร์
魔法	เวทมนตร์
修正	แก้
修正	ซ่อม
修正	แก้ไข
地下鉄	เมโทร
地下鉄	ใต้ดิน
ブログ	บล็อก
部屋	ห้อง
トラック	แทร็ค
トラック	แทร็ก
美術館	พิพิธภัณฑ์
合計	รวม
合計	ซำ
合計	ทั้งหมด
古代	โบราณ
エンディング	สรุป
バン	แวน
批判	วิจารณ์
原因	เพราะ
原因	สาเหตุ
植物	โรงงาน
植物	ต้นไม้
植物	พืช
ショー	โชว์
ショー	แสดง
コミック	การ์ตูน
エネルギー	พลังงาน
ルール	ปกครอง
ルール	กติกา
ルール	กฎ
ルール	กฏ
未来	อนาคต
未来	ต่อๆ
乗車	ประจำ
まだ	ยัง
ランキング	อันดับ
年齢	อายุ
年齢	ยุค
年齢	วัย
エリア	พื้นที่
エリア	บริเวณ
ポーランド	โปแลนด์
シン	บาป
シン	ชิน
精神	สปิริต
精神	วิญญาณ
日付	เดท
スタート	เริ่ม
範囲	ระยะ
範囲	ขอบเขต
範囲	ช่วง
自治体	เทศบาล
宣伝	โปรโมท
宣伝	โปรโมต
宣伝	ประชาสัมพันธ์
宣伝	โปรโมชัน
宣伝	กระตุ้น
哲学	ปรัชญา
財団	มูลนิธิ
財団	รากฐาน
反応	ปฏิกิริยา
教師	ครู
教師	คุณครู
教師	อาจารย์
宗教	ศาสนา
武器	อาวุธ
保存	ประหยัด
保存	บันทึก
保存	ออม
辞典	พจนานุกรม
緊急	ด่วน
緊急	ภาวะฉุกเฉิน
緊急	ฉุกเฉิน
地下	ใต้ถุน
地下	ใต้ดิน
ストーリー	เรื่อง
太陽	ซุน
太陽	ซัน
太陽	พระอาทิตย์
交換	แลก
保険	ประกัน
制限	จำกัด
制限	วงเงิน
キー	คีย์
キー	กุญแจ
児童	กุมาร
児童	เด็ก
群馬	กุม
フル	ฟู
フル	เต็ม
ボール	ลูกบอล
ボール	บอล
電力	ไฟฟ้า
医学	เวชศาสตร์
医学	ยา
所有	กรรมสิทธิ์
ブラック	ดำ
サー	เซอร์
自己	ตนเอง
シーン	ฉาก
憲法	รัฐธรรมนูญ
支店	สาขา
ロン	รอน
カリフォルニア	แคลิฟอร์เนีย
タウン	ทาวน์
タウン	เมือง
カバー	ปก
カバー	ปกปิด
コンピュータ	คอม
コンピュータ	คอมพิวเตอร์
取引	เทรด
取引	ค้า
取引	ธุรกรรม
取引	แลก
長い	นาน
長い	ยาว
統計	สถิติ
フォー	โพธิ์
フォー	สี่
パン	แพน
パン	ขนมปัง
物理	กายภาพ
インターネット	อินเตอร์เน็ต
インターネット	อินเทอร์เน็ต
パーク	สวน
パーク	จอด
アフリカ	แอฟริกา
先生	ดอกเตอร์
先生	หมอ
先生	แพทย์
先生	อาจารย์
先生	ครู
先生	คุณครู
ハウス	เฮ้าส์
ハウス	บ้าน
展示	transformers
展示	นิทรรศการ
検索	ค้นหา
ポール	พอล
会員	สมาชิก
リスト	รายการ
トンネル	อุโมงค์
チャート	ภูมิ
チャート	ชาร์ต
チャート	แผนภูมิ
共通	ทั่วไป
共通	สามัญ
ケン	เคน
内部	ภายใน
グリーン	เขียว
戦車	ถัง
戦車	แท็งค์
スキー	สกี
愛称	ฉายา
再開	รื้อ
再開	ต่อ
ミニ	จิ๋ว
機器	อุปกรณ์
プロダクション	ผลิต
スタッフ	พนักงาน
いくつか	บาง
いくつか	บ้าง
プログラム	โปรแกรม
アカデミー	สถาบัน
二人	สอง
改善	ปรับปรุง
文書	เอกสาร
世代	ยุค
世代	รุ่น
ブラジル	บิท
ブラジル	บราซิล
ブラジル	บิ
ブラジル	บิว
審査	รีวิว
審査	วิจารณ์
ダン	แดน
河川	แม่น้ำ
河川	ลำน้ำ
クイズ	สอบ
巨大	ยักษ์
巨大	ใหญ่
伝統	ประเพณี
伝統	ธรรมเนียม
ナイト	คืน
ナイト	ราตรี
ナイト	ไนท์
ナイト	ค่ำคืน
ナイト	อัศวิน
ジャン	จีน
ジャン	ยีน
ジャン	ฌอง
旅行	ทริป
ルー	ลูว์
ルー	ลู
少ない	น้อย
比較	เทียบ
向上	ปรับปรุง
バトル	รบ
バトル	ศึก
バトル	สงคราม
ダンス	เต้น
ダンス	เต้นรำ
資格	วุฒิ
資格	คุณวุฒิ
プロデュース	ผลิต
実現	ตระหนัก
ミサイル	ขีปนาวุธ
文章	ประโยค
ルート	ราก
ルート	รูท
トラ	เสือ
トラ	เสือก
平和	สันติ
平和	สันติภาพ
平和	สงบ
平和	สันติสุข
注意	ใส่ใจ
注意	สนใจ
ドラゴン	มังกร
集合	ตั้ง
集合	กำหนด
コンサート	คอนเสิร์ต
回転	หมุน
用語	เงื่อนไข
用語	วาระ
姉妹	น้อง
姉妹	สองพี่น้อง
小さな	เล็ก
テン	สิบ
秘密	ลับๆ
秘密	ลับ
残り	เหลือ
一致	แมตช์
適用	สมัคร
オーストリア	ออสเตรีย
イオン	ไอออน
ジャック	แจ๊ก
ジャック	แจ็ค
ジャック	แจ๊ค
ジャック	แจ็ก
ソロ	เดี่ยว
フィールド	ช่อง
フィールド	ทุ่ง
フィールド	ฟิลด์
フィールド	สาขา
フィールド	สนาม
キロ	กิโล
キロ	กิโลเมตร
論文	วิทยานิพนธ์
メキシコ	เม็กซิโก
福祉	สวัสดิภาพ
福祉	สวัสดิการ
レポート	รายงาน
要素	ธาตุ
市町村	เทศบาล
ブラ	บรา
地図	แผนที่
ブリ	ไบร
違反	รุก
衛星	ดาวเทียม
性能	ประสิทธิภาพ
カメラ	กล้อง
役割	บทบาท
十分	พอ
ワイド	กว้าง
講師	วิทยากร
ルイ	หลุยส์
曖昧	คลุมเครือ
サブ	ซับ
サブ	ย่อย
ニッポン	นิปปอน
読み	อ่าน
犯罪	อาชญากรรม
大陸	ทวีป
医師	หมอ
医師	ดอกเตอร์
医師	แพทย์
国会	รัฐสภา
インタビュー	สัมภาษณ์
ワシントン	วอชิงตัน
マガジン	นิตยสาร
生命	ชีวิต
執行	ประหาร
コミュニティ	ชุมชน
弁護士	ทนายความ
弁護士	ทนาย
危険	อันตราย
健康	สุขภาพ
健康	อนามัย
価格	ราคา
参考	อ้างอิง
カン	คัง
工学	วิศวกรรม
工学	วิศวกรรมศาสตร์
タン	ตาล
母親	แม่
母親	มารดา
ベン	เบ็น
ベン	เบน
専攻	เมเจอร์
ドア	ประตู
順位	จุดยืน
数学	เลขคณิต
数学	คณิต
数学	คณิตศาสตร์
数学	เลข
信号	สัญญาณ
ドン	ดอน
ダイレクト	โดยตรง
ダイレクト	ตรง
金融	ไฟแนนซ์
スウェーデン	สวีเดน
ミス	นางงาม
ミス	คิดถึง
ミス	มิส
ミス	พลาด
周囲	ปริมณฑล
動画	วีดีโอ
動画	วิดีโอ
わら	หลอด
わら	ฟาง
広告	โฆษณา
実行	ประหาร
始める	เริ่ม
チャンピオン	แชมเปี้ยน
チャンピオン	แชมป์
日記	ไดอารี่
日記	วารสาร
セル	เซลล์
サイ	แรด
パワー	อำนาจ
パワー	พลัง
パワー	พลังงาน
アーティスト	จิตรกร
アーティスト	ศิลปิน
食品	อาหาร
サポート	สนับสนุน
サポート	รองรับ
午後	บ่าย
ステーション	สถานี
戦艦	ประจัญบาน
戦艦	เรือรบ
騎士	อัศวิน
騎士	ไนท์
音声	สุนทรพจน์
音声	เสียง
遺産	มรดก
権利	สิทธิ
権利	สิทธิ์
バンク	แบงค์
バンク	ธนาคาร
バンク	แบงก์
スコア	แต้ม
スコア	คะแนน
スコア	สกอร์
スペース	อวกาศ
スペース	พื้นที่
人生	ชีวิต
ウェブサイト	เว็บไซต์
コピー	สำเนา
エピソード	ตอน
希望	โฮป
希望	หวัง
航空機	อากาศยาน
ジェイ	เจย์
マシン	แมชชีน
マシン	เครื่องจักร
マシン	เครื่อง
練習	ฝึกฝน
練習	ฝึก
練習	ซ้อม
ソフトウェア	ซอฟท์แวร์
ソフトウェア	ซอฟแวร์
ソフトウェア	ซอฟต์แวร์
燃料	น้ำมัน
古い	เก่า
古い	เก่าๆ
古い	แก่
撤退	ถอน
領域	พื้นที่
領域	บริเวณ
防御	ป้องกัน
天使	เทวดา
天使	นางฟ้า
無料	ฟรี
無料	อิสระ
