ve	y
okulu	escuela
okulu	colegio
aldı	tomaron
aldı	tomadas
aldı	recibido
aldı	tomado
aldı	tomada
aldı	recibida
aldı	recibidos
aldı	tomados
aldı	recibidas
aldı	tomó
em	chupa
em	chupe
em	chupar
farklı	distinta
farklı	distintos
farklı	diferente
farklı	distinto
farklı	diferentes
futbol	futbol
futbol	fútbol
ileti	mensajes
ileti	mensaje
doğru	derecho
doğru	verdadero
doğru	corrija
doğru	correcto
doğru	verdadera
doğru	cierto
doğru	derecha
doğru	verdad
doğru	correcta
doğru	exacto
doğru	exacta
doğru	precisa
doğru	corregir
doğru	precisos
tarım	agricultura
tarım	agrícola
tarım	agricola
tarım	agraria
tarım	agrícolas
on	rte
on	diez
özel	exclusivos
özel	personalizado
özel	privadas
özel	privada
özel	privado
özel	personalizada
özel	exclusivas
özel	costumbre
özel	exclusiva
özel	costumbres
özel	especial
özel	privados
özel	especiales
özel	exclusividad
özel	exclusivo
biri	alguien
biri	una
biri	uno
alanı	superficie
alanı	campo
alanı	zona
alanı	área
uzun	alto
uzun	largos
uzun	ampliada
uzun	larga
uzun	extendido
uzun	extendida
uzun	extendidas
uzun	largo
uzun	ampliado
şarkı	cantando
şarkı	canciones
şarkı	cantos
şarkı	cancion
şarkı	canción
şarkı	cantar
şarkı	canto
lig	liga
lig	ligas
orta	mediano
orta	mediados
orta	medio
orta	mediana
orta	centro
orta	médium
orta	centrar
orta	medianas
oyuncu	jugadora
oyuncu	actriz
oyuncu	jugador
oyuncu	reproductor
geri	regreso
geri	espalda
geri	volver
geri	atrasada
geri	atrasado
mesaj	texto
mesaj	mensajes
mesaj	mensaje
elektrik	eléctrica
elektrik	electrica
elektrik	eléctrico
elektrik	electricidad
elektrik	eléctricas
elektrik	electrico
ardından	después
ardından	tras
ardından	despues
merkezi	céntrica
merkezi	céntrico
merkezi	centro
merkezi	centrar
merkezi	centrales
kısa	cortos
kısa	corta
kısa	breve
kısa	breves
kısa	corto
güney	sureño
güney	sureña
güney	sur
güney	meridional
almanya	alemania
kişi	persona
değil	no
kuzey	norte
kuzey	septentrional
kuzey	norteña
çeşitli	variada
çeşitli	varios
çeşitli	variado
çeşitli	diversos
çeşitli	variedad
çeşitli	varias
çeşitli	variados
çeşitli	variadas
açıklama	descripción
açıklama	explicación
ortaya	revelan
ortaya	revelar
ortaya	revela
bilgileri	informacion
bilgileri	información
fransa	francia
ingilizce	ingles
ingilizce	espanol
ingilizce	inglés
olmak	siendo
olmak	estar
olmak	convirtiéndose
olmak	ser
amerika	eeuu
amerika	américa
el	mano
burada	aqui
burada	aquí
burada	acá
burada	aca
yok	ninguno
yok	nop
yok	ninguna
gol	meta
gol	objetivo
gol	portería
gol	lagos
gol	laguna
gol	metas
gol	goles
gol	objetivos
gol	lago
gol	gol
sağlayan	proporcionando
sağlayan	propicio
sağlayan	proveer
sağlayan	proporcionar
ana	principales
ana	madre
ana	principal
suyu	jugo
suyu	zumo
suyu	jugos
suyu	zumos
özellikle	concretamente
özellikle	particularmente
özellikle	específicamente
özellikle	especialmente
ilköğretim	elemental
ilköğretim	elementales
ilköğretim	primaria
birleşik	unidos
birleşik	unió
birleşik	unida
birleşik	unificadas
birleşik	unificado
birleşik	unificados
birleşik	unido
birleşik	unificada
ödülü	premiado
ödülü	laudo
ödülü	adjudicación
ödülü	premio
ödülü	galardón
ödülü	recompensa
ödülü	premios
altyapı	subestructura
altyapı	infraestructuras
altyapı	infraestructura
yerine	sustituya
yerine	sustituir
yerine	reemplazo
yerine	reemplazar
gün	dia
gün	día
geçen	transcurrido
geçen	pasando
doğu	oriente
doğu	orientales
doğu	este
doğu	oriental
süre	duración
süre	hora
süre	tiempo
sabit	constante
sabit	fijos
sabit	fijas
sabit	constantes
sabit	fijado
sabit	estable
sabit	estables
sabit	establo
sabit	corregido
sabit	fijo
eğitim	enseñanza
eğitim	entrenando
eğitim	tutoría
eğitim	educacion
eğitim	formación
eğitim	entrenamiento
eğitim	educación
eğitim	educativa
eğitim	educativo
eğitim	cursillo
eğitim	capacitación
eğitim	adiestramiento
su	agua
sırasında	durante
uluslararası	internacional
uluslararası	internacionales
olur	sucede
olur	ocurre
olur	pasa
yaklaşık	aprox
yaklaşık	aproximadamente
yaklaşık	aproximar
yaklaşık	aproximado
yaklaşık	aproximada
yaklaşık	acerca
yaklaşık	sobre
alman	alemán
alman	alemana
alman	alemanes
alman	aleman
az	poco
az	menos
az	pequeño
az	pequeña
az	poquito
millî	nacional
millî	nacionales
kaynak	recursos
kaynak	origen
kaynak	fuente
kaynak	soldar
kaynak	recurso
kaynak	soldadura
kaynak	procedencia
kullanılan	utilizados
kullanılan	utilizada
kullanılan	usados
kullanılan	usado
kullanılan	usada
kullanılan	utilizado
ligi	liga
ligi	ligas
görev	deber
görev	asignación
görev	cesión
görev	misión
görev	tarea
görev	mision
halk	público
halk	públicos
halk	personas
halk	gente
halk	pueblos
halk	públicas
halk	publico
halk	pueblo
tv	televisiones
tv	televisión
tv	televisor
onun	sus
onun	ella
onun	su
yine	nuevamente
ekonomisi	económica
ekonomisi	economia
ekonomisi	economía
yılı	año
telefon	telefono
telefon	teléfonos
telefon	teléfono
telefon	telefonía
yeniden	nuevamente
yeniden	reconstrucción
yeniden	reconstruir
içme	bebida
içme	beber
içme	bebiendo
etki	influenciar
etki	efecto
etki	influir
etki	repercusión
etki	impacto
etki	influencia
etki	influencias
sezon	temporada
albüm	álbumes
albüm	álbum
albüm	disco
ingiliz	inglés
ingiliz	espanol
ingiliz	británico
ingiliz	británica
ingiliz	ingles
ingiliz	británicos
puan	calificado
puan	partitura
puan	puntuación
puan	calificados
puan	calificar
puan	punta
puan	puntos
puan	clasificación
puan	habilitación
puan	clasificado
puan	anotar
puan	calificación
puan	punto
puan	nominal
nedeniyle	debido
nüfus	población
nüfus	poblaciones
batı	occidental
batı	occidentales
batı	oeste
batı	occidente
altında	debajo
altında	bajo
tür	especie
tür	genero
tür	tipo
tür	especies
tür	escribe
tür	género
tür	escriba
amerikan	americano
amerikan	americana
amerikan	estadounidense
amerikan	americanos
savaş	combatir
savaş	guerra
savaş	luchar
savaş	lucha
savaş	pelea
savaş	combate
savaş	combates
savaş	batalla
savaş	batallas
tekrar	repita
tekrar	repetición
tekrar	repito
tekrar	repite
tekrar	nuevamente
tekrar	repetir
söz	prometer
söz	palabra
söz	promesa
söz	prometido
söz	promesas
söz	prometen
rağmen	rencor
rağmen	despecho
rağmen	apesar
grubu	agrupar
grubu	grupo
elde	logrado
elde	adquiere
elde	adquirió
elde	alcanzada
elde	adquirido
elde	adquiridas
elde	lograr
elde	alcanzados
elde	adquiridos
elde	alcanzado
elde	adquiera
elde	adquirida
elde	adquirir
ait	pertenencia
ait	perteneces
ait	pertenece
ait	pertenecer
ait	pertenecen
ait	pertenecientes
kadın	hembra
kadın	femenino
kadın	mujeres
kadın	hembras
kadın	mujer
türkçe	turquía
türkçe	turca
türkçe	inglés
türkçe	espanol
türkçe	turco
türkçe	ingles
türkçe	turcos
kullanıcı	usuarios
kullanıcı	usuario
tam	plena
tam	completar
tam	completado
tam	completas
tam	completa
tam	llena
tam	lleno
tam	completo
birliği	unión
birliği	sindicato
kanalizasyon	cloaca
kanalizasyon	alcantarilla
kanalizasyon	saneamiento
kanalizasyon	alcantarillas
kanalizasyon	cloacas
kanalizasyon	alcantarillado
maç	juego
maç	coincidencia
maç	partido
maç	coincidir
maç	cerilla
roma	roma
at	tirar
at	caballos
at	caballo
bölüm	división
bölüm	parte
bölüm	sección
bölüm	seccion
bölüm	capitulo
bölüm	episodio
bölüm	departamento
bölüm	capítulo
yazar	autora
yazar	escritora
yazar	escritor
yazar	autor
sıra	fila
sıra	filas
sıra	remar
sıra	hileras
sıra	rema
sıra	hilera
ulusal	nacional
ulusal	nacionales
köyü	aldea
köyü	poblado
köyü	villa
köyü	pueblo
teknik	técnica
teknik	tecnica
teknik	técnico
teknik	técnicos
teknik	tecnología
nüfusu	población
nüfusu	poblaciones
deniz	marinos
deniz	marinas
deniz	marino
deniz	marina
deniz	mar
uygun	apto
uygun	elegibles
uygun	adecuado
uygun	encajar
uygun	conveniente
uygun	apropiados
uygun	elegible
uygun	apropiadas
uygun	convenientes
uygun	apropiado
uygun	apropiada
uygun	adecuados
bütün	enteras
bütün	entera
bütün	enteros
bütün	entero
yakın	cercano
yakın	cierra
yakın	cerrar
yakın	cercana
yakın	cerca
yakın	cierre
listesi	lista
listesi	listado
dört	cuatro
iç	bebida
iç	suspiro
iç	suspira
iç	interiores
iç	beba
iç	beber
iç	bebe
ingiltere	inglaterra
alt	bajar
alt	submarino
alt	inferior
asfalt	asfalto
fransız	francesa
fransız	franceses
fransız	francés
belediye	municipales
belediye	municipio
belediye	municipalidad
stadyumu	estadio
sonucu	consecuencia
rusya	belarús
rusya	rusia
rusya	bielorrusia
genellikle	usualmente
genellikle	mayormente
genellikle	típicamente
genellikle	generalmente
genellikle	principalmente
genellikle	normalmente
genellikle	habitualmente
bar	taberna
sonunda	finalmente
parti	fiesta
parti	parte
parti	partido
erkek	machos
erkek	masculino
erkek	hombres
erkek	macho
erkek	hombre
erkek	varón
beyaz	blancas
beyaz	caucásico
beyaz	cáucaso
beyaz	blancos
beyaz	blanco
beyaz	blanca
bölge	territorio
bölge	distrito
bölge	región
bölge	superficie
bölge	comarca
bölge	área
bölge	zona
italya	italia
onu	su
onu	ella
onu	él
hava	clima
hava	tiempo
hava	aire
hava	meteorología
verilen	dados
verilen	dado
çünkü	porque
çünkü	causa
birkaç	varios
birkaç	pocos
birkaç	varias
birkaç	pocas
il	provincia
dönem	semestre
dönem	término
dönem	período
dönem	periodo
açık	claro
açık	abierto
açık	abrir
açık	abre
açık	abierta
açık	abra
açık	despejado
futbolcu	futbolista
insan	humana
insan	humanos
insan	persona
insan	humanas
insan	humano
insan	hombre
merkez	cuartel
merkez	sedes
merkez	céntrica
merkez	sede
merkez	céntrico
merkez	centrar
merkez	centro
merkez	cuarteles
merkez	centrales
düşük	bajas
düşük	bajos
düşük	baja
düşük	bajo
altın	oro
altın	dorada
altın	dorados
altın	dorado
bilinen	conocido
bilinen	conocida
bilinen	conocidos
bilinen	conocidas
neden	porqué
bin	mil
genç	juventud
genç	joven
genç	adolescente
genç	jovenes
genç	jóvenes
genç	jóven
genç	adolescentes
dışında	salvo
dışında	excepto
kır	romper
kır	descanso
stadyum	estadio
ülke	pais
ülke	país
dil	idioma
dil	lenguas
dil	idiomas
dil	lengua
dil	lenguaje
pozisyon	puestos
pozisyon	posicion
pozisyon	posiciones
pozisyon	posturas
pozisyon	posición
dahil	incluida
dahil	incluyendo
dahil	incluya
dahil	incluído
dahil	incluyen
dahil	incluidas
dahil	incluido
dahil	incluir
dahil	incluye
dahil	incluyan
dahil	incluidos
an	momento
iş	empleos
iş	obra
iş	empleo
iş	trabajo
iş	trabajar
iş	negocios
iş	empresa
iş	trabajos
iş	trabaje
iş	negocio
bölümü	seccion
bölümü	departamento
bölümü	sección
ili	gobernación
gelir	rentas
gelir	renta
gelir	ingreso
gelir	ingresos
kullanım	usar
kullanım	utilizar
kullanım	utilización
kullanım	uso
sanat	artes
sanat	arte
arasındaki	entre
üçüncü	tercera
üçüncü	terceros
üçüncü	tercer
üçüncü	tercero
bunu	este
bunu	que
bunu	esto
bunu	eso
bunu	esta
sonraki	siguiente
sonraki	proxima
sonraki	próxima
sonraki	próximo
ele	conquistar
ele	conquista
güzel	hermoso
güzel	agradable
güzel	hermosos
güzel	bastante
güzel	bueno
güzel	niza
güzel	guapas
güzel	bellos
güzel	encantadora
güzel	adorable
güzel	buenos
güzel	hermosa
güzel	lindo
güzel	preciosa
güzel	linda
güzel	precioso
güzel	buenas
güzel	buena
güzel	bien
güzel	bonita
güzel	guapa
güzel	bonito
alır	toma
çocuk	niños
çocuk	muchacho
çocuk	niño
çocuk	chaval
çocuk	ninos
çocuk	chico
çocuk	niña
çocuk	pibe
çocuk	infancia
çocuk	niñez
sinema	cine
sinema	película
sinema	películas
sinema	peliculas
sinema	pelicula
askeri	militar
askeri	ejército
askeri	militares
örneğin	ejemplo
üst	cima
üst	arriba
kara	tierras
kara	negros
kara	terrenos
kara	negra
kara	tierra
kara	negras
kara	terreno
kara	negro
oyun	juego
oyun	juegue
oyun	juegos
oyun	juega
oyun	videojuegos
oyun	jugar
oyun	reproducir
beraber	juntos
beraber	juntas
sırada	siguiente
sırada	proxima
sırada	próxima
sırada	próximo
şablon	patrón
şablon	patrones
şablon	plantillas
şablon	patron
şablon	plantilla
şablon	pauta
aday	candidatos
aday	nominada
aday	demandante
aday	nominados
aday	candidato
aday	nominado
aday	solicitante
aday	candidata
milyon	millón
milyon	millones
milyon	millon
top	pelota
top	cañones
top	balón
top	cañón
top	cañon
top	bola
hakem	referí
hakem	árbitro
ay	luna
ay	mes
ay	meses
imparatorluğu	imperio
internet	telaraña
herhangi	cualquiera
herhangi	cualquier
tiyatro	teatros
tiyatro	teatrales
tiyatro	dramática
tiyatro	teatral
tiyatro	teatro
tiyatro	dramático
kazandı	gano
kazandı	gane
kazandı	victorias
kazandı	ganó
kazandı	gané
kazandı	ganados
kazandı	gana
kazandı	ganado
kültür	cultivo
kültür	cultivos
kültür	culturales
kültür	cultura
kültür	culturas
karar	decisión
karar	decisiones
karar	decidió
karar	veredicto
karar	decidido
tarih	fecha
tarih	historial
tarih	cita
tarih	historia
ilçe	distrito
ilçe	condado
temel	básico
temel	básica
temel	cimientos
temel	básicas
temel	fundamentos
temel	fundación
temel	básicos
konu	sujeto
konu	tópico
konu	súbdito
konu	asignatura
konu	tema
konu	asunto
bağlantı	contacta
bağlantı	conexion
bağlantı	contactar
bağlantı	enlazar
bağlantı	contacto
bağlantı	contactos
bağlantı	enlace
bağlantı	vínculo
bağlantı	conexión
çin	vajilla
çin	porcelana
ünlü	celebridades
ünlü	famosos
ünlü	famoso
ünlü	famosa
ünlü	celebridad
ünlü	famosas
spor	deportes
spor	deporte
spor	deportivo
kalan	permaneciendo
kalan	restantes
kalan	restante
meslek	ocupación
meslek	profesión
meslek	vocación
meslek	vocacional
iran	persa
iran	persas
telif	regalías
telif	derechos
telif	cánones
çıktı	salida
çıktı	producción
ispanya	españa
bile	incluso
bile	aun
bile	hasta
izmir	esmirna
sosyal	sociales
cm	pulgadas
cm	centímetros
japonya	japon
japonya	japón
ün	fama
geldi	llegó
geldi	llegado
geldi	llegaron
geldi	llegamos
liste	lista
liste	listas
liste	listado
oy	votando
oy	votaciones
oy	votar
oy	votación
oy	voto
oy	votos
geniş	amplio
geniş	amplia
geniş	ancho
geniş	espaciosa
geniş	amplias
geniş	espacioso
geniş	grandes
geniş	grande
geniş	amplios
ev	casita
ev	inicio
ev	hogar
ev	casa
transfer	transfiriendo
transfer	traslados
transfer	traspasos
transfer	transferencias
önceki	previo
önceki	previos
önceki	anterior
önceki	anteriores
önceki	antes
mısır	maiz
mısır	maíz
mısır	egipcio
mısır	egipto
mısır	egipcios
mısır	egipcia
rus	rusos
rus	rusia
rus	ruso
rus	rusas
rus	rusa
yarı	medio
yarı	mitad
afrika	africana
afrika	africanos
afrika	áfrica
afrika	africano
afrika	africanas
hareket	moverse
hareket	moción
hareket	mover
hareket	movimientos
hareket	movimiento
hareket	mudanza
hareket	muévete
adil	justo
adil	justa
adil	feria
bölgesi	territorio
bölgesi	región
bölgesi	comarca
kontrol	comprobar
kontrol	controlando
kontrol	comprobando
kontrol	controlar
kontrol	cheque
kontrol	comprobación
kontrol	compruebe
kontrol	controlador
sahibi	dueña
sahibi	propietarios
sahibi	propietario
sahibi	dueño
sahibi	propietaria
bilim	ciencia
bilim	ciencias
üreten	producir
üreten	fabrica
üreten	produciendo
üreten	manufacturas
üreten	manufactura
sistemi	sistema
başarılı	éxito
başarılı	exitos
başarılı	exito
başarılı	exitosas
başarılı	éxitos
başarılı	satisfactoriamente
başarılı	exitoso
başarılı	exitosa
başarılı	exitosos
ordu	armada
ordu	ejercito
ordu	militar
ordu	ejército
ordu	militares
verdi	dio
verdi	dió
yaşayan	vivir
yaşayan	viviendo
profesyonel	profesionales
profesyonel	profesionalidad
profesyonel	profesional
süper	guay
süper	súper
süper	chido
süper	genial
süper	soberbia
hiç	nunca
hiç	ninguna
hiç	jamas
hiç	ninguno
hiç	jamás
ifade	declaración
ifade	expresar
ifade	comunicado
ifade	expresa
ifade	testimonios
ifade	expresión
ifade	expresas
ifade	deposición
ifade	expreso
ifade	afirmación
ifade	exprés
ifade	enunciado
ifade	testimonio
şey	cosa
rol	papeles
rol	rol
islam	islámica
islam	islámicas
islam	islámicos
islam	islámico
rapor	denunciar
rapor	reporte
rapor	denuncia
rapor	informe
rapor	reportar
kullanılır	utilizados
kullanılır	utilizada
kullanılır	usados
kullanılır	usado
kullanılır	usada
kullanılır	utilizado
yerel	locales
yönetim	gobierno
yönetim	gobernanza
yönetim	gobernabilidad
yönetim	dirección
yönetim	gobernación
yönetim	administración
yönetim	gestión
yönetim	gerencia
video	vídeos
kurulan	establecida
kurulan	fundó
kurulan	fundada
kurulan	establecido
kurulan	establecidos
kurulan	funda
kurulan	fundado
beş	cinco
altı	seises
altı	seis
final	final
final	finales
forma	uniformes
forma	camiseta
forma	uniforme
dizi	matriz
dizi	serie
dizi	secuencia
dizi	sucesión
dizi	secuencias
gerekli	indispensable
gerekli	requerida
gerekli	esencial
gerekli	necesario
gerekli	exigido
gerekli	necesaria
gerekli	requeridos
gerekli	necesarias
gerekli	esenciales
gerekli	requerido
gerekli	imprescindible
gerekli	necesarios
gerekli	imprescindibles
iklim	clima
ayrı	separado
ayrı	aparte
ayrı	separar
ayrı	separadas
ayrı	separada
ayrı	separados
veri	dato
veri	datos
şampiyonası	campeonato
şampiyonası	campeonatos
yerleşim	residencial
yerleşim	residenciales
yerleşim	liquidación
yerleşim	disposición
yerleşim	asentamiento
yerleşim	trazado
kariyeri	carrera
adet	menstruación
adet	período
adet	periodo
yaz	escribo
yaz	escritura
yaz	verano
yaz	escribe
yaz	escribir
yaz	escriba
kuvvetleri	fuerzas
tespit	detectados
tespit	detectado
tespit	detectadas
tespit	detecta
tespit	detección
tespit	detectó
tespit	detectar
tespit	detectada
göz	navegar
göz	ojo
göz	navega
göz	ojos
göz	explorar
göz	ojitos
televizyon	televisiones
televizyon	televisión
televizyon	televisor
galatasaray	madrid
sezonu	temporada
yayın	difusión
yayın	publicar
yayın	publicando
yayın	transmision
yayın	radiodifusión
yayın	publicaciones
yayın	transmisión
yayın	emisión
yayın	publicación
yayın	editorial
karasal	terrenal
karasal	terrestre
karasal	terrestres
durum	situación
durum	estatus
durum	situacion
durum	condición
durum	condicion
durum	estado
yıldız	estrella
yıldız	estrellas
yıldız	asterisco
yıldız	estelar
yıldız	estelares
gelenek	tradiciones
gelenek	tradición
nasıl	como
nasıl	cómo
tip	tipo
tip	escribe
tip	escriba
mücadele	luchar
mücadele	lucha
mücadele	peleas
mücadele	pelea
mücadele	combates
mücadele	luchando
yeri	localización
yeri	lugar
yeri	ubicación
yeri	emplazamiento
yeri	ubicacion
yardımcı	adjunto
yardımcı	auxiliar
yardımcı	diputado
yardımcı	asistente
yardımcı	ayudante
yardımcı	adjunta
yıllık	anuales
yıllık	anuario
yıllık	anual
yıllık	anualmente
kız	niña
kız	hermanas
kız	chica
kız	muchacha
cumhuriyet	republicanos
cumhuriyet	república
cumhuriyet	republicano
cumhuriyet	republica
cumhuriyet	republicana
cumhuriyet	mancomunidad
bağımsız	independientes
bağımsız	independiente
bunlar	estas
bunlar	esas
bunlar	aquellos
bunlar	esos
bunlar	estos
bunlar	éstos
bunlar	éstas
yanlış	incorrectos
yanlış	falsa
yanlış	equivocado
yanlış	incorrectas
yanlış	equivocados
yanlış	incorrecto
yanlış	mal
yanlış	falsas
yanlış	falsos
yanlış	incorrecta
yanlış	falso
al	tomar
al	consigue
al	obtener
al	obtenga
al	toma
al	tome
al	conseguir
kurulu	junta
kurulu	instalado
kurulu	tabla
kurulu	instaladas
kurulu	instalada
kurulu	tablero
kurulu	instalados
kurulu	tablón
gerçek	verdadero
gerçek	verdadera
gerçek	cierto
gerçek	hecho
gerçek	reales
gerçek	verdad
ses	voz
ses	ruidos
ses	sonido
ses	volumen
ses	ruido
milli	nacional
milli	nacionales
kitap	libros
kitap	libro
temsil	representación
temsil	representando
temsil	represente
temsil	representar
temsil	representados
temsil	representa
temsil	representaciones
temsil	representan
ten	piel
ten	cutis
ödülleri	galardones
ödülleri	recompensa
ödülleri	premios
ödülleri	recompensas
saat	relojes
saat	reloj
saat	hora
güneş	sol
güneş	solares
yazarı	autora
yazarı	autor
haline	convertirse
kaldı	restante
kaldı	restantes
kaldı	permanecido
kaldı	permaneciendo
kaldı	permanecieron
bakanı	ministro
bakanı	ministra
bakanı	pastor
geçti	pasó
siyasi	político
benzer	similares
benzer	parecidos
benzer	parecido
krallık	reino
doğal	naturales
doğal	naturalidad
inşa	construir
inşa	construidos
inşa	edificación
inşa	construida
inşa	edificio
inşa	construyendo
inşa	construye
inşa	construcción
inşa	construya
inşa	construido
doğdu	nacidos
doğdu	nacido
yeterli	suficiente
yeterli	adecuado
yeterli	suficientes
yeterli	adecuada
yeterli	adecuados
ortak	socio
ortak	pareja
ortak	colaboradores
ortak	socia
ortak	socios
ortak	asociados
ortak	compañeros
ortak	compañero
londra	londres
türü	genero
türü	tipo
türü	escribe
türü	género
türü	escriba
başkanlığı	presidencia
göç	emigración
göç	migraciones
göç	inmigración
göç	migrar
göç	migración
göç	emigrar
göç	éxodo
as	ases
as	cuelgue
as	as
as	cuelga
as	eca
as	colgar
bakanlığı	ministerio
bakanlığı	cancillería
bakanlığı	ministerios
kurulmuştur	establecido
kurulmuştur	establecidos
kurulmuştur	establecida
logo	logotipos
örnek	muestra
örnek	muestras
örnek	ejemplo
