और	ve
किसी	birini
क्षेत्र	alanı
क्षेत्र	bölgesi
क्षेत्र	bölge
क्षेत्र	alanlar
क्षेत्र	bölgede
क्षेत्र	alanları
क्षेत्र	alan
क्षेत्र	bölgeler
अधिक	daha
अधिक	devamı
कई	birkaç
कई	birçok
कई	birkaçı
स्थित	bulunan
मण्डल	bölge
आधिकारिक	resmi
आधिकारिक	resmî
कारण	nedenler
कारण	nedeni
कारण	sebebi
कारण	çünkü
कारण	sebepler
कारण	nedenleri
कारण	sebep
कारण	sebepleri
होने	olmak
जैसे	gibi
जैसे	beğen
करता	zorbalar
उनके	onların
उनके	onlar
उनके	onları
उनके	onlarin
सबसे	çogu
सबसे	çoğu
हिन्दी	hintçe
बहुत	çok
बहुत	cok
पहले	ilk
पहले	önceden
पहले	once
पहले	önceki
पहले	öncelikle
पहले	öncesi
पहले	öncesinde
पहले	önce
अपनी	kendi
दो	iki
जिला	semt
जिला	ilçesi
जिला	bölge
जिला	ilçe
जिला	bahşı
उन्होंने	onlar
उन्होंने	mısırlılar
जन्म	doğan
जन्म	doğdum
जन्म	doğmuş
जन्म	dogum
जन्म	doğuştan
जन्म	doğumu
जन्म	doğdu
जन्म	doğum
कोई	herhangi
लेकिन	fakat
लेकिन	ama
ये	bu
ये	bunlar
ये	şunlar
ये	bunu
ये	bunları
कम	alçak
कम	düşük
कम	az
कहा	dedi
लोग	millet
लोग	insanlar
लोग	halk
लोग	kişiler
आदि	daha
आदि	vb
आदि	devamı
उसके	onun
उसके	onunki
उसके	onu
प्राचीन	ilkel
प्राचीन	kadim
प्राचीन	eskiler
प्राचीन	antik
देखें	gör
देखें	görmek
देखें	görünüm
देखें	manzara
देखें	izleyin
देखें	görün
देखें	görünümü
देखें	izle
उत्तर	cevapla
उत्तर	kuzeyde
उत्तर	kuzey
उत्तर	yanıtlar
उत्तर	cevap
उत्तर	yanıt
उत्तर	kuzeye
उत्तर	cevaplar
भाषा	dil
भाषा	diller
भाषा	dilleri
भाषा	dile
भाषा	dili
भाषा	lisan
लिये	icin
लिये	için
सभी	tümü
सभी	hepsini
सभी	hepsi
सभी	tamamı
प्राप्त	alınan
प्राप्त	aldı
प्राप्त	alındı
प्रयोग	kullanım
प्रयोग	kullanımı
प्रयोग	deneyler
प्रयोग	deney
शामिल	dahil
शामिल	içerir
शामिल	dâhil
उन्हें	onları
उन्हें	onlar
उस	bunu
उस	bu
स्थान	konumları
स्थान	konumu
स्थान	yer
स्थान	yerleri
स्थान	mekanlar
स्थान	yeri
स्थान	mekanı
स्थान	konum
स्थान	konumlar
स्थान	yerler
स्थान	mekan
स्थान	mekân
प्रमुख	reis
प्रमुख	ana
प्रमुख	binbaşı
प्रमुख	şef
बीच	merkezi
बीच	merkez
बीच	orta
बीच	sahilde
बीच	sahil
बीच	plaj
बीच	kumsal
गए	gitmiş
गए	gitti
मुख्य	reis
मुख्य	ana
मुख्य	şef
उसे	onun
उसे	onu
कार्य	iş
कार्य	çalışmak
कार्य	çalışma
कार्य	görevler
कार्य	görev
कार्य	eyüp
कार्य	çalış
कार्य	işler
उनकी	onların
उनकी	onlarin
नगर	sehir
नगर	şehir
नगर	kasaba
उपयोग	kullanım
उपयोग	kullanılıyor
उपयोग	kullan
उपयोग	kullanımı
उपयोग	kullanın
उपयोग	kullandığı
उपयोग	kullanmak
उपयोग	kullanıyor
लोगों	millet
लोगों	insanlar
लोगों	halk
लोगों	kişiler
आधार	baz
आधार	öncül
आधार	dayanak
आधार	taban
आधार	üs
आधार	üssü
काम	iş
काम	çalışma
काम	çalışmak
काम	çalış
जीवन	yaşam
जीवन	ömür
जीवन	hayat
विश्व	dünya
विश्व	dunya
भाग	kısım
भाग	parçası
भाग	bölümleri
भाग	kısmen
भाग	bölümler
भाग	kısımlar
भाग	bölüm
भाग	parçaları
भाग	parçalar
निर्माण	inşaat
निर्माण	yaratılış
निर्माण	imalatı
निर्माण	inşa
निर्माण	imalat
निर्माण	üretim
निर्माण	oluşturma
निर्माण	yaratma
दोनों	darısı
दोनों	ikisi
दोनों	ikiside
राष्ट्रीय	millî
राष्ट्रीय	milli
राष्ट्रीय	ulusal
जानकारी	bilgiler
जानकारी	bilgilendirme
जानकारी	bilgi
जानकारी	bilgileri
पोर्टल	geçit
शहर	sehir
शहर	şehir
शहर	şehirler
शहर	şehirleri
शहर	kentler
बार	barlar
बार	kez
बार	çubuklar
बार	zamanlar
बार	parmaklıklar
बार	çubuk
लगभग	nerdeyse
लगभग	neredeyse
लगभग	yaklaşık
फिल्म	filim
फिल्म	film
फिल्म	sinema
यहाँ	burda
यहाँ	burada
प्रसिद्ध	tanınmış
प्रसिद्ध	meşhur
प्रसिद्ध	ünlü
विकास	gelişme
विकास	gelişim
विकास	geliştirme
विकास	büyüme
विकास	büyümek
विकास	kalkınma
केवल	yalnızca
केवल	sadece
देश	ülke
देश	ülkeler
देश	ülkelere
देश	vatan
देश	ulus
देश	ülkeleri
वेबसाइट	site
अलग	ayrı
अलग	ayırın
अलग	farkli
अलग	ayrılmış
अलग	ayrıldı
अलग	farklı
अलग	ayri
अलग	değişik
विशेष	özeldir
विशेष	ozel
विशेष	özel
विशेष	ayrıcalıklı
कभी	hic
कभी	hiç
दी	verdi
दी	vermiş
दी	verilen
दी	verilmiş
दी	verildi
पृष्ठ	sayfaya
पृष्ठ	sayfaları
पृष्ठ	sayfa
पृष्ठ	sayfayı
पृष्ठ	sayfalar
पृष्ठ	sayfada
पृष्ठ	sayfası
माना	sözde
माना	güya
शब्द	kelime
शब्द	söz
शब्द	kelimesi
शब्द	laf
शब्द	sözcük
शब्द	sözcükler
शब्द	sözler
शब्द	kelimeler
फिर	ozaman
फिर	öyleyse
फिर	sonra
तीन	üç
पुरस्कार	ödülü
पुरस्कार	ödül
पुरस्कार	ödülleri
पुरस्कार	ödüller
लेख	makale
लेख	yazı
लेख	makaleler
लेख	yazılar
लेख	tezi
लेख	tez
लेख	madde
जिसे	kimi
जिसे	kime
अब	simdi
अब	şimdi
दौरान	esnasında
दौरान	sırasında
अमेरिका	amerika
मंदिर	tapınak
मंदिर	tapınağı
अलावा	ayrı
अलावा	ek
अलावा	ilave
वार्ता	konuşur
वार्ता	konuşuyor
दक्षिण	güney
दक्षिण	güneye
स्थल	mekan
स्थल	mekanı
स्थल	yer
स्थल	mekân
विभिन्न	çeşitli
इतिहास	tarih
इतिहास	tarihi
इतिहास	geçmiş
लिया	aldı
लिया	alınan
लिया	alınır
लिया	alınmış
लिया	alındı
फ़िल्म	filim
फ़िल्म	film
फ़िल्म	sinema
क्योंकि	çünkü
क्योंकि	cünkü
पास	geçiş
पास	pas
विस्तृत	detaylı
विस्तृत	ilerlemiş
विस्तृत	gelişmiş
विस्तृत	ileri
विस्तृत	ayrıntılı
दिन	gündüz
दिन	gün
दिन	günleri
दिन	günlerden
दिन	günlerce
दिन	günler
दिन	gun
कृषि	tarımsal
कृषि	tarım
शुरू	başladı
शुरू	başlayın
शुरू	başlasın
शुरू	başladık
शुरू	başla
शुरू	başladım
व्यक्ति	bireysel
व्यक्ति	kisi
व्यक्ति	kişiye
व्यक्ति	şahıs
व्यक्ति	birey
व्यक्ति	insan
व्यक्ति	bireysellik
व्यक्ति	kişi
उनका	onların
उनका	onlarin
विज्ञान	bilimsel
विज्ञान	fen
विज्ञान	bilim
सदस्य	üye
सदस्य	abone
सदस्य	üyeler
सदस्य	üyeleri
हालांकि	gerçi
सिंह	aslan
अनेक	birkaç
अनेक	çoklu
अनेक	birçok
अनेक	birkaçı
यहां	burda
यहां	burada
संख्या	sayılar
संख्या	numaralar
संख्या	rakam
संख्या	sayı
संख्या	numarası
संख्या	rakamlar
संख्या	numaraları
संख्या	numara
अपना	senin
अपना	kendi
अपना	sizin
बात	konuşma
बात	konuşmak
बात	konuş
बात	şey
साहित्य	edebiyat
साहित्य	edebiyatı
शिक्षा	harç
शिक्षा	eğitim
धर्म	din
धर्म	dini
धर्म	dinin
धर्म	dinler
धर्म	dinleri
मूल	orijinal
मूल	orjinal
मूल	aslı
मूल	köken
मूल	temel
मूल	kökeni
मूल	özgün
मूल	yerli
तब	ozaman
तब	öyleyse
तब	sonra
बना	yapıldı
बना	yapılmış
बना	yap
कोड	kod
कोड	kodları
कोड	şifre
कोड	şifreler
कोड	kodlar
कोड	kodu
संयुक्त	birleşik
संयुक्त	kombine
संयुक्त	eklem
संयुक्त	birleşmiş
संयुक्त	sarma
संयुक्त	birlik
संयुक्त	müşterek
जुलाई	temmuz
युद्ध	savas
युद्ध	savaş
युद्ध	muharebe
नदी	nehri
नदी	irmak
नदी	nehir
काल	adet
काल	nokta
काल	ara
काल	arama
काल	dönem
काल	çağrı
काल	arayın
काल	gergin
वर्षों	seneler
वर्षों	yıllardır
वर्षों	yıllar
वर्षों	yıllarca
वर्षों	yılların
स्टेशन	istasyonları
स्टेशन	istasyon
स्टेशन	karakol
स्टेशन	istasyonu
स्टेशन	istasyonlar
बड़े	geniş
बड़े	büyük
बड़े	buyuk
बड़े	kocaman
जनवरी	ocak
मध्य	medyan
मध्य	ortası
मध्य	merkez
मध्य	orta
मध्य	merkezi
राजा	kral
प्रथम	once
प्रथम	öncelikle
प्रथम	ilk
प्रथम	önce
विश्वविद्यालय	üniversiteler
विश्वविद्यालय	üniversite
विश्वविद्यालय	üniversitesi
जून	haziran
जून	joon
उसकी	onun
उसकी	onunki
उसकी	onu
मार्च	marş
मार्च	yürüyüş
मार्च	mart
बन	poğaça
बन	çörek
बनी	tavşan
बनी	tavşancık
अर्थ	anlam
अर्थ	anlamı
अर्थ	anlami
अप्रैल	nisan
अप्रैल	nişan
महत्वपूर्ण	onemli
महत्वपूर्ण	kritik
महत्वपूर्ण	eleştirel
महत्वपूर्ण	önemli
महत्वपूर्ण	önemlidir
प्रामाणिक	otantik
प्रामाणिक	hakiki
आप	sen
आप	siz
आप	seni
अक्टूबर	ekim
समूह	grubu
समूह	grupları
समूह	grup
समूह	gurup
समूह	gruplar
समूह	cemaat
वर्तमान	hediye
वर्तमान	akım
वर्तमान	güncel
वर्तमान	mevcut
वर्तमान	şimdiki
वर्तमान	akıntı
अध्ययन	çalışmaları
अध्ययन	çalışmak
अध्ययन	çalışma
अध्ययन	çalış
अध्ययन	çalışmalar
विभाग	departmanı
विभाग	bölümler
विभाग	bölüm
विभाग	departman
विभाग	bölümü
विभाग	bölünme
आम	yaygın
स्थिति	devlet
स्थिति	şart
स्थिति	durum
स्थिति	koşul
स्थिति	eyalet
स्थिति	mevki
स्थिति	konum
स्थिति	pozisyon
स्थिति	durumu
स्थिति	statü
प्रभाव	etkiler
प्रभाव	etkileri
प्रभाव	darbe
प्रभाव	etkisi
प्रभाव	çarpma
प्रभाव	efekt
प्रभाव	çarpışma
प्रभाव	etki
आदर्श	idealizm
साल	yılı
साल	seneler
साल	yıllardır
साल	sene
साल	yıl
साल	yıllar
साल	yıllarca
साल	yılların
पहली	once
पहली	öncelikle
पहली	ilk
पहली	önce
संगीत	müzik
अमेरिकी	amerikan
अमेरिकी	amerikalılar
अमेरिकी	amerikalı
सेवा	servis
सेवा	servisi
सेवा	hizmet
बनाने	oluşturma
बनाने	yaratma
बनाने	yaratmak
बनाने	yapmak
आज	bugün
आज	bügün
आज	bugünde
आज	bugun
स्थापित	kurulmuştur
स्थापित	yüklü
स्थापित	kurulu
स्थापित	kuruldu
स्थापित	kurulan
स्थापित	yüklendi
स्थापित	yüklenmiş
स्थापित	kurulmuş
स्थापित	yerleşik
उच्च	yüksek
उच्च	çak
उच्च	yüce
उच्च	yükseğe
उच्च	yükseklerde
देता	verir
देता	veriyor
उपलब्ध	mevcuttur
उपलब्ध	müsait
उपलब्ध	mevcut
उपलब्ध	kullanılabilir
काफी	oldukça
काफी	yeter
काफी	bolca
बड़ी	geniş
बड़ी	büyük
बड़ी	buyuk
बड़ी	kocaman
चार	dört
शक	kuşku
शक	şüphe
उदाहरण	örnek
उदाहरण	örnekleri
उदाहरण	örnekler
उदाहरण	örneği
उदाहरण	illüstrasyon
उदाहरण	örneğin
उसका	onun
उसका	onunki
उसका	onu
ले	alın
ले	al
जिससे	hangisi
जिससे	hangi
स्थापना	kurulması
स्थापना	tesisler
स्थापना	yükleme
स्थापना	montaj
स्थापना	kurulum
स्थापना	yükle
स्थापना	yükleyin
कंपनी	şirket
कंपनी	bölük
कंपनी	firma
अधिकांश	çogu
अधिकांश	çoğu
अधिकांश	genellikle
अधिकांश	çoğunlukla
सामाजिक	sosyal
सामाजिक	toplumsal
प्रत्येक	her
प्रत्येक	herbiri
बड़ा	kocaman
बड़ा	büyük
बड़ा	buyuk
बड़ा	geniş
बड़ा	harika
स्तर	seviyeleri
स्तर	düzey
स्तर	seviye
बनाया	oluşturulan
बनाया	yaratılmış
बनाया	yapılmış
बनाया	yapıldı
बनाया	yarattı
बनाया	oluşturuldu
बनाया	yaratıldı
चित्र	görseller
चित्र	resimler
चित्र	fotoğraf
चित्र	resimleri
चित्र	fotoğraflar
चित्र	görüntüler
चित्र	görsel
चित्र	görüntü
चित्र	imaj
चित्र	resim
चित्र	resmi
प्रणाली	sistemi
प्रणाली	sistem
सरकारी	hükümet
सरकारी	devlet
सरकारी	resmi
सरकारी	resmî
जहां	nereye
जहां	nerde
जहां	nere
जहां	nerede
देशों	ülkeleri
देशों	ülkeler
देशों	ülkelere
जल	su
सूची	listeyi
सूची	listesi
सूची	listeleri
सूची	liste
सूची	listeler
विचार	düşünceleriniz
विचार	dikkate
विचार	fikirler
विचार	değerlendirme
विचार	düşünce
विचार	düşünceler
विचार	fikirleri
विचार	fikir
विचार	fikri
छोटे	az
छोटे	kucuk
छोटे	minik
छोटे	küçük
छोटे	ufak
ऊपर	yukarda
ऊपर	üstünde
ऊपर	üstte
ऊपर	yukarıdaki
ऊपर	üst
ऊपर	üzeri
ऊपर	yukarıda
ऊपर	üstü
आधारित	tabanlı
आधारित	temelli
पानी	su
सामान्य	genel
सामान्य	yaygın
आगे	öne
आगे	ileri
आगे	ileriye
कुल	toplu
कुल	toplam
एक्स्प्रेस	ekspres
एक्स्प्रेस	ekspresi
एक्स्प्रेस	ifade
पुलिस	polis
वर्ग	kategorisi
वर्ग	kategori
वर्ग	sınıflar
वर्ग	dersleri
वर्ग	meydan
वर्ग	sınıf
वर्ग	kare
वर्ग	karesi
वर्ग	sınıfları
वर्ग	ders
वर्ग	dersler
वर्ग	klas
शरीर	beden
शरीर	vücut
शरीर	ceset
अंग्रेजी	turkish
अंग्रेजी	ingiliz
अंग्रेजी	ingilizce
अंग्रेजी	türkçe
माध्यम	medyum
माध्यम	orta
माध्यम	ortam
मानव	insan
मानव	insani
पाकिस्तान	pakistanlı
भूमिका	tanıtım
भूमिका	rol
भूमिका	rolün
भूमिका	giriş
हर	her
अतिरिक्त	yedek
अतिरिक्त	ekstra
अतिरिक्त	ilave
अतिरिक्त	ek
अतिरिक्त	fazladan
पिता	baba
समाज	topluluk
समाज	sosyete
समाज	toplum
उत्पन्न	oluşturulan
उत्पन्न	oluşturulmuş
उत्पन्न	oluşturuldu
नीचे	alttaki
नीचे	aşağı
नीचे	altta
नीचे	dibi
नीचे	aşağıya
नीचे	aşağıdan
नीचे	dibe
नीचे	aşağıda
नीचे	alt
दुनिया	dünya
दुनिया	dunya
आधुनिक	çağdaş
ध्यान	meditasyon
ध्यान	dikkat
हिंदी	hintçe
दे	verin
दे	ver
सभा	toplama
सभा	toplanıyor
सभा	toplanma
सभा	meclisi
सभा	montaj
सभा	toplantı
सभा	cemaat
परिवार	aile
परिवार	ailesi
विषय	konu
विषय	şahıs
विषय	konusu
विषय	konuları
विषय	başlıklar
विषय	konular
विषय	denek
अधिकार	haklar
अधिकार	hakları
अधिकार	hak
रंग	renkleri
रंग	rengi
रंग	renk
रंग	renkli
रंग	renkler
बाहर	dışarıda
बाहर	dışarıya
बाहर	dışarda
बाहर	istifa
बाहर	dışarı
खेल	oynayın
खेल	oyun
खेल	oyunları
खेल	oyunlar
खेल	spor
खेल	çal
खेल	sporlar
खेल	maç
खेल	maçlar
खेल	oyna
क्षेत्रों	alanlar
क्षेत्रों	bölgeler
क्षेत्रों	alanları
जहाँ	nereye
जहाँ	nerde
जहाँ	nere
जहाँ	nerede
समान	benzeri
समान	benzer
समान	aynısından
समान	homojen
समान	aynen
समान	aynısı
समान	aynı
समान	ayni
सितंबर	eylül
दूर	uzak
दूर	uzaklara
दूर	uzağa
दूर	uzakta
दूर	mesafeli
पता	adresleri
पता	adresi
पता	adres
पता	adresiniz
शक्ति	kuvvet
शक्ति	güç
ब्रिटिश	ingilizler
ब्रिटिश	ingiliz
ब्रिटिश	britanya
कला	sanat
कला	sanatlar
घर	evde
घर	eve
घर	yuva
घर	evim
घर	ev
संस्कृत	sanskritçe
प्रकाशित	yayınlamak
प्रकाशित	yayınlama
प्रकाशित	yayınlanmış
प्रकाशित	yayınla
प्रकाशित	yayınlanan
प्रकाशित	yayınlandı
प्रकाशित	yayımlandı
मई	mayıs
मई	mayis
प्रक्रिया	prosedür
प्रक्रिया	süreçleri
प्रक्रिया	süreç
प्रक्रिया	işlem
सेना	ordular
सेना	ordu
पार्टी	parti
रेलवे	demiryolları
रेलवे	demiryolu
पश्चिम	batıda
पश्चिम	batı
पश्चिम	batıya
अंत	son
अंत	bitir
अंत	sonu
अंत	bitiş
पूरी	tüm
पूरी	bütün
पूरी	tamamı
बिना	onsuz
बिना	olmadan
क्या	ne
अगस्त	ağustos
विकसित	gelişmiş
विकसित	evrim
विकसित	geliştirilmiş
विकसित	geliştirildi
संबंध	akraba
संबंध	ilişki
संबंध	ilişkiler
संबंध	ilişkileri
संबंध	akrabalık
संबंध	bağlanma
संबंध	ilişkisi
प्रदर्शन	ekran
प्रदर्शन	gösteriler
प्रदर्शन	gösteri
प्रदर्शन	performans
प्रदर्शन	göster
प्रदर्शन	performansları
प्रदर्शन	pozlama
प्रदर्शन	görünüm
प्रदर्शन	teşhir
प्रदर्शन	performansı
मार्ग	rota
मार्ग	şekilde
मार्ग	yol
पर्यटन	turizm
ज्ञान	ilim
ज्ञान	bilgi
लगा	hissettim
दिसम्बर	aralık
प्रदर्शित	seçme
प्रदर्शित	göster
प्रदर्शित	görünüm
प्रदर्शित	gösterilen
प्रदर्शित	görüntülenen
प्रदर्शित	teşhir
प्रदर्शित	ekran
अक्सर	sıklıkla
अक्सर	sıkça
सहायता	yardım
सहायता	destek
सहायता	desteği
सहायता	imdat
सहायता	destekle
सहायता	yardim
पहला	once
पहला	öncelikle
पहला	ilk
पहला	önce
मृत्यु	olum
मृत्यु	ölüm
स्वयं	kendi
विकिपीडिया	vikipedi
तैयार	hazır
तैयार	hazırız
तैयार	hazırım
तैयार	hazir
आवश्यक	gerekli
आवश्यक	zorunlu
आवश्यक	acil
आवश्यक	gerekiyor
आवश्यक	gereklidir
देखा	görüldü
देखा	baktı
देखा	baktım
देखा	izlenen
देखा	görülen
देखा	görünüyordu
देखा	izledi
देखा	izledim
देखा	testere
उत्पादन	prodüksiyon
उत्पादन	yapım
उत्पादन	imalat
उत्पादन	üretim
रोग	hastalıklar
रोग	hastalık
संबंधित	akraba
संबंधित	ilişkili
संबंधित	alakalı
संबंधित	ilgili
संबंधित	bağlantılı
शताब्दी	asır
शताब्दी	yüzyıl
चीन	çin
अभी	simdi
अभी	şimdi
संघ	sendikalar
संघ	federasyonu
संघ	derneği
संघ	birliği
संघ	dernek
संघ	federasyon
संघ	sendika
संघ	birlik
यात्रा	seyahat
यात्रा	yolculuk
यात्रा	gezi
मात्रा	tutar
मात्रा	miktar
मात्रा	miktarı
रचना	kompozisyon
रचना	yaratılış
रचना	yaratma
रचना	oluşturma
जगह	yer
जगह	uzay
जगह	uzayı
जगह	boşluklar
जगह	boşluk
भिन्न	ayrık
भिन्न	kesri
भिन्न	farkli
भिन्न	farklı
भिन्न	değişik
लोक	halk
लोक	kamu
सब	tümü
सब	hepsini
सब	hepsi
सब	tamamı
पूरा	tamamlanmış
पूरा	bütün
पूरा	komple
पूरा	tamamı
पूरा	tamamlandı
पूरा	dolu
पूरा	tam
पूरा	tamamladım
पूरा	tüm
पूरा	ful
आवश्यकता	gereksinim
आवश्यकता	şart
आवश्यकता	gerektirir
प्रकाश	nur
प्रकाश	işık
प्रकाश	işıklar
प्रकाश	işıkları
प्रकाश	aydınlık
प्रकाश	hafif
नई	yeni
चिकित्सा	tıbbi
चिकित्सा	medikal
चिकित्सा	tedavi
चिकित्सा	sağlık
चिकित्सा	tıp
चिकित्सा	terapi
दूसरी	ikinci
दूसरी	ikincisi
कार्यक्रम	programlar
कार्यक्रम	program
कार्यक्रम	etkinlik
कार्यक्रम	olay
कार्यक्रम	etkinlikler
कार्यक्रम	olaylar
कार्यक्रम	programları
कार्यक्रम	programı
कार्यक्रम	etkinliği
पुराने	eski
पुराने	yaşlı
पुराने	ihtiyar
सदी	asır
सदी	yüzyıl
भगवान	tanrı
भगवान	rab
भगवान	allahım
भगवान	rabbim
भगवान	allah
लिखा	yazıldı
लिखा	yazılmış
लिखा	yazdı
लिखा	yazılı
लिखा	yazılan
लिखा	yazan
संस्थान	enstitüleri
संस्थान	enstitü
संस्थान	enstitüsü
संस्कृति	kültürü
संस्कृति	kültür
अंग्रेज़ी	turkish
अंग्रेज़ी	ingiliz
अंग्रेज़ी	ingilizce
अंग्रेज़ी	türkçe
पूर्ण	tamamlanmış
पूर्ण	mukemmel
पूर्ण	komple
पूर्ण	mükemmel
पूर्ण	kusursuz
पूर्ण	tamamlandı
पूर्ण	dolu
पूर्ण	tam
पूर्ण	tamamladım
पूर्ण	ful
परिवर्तन	değişiklik
परिवर्तन	değişiklikler
परिवर्तन	değişiklikleri
परिवर्तन	geçiş
परिवर्तन	değiştirme
परिवर्तन	değişimler
परिवर्तन	değişim
परिवर्तन	dönüştürme
परिवर्तन	dönüşüm
परिवर्तन	değiştir
टीम	ekip
टीम	takımlar
टीम	ekipler
टीम	takım
चर्चा	tartışma
संगठन	organizasyon
संगठन	kuruluş
संगठन	örgüt
संगठन	örgütü
संगठन	kuruluşlar
शैली	tarzı
शैली	biçim
शैली	stil
शैली	tarz
तुलना	karşılaştırma
स्कूल	okul
स्कूल	okullar
स्कूल	okulu
स्कूल	okula
स्कूल	okulları
स्कूल	okulumuz
पुस्तक	kitap
लेखक	yazarı
लेखक	yazar
लेखक	yazarlar
संस्करण	sürümleri
संस्करण	sürüm
संस्करण	baskı
संस्करण	baskılar
संस्करण	versiyon
संस्करण	sürümü
खिलाड़ी	oyuncu
खिलाड़ी	oyuncular
खिलाड़ी	sporcu
खिलाड़ी	atlet
ट्रेन	trenler
ट्रेन	tren
ट्रेन	trenleri
ट्रेन	trenle
आकार	şekli
आकार	biçim
आकार	boyu
आकार	bedenleri
आकार	şekiller
आकार	boy
आकार	boyut
आकार	şekil
आकार	şekilleri
आकार	beden
आकार	bedenler
आकार	büyüklük
उत्तरी	kuzey
सीमा	sınırları
सीमा	mesafe
सीमा	sınırı
सीमा	limiti
सीमा	sınır
सीमा	sınırlar
सीमा	limit
सीमा	sınırlama
सीमा	menzil
पश्चिमी	batılı
पश्चिमी	batı
व्यवस्था	anlaşma
व्यवस्था	ayarlama
व्यवस्था	düzenleme
आर्थिक	ekonomik
राजधानी	başkenti
राजधानी	başkent
राजधानी	başkentleri
राजधानी	sermaye
दर्शन	felsefe
दर्शन	vizyon
दर्शन	felsefesi
दर्शन	görme
वहाँ	orda
वहाँ	orada
विधि	yöntemler
विधि	yöntemi
विधि	yöntem
विधि	modu
विधि	kipi
विधि	kanun
विधि	yasa
विधि	hukuk
विधि	yöntemleri
विधि	mod
विधि	kip
अवधि	adet
अवधि	aralıklı
अवधि	nokta
अवधि	süresi
अवधि	süre
अवधि	dönemler
अवधि	dönem
दृष्टि	vizyon
दृष्टि	görsel
दृष्टि	görme
सिद्धांत	kuramı
सिद्धांत	ilke
सिद्धांत	ilkeleri
सिद्धांत	teorisi
सिद्धांत	teori
कलाकार	sanatçılar
कलाकार	sanatçı
कलाकार	ressam
बैंक	bankaların
बैंक	bankaları
बैंक	bankalar
बैंक	banka
ज्यादा	daha
ज्यादा	devamı
अंतिम	son
अंतिम	sonuncu
अंतिम	sonuncusu
विशिष्ट	belirli
विशिष्ट	seçkin
विशिष्ट	spesifik
लाल	kırmızı
लाल	kirmizi
लाल	kızıl
रहने	kalıyor
रहने	kalmak
रहने	kalıyoruz
रहने	kalıyorum
पूर्वी	doğulu
पूर्वी	doğu
पूर्वी	doğuya
पूर्वी	doğuda
समर्थन	desteği
समर्थन	destekler
समर्थन	destek
समर्थन	destekle
व्यापार	iş
व्यापार	ticaret
व्यापार	takas
व्यापार	işletme
प्रयास	çaba
प्रयास	denemeler
प्रयास	gayret
प्रयास	girişimleri
प्रयास	emek
महिला	hanım
महिला	kadin
महिला	bayan
महिला	hanımefendi
महिला	kadın
महिला	dişi
महिला	kadınım
परियोजना	projesi
परियोजना	proje
जीवित	hayatta
जीवित	canlı
नामांकन	adaylığı
अभिनेता	oyuncu
अभिनेता	aktörler
अभिनेता	oyuncular
अभिनेता	aktör
क्षमता	yeteneği
क्षमता	kapasite
क्षमता	yetenek
क्षमता	potansiyel
क्षमता	kapasitesi
पाया	bulundu
पाया	bulunmuş
पाया	buldum
स्पष्ट	belli
स्पष्ट	bariz
पृथ्वी	dünya
