ve	и
kuzey	северной
kuzey	северная
kuzey	северные
kuzey	норт
kuzey	северное
çeşitli	разновидности
çeşitli	разновидность
çeşitli	различные
çeşitli	разное
çeşitli	различных
çeşitli	прочее
çeşitli	разнообразие
açıklama	пояснение
açıklama	пояснения
açıklama	разъяснения
açıklama	заголовок
açıklama	объяснение
açıklama	разъяснение
açıklama	подпись
açıklama	описание
ortaya	раскрыть
bilgileri	инфо
bilgileri	информация
fransa	франс
fransa	франция
fransa	франции
ingilizce	английский
ingilizce	английская
olmak	становясь
olmak	став
amerika	америка
amerika	сша
el	рука
el	руку
burada	вот
burada	здесь
yok	неа
gol	озеро
gol	лейк
gol	гол
gol	цель
gol	целей
gol	цели
ana	мать
ana	матерь
ana	основная
ana	основных
ana	основные
ana	матушка
ana	главная
ana	мама
suyu	сок
suyu	сока
özellikle	особенно
özellikle	конкретно
özellikle	специально
ilköğretim	начальной
ilköğretim	начальная
ilköğretim	элементарные
birleşik	единого
birleşik	юнайтед
birleşik	объединенная
birleşik	объединенные
birleşik	единое
birleşik	единая
ödülü	награду
ödülü	вознаграждение
ödülü	премия
ödülü	награда
ödülü	приз
altyapı	инфраструктура
yerine	вместо
yerine	заменить
yerine	заменять
yerine	замена
gün	день
gün	дэй
geçen	пройдя
geçen	прохождение
doğu	ист
doğu	востоке
doğu	восток
doğu	восточная
doğu	восточное
doğu	восточные
doğu	восточной
doğu	восточный
süre	время
süre	длительность
süre	продолжительность
süre	тайм
süre	времени
sabit	стабильное
sabit	стабильная
sabit	стационарных
sabit	стабильной
sabit	стабильно
sabit	постоянный
sabit	постоянная
sabit	постоянно
sabit	постоянное
sabit	стабильный
sabit	постоянные
sabit	устойчивый
sabit	исправлена
eğitim	учебник
eğitim	подготовка
eğitim	обучение
eğitim	тренинг
eğitim	просвещение
eğitim	подготовки
eğitim	образование
su	воду
su	воды
su	вода
uluslararası	международные
uluslararası	международный
olur	случается
yaklaşık	примерно
yaklaşık	о
yaklaşık	приблизительно
alman	германии
alman	немецкое
alman	немецкие
alman	немцы
alman	немец
alman	немецкий
alman	немецкая
az	меньше
az	маленькие
az	маленькая
az	маленький
az	мало
az	менее
millî	национальная
millî	национальный
millî	национальные
millî	национальных
kaynak	ресурс
kaynak	источник
kaynak	сварка
kaynak	ресурсы
kullanılan	использовано
kullanılan	использован
kullanılan	используется
kullanılan	используемые
kullanılan	используемый
paşa	паша
ligi	лига
ligi	лиги
görev	миссия
görev	миссии
görev	долг
görev	задача
görev	обязанность
görev	уступка
görev	задание
halk	общественность
halk	люди
halk	публичные
halk	народ
halk	народов
halk	народы
halk	общественности
halk	людей
tv	телевидения
tv	телевидение
tv	телевизор
onun	её
onun	его
onun	ей
onun	ее
yine	снова
yine	опять
yine	вновь
ekonomisi	экономия
ekonomisi	экономика
yılı	год
telefon	телефон
yeniden	снова
yeniden	опять
yeniden	восстановить
yeniden	перестроить
yeniden	вновь
yeniden	восстанавливать
içme	питьевой
içme	пью
içme	пить
etki	воздействие
etki	влияние
etki	результативность
etki	последствия
etki	эффект
sezon	сезон
albüm	альбомы
albüm	альбом
ingiliz	англичанин
ingiliz	британские
ingiliz	британцы
ingiliz	английская
ingiliz	брит
ingiliz	английский
ingiliz	великобритании
ingiliz	британская
ingiliz	британское
ingiliz	британский
puan	оценили
puan	оценила
puan	очки
puan	счёт
puan	очков
puan	оценил
puan	очко
puan	счет
puan	рейтинг
puan	точек
puan	точки
puan	точка
puan	оценка
nüfus	населения
nüfus	население
nüfus	популяции
batı	запад
batı	западные
batı	вест
batı	западное
batı	западная
batı	западный
batı	уэст
batı	западной
altında	под
tür	видов
tür	виды
tür	тип
tür	жанр
tür	вид
amerikan	американских
amerikan	американские
amerikan	американская
amerikan	американский
amerikan	американец
savaş	боевая
savaş	драка
savaş	войны
savaş	битва
savaş	бой
savaş	сражение
savaş	война
tekrar	снова
tekrar	опять
tekrar	повторяю
tekrar	воспроизвести
tekrar	повторить
tekrar	повторите
tekrar	повтор
tekrar	вновь
tekrar	повторять
anadolu	азия
anadolu	азии
anadolu	анатолии
söz	обещаю
söz	слово
söz	обещание
rağmen	назло
grubu	группы
grubu	группа
elde	достигнуть
elde	достичь
elde	приобретенного
elde	приобретены
elde	достигнуто
elde	приобрел
elde	приобретенные
elde	приобретать
elde	приобрести
ait	принадлежать
ait	принадлежащих
ait	принадлежит
kadın	женщина
kadın	женская
kadın	женщины
kadın	женщин
kadın	женское
kadın	женщину
kadın	женский
türkçe	турецкая
türkçe	английская
türkçe	турецкий
türkçe	английский
türkçe	турции
türkçe	турецкие
kullanıcı	пользователей
kullanıcı	пользователи
kullanıcı	пользователя
kullanıcı	пользователю
kullanıcı	пользователь
tam	полного
tam	полная
tam	полные
tam	полное
tam	полный
tam	завершить
birliği	профсоюз
birliği	юнион
birliği	союз
birliği	союза
kanalizasyon	канализации
maç	совпадение
maç	мак
maç	игра
maç	матч
roma	рим
at	лошадка
at	бросок
at	конь
at	бросить
at	лошадь
bölüm	частично
bölüm	отдел
bölüm	дивизион
bölüm	серия
bölüm	подразделение
bölüm	главу
bölüm	глава
bölüm	секция
bölüm	раздел
bölüm	эпизод
bölüm	деление
bölüm	часть
bölüm	департамент
yazar	автор
yazar	писатель
yazar	сценарист
sıra	ряды
sıra	ряд
sıra	строк
sıra	строка
sıra	строки
ulusal	национальная
ulusal	национальный
ulusal	национальные
ulusal	национальных
köyü	деревня
köyü	деревне
köyü	село
teknik	техника
teknik	технический
teknik	технические
teknik	техническое
teknik	технику
nüfusu	населения
nüfusu	население
nüfusu	популяции
deniz	морской
deniz	морские
deniz	моря
deniz	морская
deniz	море
uygun	удобная
uygun	уместно
uygun	удобное
uygun	удобный
uygun	подходит
uygun	соответствующих
uygun	подходящих
uygun	подходящие
uygun	удобно
uygun	подходящее
uygun	подходящий
bütün	целые
bütün	целиком
bütün	целое
bütün	целая
yakın	неподалеку
yakın	близко
yakın	рядом
yakın	ближе
yakın	закрыть
yakın	закройте
yakın	поближе
yakın	поблизости
yakın	вблизи
listesi	перечень
listesi	список
dört	четверо
dört	четыре
iç	выпить
iç	вздох
iç	пей
iç	напиток
iç	интерьер
iç	внутренних
iç	пить
ingiltere	англия
ingiltere	англии
alt	низ
alt	бит
alt	победить
alt	снизу
alt	ниже
alt	нижняя
alt	нижние
alt	дно
alt	нижний
asfalt	асфальт
fransız	французская
fransız	французский
fransız	французское
fransız	французы
fransız	француз
mehmet	мехмед
belediye	муниципальный
belediye	муниципальных
belediye	муниципальные
belediye	муниципалитет
stadyumu	стадион
sonucu	следствием
sonucu	последствие
rusya	беларусь
rusya	россия
genellikle	обычно
genellikle	преимущественно
bar	паб
sonunda	наконец
parti	сторона
parti	партия
parti	вечеринка
erkek	мужчины
erkek	мужские
erkek	человек
erkek	мужской
erkek	самец
erkek	мужчина
erkek	мужчин
erkek	мужик
erkek	мужики
erkek	чел
beyaz	кавказа
beyaz	белое
beyaz	белый
beyaz	уайт
beyaz	белые
bölge	площадь
bölge	регион
bölge	область
bölge	округ
bölge	район
bölge	зоны
bölge	зона
bölge	территория
italya	италия
italya	италию
italya	италии
onu	ему
onu	её
onu	ее
onu	его
onu	ей
hava	воздух
hava	погода
verilen	учитывая
çünkü	причиной
çünkü	причина
birkaç	немногих
birkaç	немногие
birkaç	несколько
birkaç	немногим
il	провинция
il	область
dönem	термин
dönem	период
dönem	семестр
açık	открыть
açık	чисто
açık	ясно
açık	открыто
açık	открытая
açık	очистить
açık	открытый
futbolcu	футболист
insan	человек
insan	человеческое
insan	мужчина
insan	мужик
insan	чел
insan	человека
insan	человеческая
merkez	центральной
merkez	центральная
merkez	центр
merkez	центральный
merkez	штаб
merkez	центральное
düşük	низко
düşük	низкое
düşük	низкая
düşük	низким
düşük	выкидыш
düşük	низкий
altın	золотой
altın	золото
altın	золотая
altın	золотые
bilinen	известное
bilinen	известные
bilinen	известен
bilinen	известная
bilinen	известный
neden	почему
neden	зачем
bin	тысячи
bin	тысяча
bin	тысяч
genç	подросток
genç	молодых
genç	молодёжь
genç	младшая
genç	молодежь
genç	молодые
genç	янг
genç	молодость
genç	молодежи
genç	молодая
genç	моложе
genç	подростка
genç	молодой
dışında	кроме
kır	перерыв
kır	сломать
stadyum	стадион
ülke	страна
ülke	страны
dil	языках
dil	языки
dil	язык
pozisyon	положение
pozisyon	должность
pozisyon	должности
pozisyon	позиции
pozisyon	позиция
dahil	включенные
dahil	включая
dahil	включить
dahil	включает
dahil	включать
dahil	включено
an	минута
an	момент
iş	работы
iş	вакансии
iş	работа
iş	бизнес
iş	труд
bölümü	секция
bölümü	раздел
bölümü	департамент
ili	мухафазе
gelir	выручка
gelir	доход
gelir	поступления
gelir	поступлений
gelir	доходы
kullanım	использовать
kullanım	использование
kullanım	употребление
kullanım	использования
kullanım	используйте
sanat	арт
sanat	искусство
arasındaki	между
üçüncü	третья
üçüncü	третий
üçüncü	третье
bunu	это
bunu	этот
bunu	эта
sonraki	следующая
sonraki	следующий
sonraki	далее
ele	завоевать
güzel	приятно
güzel	красивая
güzel	хороший
güzel	хорош
güzel	мило
güzel	довольно
güzel	прекрасно
güzel	красавица
güzel	прелесть
güzel	хороша
güzel	хорошее
güzel	красивые
güzel	красиво
güzel	хорошо
çocuk	дитя
çocuk	ребенка
çocuk	парень
çocuk	дети
çocuk	ребёнок
çocuk	детский
çocuk	детей
çocuk	мальчик
çocuk	ребенок
sinema	кинотеатр
sinema	фильм
sinema	кино
sinema	фильмы
askeri	военный
askeri	военная
askeri	военных
askeri	военные
örneğin	пример
üst	топ
üst	верхняя
üst	верхней
üst	сверху
üst	верхний
üst	верхние
üst	верх
kara	чёрные
kara	чёрное
kara	черный
kara	земли
kara	земля
kara	земельный
kara	чёрный
oyun	играть
oyun	игры
oyun	игра
oyun	играйте
oyun	играй
beraber	вместе
sırada	следующая
sırada	следующий
sırada	далее
şablon	шаблон
şablon	узор
şablon	шаблоны
şablon	схеме
aday	назначенных
aday	назначенные
aday	заявитель
aday	кандидат
milyon	миллиона
milyon	миллионов
milyon	млн
milyon	миллион
milyon	миллионы
top	пушки
top	шар
top	мяч
top	бал
top	пушка
hakem	арбитр
hakem	судья
hakem	рефери
ay	месяца
ay	луну
ay	месяцев
ay	месяц
ay	месяцы
ay	луна
ay	мун
imparatorluğu	империя
imparatorluğu	империи
internet	веб
herhangi	любой
herhangi	любые
herhangi	любая
herhangi	любую
herhangi	любое
tiyatro	театральный
tiyatro	театр
tiyatro	кинотеатр
tiyatro	драмы
tiyatro	драма
kazandı	выиграл
kazandı	победил
kazandı	победила
kazandı	выигрывает
kazandı	побеждает
kazandı	выиграла
kültür	культурный
kültür	культура
kültür	культуры
kültür	культур
kültür	культурные
karar	вердикт
karar	решено
karar	решения
karar	приговор
karar	решило
karar	решение
karar	решила
tarih	свидание
tarih	история
tarih	истории
tarih	дата
ilçe	район
ilçe	округ
ilçe	графство
ilçe	округе
temel	базовые
temel	основы
temel	базовая
temel	базовый
temel	фундамент
temel	фонд
temel	основа
temel	основные
temel	основание
konu	предмет
konu	объект
konu	тема
konu	субъект
konu	теме
bağlantı	связь
bağlantı	ссылку
bağlantı	линк
bağlantı	ссылка
bağlantı	контакты
bağlantı	связаться
bağlantı	контакт
bağlantı	соединение
bağlantı	подключение
bağlantı	связать
çin	китай
ünlü	знаменитая
ünlü	известная
ünlü	известный
ünlü	знаменитость
ünlü	знаменитый
ünlü	знаменитости
spor	спортивные
spor	спорт
spor	спортивная
kalan	оставшиеся
kalan	оставшийся
kalan	оставшихся
kalan	осталось
kalan	остающиеся
meslek	оккупации
meslek	оккупация
meslek	призвание
meslek	профессия
iran	персидского
telif	роялти
ahmet	ахмед
ahmet	ахмад
çıktı	вывод
çıktı	выпуск
ispanya	испанию
ispanya	испании
ispanya	испания
bile	даже
izmir	смирну
sosyal	социальная
sosyal	социальные
sosyal	социального
sosyal	социальное
sosyal	социальный
cm	дюйма
cm	дюймов
japonya	япония
japonya	японии
ün	слава
ün	известность
ün	славу
ün	славы
geldi	прибыли
geldi	приехали
geldi	прибыл
geldi	прибыла
liste	списки
liste	перечни
liste	перечень
liste	список
oy	голоса
oy	голосовать
oy	голосуйте
oy	голосов
oy	проголосовать
oy	голосование
oy	голосования
geniş	большие
geniş	широкие
geniş	большая
geniş	просторные
geniş	крупный
geniş	большой
geniş	широкого
geniş	крупные
geniş	широкая
geniş	широкой
geniş	крупных
geniş	широкий
ev	домой
ev	домашний
ev	дома
ev	хаус
ev	дом
ev	хауз
transfer	переводы
transfer	передачи
önceki	предыдущий
önceki	предыдущие
önceki	прежде
önceki	предыдущее
önceki	предыдущая
önceki	перед
önceki	до
mısır	кукурузу
mısır	кукуруза
mısır	египет
mısır	кукурузы
mısır	египетский
mısır	египта
rus	русская
rus	русские
rus	российская
rus	русский
yarı	половину
yarı	полу
yarı	полпути
yarı	наполовину
yarı	половины
yarı	половина
afrika	африканского
afrika	африка
afrika	африканская
afrika	африканский
afrika	африканские
hareket	переместить
hareket	ход
hareket	передвижение
hareket	двигаться
hareket	ходатайство
hareket	движение
adil	справедливо
adil	ярмарка
adil	справедливых
adil	справедливая
adil	справедливый
bölgesi	регион
bölgesi	область
bölgesi	территория
kontrol	проверьте
kontrol	управление
kontrol	проверить
kontrol	контроль
kontrol	чек
kontrol	проверка
kontrol	проверяем
kontrol	контроля
sahibi	владелец
sahibi	хозяин
sahibi	владельца
bilim	наука
bilim	науки
üreten	производит
sistemi	система
başarılı	успешного
başarılı	успех
başarılı	успешно
başarılı	успешная
başarılı	успешные
başarılı	успешный
başarılı	успеха
başarılı	успешное
çoğu	большинство
çoğu	наиболее
ordu	военная
ordu	армия
ordu	армии
ordu	военный
ordu	военных
ordu	военные
verdi	дала
verdi	отдал
verdi	дал
yaşayan	живое
yaşayan	живые
yaşayan	живущие
profesyonel	профи
profesyonel	профессиональное
profesyonel	профессионалы
profesyonel	профессиональная
profesyonel	специалисты
profesyonel	специалистов
profesyonel	профессионал
süper	крутая
süper	классные
süper	превосходная
süper	круто
süper	крутые
süper	супер
hiç	никогда
ifade	ведомость
ifade	выразить
ifade	выражение
ifade	экспресс
ifade	осаждения
ifade	свидетельство
ifade	заявление
ifade	показания
şey	штука
şey	вещь
rol	ролях
rol	роли
rol	роль
islam	исламский
islam	исламские
islam	исламское
islam	исламская
rapor	отчет
rapor	доклад
rapor	отчёт
rapor	пожаловаться
kullanılır	использовано
kullanılır	использован
kullanılır	используется
kullanılır	используемые
kullanılır	используемый
yerel	местное
yerel	местные
yerel	местных
yerel	локальные
yerel	местный
yerel	местная
yönetim	менеджмент
yönetim	руководство
yönetim	управление
yönetim	администрация
video	видео
kurulan	основанная
kurulan	основано
kurulan	основанное
kurulan	основан
kurulan	основанный
kurulan	основана
beş	пять
beş	пятеро
altı	шестеро
altı	шесть
altı	шестой
final	финал
forma	джерси
forma	униформа
forma	форму
forma	форма
dizi	серии
dizi	массив
dizi	последовательность
dizi	серия
dizi	последовательности
gerekli	необходимое
gerekli	требуются
gerekli	необходимо
gerekli	необходимые
gerekli	необходимая
gerekli	требуемое
gerekli	требуется
gerekli	необходимый
iklim	климата
iklim	климат
ayrı	отдельный
ayrı	отдельная
ayrı	отделить
ayrı	отдельное
ayrı	разделены
veri	данных
veri	данные
şampiyonası	чемпионат
yerleşim	урегулирования
yerleşim	урегулирование
yerleşim	жилых
yerleşim	поселение
yerleşim	жилой
yerleşim	макет
kariyeri	карьера
kariyeri	карьеры
adet	период
adet	менструации
yaz	напиши
yaz	саммер
yaz	напишите
yaz	пиши
yaz	летний
yaz	написать
yaz	лето
yaz	пишите
kuvvetleri	сил
kuvvetleri	силы
tespit	обнаружена
tespit	обнаружение
tespit	обнаружено
tespit	обнаружены
tespit	обнаружен
tespit	выявление
tespit	обнаружения
göz	глазки
göz	просмотреть
göz	глаза
göz	око
göz	просмотр
göz	глаз
mö	му
televizyon	телевидения
televizyon	телевидение
televizyon	телевизор
galatasaray	ливерпуль
sezonu	сезон
yayın	трансляция
yayın	издательство
yayın	вещание
yayın	трансляции
yayın	издание
yayın	опубликование
yayın	публикация
karasal	наземных
karasal	наземные
karasal	земное
karasal	сухопутные
durum	положение
durum	условие
durum	статус
durum	ситуация
durum	состояние
yıldız	звезда
yıldız	звезды
yıldız	звёздный
yıldız	звёзды
yıldız	стар
gelenek	традиция
gelenek	традиций
gelenek	традиции
nasıl	как
tip	тип
mücadele	бой
mücadele	бои
mücadele	борьба
mücadele	драка
yeri	местоположение
yeri	местонахождение
yeri	расположение
yeri	место
yardımcı	ассистент
yardımcı	заместитель
yardımcı	помощник
yıllık	ежегодник
yıllık	годовая
yıllık	годовой
yıllık	ежегодно
yıllık	ежегодная
kız	сестры
kız	девчонка
kız	сёстры
kız	девушка
kız	девочка
kız	галь
cumhuriyet	республиканский
cumhuriyet	республиканской
cumhuriyet	содружества
cumhuriyet	республики
cumhuriyet	содружество
cumhuriyet	республиканцы
cumhuriyet	республика
bağımsız	независимые
bağımsız	инди
bağımsız	независимая
bağımsız	независимый
bağımsız	независимое
bunlar	те
bunlar	эти
yanlış	неверно
yanlış	ложь
yanlış	ложное
yanlış	неверное
yanlış	неправильно
yanlış	ложные
yanlış	неправильный
yanlış	неверный
yanlış	ложный
al	возьмите
al	бери
al	принять
al	берите
al	получить
al	получите
al	взять
al	возьми
kurulu	правление
kurulu	установлена
kurulu	установлен
kurulu	установлены
kurulu	доска
kurulu	установлено
gerçek	правда
gerçek	настоящий
gerçek	факт
gerçek	настоящая
gerçek	реальные
gerçek	истина
gerçek	настоящие
gerçek	правду
ses	звук
ses	шум
ses	громкость
ses	объём
ses	звуки
ses	объем
ses	голос
ses	аудио
milli	национальная
milli	национальный
milli	национальные
milli	национальных
kitap	книги
kitap	книгу
kitap	книга
kitap	книг
temsil	представляющих
temsil	представляющее
temsil	представляющие
temsil	представительство
temsil	представлять
temsil	представляя
temsil	представляющий
temsil	представления
ten	кожа
ten	кожи
ödülleri	награды
ödülleri	вознаграждение
ödülleri	призы
saat	час
saat	часы
güneş	солнце
güneş	солнечные
güneş	солнечной
güneş	солнышко
güneş	вс
güneş	сун
güneş	солнечная
güneş	солнечное
güneş	сунь
yazarı	автор
haline	стать
haline	стань
kaldı	оставшиеся
kaldı	оставшийся
kaldı	оставшихся
kaldı	осталось
kaldı	осталась
kaldı	остались
kaldı	остался
kaldı	остающиеся
bakanı	министр
bakanı	министра
geçti	прошел
geçti	прошла
geçti	прошли
geçti	прошло
siyasi	политический
siyasi	политических
siyasi	политическая
benzer	аналогичные
benzer	схожие
benzer	аналогичное
benzer	похожие
benzer	похожая
benzer	аналогичная
krallık	королевство
krallık	царство
doğal	естественные
doğal	естественный
doğal	естественное
doğal	натуральный
doğal	натуральные
doğal	природных
inşa	построена
inşa	строить
inşa	строительство
inşa	здание
inşa	построили
inşa	построить
inşa	построенные
inşa	построенный
inşa	построен
inşa	построено
doğdu	родился
doğdu	родилась
yeterli	адекватное
yeterli	достаточный
yeterli	адекватных
yeterli	достаточное
yeterli	достаточная
yeterli	адекватные
ortak	партнер
ortak	партнёр
ortak	партнеры
ortak	партнеров
ortak	партнёры
ortak	напарник
londra	лондон
londra	лондоне
türü	жанр
türü	тип
başkanlığı	председательство
başkanlığı	президиум
göç	миграция
göç	мигрируют
göç	иммиграции
göç	иммиграция
göç	эмиграции
göç	исход
göç	миграции
as	ас
as	эйс
as	повесить
as	туз
bakanlığı	министерство
logo	логотипы
örnek	образец
örnek	пример
örnek	выборка
kemal	камаль
durumu	условие
durumu	статус
durumu	состояние
israil	израиль
kırmızı	красного
kırmızı	красное
kırmızı	красная
kırmızı	красные
kırmızı	красный
yönetmen	режиссер
yönetmen	направлены
