در	ドア
تصویر	イメージ
تصویر	画像
حضور	傍聴
حضور	出席
وارد	ウォード
عضو	メンバー
عضو	メンバ
عضو	会員
عضو	寄付
عضو	募金
میراث	遺産
زنان	女性
نظامی	軍隊
نظامی	軍事
آذربایجان	アゼルバイジャン
جای	場所
جای	スポット
چین	中国
چین	あご
چین	チャイナ
سیستم	システム
ظاهر	出演
ظاهر	外観
ادامه	続ける
ادامه	続き
ادامه	継続
ادامه	続行
درجه	ランク
درجه	グレード
درجه	学年
درجه	学位
انتخاب	チョイス
انتخاب	選択
موجود	既存
دستی	マニュアル
دستی	手動
فقط	ジャスト
فقط	ちょうど
فقط	ただ
اعلام	宣言
اعلام	アナウンス
اعلام	布告
اعلام	申告
نسبت	比率
اعضای	メンバー
اعضای	メンバ
مسابقات	トーナメント
تلفن	電話機
تلفن	電話
داستان	ストーリー
داستان	記事
داستان	物語
سوم	番目
سوم	サード
خط	直線
خط	ライン
قانون	法律
قانون	法学
قانون	ルール
علت	理性
علت	原因
علت	理由
مهم	重要
منبع	資源
منبع	リソース
منبع	出典
منبع	ソース
میلیون	ミリオン
میلیون	百万
کمک	ヘルプ
جهت	方向
جهت	向き
جهت	オリエンテーション
جهت	道順
هوایی	空気
هوایی	エア
هوایی	航空
حتی	偶数
نمایش	ショー
آمریکای	アメリカ
ناحیه	領域
ناحیه	地域
ناحیه	ディストリクト
ناحیه	地区
ناحیه	エリア
ناحیه	面積
ناحیه	リージョン
طراحی	デザイン
طراحی	設計
طراحی	意匠
آموزش	トレーニング
آموزش	修行
آموزش	学歴
آموزش	講習
آموزش	教育
آموزش	研修
آموزش	訓練
قلعه	要塞
قلعه	キャッスル
ویرایش	編集
حکومت	政府
بازدید	レビュー
بازدید	訪問
بازدید	審査
شیمیایی	化学
مساحت	面積
مساحت	領域
مساحت	エリア
ادبیات	文芸
ادبیات	文学
موضوع	主体
موضوع	件名
موضوع	トピック
موضوع	話題
شبکه	グリッド
شبکه	ネットワーク
برنامه	プログラム
برنامه	アプリ
برنامه	日程
برنامه	スケジュール
کاربران	ユーザ
کاربران	ユーザー
تولد	バースデー
تولد	誕生
تولد	生年月日
تبدیل	コンバート
تبدیل	変換
تبدیل	変形
دریایی	マリン
سن	サン
سن	セン
سن	セイント
سن	年齢
سن	聖人
روش	ロッシュ
روش	方法
روش	メソッド
بازیکن	プレイヤー
بازیکن	プレーヤー
بازیکن	選手
نتیجه	結論
نتیجه	結果
نتیجه	エンディング
انقلاب	レボリューション
انقلاب	革命
تگزاس	テキサス
عراق	イラク
شروع	スタート
شروع	始める
شروع	開始
هنر	美術
هنر	アート
هنر	芸術
زمینه	バックグラウンド
زمینه	背景
قسمت	エピソード
قسمت	部分
قسمت	パート
بررسی	チェック
مدیر	支配人
مدیر	校長
مدیر	元本
مدیر	マネージャ
مدیر	管理者
مدیر	マネージャー
مدیر	店長
مدیر	管理人
باز	開く
باز	開館
باز	戻る
باز	裏側
باز	オープン
باز	背中
باز	後ろ
ترکیه	トルコ
ترکیه	七面鳥
مدال	メダル
حقوق	給料
حقوق	法学
حقوق	法律
حقوق	給与
حقوق	権利
حقوق	俸給
عمومی	公開
عمومی	公衆
عمومی	将軍
عمومی	一般
عمومی	パブリック
عمومی	全般
عمومی	ジェネリック
حسین	フセイン
ترجمه	翻訳
رنگ	カラー
افزایش	増やす
افزایش	増額
افزایش	増加
طبیعی	ノーマル
طبیعی	自然
طبیعی	ナチュラル
طبیعی	普通
مدیریت	経営
مدیریت	管理
مدیریت	マネージメント
مدیریت	マネジメント
گل	ゴール
گل	ゴル
گل	フラワー
گل	お花
انتشار	布教
انتشار	拡散
انتشار	公開
انتشار	出版
انتشار	パブリッシング
انتشار	伝播
نیاز	ニーズ
نیاز	必須
توضیح	コメント
ترکیب	コンビネーション
ترکیب	構成
ترکیب	組み合わせ
ترکیب	ブレンド
ترکیب	合成
ترکیب	化合物
دریافت	受け取る
دریافت	受信
دریافت	受付
دریافت	レセプション
دریافت	披露宴
رشته	スレッド
رشته	ストリング
کننده	パフォーマー
کننده	演奏者
موافق	賛成
موافق	合意
موافق	同意
هنری	ヘンリー
مواد	マテリアル
مواد	ドラッグ
مواد	素材
مواد	薬物
مواد	材料
درباره	について
استرالیا	オーストラリア
اجتماعی	ソーシャル
بانی	ボニー
جریان	渓流
جریان	フロー
جریان	現在
جریان	流れ
جریان	ストリーム
نویسنده	作者
نویسنده	ライター
نویسنده	著者
نویسنده	作家
کنار	サイド
انرژی	エネルギー
انتخابات	選挙
انتخابات	選任
حسن	ハッサン
حسن	ハサン
ملیت	国籍
مه	メイ
مه	五月
کسی	誰か
ثانیه	番目
ثانیه	セカンド
کل	合計
کل	全体
کل	カル
اصفهان	エスファハーン
خان	カーン
خان	ハーン
دکتر	医師
دکتر	先生
دکتر	ドクター
دکتر	医者
انجمن	コミュニティー
انجمن	社団
انجمن	友愛
انجمن	社会
انجمن	アソシエーション
انجمن	コミュニティ
انجمن	協会
غرب	ウェスト
غرب	ウエスト
غرب	西部
توسعه	開発
توسعه	発達
فصل	季節
فصل	シーズン
فصل	チャプター
معمولاً	通常
رسید	受領
رسید	レシート
شوروی	ソビエト
افغانستان	アフガニスタン
ورزش	体育館
ورزش	運動
ورزش	ジム
ورزش	行使
ورزش	エクササイズ
ورزش	スポーツ
معماری	アーキテクチャ
معماری	建築
باند	結合
باند	ボンド
آنجا	そこ
پرندگان	鳥類
آخرین	決勝
آخرین	ファイナル
آخرین	最終
آخرین	ラスト
آخرین	最後
آخرین	最新
پزشکی	医学
فرهنگی	文化
فرهنگی	カルチャー
تلویزیون	テレビ
دنیا	ワールド
دنیا	世界
خوانندگان	リーダー
خوانندگان	読者
جغرافیای	地理
حالت	状態
حالت	ムード
حالت	モード
حالت	都道府県
حالت	気分
کوه	マウンテン
کوه	マウント
مقالات	エセー
مقالات	冠詞
مقالات	随筆
مقالات	記事
مقالات	エッセイ
عمل	オペレーション
عمل	アクション
عمل	アクト
عمل	操作
عمل	作戦
عمل	運営
عمل	運行
کره	バター
کره	朝鮮
کره	韓国
انتقال	変遷
انتقال	転送
انتقال	乗り換え
انتقال	輸送
انتقال	伝送
انتقال	転移
انتقال	交通
انتقال	移転
انتقال	譲渡
فوریه	フーリエ
فوریه	二月
فوریه	緊急
ارائه	プレゼンテーション
ارائه	プレゼン
رود	ロッド
رود	河川
سیاست	ポリシー
سیاست	政策
سیاست	外交
سیاست	方針
سیاست	政治
فرانسوی	フレンチ
فرانسوی	フランス語
وطن	帰宅
وطن	ホーム
وطن	移行
وطن	自宅
نزدیک	ほぼ
نزدیک	付近
نزدیک	閉じる
نزدیک	近く
نزدیک	ほとんど
نزدیک	クローズ
دلار	yen
دلار	ドル
داخلی	インテリア
داخلی	内装
داخلی	内面
داخلی	内部
کاهش	減らす
احمد	アーメド
احمد	アフマド
ده	テン
ارتش	軍隊
ارتش	軍事
ارتش	アーミー
ارتش	陸軍
سایر	ソーヤー
مشخص	特定
مشخص	ハイライト
حاضر	プレゼント
حاضر	現在
اسرائیل	イスラエル
انسان	人間
انسان	男性
انسان	ヒューマン
انسان	ヒト
مسجد	モスク
شهرها	タウンズ
شهرها	都市
سیاه	ブラック
سیاه	黒い
قدرت	パワー
قدرت	権力
قدرت	強度
قدرت	体力
نسخه	処方箋
نسخه	バージョン
کم	リトル
کم	小さい
کم	低い
کم	カム
خانواده	家族
میدان	正方形
میدان	広場
میدان	四角
ویژه	スペシャル
حوزه	境内
حوزه	フィールド
حمله	アサルト
حمله	攻撃
حمله	暴行
حمله	進撃
وزارت	学科
وزارت	部署
وزارت	部門
ساختمان	建物
ساختمان	建設
درام	ドラマ
درام	太鼓
درام	ドラム
درصد	パーセント
درصد	パーセンテージ
درصد	割合
مهندسی	工学
مهندسی	エンジニアリング
برنده	勝者
برنده	勝つ
برنده	ウィナー
برنده	勝ち
برنده	勝利
علم	サイエンス
علم	知識
علم	科学
وقتی	とき
وقتی	いつ
آبی	ブルー
آبی	青い
آبی	青色
اقتصاد	経済
ورزشی	アスレチック
ورزشی	スポーツ
جامعه	コミュニティ
جامعه	コミュニティー
جامعه	社会
بازار	マーケットプレイス
بازار	市場
بازار	バザール
بازار	マーケット
معرفی	導入
معرفی	紹介
مصر	エジプト
متن	コンテクスト
متن	コンテキスト
متن	出典
متن	テキスト
متن	ソース
سرعت	速度
سرعت	スピード
طرف	サイド
سابق	前者
پسر	男の子
پسر	息子
پسر	少年
پسر	ボーイ
دین	宗教
دین	ディーン
کشت	耕す
رضا	レザ
سایت	敷地
سایت	サイト
سایت	ウェブサイト
خیلی	可愛い
خورشیدی	ソーラー
سفید	白い
سفید	ホワイト
جشنواره	祭り
جشنواره	お祭り
جشنواره	フェスティバル
جشنواره	祭事
بهتر	最高
بهتر	ベスト
بهتر	ベター
فرد	個別
فرد	フレッド
فرد	奇数
فرد	個人
فرد	オッド
لندن	ロンドン
سری	シリーズ
باستان	古代
اسکار	オスカル
اسکار	オスカー
اکنون	ナウ
کلی	粘土
کلی	ケリー
کلی	クレイ
هیئت	委嘱
هیئت	委任
آلمانی	ドイツ語
محلی	地元
محلی	ローカル
معنی	意味
شرق	イースト
شرق	東部
شیخ	シーク
شیخ	シャイフ
برگزیده	抜粋
کنترل	コントロール
انواع	種類
درست	トゥルー
درست	本当
سنگ	ストーン
استاد	マスター
موقعیت	状況
موقعیت	シチュエーション
موقعیت	位置
موقعیت	ポジション
موقعیت	役職
امپراتوری	帝政
امپراتوری	エンパイア
امپراتوری	インペリアル
امپراتوری	帝国
بیماری	疾病
بیماری	疾患
بیماری	病気
عمق	奥行き
عمق	深度
کلاس	クラス
کلاس	階級
مدرسه	スクール
مدرسه	学校
کسب	稼ぐ
کسب	ビジネス
کسب	獲得
کسب	事業
کسب	営業
حرکت	引越し
حرکت	移動
حرکت	ムーブ
مشخصات	特徴
مشخصات	解説
مشخصات	特性
مشخصات	説明
مشخصات	仕様
مشخصات	特色
مشخصات	スペック
همکاری	協力
همکاری	コラボレーション
همکاری	コラボ
همکاری	パートナーシップ
دبی	ドバイ
دبی	デビー
کوتاه	短い
کوتاه	ショート
روابط	交際
روابط	リレーション
روابط	リレーションシップ
روابط	関係
اجرا	走り
اجرا	処刑
اجرا	性能
اجرا	パフォーマンス
اجرا	走る
اجرا	ラン
اجرا	興行
اجرا	執行
اجرا	ランニング
اجرا	実行
وزیر	公使
وزیر	大臣
خواننده	シンガー
خواننده	読者
خواننده	リーダー
پیشنهاد	申し出
پیشنهاد	オファー
پیشنهاد	供物
پیشنهاد	暗示
پیشنهاد	提案
پیشنهاد	クーポン
پیشنهاد	おすすめ
اتحادیه	ユニオン
خوب	良い
خوب	グッド
خوب	まあ
موفق	サクセス
موفق	成功
شخصی	個別
شخصی	パーソナル
شخصی	非公開
شخصی	プライベート
شخصی	個人
پایین	ダウン
پایین	ボトム
پدر	父親
حق	真実
حق	真理
خاص	特定
خاص	スペシャル
گذشته	過去
کیفیت	品質
کیفیت	クオリティ
کیفیت	画質
ازدواج	結婚式
ازدواج	ウェディング
ازدواج	既婚
ازدواج	婚姻
ازدواج	結婚
خارجی	外国
خارجی	外側
خارجی	外部
هنوز	スティル
هنوز	まだ
هنوز	それでも
دادگان	データベース
میزان	バランス
میزان	残高
مشغول	忙しい
مشغول	ビジー
فعال	アクティブ
اینجا	ここ
پادشاهی	王国
کمربند	ベルト
واحد	ディビジョン
واحد	師団
واحد	ユニット
واحد	単位
چندین	複数
چندین	倍数
اندازه	サイズ
خیابان	ストリート
خیابان	通り
عالی	ワンダフル
عالی	すごい
عالی	グレート
عالی	パーフェクト
عالی	優れた
عالی	素晴らしい
عالی	完璧
نگاره	イメージ
نگاره	画像
نگاره	グラフィック
هدف	ゴール
هدف	ターゲット
هنرپیشه	俳優
قهرمانی	選手権
قهرمانی	チャンピオンシップ
دستگاه	機器
دستگاه	マシン
دستگاه	デバイス
دستگاه	機械
دستگاه	マシーン
طرح	デザイン
طرح	スケッチ
طرح	設計
طرح	意匠
پنج	ファイブ
پنج	五つ
برد	勝つ
برد	勝ち
برد	勝利
تئاتر	演劇
تئاتر	シアター
تئاتر	劇場
پل	ポール
پل	ブリッジ
پل	パウル
ترابری	輸送
ترابری	交通
داخل	インサイド
ابتدا	ファースト
ابتدا	最初
ارتباط	つながり
ارتباط	関係
ارتباط	接続
ارتباط	コミュニケーション
ارتباط	通信
ارتباط	コンタクト
پخش	遊ぶ
پخش	ブロードキャスト
پخش	拡散
پخش	放送
پخش	プレイ
پخش	遊び
پخش	配信
پخش	スプレッド
امام	イマーム
اراضی	土地
مشکل	トラブル
مشکل	問題
نفت	石油
نفت	オイル
شرایط	事情
شرایط	状態
شرایط	状況
شرایط	情状
شرایط	条件
شرایط	規約
شرایط	用語
کارگردان	ディレクター
کارگردان	取締役
کارگردان	監督
دانشکده	カレッジ
دانشکده	大学
دختر	女の子
دختر	少女
دختر	ガール
نور	明るい
نور	軽い
نور	ライト
نور	ヌール
اجرای	処刑
اجرای	執行
اجرای	実行
لازم	必須
سازی	昇格
مرتبط	関連
شکست	故障
شکست	失敗
شکست	敗北
رشد	栽培
رشد	発育
رشد	成長
گزارش	レポート
گزارش	報告
پرداخت	決済
پرداخت	支払
پرداخت	レンダリング
پرداخت	有料
پرداخت	支払う
پرداخت	支払い
هلند	ダッチ
هلند	オランダ
مالی	財務
مالی	金融
مالی	モリー
مالی	マリ
مالی	財政
مالی	ファイナンス
اضافه	エクストラ
ورزشگاه	ジム
ورزشگاه	体育館
ورزشگاه	スタジアム
درون	インサイド
جنسی	性別
جنسی	セックス
جنسی	性的
امور	情事
امور	浮気
امور	事務
تأسیس	設立
شعر	歌詞
شعر	作詞
شرح	説明
شرح	解説
فناوری	技術
فناوری	テック
فناوری	テクノロジー
ترتیب	整列
ترتیب	編曲
ترتیب	オーダー
ترتیب	注文
مادر	ママ
مادر	母親
مادر	おかあさん
کرمان	ケルマーン
خانوار	世帯
وضعیت	状態
وضعیت	ステータス
وضعیت	近況
وضعیت	状況
وضعیت	シチュエーション
وضعیت	都道府県
نمونه	見本
نمونه	サンプリング
نمونه	サンプル
نمونه	インスタンス
نمونه	標本
نامزد	候補者
نامزد	候補
نامزد	婚約
نامزد	フィアンセ
لیتر	リットル
لیتر	ごみ
لاتین	ラテン
لاتین	ラテン語
مثال	インスタンス
سوئد	スウェーデン
مدل	モデル
متری	メートル
دوستان	友だち
دوستان	友達
مسیر	ルート
مسیر	弾道
مسیر	経路
مسیر	パス
دسته	バッチ
دسته	分類
دسته	区分
دسته	カテゴリー
دسته	カテゴリ
دانش	知識
ترانه	歌曲
ترانه	ソング
چرا	なぜ
پایگاه	塩基
پایگاه	ベース
مکان	ロケーション
مکان	場所
مکان	スポット
مکان	所在地
فکر	思考
فکر	考え
فکر	シンク
اولیه	プライマリ
اولیه	メイン
گسترش	膨張
شناگران	競泳
عدم	欠如
عدم	不足
عدد	ナンバー
عدد	数字
عدد	番号
عدد	数値
تعریف	定義
تعریف	賛辞
نو	新規
نو	新しい
خدمات	サービス
همسر	主人
همسر	旦那
همسر	ダンナ
فرزند	子供
فرزند	児童
فرزند	子孫
مصرف	消費
لهستان	ポーランド
تقسیم	ディビジョン
تقسیم	師団
تقسیم	除算
تقسیم	割る
تقسیم	分ける
روزنامه	新聞
روزنامه	新聞紙
تن	タン
تن	ツナ
تن	トン
تن	マグロ
اتحاد	連帯
اتحاد	統一
اتحاد	ユニオン
اتحاد	アライアンス
نظریه	理論
نظریه	セオリー
خاک	ほこり
خاک	ダート
خاک	砂塵
خاک	ダスト
خاک	土壌
مخالف	野党
مخالف	反対
میله	バー
میله	バール
کلیسای	チャペル
کلیسای	教会
کلیسای	チャーチ
کلیسای	教会堂
کشاورزی	農業
آباد	訪問
دوباره	再び
دوباره	アゲイン
مستقل	独立
مستقل	インディペンデント
قدیمی	オールド
قدیمی	古い
قدیمی	ビンテージ
شب	ナイト
شب	ナイツ
ویدئویی	ビデオ
ویدئویی	動画
شیمی	化学
فروش	セールス
فروش	売る
فروش	販売
فروش	売り上げ
فروش	セール
فروش	売上
رتبه	ランク
جانوران	動物
جانوران	アニマル
آیووا	アイオワ
راک	ロック
پارک	公園
پارک	パーク
کاربرد	使い方
کاربرد	アプリケーション
کاربرد	出願
نخست	プライム
نخست	素数
آزادی	無料
آزادی	自由
آزادی	フリー
رای	投票
رای	ライ
کمدی	喜劇
کمدی	コメディ
کمدی	コミック
کمدی	コメディー
موتور	自転車
موتور	エンジン
موتور	バイク
موتور	モーター
بسته	閉店
بسته	パッケージ
راست	トゥルー
راست	本当
فاصله	インターバル
فاصله	音程
فاصله	間隔
فاصله	距離
فاصله	区間
فاصله	空間
فاصله	スペース
سنت	セント
سنت	伝統
اغلب	頻繁
اغلب	しばしば
فضای	空間
فضای	スペース
چشم	アイズ
مختصات	座標
عامل	係数
عامل	ファクター
عامل	因子
قوانین	規則
قوانین	法律
قوانین	ルール
کمتر	少ない
صنعتی	工業
صنعت	産業
صنعت	業界
گیاهان	植物
گیاهان	ハーブ
کشوری	国名
کشوری	カントリー
آرامگاه	陵墓
آرامگاه	霊廟
پشت	戻る
پشت	背中
پشت	後ろ
پشت	裏側
سینما	映画
سینما	シネマ
پروژه	プロジェクト
حمایت	支持
حمایت	サポート
باغ	庭園
واژه	単語
واژه	言葉
واژه	ワード
بدن	ボディ
بدن	身体
بدن	本体
بدن	本文
شاید	未定
شاید	たぶん
شاید	多分
مقدار	金額
جرم	質量
جرم	重罪
جرم	犯罪
جرم	ミサ
کاری	ワーク
کاری	作業
کاری	仕事
مردان	メン
مردان	男性
عصر	午後
عصر	夕方
عصر	年齢
سرزمین	ランド
سرزمین	土地
سوریه	シリア
نامه	郵便
نامه	手紙
نامه	レター
نامه	メール
موزه	美術館
موزه	博物館
پادشاه	国王
پادشاه	キング
عبارت	表現
عبارت	フレーズ
بازگشت	リターン
استاندارد	スタンダード
استاندارد	標準
استاندارد	基準
بانک	バンクス
بانک	バンク
بانک	銀行
مکزیک	メキシカン
مکزیک	メキシコ
فلسفه	哲学
دولتی	政府
عملیات	オペレーション
عملیات	操作
عملیات	作戦
عملیات	演算
عملیات	運営
عملیات	運行
نقل	引用
نقل	派生
ترک	離れる
ترک	終了
ترک	去る
ترک	辞める
نشر	釈放
نشر	排出
نشر	出版
نشر	パブリッシング
نشر	リリース
خودش	自身
خودش	独学
سفر	トリップ
سفر	旅行
پاریس	パリス
پاریس	パリ
توصیف	説明
توصیف	解説
آسفالت	アスファルト
معنای	意味
رابطه	交際
رابطه	リレーションシップ
رابطه	関係
مراسم	セレモニー
مراسم	儀式
مراسم	式典
اتریش	オーストリア
