日本	japonya
自分	kendimi
自分	kendim
戦争	savaş
戦争	savaşları
戦争	savas
戦争	savaşlar
製作	prodüksiyon
製作	yapım
製作	imalat
製作	üretim
部分	kısmen
部分	kısım
部分	parçası
部分	bölüm
高校	lise
番号	numara
番号	numarası
番号	rakam
番号	sayı
当初	başlangıçta
最初	once
最初	öncelikle
最初	ilk
最初	önce
受賞	ödülü
受賞	ödül
受賞	ödülleri
受賞	ödüller
期間	adet
期間	nokta
期間	süresi
期間	süre
期間	dönem
広島	hiroşima
場所	konumu
場所	yer
場所	yerleri
場所	mekanlar
場所	yeri
場所	konum
場所	yerler
技術	teknoloji
海軍	donanma
リンク	bağlantıları
リンク	bağlantı
リンク	bağlantılar
リンク	bağ
リンク	bağlar
合併	birleşme
合併	birleşmesi
道路	yollar
道路	karayolu
道路	yol
特定	belirtilmiş
特定	belirli
特定	belirtilen
特定	belirtildi
特定	spesifik
意味	anlam
意味	anlamları
意味	anlamı
意味	anlami
システム	sistemi
システム	sistemler
システム	sistem
システム	sistemleri
モデル	manken
モデル	mankenler
モデル	modeli
モデル	modelleri
モデル	modeller
対応	yazışmaları
列車	trenler
列車	tren
列車	trenleri
列車	trenle
建設	inşaat
最後	son
最後	sonuncu
最後	sonuncusu
科学	bilimsel
科学	fen
科学	bilim
理由	nedenler
理由	nedeni
理由	sebebi
理由	sebepler
理由	nedenleri
理由	sebep
理由	sebepleri
そして	ve
一つ	bir
一つ	biri
ブロック	engelle
ブロック	engelleme
ブロック	engeller
ブロック	blok
車両	araçlar
車両	araç
自動車	araç
自動車	araba
自動車	otomobil
人口	nüfusu
人口	nüfus
特に	özelliklede
特に	özellikle
特に	bilhassa
営業	iş
営業	ticaret
営業	işletme
新聞	gazete
新聞	gazeteler
連続	sürekli
連続	devamlılık
連続	devamlı
政府	hükümet
政府	devlet
構成	yapılandırma
構成	kompozisyon
構成	yapılandırmaları
構成	yapı
構成	yapısı
最大	maksimum
最大	azami
キャラクター	karakteri
キャラクター	karakter
キャラクター	karakterleri
キャラクター	karakterler
小説	romanlar
小説	roman
それぞれ	herbiri
機関	kurumları
機関	kuruluş
機関	kurumlar
機関	enstitü
機関	organları
機関	kurum
機関	organlar
機関	kuruluşlar
参照	gönderme
参照	referans
メンバー	üye
メンバー	üyeleri
メンバー	üyeler
発行	mesele
発行	sorun
画像	görseller
画像	resimler
画像	fotoğraf
画像	görüntüler
画像	görsel
画像	görüntü
画像	imaj
画像	resimli
画像	resim
画像	resmi
状態	devlet
状態	şart
状態	durum
状態	koşul
状態	eyalet
状態	durumu
名称	isimleri
名称	adın
名称	isim
名称	adı
名称	adınız
名称	isimler
名称	adları
名称	ad
名称	adlar
ダム	baraj
ダム	barajı
ホーム	evde
ホーム	eve
ホーム	yuva
ホーム	evim
ホーム	ev
運行	operasyonu
運行	ameliyat
運行	operasyon
運行	işlem
投稿	paylaşım
投稿	gönderi
投稿	paylaşımda
投稿	paylaşma
投稿	gönderiler
名前	isimleri
名前	adın
名前	isim
名前	adı
名前	adınız
名前	isimler
名前	adları
名前	ad
名前	adlar
施設	kuruluş
施設	tesisler
施設	olanaklar
施設	tesis
施設	tesisleri
施設	enstitü
施設	imkanlar
施設	kurum
施設	tesisi
調査	anketler
調査	anket
調査	anketleri
調査	soruşturma
調査	ankete
調査	anketi
製造	üretilmiş
製造	üretilen
製造	imal
イタリア	italya
ロシア	rus
ロシア	rusya
ロシア	rusça
独立	bağımsızlık
独立	bağımsızlığı
独立	bağımsız
物語	hikaye
物語	masal
物語	anlatım
物語	hikâye
物語	öykü
神社	tapınaklar
企画	planlamak
企画	planlama
通常	genelde
通常	genellikle
通常	normalde
企業	girişim
企業	kurumsal
企業	atılgan
航空	hava
航空	havacılık
スーパー	süper
帝国	imparatorluk
帝国	imparatorluğu
トン	tonlarca
トン	ton
トン	tonluk
影響	etkisi
影響	etkiler
影響	etki
影響	nüfuz
勝利	kazanma
勝利	kazanmak
勝利	kazanıyor
勝利	galibiyet
勝利	kazanın
勝利	kazanır
勝利	zaferler
勝利	zafer
勝利	kazan
勝利	kazandı
デザイン	tasarımları
デザイン	tasarım
デザイン	tasarımı
デザイン	tasarımlar
デザイン	dizayn
全て	herşey
全て	hersey
全て	herşeyi
本社	karargah
本社	merkez
人間	insan
人間	insani
交通	ulaştırma
交通	taşıma
交通	taşıt
交通	nakliye
交通	taşımacılık
交通	ulaşım
交通	trafik
組織	organizasyon
組織	kuruluş
組織	örgütü
組織	örgüt
構造	yapı
構造	yapısı
構造	yapıların
構造	yapılar
構造	yapıları
戦い	savas
戦い	savaş
戦い	muharebe
実施	uygulama
実施	uygulanması
ここ	burda
ここ	burada
以前	önceden
以前	önceki
以前	öncesi
以前	öncesinde
以前	önce
サービス	hizmet
サービス	servisi
サービス	hizmetler
サービス	servis
サービス	hizmetleri
統合	entegre
統合	bütünleşme
統合	birleştirmek
統合	birleştirme
統合	entegrasyon
統合	birleştir
統合	entegrasyonu
テーマ	temalar
テーマ	tema
面積	bölge
面積	alanı
面積	alan
エンジン	motorlar
エンジン	motorları
エンジン	motor
エンジン	motoru
主演	başrolde
主演	başrol
ビル	fatura
日本語	japonca
日本語	japonlar
日本語	japon
契約	kontrat
契約	sözleşmeleri
契約	sözleşme
契約	sözleşmesi
設定	yapılandırma
設定	tuzak
設定	kurulumu
設定	tercihler
設定	ayarlama
設定	ayarları
設定	ayarlar
設定	kurulum
設定	tercihleri
ライブ	yaşa
ライブ	canlı
含む	içeriyor
含む	dahil
含む	içerir
含む	içerdiği
専門	uzmanlaşmış
専門	uzmanlık
機能	fonksiyon
機能	özellikleri
機能	özellik
機能	işlevsellik
機能	fonksiyonu
機能	işlevi
機能	özellikler
機能	işlev
機能	özelliği
身長	boy
身長	yüksekliği
身長	boyu
身長	yükseklik
所在地	konumları
所在地	konumu
所在地	yer
所在地	yerleri
所在地	mekanlar
所在地	yeri
所在地	konum
所在地	yerler
所在地	konumlar
完成	tamamlanması
完成	tamamlama
運転	sürüş
写真	foto
写真	fotoğraf
写真	fotoğrafçılık
写真	fotograf
写真	resim
写真	resmi
関連	akraba
関連	ilişkili
関連	alakalı
関連	ilgili
関連	bağlantılı
書店	kitapçı
高い	yüksek
高い	çak
高い	pahalıdır
高い	yükseğe
高い	uzundu
高い	pahalı
高い	yükseklerde
高い	uzun
生産	prodüksiyon
生産	yapım
生産	imalat
生産	üretim
上の	yukarda
上の	üstünde
上の	yukarıdaki
上の	üzeri
上の	yukarıda
上の	üstü
宇宙	kainat
宇宙	evren
管理	menajerlik
管理	yönetimi
管理	yönet
管理	yönetim
管理	yönetmek
バー	parmaklıklar
バー	barlar
バー	çubuklar
バー	çubuk
ジョン	yahya
公園	parklar
スポーツ	spor
スポーツ	sporlar
脚本	betik
脚本	senaryo
目的	amaçlar
目的	amaçları
目的	amaç
目的	objektif
目的	amacı
目的	hedefliyor
生活	yaşam
生活	ömür
生活	hayat
カード	kartlar
カード	kart
カード	kartı
カード	kartları
基本	temel
基本	temelleri
女優	artist
女優	aktrisler
女優	oyuncu
女優	aktris
不明	bilinmeyen
不明	bilinmiyor
タイトル	ünvan
タイトル	başlığı
タイトル	başlıklar
タイトル	unvan
タイトル	unvanlar
タイトル	başlık
政治	siyaset
政治	politika
電気	elektrik
電気	elektrikli
警察	polis
作成	oluşturun
作成	yaratılış
作成	oluşturulan
作成	yaratılmış
作成	yarat
作成	yarattı
作成	oluşturuldu
作成	oluşturma
作成	oluştur
作成	oluşturmak
作成	yaratma
作成	yaratıldı
ガン	silah
ガン	silahı
ガン	tabanca
予定	planlı
予定	planlanmış
予定	planlanan
予定	planlandı
スター	yıldız
スター	yıldızlı
経営	menajerlik
経営	yönetimi
経営	yönetim
自由	ücretsiz
自由	özgür
自由	bedava
自由	özgürlükler
自由	özgürlük
自由	özgürlüğü
自由	serbest
自由	hürriyet
過去	geçmiş
陸軍	ordu
運営	operasyonu
運営	ameliyat
運営	operasyon
運営	işlem
表示	görünüm
表示	gör
表示	görünümü
表示	manzara
社長	başkanlar
社長	baskan
社長	cumhurbaşkanı
社長	başkanları
社長	başkan
団体	organizasyon
団体	kuruluş
団体	kuruluşlar
団体	örgüt
工業	endüstri
工業	sanayii
工業	endüstriyel
工業	sanayi
通り	cadde
通り	sokak
外部	harici
通信	haberleşme
通信	yazışmaları
通信	iletişim
俳優	artist
俳優	aktörler
俳優	oyuncu
俳優	aktris
俳優	oyuncular
俳優	aktör
スペシャル	özeldir
スペシャル	ozel
スペシャル	özel
少年	çocuk
少年	cocuk
少年	evlat
病院	hastaneleri
病院	hastane
病院	hastaneler
病院	hastahane
結婚	evlilikleri
結婚	evlilik
結婚	evlilikler
個人	bireysel
個人	şahsi
個人	kişisel
個人	birey
個人	şahıslar
個人	bireyler
区間	aralığı
区間	aralıklı
区間	aralık
銀行	bankacılık
銀行	banka
研究所	enstitü
研究所	enstitüsü
主に	öncelikle
ニュース	haberler
ニュース	haber
ニュース	haberleri
その他	diger
その他	diğeri
その他	diğerlerini
その他	diğer
その他	diğerleri
その他	öteki
その他	başkaları
ソフト	yumuşak
ソフト	yufka
文学	edebiyat
文学	edebiyatı
能力	yeteneği
能力	yetenek
なし	hiç
なし	onsuz
なし	olmadan
なし	hiçbiri
なし	yok
学者	alim
学者	alimler
学者	bilgin
国内	yerli
国内	yurtiçi
空港	havalimanı
空港	havaalanları
空港	havaalanı
高速	hizli
高速	hızlı
言語	dil
言語	diller
言語	dilleri
言語	dile
言語	dili
言語	lisan
設計	dizayn
設計	tasarım
韓国	kore
リリース	sürüm
リリース	serbest
リリース	bültenleri
ベスト	yelek
現代	çağdaş
会議	konferans
会議	buluşma
会議	buluşmak
会議	toplantılar
会議	görüşmeler
会議	toplantı
バンド	gruplar
バンド	grup
バンド	bando
バンド	bant
追加	ekliyor
追加	ekle
追加	ekleyin
追加	ekleme
追加	ekler
成功	başarı
成功	başarılar
成功	başarılı
移動	taşı
移動	taşınıyor
移動	hareket
移動	taşınma
オリンピック	olimpiyatlar
オリンピック	olimpiyat
オリンピック	olimpiyatları
国民	millî
国民	milli
国民	ulusal
国民	ulus
ファン	hayranları
ファン	hayranlar
ファン	taraftarlar
ファン	taraftar
ファン	hayran
すべて	tümü
すべて	hepsini
すべて	herşey
すべて	herşeyi
すべて	tamamı
すべて	hersey
すべて	hepsi
運動	hareketler
運動	hareketlilik
運動	alıştırma
運動	egzersiz
運動	hareket
環境	ortamları
環境	çevre
環境	ortam
大きな	büyük
大きな	buyuk
大きな	kocaman
競技	müsabaka
競技	rakip
競技	rekabet
競技	yarışma
会長	başkan
会長	baskan
ヨーロッパ	avrupa
紹介	tanıtım
紹介	sevk
紹介	yönlendirme
紹介	giriş
形式	biçim
形式	formu
工場	fabrikası
工場	fabrikada
工場	fabrika
工場	fabrikalar
相手	rakip
相手	rakibi
戦闘	savas
戦闘	savaş
戦闘	muharebe
労働	emek
労働	işçilik
労働	işçi
労働	emekçi
事務所	ofis
事務所	büro
限定	sınırlıdır
限定	kısıtlı
限定	sınırlı
データ	veri
データ	veriler
作戦	operasyonu
作戦	ameliyat
作戦	operasyon
作戦	işlem
オリジナル	orjinal
オリジナル	orijinal
オリジナル	aslı
オリジナル	orijinallik
オリジナル	özgün
可能性	olası
可能性	olasılıklar
可能性	olasılıkları
可能性	olasılık
可能性	olanaklar
可能性	mümkün
可能性	muhtemel
可能性	ihtimaller
可能性	ihtimal
種類	tipi
種類	türü
種類	çeşitleri
種類	tür
種類	türleri
種類	tipler
種類	türler
種類	tip
文字	karakteri
文字	karakter
文字	karakterleri
文字	karakterler
大統領	cumhurbaşkanı
大統領	başkan
大統領	baskan
協力	işbirliği
指導	rehberlik
指導	hidayet
判断	hüküm
判断	yargılama
判断	yargı
判断	muhakeme
連邦	federasyonu
連邦	federasyon
ネット	ağlar
ネット	ağ
共和国	cumhuriyet
引退	emekli
部門	bölüm
部門	departman
部門	departmanı
部門	bölümü
産業	sektör
産業	sanayii
産業	endüstri
産業	sanayi
プロデューサー	üretici
プロデューサー	yapımcı
プロデューサー	yapımcılar
誕生	doğumu
誕生	doğum
誕生	dogum
指揮	komuta
指揮	komut
レース	dantel
レース	dantelli
レース	yarışmak
レース	yarış
レース	irk
郵便	postalar
郵便	posta
項目	girdiler
項目	girdileri
カップ	bardak
カップ	kupa
カップ	fincan
カップ	kupası
カップ	bardağı
カップ	bardaklar
ラン	kaç
ラン	koş
レイ	işın
移転	havale
移転	aktarım
移転	taşınma
ほぼ	nerdeyse
ほぼ	neredeyse
交差点	kavşak
イベント	etkinlik
イベント	olay
イベント	etkinlikler
イベント	olaylar
イベント	etkinliği
異なる	değişik
異なる	farklı
異なる	farkli
出典	kaynağı
出典	kaynaklar
出典	kaynakları
出典	kaynak
ほとんど	nerdeyse
ほとんど	neredeyse
行動	davranış
行動	davranışlar
行動	davranışları
行動	davranışı
重要	onemli
重要	önemli
重要	önemlidir
プロジェクト	projelerin
プロジェクト	projeleri
プロジェクト	projesi
プロジェクト	proje
プロジェクト	projeler
電車	trenler
電車	tren
電車	trenleri
電車	trenle
建築	mimarlık
建築	mimari
建築	mimarisi
クラス	sınıflar
クラス	dersleri
クラス	sınıf
クラス	sınıfları
クラス	ders
クラス	dersler
クラス	klas
導入	tanıtım
導入	giriş
アジア	anadolu
アジア	asya
全体	genel
全体	bütün
全体	tamamı
全体	toplam
全体	tüm
タイ	tayland
普通	sıradan
普通	olağan
一人	bir
一人	biri
舞台	sahne
舞台	aşama
スペイン	ispanya
意見	fikirleri
意見	fikirler
意見	görüşler
再び	tekrar
再び	gene
再び	yeniden
再び	yine
発見	keşfetmek
発見	keşfedin
発見	keşif
発見	keşfi
発見	keşfet
ローマ	romanlar
ローマ	romalı
ローマ	roma
保護	korumak
保護	koru
保護	korunmak
保護	koruyor
保護	korunma
保護	korunması
保護	koruma
保護	koruyun
少女	kızım
少女	kiz
少女	kız
試験	sınav
試験	muayene
試験	inceleme
試験	sınavlar
多数	birçok
反対	zıt
反対	aleyhinde
反対	karşı
反対	karşıt
反対	karsi
作家	yazar
作家	yazarlar
作家	yazarı
地球	dünya
地球	toprak
地球	yeryüzü
方法	yöntemi
方法	yöntem
特徴	özellikleri
特徴	özellik
特徴	özellikler
特徴	özelliği
特徴	karakteristik
ベース	baz
ベース	bas
ベース	taban
ベース	üs
ベース	levrek
ベース	üssü
男性	adam
男性	adamım
男性	adamlar
男性	erkek
男性	insan
男性	erkekler
ケース	dava
ケース	davalar
ケース	vakalar
ケース	vaka
子供	cocuklar
子供	çocuğum
子供	çocuk
子供	cocuk
子供	çocuklar
大臣	bakanı
大臣	bakanlar
大臣	bakan
大臣	bakanım
大臣	bakanları
オープン	açık
オープン	aç
オープン	açın
オープン	açıl
コーナー	köşeye
コーナー	köşe
取締役	direktör
取締役	yöneticiler
取締役	yönetmenler
取締役	müdür
取締役	yönetici
取締役	yönetmen
人気	sevilen
人気	popüler
人気	popülerlik
評価	oran
評価	derecelendirme
評価	reyting
評価	değerlendirme
評価	beğeni
評価	puanlar
評価	puan
評価	oranı
説明	ediniz
説明	tarif
説明	tanım
説明	tanımlama
説明	açıklaması
説明	açıklama
説明	açıklayın
装備	ekipman
装備	donanım
装備	donatım
ドル	dolarlar
ドル	dolar
投票	oylar
投票	oylama
投票	oy
雑誌	dergi
雑誌	magazin
雑誌	dergiler
グランド	binlik
学科	departmanı
学科	bölümler
学科	bölüm
学科	departman
学科	bölümü
専用	adanmış
専用	adamış
登録	ruhsat
登録	kayıt
登録	tescil
登録	kayıtlar
登録	üyelik
登録	kayıtları
ステージ	sahne
ステージ	aşama
ゲスト	misafirler
ゲスト	misafir
ゲスト	konuk
ゲスト	konuklar
学生	öğrenciler
学生	öğrenci
周辺	çevre
周辺	çevresi
言葉	kelime
言葉	söz
言葉	kelimesi
言葉	laf
言葉	sözcük
言葉	sözcükler
言葉	sözler
言葉	kelimeler
教会	kiliseye
教会	kiliseler
教会	kilise
内閣	kabin
内閣	kabine
内閣	dolap
整備	bakım
整備	bakımı
主張	iddia
ロック	taş
ロック	kilitli
ロック	kilitleme
ロック	kaya
ロック	kilit
事故	kazalar
事故	kaza
事故	kazaları
分類	kategorisi
分類	kategori
分類	kategorizasyonu
分類	kategorileri
分類	sınıflandırma
状況	durumlar
状況	durum
家族	aile
家族	ailesi
距離	mesafeler
距離	mesafe
距離	uzaklık
表現	ifade
表現	ifadesi
表現	temsili
表現	deyim
表現	temsil
新しい	yeni
ホール	salonu
ホール	salon
ホール	delik
ホール	çukur
体重	kilo
体重	ağırlık
体重	ağırlığı
体重	kilosu
血液	kan
同意	kabul
同意	rıza
同意	anlaştık
これらの	bunlar
これらの	şunlar
これらの	bunları
由来	köken
由来	kökeni
平均	ortalama
事実	gerçekler
事実	gerçekleri
事実	gerçek
店舗	mağaza
店舗	mağazası
店舗	mağazaları
店舗	dükkanlar
店舗	dükkan
店舗	mağazadan
店舗	mağazalar
カテゴリ	kategorisi
カテゴリ	kategorileri
カテゴリ	kategori
メートル	metre
芸術	sanat
芸術	sanatlar
複数	çoklu
複数	çoğul
観光	turizm
観光	turistik
観光	turist
観光	gezi
観光	gezinti
取得	getir
取得	iddia
王国	krallık
電話	telefon
刑事	detektif
刑事	dedektif
レコード	kayıt
レコード	rekorlar
レコード	kayıtlar
レコード	rekor
レコード	plak
レコード	kayıtları
上記	yukarda
上記	üstünde
上記	yukarıdaki
上記	üzeri
上記	yukarıda
上記	üstü
トップ	üstü
トップ	üstte
トップ	üst
付近	yakınındaki
付近	yakınında
付近	yakın
リン	fosfor
輸送	ulaştırma
輸送	taşıma
輸送	taşıt
輸送	nakliye
輸送	taşımacılık
輸送	ulaşım
飛行	uçuş
メイン	birincil
メイン	ana
ロード	yükle
ロード	yükleyin
ロード	yük
ワールド	dünya
ワールド	dunya
美術	sanat
息子	evlat
息子	oğul
息子	oğlum
息子	oğulları
息子	oğullar
制度	kurum
制度	kuruluş
制度	enstitü
ツアー	tur
ツアー	tura
ツアー	turlar
ツアー	turları
ツアー	turne
スタジオ	stüdyoları
スタジオ	stüdyosu
スタジオ	stüdyo
市民	yurttaş
市民	vatandaşlar
市民	vatandaşlık
市民	vatandaş
同じく	aynen
同じく	keza
自然	dogal
自然	doğa
自然	tabiat
自然	doğal
マイル	mil
マイル	kilometrelerce
組合	dernekleri
生徒	öğrenciler
生徒	öğrenci
ギター	gitar
コース	kurs
コース	rota
コース	kursları
コース	dersler
防衛	defans
防衛	savunma
変化	değişiklik
変化	değişim
変化	değiştir
変化	değiştirme
タイプ	tipi
タイプ	tip
タイプ	türü
タイプ	tür
議会	parlamentosu
議会	parlamento
議会	meclis
南部	güney
南部	güneyli
経験	tecrübeli
経験	deneyimli
経験	deneyimi
経験	tecrübe
経験	deneyim
延長	uzatma
延長	dahili
延長	uzatmak
延長	uzamış
延長	eklenti
延長	uzun
延長	uzat
ランド	kara
ランド	arsa
ランド	toprak
ランド	arazi
条件	şartlı
条件	şartlar
条件	şart
条件	koşullar
条件	durum
条件	koşul
条件	koşulları
条件	durumu
条件	kriterleri
条件	koşullu
伝説	efsanevi
伝説	efsane
ロンドン	londra
本部	karargah
本部	merkez
フリー	ücretsiz
フリー	özgür
フリー	serbest
フリー	bedava
競走	yarışmak
競走	yarış
競走	irk
デジタル	dijital
デジタル	sayısal
台湾	tayvan
台湾	tayland
ポジション	pozisyon
ポジション	mevki
ポジション	konum
インド	hindistan
インド	hint
名誉	şeref
名誉	onur
ソング	şarkılar
ソング	şarkı
ソング	sarki
ライン	hattı
ライン	hat
ライン	satır
ライン	çizgi
履歴	tarih
履歴	tarihi
履歴	geçmiş
方向	yönü
方向	tarif
方向	oryantasyon
方向	talimatlar
方向	istikamet
方向	yön
法律	kanunlar
法律	kanun
法律	yasa
法律	hukuk
法律	yasalar
法律	yasaları
提案	önerin
提案	önerisi
提案	teklifi
提案	teklif
提案	öner
提案	öneri
提案	öneriler
提案	önerileri
シティ	sehir
シティ	şehir
効果	etkiler
効果	etkileri
効果	etkisi
効果	efekt
効果	etki
ミュージック	müzik
