категория	類別
возможность	機會
возможность	機遇
возможность	可能性
создания	建立
создания	創作
создания	創造
создания	創建
премия	獎賞
премия	授予
премия	保費
премия	溢價
премия	獎
премия	保險費
премия	獎品
выпускники	畢業生
выпускники	校友
выпускники	老年人
новые	新
новые	新的
основные	主要
основные	基本
всегда	始終
всегда	永遠
всегда	總是
известные	已知
южной	南部
южной	南方
южной	南
метров	公尺
метров	米
практически	幾乎
президент	主席
президент	總統
четыре	四
четыре	四名
четыре	四個
информация	資訊
большая	大型
большая	大
большинство	大多
большинство	大部分
большинство	最多
большинство	多數
большинство	大多數
кино	電影院
кино	膠片
кино	影片
кино	電影
кино	戲院
номер	號碼
номер	數字
номер	編號
номер	數
деревни	鄉村
деревни	村莊
силы	武力
внимание	注意
внимание	聚焦
внимание	焦點
внимание	注意力
внимание	重點
внимание	專注
государства	國家
писатель	作者
писатель	編劇
писатель	作家
движения	交通
роман	小說
дней	天數
дней	日子
новых	新
новых	新的
клубы	梅花
клубы	俱樂部
граф	圖
граф	圖形
граф	數
граф	數數
граф	計數
граф	伯爵
граф	圖表
процент	百分比
провинции	各省
провинции	省份
новая	新
новая	新的
известен	已知
мини	迷你
памятник	碑
памятник	紀念碑
каждый	大家
каждый	每個
каждый	每個人
каждый	每一個
потом	那
потом	那麼
потом	然後
герб	藥草
герб	國徽
счёт	得分
счёт	比分
счёт	帳戶
счёт	帳號
счёт	分數
книга	書
книга	圖書
книга	書籍
отношения	戀愛
отношения	感情
отношения	關係
доктор	醫師
доктор	博士
доктор	醫生
использовать	使用
использовать	利用
стран	各國
стран	國家
заголовок	頭條
заголовок	標題
лучший	最好
восточной	東方
восточной	東部
видов	魚種
видов	物種
западной	西方
западной	西部
всем	大家
всем	所有
всем	全部
всем	每個人
здание	建築物
здание	建築
здание	大樓
слово	詞
слово	字
слово	單詞
слово	單字
дочь	女兒
фон	背景
последний	上次
последний	最後
правил	規則
правил	細則
точки	點數
точки	積分
точки	點
мария	瑪麗
мария	瑪莉
мария	瑪利亞
мария	瑪麗亞
коммуна	公社
партия	批次
партия	宴會
партия	分批
партия	派對
партия	黨
партия	政黨
партия	聚會
страницы	頁
позднее	後來
позднее	稍後
позднее	以後
включает	包括
актёр	演員
актёр	男主角
включая	包括
правительства	政府
председатель	主席
председатель	椅子
председатель	椅
председатель	總統
моря	海
моря	大海
моря	海上
страна	國家
вариант	選項
дороги	道路
дороги	公路
русские	俄語
русские	俄文
мир	和平
мир	平安
мир	世界
работа	工作
японии	日本人
японии	日文
японии	日本
серия	系列
серия	插曲
серия	集
песня	歌曲
песня	宋
песня	首歌
песня	歌
вопросы	問題
испании	西班牙
завод	植物
завод	工廠
завод	廠
штат	州
штат	國家
проблемы	挑戰
проблемы	問題
ниже	較低
ниже	以下
ниже	更低
ниже	下方
ниже	低
улицы	街道
рядом	周邊
рядом	靠近
рядом	附近
рядом	鄰近
рядом	近
найти	尋找
найти	找到
вклад	投入
вклад	捐款
вклад	輸入
вклад	繳款
развитие	發展
лиги	聯盟
лиги	聯賽
лиги	同盟
директор	導演
директор	司長
директор	校長
директор	主任
командир	指揮官
командир	司令
друг	朋友
друг	好友
рок	搖滾
рок	岩
рок	石頭
рок	岩石
мой	礦山
отличие	差異
отличие	區別
отличие	差別
отличие	差額
журнал	期刊
журнал	日誌
журнал	日刊
журнал	雜誌
журнал	日記
министр	部長
министр	大臣
значение	含義
значение	數值
значение	價值
значение	值
производства	製作
производства	產量
производства	生產
премьер	總理
сначала	第一
сначала	首先
игра	比賽
игра	遊戲
игра	博弈
решения	決定
строительство	建設
строительство	施工
строительство	建築
строительство	建築物
строительство	大樓
пункт	項目
мать	母親
мать	母后
старший	資深
старший	長輩
старший	前輩
старший	長老
снова	再次
здания	建築物
здания	建築
тренер	教練
поле	欄位
значения	價值觀
значения	數值
значения	價值
значения	值
пути	途徑
пути	小徑
пути	路徑
женщины	婦女
женщины	女
женщины	女性
труда	勞力
труда	勞動力
труда	勞動
труда	勞工
майор	主要
майор	少校
майор	主修
провинция	省省
провинция	省份
провинция	省
программы	程式
программы	方案
храм	寺
храм	寺廟
храм	神廟
храм	廟
храм	聖殿
исследования	研究
обороны	國防
обороны	辯護
обороны	防守
обороны	防衛
обороны	防禦
мнение	意見
сообщения	訊息
сообщения	信件
сообщения	通訊
матч	匹配
матч	比對
востоке	東方
востоке	東部
востоке	東
востоке	東區
быстро	快速
удаление	刪除
удаление	刪去
влияние	影響
влияние	影響力
влияние	撞擊
влияние	衝擊
епископ	主教
следующий	下一步
максимальная	最大限度
максимальная	最大值
англии	英格蘭
англии	英國
капитан	隊長
капитан	機長
работает	工程
работает	作品
довольно	漂亮
ленина	列寧
должно	必須
интернет	網際網路
интернет	網路
руководитель	領導人
руководитель	主管
руководитель	召集人
руководитель	督導
руководитель	領導者
руководитель	領袖
армия	集團軍
армия	軍隊
армия	軍
армия	陸軍
степень	程度
степень	度
степень	學位
лейтенант	中尉
науки	科學
версия	版
версия	版本
школе	上學
школе	學校
думаю	思考
думаю	思維
думаю	猜
думаю	猜猜
воды	水
воды	飲水
титул	標題
сражения	戰役
князь	太子
князь	王子
князь	親王
стадион	運動場
стадион	球場
стадион	體育館
деревне	鄉間
деревне	村落
деревне	鄉村
деревне	農村
деревне	鄉下
деревне	村
деревне	村子
деревне	村莊
кубок	杯子
кубок	杯
кубок	盃
помимо	超越
пять	五
пять	五個
движение	運動
движение	交通
движение	動議
выпуск	輸出
выпуск	產出
теории	理論
святой	聖
святой	聖人
святой	神聖
союз	聯盟
союз	工會
удалено	刪除
ван	貨車
ван	王
ван	範
ван	梵
удалить	移除
удалить	刪除
удалить	刪去
остров	海島
остров	島
остров	島嶼
прав	權利
операции	交易
французский	法文
французский	法語
издание	出版
издание	版
издание	出版物
необходимо	必需
необходимо	必要
результаты	結果
результаты	成果
павел	保羅
пётр	彼得
золотой	金
золотой	金色
золотой	黃金
золотой	金子
последние	上次
последние	近期
последние	最後
последние	最近
известный	有名
известный	著名
известный	已知
флота	車隊
флота	艦隊
флота	船隊
использование	使用
использование	利用
использование	用量
использование	用法
далее	進一步
далее	下一步
немецкий	德文
немецкий	德語
империя	帝國
совершенно	完全
очередь	佇列
очередь	轉
очередь	排隊
записи	條目
записи	記錄
записи	紀錄
термин	學期
термин	任期
термин	術語
вокруг	周圍
вокруг	圍繞著
вокруг	圍繞
вторая	秒
вторая	第二
использования	使用
использования	用量
использования	用法
дети	兒童
дети	嬰兒
дети	小孩
издательство	出版商
издательство	出版
издательство	出版社
издательство	發表
действий	動作
действий	行動
карьера	職業
франция	法國
композитор	作曲家
должности	職位
семьи	家人
семьи	家庭
семьи	家屬
военный	軍方
военный	軍事
числа	數字
создание	建立
создание	創作
создание	創造
создание	創建
азии	亞洲
актриса	演員
актриса	女演員
актриса	女主角
писать	撰寫
писать	寫作
писать	寫入
писать	寫
писать	書寫
корпус	船體
корпус	赫爾
относительно	相對
членов	成員
позиции	職位
речь	語音
речь	演講
речь	講話
речь	演說
жена	妻子
альбомы	專輯
альбомы	相簿
центральной	中央
правительство	政府
знак	簽
знак	簽名
знак	簽字
слишком	太
энциклопедия	百科全書
поэт	詩人
революции	革命
соответствует	對應
парк	樸
парк	公園
уровня	三級
уровня	層次
уровня	關卡
уровня	級別
уровня	等級
мало	小
возможности	機會
возможности	機遇
возможности	可能性
ран	傷口
фамилия	姓
фамилия	姓氏
третий	第三
формы	表格
формы	形狀
избран	當選
оставить	離開
оставить	休假
начальник	督導
начальник	科長
начальник	主管
начальник	首席
министерства	各部
министерства	部委
брат	兄弟
брат	哥哥
брат	哥
брат	弟弟
брат	師兄
цвета	色彩
цвета	彩色
цвета	顏色
цвета	色
победы	勝利
единицы	單元
единицы	各單位
единицы	單位
единицы	股
интервью	訪談
интервью	面試
интервью	採訪
интервью	約談
интервью	面談
путь	路徑
новое	新
новое	新的
книг	書
книг	圖書
книг	書籍
шоу	邵
шоу	肖
шоу	蕭
шоу	展示
шоу	顯示
республика	共和國
республика	共和
участок	劇情
участок	陰謀
участок	密謀
темп	節奏
темп	拍子
медали	勳章
медали	獎章
медали	獎牌
фильмов	影片
организация	組織
красного	紅
красного	紅色
события	活動
события	事件
никогда	從不
никогда	從來沒有
никогда	從未
изменения	變化
изменения	變動
изменения	變更
изменения	改變
изменения	更改
изменения	變
перевод	翻譯
производство	產量
производство	生產
производство	製造
производство	製作
производство	製造業
прежде	之前
прежде	前
прежде	以前
море	海邊
море	海
море	大海
море	海上
расстояние	距離
век	眼皮
век	世紀
сети	網
сети	蚊帳
сети	漁網
сети	網路
сети	籃網
епархии	教區
гитара	吉他
гражданство	公民權
гражданство	國籍
считаю	計數
считаю	數
научный	科學
стиль	風格
стиль	樣式
назад	落後
назад	回
назад	倒退
назад	背
военных	軍方
военных	軍事
америки	美洲
границы	界線
границы	邊境
границы	界限
границы	邊框
границы	邊界
городов	城市
удалена	刪除
скорость	速度
скорость	速
суда	船舶
суда	船隻
похоронен	埋葬
похоронен	埋
музыка	音樂
православной	正統
православной	東正教
православной	正教
текста	文字
текста	案文
политики	政治學
политики	政客
политики	政治家
политики	政界人士
политики	政治
пик	山頂
пик	偷看
пик	峰峰
пик	峰
любой	任何人
любой	任何
память	記憶
память	記憶體
память	記憶力
память	回憶
национальная	國家
пост	張貼
пост	郵政
край	邊緣
тела	屍體
тела	體
тела	身體
общество	社會
лично	親自
польши	波蘭
часов	小時
виды	魚種
виды	物種
виды	類型
первоначально	最初
первоначально	原本
исследований	研究
номинации	提名
пожалуйста	請
международный	國際
происхождения	起源
происхождения	出處
происхождения	原產地
министра	部長
министра	大臣
минимальная	最少
минимальная	最小
взгляд	凝視
памяти	記憶
памяти	記憶體
памяти	記憶力
памяти	回憶
нарушение	侵犯
нарушение	違規
нарушение	違約
нарушение	違反
пример	範例
средний	中等
средний	媒介
средний	中間
средний	平均值
средний	中型
средний	平均
средний	介質
мастер	師父
мастер	魔法師
мастер	主人
мастер	大師
мастер	巫師
мастер	師傅
факты	事實
промышленности	工業
промышленности	行業
промышленности	業界
промышленности	產業
уровень	三級
уровень	層次
уровень	關卡
уровень	級別
уровень	等級
русская	俄語
русская	俄文
бассейн	盆地
бассейн	撞球
бассейн	海盆
бассейн	泳池
бассейн	游泳池
бассейн	盆
бассейн	池
бассейн	流域
игрок	玩家
игрок	球員
писатели	作者
писатели	作家
средства	資金
средства	基金
украина	烏克蘭
материалы	內容
материалы	材質
материалы	物料
материалы	材料
контракт	合同
контракт	合約
приток	流入
приток	湧入
объектов	天體
объектов	物體
объектов	物件
сегодня	今夜
сегодня	今日
сегодня	今天
сегодня	今晚
солдат	軍人
солдат	士兵
солдат	戰士
солдат	兵
линия	線路
линия	線
официально	官方
официально	正式
программа	程式
программа	方案
научная	科學
советская	蘇維埃
территория	領地
территория	領土
власть	動力
власть	電源
власть	權力
власть	電力
славы	名氣
славы	名望
анна	安娜
команд	命令
разные	不同
умершие	已故
умершие	逝者
месяцев	月份
месяцев	月
растений	植物
растений	工廠
растений	廠
слева	左
слева	左翼
слева	左邊
слева	左側
языки	語言
языки	語文
вокал	聲樂
содержит	包含
содержит	含有
стать	成為
озеро	湖
озеро	湖泊
комиссии	傭金
комиссии	委員會
дорога	道路
дорога	路
дорога	公路
монастырь	修道院
монастырь	寺院
принято	接受
газеты	報
газеты	報紙
газеты	報刊
газеты	報章
переулок	車道
переулок	小巷
переулок	巷子
переулок	巷
написано	撰寫
написано	書寫
немного	稍微
форме	表格
форме	形式
форме	形狀
скончался	已故
скончался	逝者
чемпионы	冠軍
упоминается	提及
собор	大教堂
итоги	結果
итоги	成果
карьеры	職業
константин	君士坦丁
суд	法院
суд	法庭
основных	主要
основных	少校
основных	主修
морской	海事
германия	德國
восток	東方
восток	東部
восток	東
восток	東區
срок	限期
срок	期限
помощь	協助
помощь	幫助
помощь	援助
помощь	幫忙
дважды	兩次
постоянно	常數
постоянно	永久
издания	版本
позиция	態度
позиция	立場
позиция	位置
позиция	職位
стороне	側
стороне	一面
передачи	傳送
передачи	傳輸
передачи	轉讓
зависимости	扶養
зависимости	依賴性
зависимости	依賴
закон	法律
сми	媒體
сми	媒介
радио	無線電廣播
радио	無線電
радио	廣播
радио	廣播電台
радио	電台
радио	收音機
кантон	縣
иностранных	外籍
иностранных	外國
ответ	答案
ответ	回覆
ответ	回答
ответ	答
ответ	答復
цвет	色
цвет	彩色
цвет	顏色
цвет	色彩
списки	名單
систем	系統
комплекс	複雜
наличие	可用性
функции	特點
функции	地物
функции	特徵
функции	函數
функции	特色
функции	職能
функции	功能
состояние	現況
состояние	條件
состояние	州
состояние	國家
состояние	狀態
состояние	狀況
общая	共同
общая	通用
общая	常見
муниципалитет	市
представителей	代表
модели	模特兒
модели	模範
модели	型號
модели	模型
модели	示範
модели	模特
меньше	少
меньше	較小
меньше	少了
меньше	更少
климат	氣候
минут	分鐘
животных	動物
сен	森
сен	聖
сен	聖人
создать	創建
красный	紅
красный	紅色
конец	結束
конец	結局
конец	終結
конец	結尾
действие	動作
действие	行動
турнир	錦標賽
проблема	問題
мужчины	男人
мужчины	男性
мужчины	男子
слов	詞語
слов	字
слов	詞
слов	言語
бой	戰
бой	戰鬥
бой	戰役
бой	打
бой	作戰
бой	打架
написать	寫信
написать	撰寫
написать	寫作
написать	寫入
написать	寫
внутри	內在
внутри	裡面
внутри	內心
внутри	內部
победу	勝利
инкубатор	孵化器
роберт	羅伯特
департамент	部門
отсутствие	缺席
австралии	澳洲
австралии	澳大利亞
император	天皇
император	皇帝
статистика	統計數字
киев	基輔
предложение	建議
предложение	句子
предложение	優惠
предложение	提議
предложение	判刑
предложение	提案
предложение	刑期
представители	代表
дела	案例
равно	等於
модель	模範
модель	模特兒
модель	型號
модель	模型
модель	示範
мэр	鎮長
мэр	市長
получить	獲得
получить	得到
получить	獲取
второе	秒
второе	第二
смог	煙霧
преимущественно	大多
книгу	書
книгу	圖書
книгу	書籍
культура	文化
фото	像片
фото	照片
округе	郡
округе	縣
индии	印度
золотая	金
золотая	金色
золотая	黃金
золотая	金子
точка	角
точка	點
районы	各地區
районы	地區
районы	各區
йорк	約克
газета	報
газета	報紙
газета	報章
силу	武力
артист	藝術家
артист	藝人
семья	家人
семья	家庭
семья	家屬
озера	湖泊
северная	北方
северная	北
северная	北部
крупных	大型
сообщение	訊息
сообщение	信件
сообщение	留言
связь	電信
связь	通訊
связь	溝通
связь	電訊
изначально	最初
изначально	原本
родилась	出生
родилась	生於
родилась	誕生
родилась	天生
принять	接受
лица	面孔
лица	臉
словарь	字典
словарь	詞典
словарь	詞彙
словарь	字彙
председателя	主席
крупные	大型
художники	藝術家
художники	畫家
художники	藝人
мост	橋梁
мост	艦橋
мост	橋
мост	大橋
мост	橋牌
большие	大型
большие	大
страниц	頁
историк	歷史學家
бригады	旅
бразилии	巴西
групп	群組
групп	團體
отдельных	個別
отдельных	離散
отдельных	個人
отдельных	個體
частей	零件
частей	部件
жители	居民
тема	主題
тема	題目
тема	專題
тема	話題
жан	讓
замок	鎖
замок	城堡
замок	鎖定
замок	城
пусть	讓
мин	明
мин	地雷
мин	閔
мин	阿明
мин	敏
италия	義大利
согласен	商定
согласен	議定
согласен	同意
корабль	船
корабль	船舶
корабль	艦
корабль	船隻
военные	軍方
военные	軍事
видео	影片
видео	視訊
ссылку	連結
предприятия	企業
теория	論
теория	理論
георгий	喬治
сказать	說
волость	教區
теме	主題
теме	題目
теме	專題
теме	話題
секретарь	秘書
секретарь	前台
операция	外科手術
операция	手術
операция	行動
операция	操作
операция	運算
художников	藝術家
художников	藝人
ситуация	情況
горы	山脈
горы	山
горы	山區
горы	山地
выиграл	元
считать	數數
считать	計數
считать	伯爵
считать	數
государство	州
государство	國家
отставке	退役
отставке	退休
вес	重量
вес	體重
вес	份量
другое	其他
форма	軍服
форма	表格
форма	形狀
форма	制服
форма	均勻
форма	軍裝
форма	形式
метро	捷運
метро	地底
метро	地鐵
метро	地下
масса	質量
масса	彌撒
биография	自傳
биография	傳記
объекта	天體
объекта	物件
марк	馬克
марк	標記
марк	標示
наука	科學
музыкальные	音樂劇
музыкальные	音樂
темы	題目
темы	專題
темы	主題
темы	議題
звезды	星空
звезды	恆星
звезды	明星
звезды	星
звезды	星星
неоднократно	反復
построен	內建
построен	建
друга	朋友
друга	好友
герои	英雄
герцог	公爵
смысл	含義
сент	聖
сент	聖人
крайне	極度
крайне	極
иначе	否則
ассоциации	協會
ассоциации	社團
ассоциации	結社
внутренних	內地
внутренних	內部
внутренних	內政
конференции	會議
особенности	特點
особенности	地物
особенности	特性
особенности	特徵
особенности	特色
особенности	功能
рост	增長
рост	高度
рост	成長
рост	身高
непосредственно	直接
аэропорт	機場
публикации	出版物
отношение	態度
австрии	奧地利
греции	希臘
соревнования	競賽
соревнования	競爭
руководство	管理
руководство	手動
руководство	嚮導
руководство	手冊
руководство	指引
руководство	指南
руководство	領導
руководство	指導
бассейна	盆地
бассейна	盆
бассейна	海盆
бассейна	流域
характер	字元
характер	性質
характер	性格
характер	人物
характер	大自然
характер	自然
характер	角色
характер	品格
островов	群島
островов	島嶼
полное	完整
полное	滿
полное	飽
музыканты	樂手
библиотека	圖書館
литература	文獻
литература	文學
победитель	勝者
победитель	贏家
отряд	班長
отряд	班
отряд	小隊
правда	真相
правда	真實
правда	事實
правда	真理
месяца	個月
месяца	月份
месяца	月
армении	亞美尼亞
шесть	六
шесть	六個
адрес	地址
адрес	住址
результат	結果
результат	成果
зачем	為什麼
зачем	為甚麼
зачем	為何
поверхности	地面
поверхности	地表
поверхности	表面
оружие	槍支
оружие	武器
оружие	槍
оружие	兵器
оружие	軍火
оружие	槍械
оружие	炮
столица	資本
столица	首都
любовь	戀愛
любовь	愛情
любовь	愛
младший	初級
младший	少年
младший	最小
студии	錄音室
студии	工作室
продюсер	製片
продюсер	製片人
авторов	作者
поля	田地
поля	欄位
поля	田間
поля	田野
фотографии	圖畫
фотографии	像片
фотографии	圖片
фотографии	照片
фотографии	攝影
рублей	盧布
опять	再次
запад	西邊
запад	西
