年	jaar
從	vanaf
從	uit
原	originele
原	oorspronkelijke
原	origineel
工作	banen
工作	vacatures
工作	werkend
工作	werken
工作	klussen
工作	arbeid
工作	werk
工作	baan
工作	werkende
北	noord
北	noorden
政治	politieke
政治	politiek
星	sterren
星	ster
她	zij
她	ze
他的	zijn
面	noedels
作品	werken
作品	werkt
河	rivier
文化	culturen
文化	cultuur
條目	inzendingen
條目	ingangen
條目	vermeldingen
馬	paard
馬	paarden
更	meer
電影	film
電影	bioscoop
電影	bioscopen
電影	filmpje
電影	films
季	seizoenen
季	seizoen
龍	draken
龍	long
龍	draak
龍	longen
女	vrouwtje
女	vrouwelijk
女	vrouwelijke
女	vrouw
正式	formele
正式	formeel
正式	officieel
外	buiten
外	buitenkant
美	prachtig
美	mooi
美	schoonheid
美	mooie
字	woorden
字	woord
因為	omdat
因為	want
北京	peking
不同	anders
不同	verschillend
不同	verschillende
足球	voetballen
足球	voetbal
目前	actueel
目前	huidige
目前	momenteel
目前	huidig
所有	allen
所有	alles
所有	alle
所有	allemaal
部分	partiële
部分	deels
部分	gedeeltelijk
部分	gedeeltelijke
郡	graafschap
國家	nationaal
國家	nationale
國家	land
國家	staten
國家	staat
國家	landen
球	bal
生	rauwe
生	rauw
生	ruw
生	ruwe
但是	maar
街	straat
提供	verstrekt
提供	verstrekte
城市	stad
城市	steden
一些	sommigen
一些	enkele
一些	sommige
長	lange
長	lang
人物	karakter
人物	personage
軍	leger
軍	landmacht
加入	toetreding
加入	meedoen
上海	sjanghai
第三	derde
魚	vissen
波	zwaaien
波	golf
回	terug
回	rug
無	geen
你	jou
你	jij
東	oost
東	oosten
英國	engeland
周	weken
周	weekje
石	natuursteen
石	steen
石	stenen
事件	gebeurtenis
事件	voorval
事件	incidenten
事件	voorvallen
事件	evenement
事件	gebeurtenissen
事件	evenementen
建立	creatie
建立	vestiging
建立	opbouwen
建立	schepping
建立	bouwen
生活	levende
生活	leven
派	taart
教育	onderwijs
教育	educatief
教育	opvoeding
教育	leerzaam
之後	na
國際	internationaal
獎	onderscheidingen
獎	gunning
獎	onderscheiding
獎	prijsuitreiking
完成	afgewerkte
完成	klaar
完成	afgewerkt
完成	afmaken
完成	voltooid
完成	afwerking
完成	invullen
完成	voltooien
完成	gedaan
完成	compleet
白	wit
白	witte
音樂	muziek
音樂	muzikale
音樂	muzikaal
沙	zand
沙	sjah
他們	zij
他們	ze
可能	mogelijk
可能	mogelijke
分布	uitgedeeld
分布	gedistribueerd
分布	distributies
分布	distributie
分布	verdeeld
分布	uitkeringen
分布	verspreid
分布	verdeling
地區	oppervlakten
地區	oppervlakte
地區	gebieden
地區	gebied
車	wagen
車	auto
官	officier
官	agent
梅	mei
梅	moge
梅	mogen
梅	mag
中文	chinees
中文	chinezen
自由	vrij
自由	vrijheid
自由	gratis
黃	geel
黃	gele
獲得	krijg
獲得	krijgen
光	lichte
光	licht
重要	belangrijkheid
重要	belangrijke
重要	belang
重要	belangrijk
工程	machinebouw
工程	werken
工程	werkt
工程	techniek
港	haven
港	bakboord
港	poort
列	zuil
列	kolom
最後	laatste
提交	ingediende
提交	inzending
提交	indiening
提交	ingezonden
提交	onderwerping
提交	ingediend
提交	indienen
需要	noodzaak
需要	nood
需要	benodigd
需要	noden
需要	behoefte
需要	nodig
需要	behoeften
江	rivier
臺灣	taiwanese
最佳	optimaal
最佳	optimale
這個	deze
這個	dit
地方	plaatsen
地方	plaats
系列	reeksen
系列	serie
系列	reeks
電視	televisie
黑	zwart
黑	donker
黑	duister
黑	donkere
黑	zwarte
花	bloemetje
花	bloemetjes
花	bloempje
花	bloem
花	bloemen
遊戲	spelletje
遊戲	spellen
遊戲	spelletjes
遊戲	wedstrijd
遊戲	spel
最高	bovenkant
最高	hoogst
最高	hoogste
最高	opperste
最高	bovenste
要求	voorschrift
要求	vereiste
要求	eis
要求	eisen
要求	verzoeken
要求	vereisten
要求	aanvraag
要求	verzoek
要求	aanvragen
讓	laten
讓	laat
版本	versie
版本	uitgave
版本	versies
版本	edities
發現	ontdekking
發現	gevonden
發現	ontdekkingen
發現	ontdek
發現	ontdekken
語	taal
語	taalgebruik
只有	alleen
只有	enkel
只有	slechts
內容	inhoud
製作	productie
製作	produkties
製作	producties
製作	produktie
出生	geboren
出生	geboorte
航空	lucht
航空	luchtvaartmaatschappijen
航空	luchtvaart
航空	luchtvaartmaatschappij
數	aantal
數	getal
數	tellen
數	telling
數	nummer
數	tel
數	graaf
出版	publikatie
出版	publiceren
出版	publicatie
出版	verschenen
出版	gepubliceerde
出版	uitgegeven
出版	gepubliceerd
出版	uitgeverijen
出版	uitgeverij
出版	bekendmaking
發展	ontwikkeling
成功	succes
成功	succesvol
成功	geslaagde
成功	geslaagd
成功	succesvolle
面積	oppervlakte
面積	gebied
系統	systeem
系統	systemen
系統	stelsel
蘭	ian
班	team
冠軍	kampioen
冠軍	kampioenen
問題	vraagje
問題	vraag
問題	probleem
問題	vragen
海拔	hoogte
島	eiland
方式	methode
率	tarief
請	alstublieft
請	aub
請	alsjeblieft
名稱	naam
名稱	namen
官方	officieel
愛	liefde
愛	liefs
得到	krijg
得到	krijgen
平	plat
街道	straat
街道	straatjes
街道	straten
存在	aanwezigheid
存在	bestaan
刪除	geschrapt
刪除	verwijdering
刪除	verwijderde
刪除	verwijderen
刪除	verwijder
刪除	doorhalen
刪除	verwijderd
刪除	schrapping
刪除	gewist
設計	vormgeving
設計	ontwerpen
設計	ontwerp
發行	uitgifte
群	groep
群	fractie
負責	verantwoord
負責	verantwoordelijke
負責	verantwoordelijk
服務	serveert
服務	dienen
服務	dienstverlening
服務	dienst
服務	opdienen
服務	serveren
服務	diensten
任何	elke
列表	lijstje
列表	lijst
西班牙	spanje
頁	bladzijden
條	stroken
兩	twee
當	wanneer
以上	boven
以上	hierboven
著名	beroemde
著名	beroemd
聖	heilige
已經	reeds
已經	al
梁	stralen
梁	balk
梁	balken
梁	straal
角色	karakters
角色	karakter
角色	rollen
角色	rol
角色	personage
角色	tekens
角色	personages
半	helft
成員	leden
成員	lid
東京	tokio
新聞	nieuwsberichten
新聞	nieuws
現在	nu
後來	straks
女性	vrouwelijk
女性	vrouwelijke
女性	vrouw
女性	vrouwtje
女性	vrouwen
女性	vrouwtjes
高度	lengte
高度	hoogte
說	zeg
說	zeggen
男	mannetje
男	mannelijk
男	mannelijke
之前	voordat
之前	vóór
合作	medewerking
合作	samenwerking
合作	meewerken
門	deur
門	poort
門	deuren
門	hek
卷	rol
卷	rollen
位置	locatie
位置	lokatie
位置	ligging
位置	positie
活動	gebeurtenis
活動	activiteit
活動	activiteiten
活動	evenement
活動	gebeurtenissen
活動	evenementen
只	alleen
只	enkel
只	slechts
歷史	geschiedenis
歌曲	lied
歌曲	nummers
歌曲	nummer
歌曲	liedje
歌曲	zang
歌曲	liederen
歌曲	liedjes
點	stip
點	punt
點	puntjes
點	puntje
點	stippen
一次	eens
植物	plantjes
植物	planten
封	verzegeling
封	zeehond
封	zegel
封	verzegelen
皮	lederen
皮	leder
皮	leer
非常	zeer
而且	en
通常	meestal
通常	normaal
通常	gewoonlijk
通常	normaliter
形成	formatie
形成	vorming
比賽	wedstrijdje
比賽	ras
比賽	spelletje
比賽	prijsvraag
比賽	wedstrijd
比賽	spel
聯賽	liga
九	negen
學校	scholen
完全	compleet
完全	volledig
信	brief
信	letteren
信	brieven
期間	periode
期間	tijdvak
接受	geaccepteerde
接受	accepteer
接受	aanvaard
接受	geaccepteerd
接受	aanvaarding
接受	aanvaarden
接受	acceptatie
接受	accepteren
接受	aanvaarde
書	boek
書	boeken
交通	verkeer
交通	transport
交通	vervoer
木	hout
木	houten
討論	bespreek
討論	besprekingen
討論	discussies
討論	bespreken
故事	verhaaltjes
故事	verhaal
故事	verslagen
故事	verhalen
直接	direct
直接	rechtstreekse
直接	rechtstreeks
直接	directe
參與	deelnemende
參與	betrokkenheid
參與	deelneming
參與	participatie
參與	deelname
參與	verloving
湖	meer
根	wortels
根	wortel
保留	voorbehouden
保留	gereserveerde
保留	reservering
保留	reserveringen
保留	gereserveerd
希望	hopen
希望	hoop
手	handen
手	handjes
心	harten
心	hartje
心	hart
心	hartjes
巴士	bussen
播放	speel
播放	spelen
播放	speelt
播放	uitzenden
播放	uitzending
播放	uitgezonden
播放	toneelstukken
播放	afspelen
音	toon
音	toontje
音	medeklinker
增加	verhogen
增加	toenemende
增加	verhoogde
增加	toegenomen
增加	toenemend
增加	verhoging
增加	verhoogd
增加	stijging
增加	verhogingen
增加	vergroten
增加	verhoog
增加	verhoogt
角	hoekig
角	punt
角	hoek
角	kaap
角	hoekje
天文台	observatorium
耶	joepie
這些	deze
太	ook
永	vleugel
歌	lied
歌	nummers
歌	nummer
歌	liedje
歌	zang
歌	liederen
歌	liedjes
圖	grafiek
圖	figuur
投票	stemmen
投票	stemming
投票	peiling
投票	stem
投票	enquête
投票	opiniepeiling
灣	inlaat
灣	baai
民主	democratie
寺	tempel
雖然	hoewel
雖然	alhoewel
參加	bijwonen
參加	deelnemende
特別	speciaal
特別	bijzonder
特別	speciale
控制	controle
控制	controles
戰	strijd
戰	gevecht
戰	veldslag
戰	oorlog
戰	slag
電視台	televisie
以下	onder
以下	hieronder
然而	echter
然而	toch
七	zeven
口	mond
委員會	commissie
編輯	hoofdredacteur
編輯	bewerker
編輯	redacteur
編輯	bewerk
編輯	bewerken
編輯	uitgever
資料	gegevens
播出	uitgezonden
播出	uitzenden
播出	uitzending
年度	jaar
宋	nummer
宋	zang
宋	liedje
宋	lied
附近	dichtbij
附近	nabijgelegen
歌手	zanger
歌手	zangeres
歌手	zangers
店	winkel
店	bewaren
二十	twintig
組織	afdeling
組織	organisatie
組織	deling
組織	divisie
組織	weefsel
分類	indelen
分類	indeling
分類	classificaties
分類	classificatie
分類	classificeren
教授	hoogleraar
盃	beker
盃	kopje
源	bron
八	acht
法國	frankrijk
除了	behalve
文字	tekst
民族	etniciteit
民族	nationaliteiten
主席	voorzitter
不過	maar
文物	artefacten
文物	relikwieën
文物	oudheden
文物	antiquiteiten
文物	kunstvoorwerpen
老	oude
老	ouwe
老	oud
女子	vrouw
選	kies
世紀	eeuw
鐵	ijzer
鐵	strijkijzer
德國	duitsland
票	kaartje
票	kaartjes
打	vecht
打	vechten
打	strijd
打	gevecht
關係	betrekkingen
關係	relaties
關係	relatie
能力	capaciteiten
能力	vermogen
能力	capaciteit
能力	competenties
佛	boeddha
少	minder
模板	sjabloon
模板	sjablonen
頭	hoofd
個人	persoonlijke
個人	individu
個人	persoonlijk
個人	individueel
擁有	bezit
擁有	eigendom
擁有	bezetenheid
學生	leerling
學生	studenten
學生	leerlingen
鎮	stad
南部	zuid
南部	zuiden
南部	zuidelijk
語言	talen
語言	taalgebruik
語言	taal
模式	modi
模式	modus
模式	patroon
模式	patronen
相關	gerelateerd
相關	verwant
相關	relevante
相關	gerelateerde
相關	verwante
決定	besluit
決定	beschikkingen
決定	besluiten
決定	beslissingen
決定	beslissing
方向	richting
方向	richtingen
方向	routebeschrijving
方向	oriëntering
方向	oriëntatie
方法	methoden
方法	methode
方法	methodes
影響	effect
影響	beïnvloeding
影響	beïnvloeden
影響	invloed
影響	uitwerkingen
影響	inslag
影響	gevolgen
影響	invloeden
影響	effecten
影響	botsing
影響	inslagen
屬於	behoord
屬於	behoorde
許多	veel
許多	velen
許多	vele
第四	vierde
死	dood
死	doods
自治	autonomie
自治	zelfstandigheid
蘇	aanklagen
甚至	zelfs
開	openen
見	zien
見	zie
只是	gewoon
結束	einde
結束	beëindigen
結束	eind
巴西	brazilië
共同	vaak
共同	gemeenschappelijk
出版社	uitgeverij
出版社	uitgevers
出版社	uitgeverijen
出版社	uitgever
提名	voordracht
提名	nominaties
提名	voorgedragen
提名	nomineren
提名	nominatie
提名	voordrachten
提名	genomineerd
保護	beschermd
保護	bescherm
保護	beschermde
保護	beschermen
保護	bescherming
加上	voeg
加上	toevoegen
食	eten
獨立	onafhankelijkheid
獨立	zelfstandig
獨立	zelfstandigheid
獨立	onafhankelijke
獨立	onafhankelijk
包含	bevat
距離	afstand
距離	afstanden
社會	samenlevingen
社會	genootschap
社會	sociale
社會	sociaal
社會	samenleving
社會	maatschappij
兩個	twee
公尺	meter
公尺	meters
還	ook
哥	broer
哥	broertje
哥	broeder
歐洲	europese
歐洲	europees
像	zoals
鐵路	spoorlijnen
鐵路	spoor
鐵路	spoorwegen
鐵路	spoorweg
居民	ingezetenen
居民	bewoners
居民	inwoners
功能	functionaliteit
功能	functionele
功能	kenmerken
功能	kenmerk
功能	functioneel
功能	functie
功能	functies
功能	functionaliteiten
聯盟	vakbond
聯盟	allianties
聯盟	unie
聯盟	coalitie
聯盟	alliantie
聯盟	bondgenootschap
聯盟	bondgenootschappen
聯盟	verbond
聯盟	liga
洪	opgehangen
洪	gehangen
洪	hing
利用	gebruik
利用	gebruiken
最終	uiteindelijk
平均	gemiddelde
平均	gemiddeld
侵	geweldpleging
侵	aanval
侵	mishandeling
雙	dubbele
雙	dubbel
雙	verdubbelen
雙	tweepersoons
再次	nogmaals
再次	alweer
再次	opnieuw
網	netto
網	netwerk
量	hoeveelheid
量	kwantiteit
演員	gips
演員	actoren
演員	acteurs
演員	actrice
演員	gegoten
演員	acteur
亞洲	aziatisch
亞洲	aziatische
亞洲	azië
全球	wereldwijd
全球	mondiale
全球	globaal
全球	aardbol
全部	allen
全部	alles
全部	alle
全部	allemaal
北部	noord
北部	noorden
運動	bewegingen
運動	beweging
運動	verplaatsing
運動	sporten
運動	motie
毛	bruto
草	gras
直到	tot
名字	naam
地球	aarde
死亡	dood
死亡	doods
死亡	overlijden
戰爭	oorlogen
戰爭	oorlog
作曲	componeren
作曲	samenstellen
溪	beek
溪	kreek
紅	rode
紅	rood
安全	beveiligen
安全	kluis
安全	beveiligd
安全	veilig
安全	veilige
學院	academie
學院	hogescholen
學院	hogeschool
學院	universiteit
原因	reden
原因	veroorzaken
原因	rede
原因	oorzaak
原因	redenen
通過	passeren
管	pijp
管	buis
強	sterk
強	sterke
強	sterken
選舉	verkiezingen
選舉	verkiezing
辛	zondigen
辛	zonden
辛	zonde
法律	wetten
法律	wet
革命	revoluties
革命	omwentelingen
革命	revolutie
計劃	plannen
時代	tijden
男性	mannetje
男性	mannelijk
男性	reuen
男性	mannen
男性	mannetjes
男性	mannelijke
形式	opmaak
形式	formatteren
形式	indeling
形式	formulier
形式	formaat
形式	vorm
基本	fundamentele
葉	blad
葉	blaadje
單位	eenheid
單位	eenheden
科技	technologie
青年	jongeren
青年	jeugd
流	stromen
流	beek
流	stroom
蒙古	mongolië
蒙古	mongoolse
結果	uitkomst
結果	resultaten
結果	uitslagen
結果	resultaat
教	lesgeven
教	onderwijzen
解放	emancipatie
解放	bevrijding
解放	bevrijde
解放	bevrijd
體	lichaam
球隊	ploegen
左	links
左	linkse
左	linker
戴	dragen
戴	slijtage
戴	draag
自然	natuurlijk
自然	natuurlijke
自然	natuur
澳門	macao
新的	nieuw
新的	nieuwe
經濟	economische
經濟	economisch
經濟	economie
切	snijden
切	knippen
一起	samen
越南	vietnamezen
越南	vietnamees
快速	vlug
快速	snelle
快速	vasten
快速	snel
學	leren
學	leer
職業	bezigheid
職業	beroepen
職業	carrière
職業	loopbaan
職業	bezetting
職業	carriere
職業	carrières
職業	beroepsgroep
職業	beroep
百	honderd
廣	brede
廣	wijd
廣	breed
相同	zelfde
相同	identieke
相同	hetzelfde
相同	identiek
類	klas
類	klasse
兵	soldaat
億	biljoen
億	miljard
分鐘	minuutje
分鐘	minuut
分鐘	minuten
分鐘	notulen
松	dennen
發	haren
發	haartjes
發	haar
政策	beleid
銀	zilveren
銀	zilver
日期	dadels
日期	data
日期	datums
日期	datum
單曲	vrijgezellen
普通	gewone
鰭	vinnen
鰭	vin
男子	mannen
共和國	republiek
理由	reden
理由	rede
理由	redenen
交流	uitwisselen
交流	uitwisselingen
交流	uitwisseling
交流	ruil
總統	voorzitter
標準	standaard
標準	normen
標準	criterium
標準	norm
標準	standaarden
標準	standaards
排名	ranglijst
排名	gerangschikt
排名	rangschikken
排名	klassement
排名	rangschikking
排名	rang
表	tafel
表	tafeltje
表	tabel
韓國	koreaan
韓國	koreaans
韓國	koreanen
韓國	koreaanse
行動	exploitatie
行動	optreden
行動	bewerking
行動	acties
行動	actie
行動	operatie
行動	aktie
博士	dokter
博士	doktor
博士	arts
立法	wetgeving
尾	staarten
尾	munt
尾	staart
熱帶	tropen
熱帶	tropisch
熱帶	tropische
議員	raadslid
議員	congreslid
漫畫	strips
漫畫	stripverhalen
漫畫	tekenfilm
漫畫	tekenfilms
漫畫	stripverhaal
漫畫	komiek
漫畫	stripboeken
短	kort
短	korte
坑	kuil
坑	pitstop
坑	put
大型	groot
大型	grote
生物	schepsel
生物	organismen
生物	wezen
生物	biologisch
生物	biologie
生物	schepsels
生物	organisme
生物	wezens
生物	biologische
城鎮	stad
春	voorjaar
春	lente
海軍	marine
海軍	zeemacht
公路	wegen
公路	snelwegen
公路	weg
公路	autowegen
公路	snelweg
冠	kroon
作家	schrijvers
作家	schrijfster
作家	schrijver
空	leeg
空	lege
空	ledig
空	leegmaken
雪	sneeuw
牛	stier
牛	runderen
牛	koe
牛	vee
牛	rundvee
火	brand
火	vuren
火	vuur
攻擊	aanvallen
攻擊	geweldpleging
攻擊	aanval
攻擊	aanslagen
攻擊	mishandeling
值	waarde
值	waarden
值	waardes
十二	twaalf
西部	westelijk
西部	westen
土	bodem
土	vuil
土	grond
早期	vroeg
早期	vroege
速度	snelheid
速度	toerental
合併	samenvoeging
合併	fusie
合併	codificatie
合併	concentraties
合併	samenvoegen
合併	consolideren
合併	fusies
合併	consolidatie
建築	opbouw
建築	gebouwen
建築	constructie
建築	bouw
建築	architectuur
建築	bouwnijverheid
建築	bouwen
道路	wegen
道路	weg
發表	publiceren
發表	publiceer
發表	publicatie
發表	verschenen
發表	gepubliceerde
發表	gepubliceerd
發表	uitgegeven
發表	uitgeverijen
發表	uitgeverij
低	lager
低	lage
低	lagere
低	laag
色	kleuren
色	kleur
轉	beurt
轉	draaien
轉	draai
仍然	nog
來自	van
來自	vanaf
來自	uit
每年	jaarlijks
技術	technieken
技術	technische
技術	technisch
技術	techniek
技術	technologieën
技術	technologie
主任	regisseur
主任	directeur
畢業	afgestudeerd
畢業	geslaagd
畢業	afgestudeerde
畢業	afstuderen
設	instellen
設	ingesteld
機場	vliegvelden
機場	luchthaven
機場	vliegveld
機場	luchthavens
威廉	willem
館	paviljoen
天主教	katholieke
天主教	katholicisme
天主教	katholiek
富	rijk
富	rijken
千	duizend
芬	vin
大部分	meest
大部分	meesten
大部分	meeste
房	kamer
最早	vroegst
最早	vroegste
她的	haar
費	honorarium
費	vergoeding
情況	toestand
情況	situatie
最初	aanvankelijk
來源	bronnen
來源	bron
首都	hoofdletter
首都	hoofdstad
首都	kapitaal
杯	beker
杯	kopje
廣告	advertentie
廣告	adverteren
廣告	aankondigingen
廣告	reclame
廣告	advertenties
深	diepte
深	diep
深	diepgang
深	diepe
描述	omschrijvingen
描述	beschrijvingen
描述	beschrijf
描述	signalement
描述	omschrijf
描述	beschrijven
描述	omschrijving
描述	beschrijvende
描述	beschrijving
皇帝	keizer
域	domein
域	domeinen
團體	groepen
流行	populaire
流行	populair
計畫	plannen
列車	treinen
列車	trein
環	ringen
環	lus
父	vader
不明	onbekend
不明	onbekende
取代	vervang
取代	vervangen
兄弟	broer
兄弟	broertje
兄弟	broeder
物理	fysieke
物理	lichamelijke
物理	fysica
物理	lichamelijk
物理	natuurkunde
物理	fysiek
底	bodem
底	onderkant
右	rechts
右	recht
右	juist
武器	wapens
武器	wapen
顯示	toont
顯示	toon
顯示	weergeven
顯示	weergave
顯示	tonen
報告	rapporteren
報告	verslag
報告	rapportage
報告	rapport
報告	verslaglegging
報告	rapporten
報告	verslagen
秒	seconden
秒	tweede
第五	vijfde
雲	wolken
雲	wolk
雲	bewolking
小說	fictie
小說	roman
小說	romans
程度	graad
導演	regisseur
導演	directeur
父親	vader
和平	vrede
西北	noordwestelijke
西北	noordwesten
西北	noordwest
產生	genereren
圈	kringen
圈	rondjes
圈	cirkels
圈	kring
圈	cirkel
修改	aangepast
修改	gemodificeerd
修改	gewijzigd
修改	wijzigen
修改	wijziging
修改	aanpassen
修改	modificatie
直	recht
直	rechtdoor
生產	productie
生產	vervaardiging
生產	fabricage
生產	produktie
申請	applicaties
申請	toepassingen
申請	toepassing
申請	applicatie
申請	aanvraag
申請	aanvragen
單	alleenstaand
單	vrijgezel
單	alleenstaande
谷	vallei
巴黎	parijs
家庭	gezinnen
家庭	familie
家庭	gezin
流域	keerpunt
流域	bekken
流域	stroomgebied
宗教	religieus
宗教	religies
宗教	godsdienst
宗教	religieuze
宗教	religie
表演	presteren
表演	optreden
表演	uitvoeren
英格蘭	engeland
拜	dag
拜	daag
拜	doei
聯合	gezamenlijke
聯合	gewricht
當地	plaatselijk
當地	lokaal
當地	lokale
不久	spoedig
不久	binnenkort
不久	weldra
不久	snel
作用	rol
作用	rollen
改革	hervormde
改革	hervormen
改革	hervormd
改革	hervormingen
改革	hervorming
藝術	artistieke
藝術	kunsten
藝術	kunst
藝術	artistiek
球員	speler
球員	spelers
教區	freguesia
教區	bisdom
教區	parochie
處理	handvat
處理	verwerking
處理	verwerken
處理	hantering
處理	afhandeling
香	wierook
先生	meneer
建議	aanbevelingen
建議	suggesties
建議	suggestie
建議	adviezen
建議	aanbeveling
建議	voorstel
建議	advies
全國	nationaal
人員	personeel
人員	personeelszaken
虎	tijger
土地	grond
展	expositie
展	tentoonstelling
特色	kenmerken
特色	functies
特色	kenmerk
特色	functie
公園	parken
公園	parkeren
包	pakketje
包	pakje
包	zak
包	arrangement
包	roedel
包	inpakken
包	verpakking
包	zakje
包	pakket
包	tas
西南	zuidwestelijke
西南	zuidwesten
西南	zuidwest
翼	vleugel
翼	vleugels
孔	gat
孔	kuil
十一	elf
研究所	instituten
研究所	instituut
協會	associatie
協會	vereniging
文學	literair
文學	literatuur
文學	literaire
頻道	kanaal
頻道	kanalen
少年	jeugdige
少年	tiener
舊	oude
舊	ouwe
舊	oud
大家	iedereen
股份	aandelen
影片	filmpje
影片	film
身份	identiteit
身份	identiteiten
義	rechtvaardigheid
義	gerechtigheid
基地	basis
基地	grondslagen
基地	honken
基地	basen
必須	moeten
必須	moet
文件	bestand
文件	dossiers
文件	dossier
文件	bestanden
更多	meer
藍	blauwe
藍	blauw
居住	woonplaats
居住	residentie
居住	verblijfplaats
力量	kracht
力量	sterkte
板	platen
板	plaat
板	bord
板	nummerplaten
板	borden
板	planken
板	kenteken
禁	verboden
船	schip
船	boot
文章	artikels
文章	artikelen
意見	opmerkingen
意見	opinies
意見	adviezen
意見	mening
意見	commentaar
意見	reacties
意見	meningen
意見	advies
意見	commentaren
公主	prinses
公主	prinsesje
同意	akkoord
同意	overeengekomen
同意	afgesproken
果	vruchten
果	vrucht
最多	meest
最多	meesten
最多	meeste
地下	ondergronds
地下	ondergrondse
十	tien
銀行	banken
非洲	afrikaans
非洲	afrika
非洲	afrikaanse
支援	steun
支援	ondersteuning
支援	ondersteunen
第十	tiende
拍攝	schieten
拍攝	filmen
拍攝	schiet
拍攝	schoten
拍攝	schietpartij
還有	en
西藏	tibetaanse
俄羅斯	rusland
分析	analyses
分析	analyse
分析	analytisch
旗	vlaggen
旗	spandoek
旗	vaandel
旗	vlag
行星	planetaire
行星	planeten
行星	planeet
作者	schrijfster
作者	auteur
作者	schrijvers
作者	schrijver
作者	auteurs
皇家	koninklijke
皇家	koninklijk
電子	elektronisch
電子	electronica
電子	elektronica
電子	elektron
三十	dertig
倫敦	londen
範圍	marges
範圍	bereik
黨	partij
黨	feest
黨	feestje
教堂	kerk
教堂	kerken
警察	politie
絲	zijde
絲	zijden
帝國	rijk
帝國	keizerrijk
帝國	imperium
原本	oorspronkelijk
娛樂	vermakelijk
娛樂	onderhoudend
娛樂	recreatie
娛樂	ontspanning
娛樂	amusement
娛樂	vermaak
坡	helling
方案	programma
方案	programmeren
屋	huis
部隊	troepen
詞	woorden
詞	woord
洞	gat
洞	grot
洞	kuil
宮	paleis
影	schaduw
影	schaduwen
速	snelheid
速	toerental
會議	bijeenkomsten
會議	ontmoetingen
會議	ontmoeting
會議	vergaderen
會議	vergaderingen
會議	conferentie
會議	bijeenkomst
會議	vergadering
資訊	gegevens
資訊	informatie
戰鬥	vechten
戰鬥	vecht
戰鬥	strijd
戰鬥	gevecht
戰鬥	veldslag
戰鬥	slag
項目	projecten
玩家	speler
玩家	spelers
限制	limieten
限制	beperking
限制	limiet
限制	beperken
限制	begrenzing
限制	restrictie
限制	restricties
限制	beperkingen
如何	hoe
創作	creatieve
創作	creatie
創作	schepping
創作	creaties
創作	creatief
引擎	motoren
